[EXPERIMENTAL RISK] experimental authority accepts the recorded camera/body candidate although formal acceptance gates did not pass
[EXPERIMENTAL RISK] experimental authority accepts the recorded three-axis dynamic candidates although the formal real-vehicle set remains unresolved
[EXPERIMENTAL RISK] experimental authority disables the detector-confidence threshold
[EXPERIMENTAL AUTO] trace=calibration_logs/experimental_auto_20260814_230123.jsonl
EXPERIMENTAL AUTO READY
vision=/data/Zhouyuheng_workspace/tracking_depth/depth-estimation-dev/output/statistical_r_no_nis_20260814_225314/pipeline_results.jsonl
[EXPERIMENTAL AUTO] Starting guarded camera/MPC tracking session; model=dual yaw=LOWER_LOCAL_HOLD; no joystick/manual mode exists
[NET] FineSUB transport connected
[EXPERIMENTAL AUTO] WAIT: telemetry stale, disarmed session not confirmed, waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] WAIT: waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] ARMING: WAIT ARMED-ZERO ACK
[EXPERIMENTAL AUTO] ACTIVE: WAIT NEW VISION
[EXPERIMENTAL AUTO] ACTIVE frame=13873 cmd=(+0.000,+0.000,+0.000) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13876 cmd=(-0.032,-0.005,+0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13879 cmd=(-0.064,+0.029,-0.006) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13882 cmd=(-0.097,+0.060,-0.005) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13885 cmd=(-0.129,+0.084,+0.002) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13888 cmd=(-0.158,+0.071,+0.015) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13891 cmd=(-0.190,+0.042,+0.023) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13897 cmd=(-0.200,+0.018,+0.025) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13900 cmd=(-0.186,+0.003,+0.025) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13903 cmd=(-0.167,-0.008,+0.022) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13909 cmd=(-0.135,-0.021,+0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13912 cmd=(-0.103,-0.034,+0.015) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13915 cmd=(-0.072,-0.044,+0.011) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13918 cmd=(-0.040,-0.055,+0.005) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13921 cmd=(-0.008,-0.067,+0.001) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13924 cmd=(+0.025,-0.080,+0.000) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13927 cmd=(+0.059,-0.064,+0.007) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13930 cmd=(+0.091,-0.047,+0.013) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13933 cmd=(+0.125,-0.049,+0.021) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13936 cmd=(+0.159,-0.044,+0.026) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13939 cmd=(+0.172,-0.027,+0.031) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13942 cmd=(+0.178,-0.015,+0.034) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13945 cmd=(+0.177,-0.011,+0.037) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13948 cmd=(+0.170,-0.012,+0.039) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13951 cmd=(+0.158,-0.012,+0.041) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13954 cmd=(+0.141,-0.012,+0.044) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13957 cmd=(+0.121,-0.009,+0.049) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13960 cmd=(+0.102,-0.005,+0.058) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13963 cmd=(+0.086,+0.001,+0.071) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13966 cmd=(+0.058,+0.011,+0.089) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13969 cmd=(+0.053,+0.016,+0.091) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13972 cmd=(+0.019,+0.035,+0.112) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=13975 cmd=(-0.006,+0.047,+0.132) yaw=LOCAL_HOLD
