host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:53:07.748192+00:00,91163.031446,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:53:07.799042+00:00,91163.081585,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2464,123251,1,0,1,0,0,1,0,3262504354,0,9090,91163031,331,0,0.5792707,0.0061469,"[0.9578257203102112,-0.031333982944488525,0.014324991963803768,-0.2852768301963806]","[-0.0014076780062168837,0.0009325818391516805,0.006146945059299469]","[-0.1195949986577034,-0.6711609959602356,9.7858247756958]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:07.849205+00:00,91163.131543,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2465,123301,1,0,1,0,0,1,0,3262504354,1,39860,91163082,332,0,0.5792878,0.0067695,"[0.9578247666358948,-0.03128698095679283,0.014335991814732552,-0.2852848172187805]","[0.0004186695732641965,0.0009284977568313479,0.006769469473510981]","[-0.13144399225711823,-0.6468330025672913,9.799723625183105]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:07.898718+00:00,91163.181588,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2466,123351,1,0,1,0,0,1,0,3262504354,2,10792,91163132,333,0,0.5792665,0.0085891,"[0.957830011844635,-0.031214971095323563,0.01433898787945509,-0.28527477383613586]","[0.0016415870049968362,0.002191453007981181,0.008589096367359161]","[-0.12911400198936462,-0.6539859771728516,9.804654121398926]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:07.948711+00:00,91163.231529,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2467,123401,1,0,1,0,0,1,0,3262504354,3,22876,91163182,334,0,0.5792754,0.0061285,"[0.9578312039375305,-0.031129993498325348,0.01437899749726057,-0.28527793288230896]","[0.001039849710650742,0.0027883730363100767,0.006128531880676746]","[-0.10517799854278564,-0.6397010087966919,9.802321434020996]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:07.998716+00:00,91163.281586,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2468,123451,1,0,1,0,0,1,0,3262504354,4,11078,91163232,335,0,0.5792964,0.0073687,"[0.9578304886817932,-0.031055988743901253,0.014390993863344193,-0.28528788685798645]","[0.002049453090876341,0.0021734063047915697,0.007368657737970352]","[-0.11070799827575684,-0.6422879695892334,9.78869915008545]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:08.048777+00:00,91163.331521,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2469,123501,1,0,1,0,0,1,0,3262504354,5,55039,91163282,336,0,0.5793260,0.0061531,"[0.9578284621238708,-0.030984988436102867,0.014402993954718113,-0.28530192375183105]","[-0.0003925245546270162,0.0009260367951355875,0.006153106223791838]","[-0.10272900015115738,-0.6424469947814941,9.78079891204834]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:08.098607+00:00,91163.381586,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2470,123551,1,0,1,0,0,1,0,3262504354,6,56264,91163332,337,0,0.5793685,0.0049241,"[0.9578245878219604,-0.030915984883904457,0.014394992962479591,-0.2853228449821472]","[0.00042510987259447575,0.001529205241240561,0.004924062639474869]","[-0.09551800042390823,-0.6402580142021179,9.768854141235352]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:08.149248+00:00,91163.431536,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2471,123601,1,0,1,0,0,1,0,3262504354,7,7972,91163382,338,0,0.5794079,0.0062023,"[0.957821249961853,-0.030843963846564293,0.014377985149621964,-0.2853426933288574]","[0.00040463710320182145,-0.0015745663549751043,0.00620225491002202]","[-0.07644599676132202,-0.6550710201263428,9.750102043151855]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:53:08.198632+00:00,91163.481591,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2472,123651,1,0,1,0,0,1,0,3262504354,8,35415,91163432,339,0,0.5793949,0.0074030,"[0.9578245878219604,-0.03079998306930065,0.014343993738293648,-0.2853378653526306]","[0.0004102919774595648,-0.0003114540013484657,0.007403041701763868]","[-0.0740090012550354,-0.6553019881248474,9.735740661621094]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
