host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:45:16.571217+00:00,90691.854488,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:45:16.622275+00:00,90691.905146,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,2777,138900,1,0,1,1,0,1,0,2733143992,237,10001,90647977,582,0,1.1021125,-0.0116479,"[0.8515589237213135,-0.026296982541680336,0.0222109854221344,-0.5231276154518127]","[-0.004411930684000254,0.0032239723950624466,-0.011647856794297695]","[-0.10759299993515015,-0.6567839980125427,9.785751342773438]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.709387+00:00,90691.990561,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2779,139000,1,0,1,1,0,1,0,391802653,1,40765,90691905,584,0,1.1021879,-0.0122101,"[0.8515373468399048,-0.026357974857091904,0.022237978875637054,-0.5231585502624512]","[-0.0023931781761348248,0.0011236954014748335,-0.012210131622850895]","[-0.09171099960803986,-0.6682530045509338,9.774908065795898]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.761485+00:00,90692.043526,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2780,139050,1,0,1,1,0,1,0,391802653,2,48156,90691992,585,0,1.1022545,-0.0134379,"[0.8515195846557617,-0.026371972635388374,0.02222297526896,-0.5231874585151672]","[-0.0007621678523719311,0.0019295663805678487,-0.013437936082482338]","[-0.09082400053739548,-0.6596329808235168,9.761998176574707]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.813879+00:00,90692.095715,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2781,139100,1,0,1,1,0,1,0,391802653,3,31632,90692044,586,0,1.1023333,-0.0121634,"[0.8514983654022217,-0.026392992585897446,0.022175991907715797,-0.5232228636741638]","[-0.0013917256146669388,-0.0011702608317136765,-0.012163426727056503]","[-0.06940100342035294,-0.6792309880256653,9.74574089050293]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.866206+00:00,90692.148131,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2782,139150,1,0,1,1,0,1,0,391802653,4,64861,90692097,587,0,1.1024413,-0.0133826,"[0.8514696955680847,-0.02641298808157444,0.022099990397691727,-0.5232717394828796]","[-0.0007808429072611034,-0.0011896163923665881,-0.013382643461227417]","[-0.06214800104498863,-0.6772260069847107,9.721805572509766]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.918642+00:00,90692.200467,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2783,139200,1,0,1,1,0,1,0,391802653,4,64861,90692097,587,0,1.1025470,-0.0127601,"[0.8514418601989746,-0.02642196975648403,0.022032974287867546,-0.5233193635940552]","[-0.0007854679715819657,-0.0018057526322081685,-0.012760136276483536]","[-0.06454099714756012,-0.6820989847183228,9.717053413391113]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:16.971018+00:00,90692.252921,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2784,139250,1,0,1,1,0,1,0,391802653,5,34426,90692149,588,0,1.1026334,-0.0127749,"[0.8514194488525391,-0.026420991867780685,0.021963993087410927,-0.5233588218688965]","[0.000440154573880136,-0.0005659404559992254,-0.012774867936968803]","[-0.06932400166988373,-0.6844819784164429,9.717033386230469]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:17.023418+00:00,90692.305282,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2785,139300,1,0,1,1,0,1,0,391802653,6,2835,90692201,589,0,1.1026920,-0.0121708,"[0.8514047861099243,-0.026401987299323082,0.021913988515734673,-0.523385763168335]","[-0.0007789055816829205,-0.0005503547145053744,-0.012170791625976562]","[-0.08202899992465973,-0.6787499785423279,9.720800399780273]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:45:17.075845+00:00,90692.357664,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2786,139350,1,0,1,1,0,1,0,391802653,7,46725,90692254,590,0,1.1027580,-0.0122077,"[0.8513888120651245,-0.0263579860329628,0.021870989352464676,-0.5234156847000122]","[0.00045418707304634154,0.0019371233647689223,-0.012207653373479843]","[-0.08358000218868256,-0.6772739887237549,9.711963653564453]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
