host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T13:50:45.463749+00:00,101820.747026,handshake,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T13:50:45.514210+00:00,101820.796851,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,0,1,0.000000,56895,2844800,1,0,1,0,0,1,0,4212715261,0,22133,101820747,3489,0,1.2609206,0.0135127,"[0.8072400093078613,-0.028828980401158333,0.02461698278784752,-0.589004635810852]","[0.005692444276064634,0.0018110234523192048,0.013512705452740192]","[-0.09052599966526031,-0.7140799760818481,9.82037353515625]",0.2114724,2072.430,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.564672+00:00,101820.846858,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56896,2844850,2,1,1,0,0,1,0,4212715261,1,34682,101820797,3490,0,1.2597301,0.0146594,"[0.8075972199440002,-0.028653962537646294,0.024547968059778214,-0.5885262489318848]","[0.0016474861185997725,0.004763928707689047,0.014659387990832329]","[-0.1199600026011467,-0.7089499831199646,9.831955909729004]",0.2115226,2072.922,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.020787261426448822,-0.016840577125549316,-0.020787261426448822,0.0,0.0,-0.016840577125549316]","[0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0]",255,1,1
2026-08-13T13:50:45.615011+00:00,101820.896865,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56897,2844900,2,1,1,0,0,1,0,4212715261,2,45400,101820847,3491,0,1.2588359,0.0021289,"[0.8079623579978943,-0.025613980367779732,0.022667983546853065,-0.5882405042648315]","[0.26908713579177856,0.007850543595850468,0.002128865336999297]","[-0.15859000384807587,-0.7756479978561401,9.863676071166992]",0.2116398,2074.070,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.012113427743315697,0.0,0.0,0.0,0.012113427743315697]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.665009+00:00,101820.946873,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56898,2844950,2,1,1,0,0,1,0,4212715261,3,40099,101820898,3492,0,1.2579334,0.0094392,"[0.8083388209342957,-0.021859975531697273,0.01937798038125038,-0.5879923701286316]","[0.15495304763317108,-0.028751803562045097,0.00943915918469429]","[0.07503700256347656,-0.4420520067214966,9.72472095489502]",0.2116398,2074.070,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.714365+00:00,101820.996855,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56899,2845000,2,1,1,0,0,1,0,4212715261,4,61753,101820948,3493,0,1.2567048,0.0123412,"[0.8087599277496338,-0.019556988030672073,0.016618991270661354,-0.5875786542892456]","[0.11838093400001526,-0.03222029656171799,0.012341189198195934]","[-0.11146999895572662,-0.4933069944381714,9.776105880737305]",0.2117857,2075.500,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.765030+00:00,101821.046876,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56900,2845050,2,1,1,0,0,1,0,4212715261,5,30362,101820997,3494,0,1.2555271,0.0133573,"[0.8091467618942261,-0.017813989892601967,0.014369993470609188,-0.5871607065200806]","[0.08976328372955322,-0.03014848753809929,0.013357318937778473]","[-0.05905599892139435,-0.414559006690979,9.907485008239746]",0.2123262,2080.797,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.814975+00:00,101821.096868,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56901,2845100,2,1,1,0,0,1,0,4212715261,6,53765,101821048,3495,0,1.2542506,0.0134426,"[0.8095452189445496,-0.016712987795472145,0.012724990956485271,-0.586681604385376]","[0.05671006068587303,-0.023067371919751167,0.013442647643387318]","[-0.01409399975091219,-0.37893301248550415,9.838711738586426]",0.2128221,2085.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.864341+00:00,101821.146855,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56902,2845150,2,1,1,0,0,1,0,4212715261,7,17445,101821098,3496,0,1.2529304,0.0164650,"[0.8099430203437805,-0.016200993210077286,0.011618993245065212,-0.5861697196960449]","[0.022810617461800575,-0.020935766398906708,0.016464967280626297]","[0.0946199968457222,-0.306522011756897,9.782923698425293]",0.2128221,2085.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,-0.010851135477423668,0.0,0.0,0.0,-0.010851135477423668]","[0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0]",255,1,1
2026-08-13T13:50:45.914966+00:00,101821.196808,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56903,2845200,2,1,1,0,0,1,0,4212715261,8,2068,101821147,3497,0,1.2518357,0.0112425,"[0.8102879524230957,-0.014945984818041325,0.010717988945543766,-0.5857433080673218]","[0.09800057113170624,0.0228114016354084,0.011242469772696495]","[0.006649999879300594,-0.327008992433548,9.674266815185547]",0.2134694,2092.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:45.964526+00:00,101821.246855,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56904,2845250,2,1,1,0,0,1,0,4212715261,9,10351,101821198,3498,0,1.2508881,0.0109398,"[0.8106000423431396,-0.012930992059409618,0.010024994611740112,-0.5853716135025024]","[0.06087242811918259,0.027418216690421104,0.010939759202301502]","[0.04001300036907196,-0.309810996055603,9.707980155944824]",0.2140466,2097.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:46.015064+00:00,101821.296884,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56905,2845300,2,1,1,0,0,1,0,4212715261,10,45925,101821247,3499,0,1.2498292,0.0119042,"[0.8109301924705505,-0.011574991047382355,0.009903992526233196,-0.5849446058273315]","[0.02372755855321884,0.02954510971903801,0.011904193088412285]","[-0.0029490001033991575,-0.30210399627685547,9.726564407348633]",0.2146333,2103.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:50:46.065056+00:00,101821.346916,attitude_hold_baseline,0.0000000,0.0000000,0.0000000,0.0000000,,,1,1,1,1,1,1,0.000000,56906,2845350,2,1,1,0,0,1,0,4212715261,11,40606,101821298,3500,0,1.2485524,0.0175668,"[0.8113169074058533,-0.010579993017017841,0.009683995507657528,-0.5844306945800781]","[0.07045570015907288,0.0018549358937889338,0.017566774040460587]","[0.07168199867010117,-0.1848749965429306,9.70650577545166]",0.2146333,2103.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
