host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:41:49.840611+00:00,90485.123866,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:41:49.891445+00:00,90485.174450,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1666,83351,1,0,1,1,0,1,0,3732278236,0,40020,90485123,343,0,2.3874474,-0.0146609,"[-0.3681332767009735,0.008141005411744118,-0.033584024757146835,0.9291306734085083]","[-0.004422350320965052,0.0006900508888065815,-0.014660888351500034]","[-0.06932000070810318,-0.667277991771698,9.740766525268555]",0.0001873,1.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:49.942849+00:00,90485.225441,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1667,83401,1,0,1,1,0,1,0,3732278236,1,29230,90485174,344,0,2.3874297,-0.0127860,"[-0.36814025044441223,0.008179005235433578,-0.033609021455049515,0.9291266202926636]","[-0.0032180906273424625,-0.001166176749393344,-0.01278596743941307]","[-0.06698200106620789,-0.6843100190162659,9.72905158996582]",0.0001873,1.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:49.994876+00:00,90485.276866,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1668,83451,1,0,1,1,0,1,0,3732278236,1,29230,90485174,344,0,2.3874071,-0.0140236,"[-0.3681492805480957,0.00822900515049696,-0.03361102193593979,0.9291225671768188]","[-0.0019906351808458567,5.818927820655517e-05,-0.014023599214851856]","[-0.06457900255918503,-0.6942359805107117,9.71003532409668]",0.0001148,1.125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.046583+00:00,90485.329099,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1669,83501,1,0,1,1,0,1,0,3732278236,2,65351,90485226,345,0,2.3874142,-0.0134048,"[-0.3681451082229614,0.008255002088844776,-0.033603012561798096,0.9291242957115173]","[-0.0026043630205094814,-0.0005539849516935647,-0.013404792174696922]","[-0.07648400217294693,-0.6868910193443298,9.714587211608887]",0.0000191,0.188,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.098832+00:00,90485.380683,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1670,83551,1,0,1,1,0,1,0,3732278236,3,22625,90485278,346,0,2.3873978,-0.0134085,"[-0.3681522011756897,0.00827100407332182,-0.033595018088817596,0.9291215538978577]","[-0.003213448217138648,-0.0005500405095517635,-0.013408473692834377]","[-0.08365199714899063,-0.6843429803848267,9.721662521362305]",0.0000191,0.188,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.151261+00:00,90485.433108,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1671,83601,1,0,1,1,0,1,0,3732278236,4,48934,90485329,347,0,2.3874242,-0.0134306,"[-0.3681401312351227,0.008265001699328423,-0.033597011119127274,0.9291263818740845]","[-0.0007646636222489178,0.0015136718284338713,-0.013430570252239704]","[-0.09640800207853317,-0.6882320046424866,9.725570678710938]",0.0000247,0.242,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.202644+00:00,90485.485562,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1672,83651,1,0,1,1,0,1,0,3732278236,5,26921,90485382,348,0,2.3874428,-0.0134527,"[-0.3681321144104004,0.008243003860116005,-0.03358101472258568,0.9291303157806396]","[0.00046345475129783154,0.003169378498569131,-0.013452665880322456]","[-0.09564600139856339,-0.693835973739624,9.726462364196777]",0.0000247,0.242,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.254102+00:00,90485.536654,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1673,83701,1,0,1,1,0,1,0,3732278236,6,22763,90485434,349,0,2.3874753,-0.0128412,"[-0.3681183159351349,0.008197007700800896,-0.03353503346443176,0.9291378259658813]","[0.00046254717744886875,0.0031770928762853146,-0.012841224670410156]","[-0.10990099608898163,-0.6718649864196777,9.742768287658691]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.344836+00:00,90485.626638,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1675,83801,1,0,1,1,0,1,0,3732278236,8,2692,90485537,351,0,2.3874848,-0.0122372,"[-0.36811715364456177,0.008079001680016518,-0.033424012362957,0.9291433691978455]","[-0.0007565129781141877,0.0031926610972732306,-0.012237150222063065]","[-0.1243010014295578,-0.6591119766235352,9.785593032836914]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.397368+00:00,90485.679588,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1676,83851,1,0,1,1,0,1,0,3732278236,8,2692,90485537,351,0,2.3875003,-0.0121966,"[-0.3681122064590454,0.008000005967915058,-0.03338201716542244,0.929147481918335]","[0.00045045200386084616,0.001313272980041802,-0.012196588329970837]","[-0.12189900130033493,-0.6444339752197266,9.80219841003418]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.449361+00:00,90485.731578,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1677,83901,1,0,1,1,0,1,0,3732278236,9,45746,90485628,352,0,2.3874626,-0.0109847,"[-0.3681313097476959,0.00794000644236803,-0.03331902623176575,0.9291427135467529]","[0.0004523718962445855,0.0019525348907336593,-0.010984735563397408]","[-0.11870300024747849,-0.6453359723091125,9.796650886535645]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.501359+00:00,90485.783527,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1678,83951,1,0,1,1,0,1,0,3732278236,10,17521,90485680,353,0,2.3874216,-0.0122298,"[-0.3681522011756897,0.007875004783272743,-0.03327701985836029,0.9291364550590515]","[0.0004616396327037364,0.0031848070211708546,-0.012229766696691513]","[-0.1314059942960739,-0.6396160125732422,9.799617767333984]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:41:50.552782+00:00,90485.835468,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1679,84001,1,0,1,1,0,1,0,3732278236,11,33789,90485732,354,0,2.3873761,-0.0122408,"[-0.3681752383708954,0.007809005677700043,-0.033230021595954895,0.9291296005249023]","[0.00046537458547391,0.003808639943599701,-0.012240814045071602]","[-0.12186499685049057,-0.6396600008010864,9.799728393554688]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
