host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:44:20.437307+00:00,90635.720575,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:44:20.488313+00:00,90635.771164,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,1654,82750,1,0,1,1,0,1,0,4003577012,238,32012,90590970,344,0,1.0653818,0.0171914,"[0.8605595231056213,-0.03658895939588547,0.044143952429294586,-0.5061124563217163]","[0.08746621757745743,-0.0057489750906825066,0.017191441729664803]","[-0.3429189920425415,-1.0769929885864258,9.609315872192383]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.541461+00:00,90635.822316,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1656,82850,1,0,1,1,0,1,0,2733143992,1,39607,90635771,346,0,1.0638164,0.0180355,"[0.861136257648468,-0.03217897564172745,0.04115796089172363,-0.5056825876235962]","[0.11851377040147781,-0.008437235839664936,0.018035484477877617]","[-0.3544360101222992,-0.970441997051239,9.65079402923584]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.592719+00:00,90635.875685,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1657,82900,1,0,1,1,0,1,0,2733143992,2,41910,90635824,347,0,1.0630019,0.0169085,"[0.8614376783370972,-0.02959698811173439,0.03937598317861557,-0.5054688453674316]","[0.12702786922454834,-0.011003078892827034,0.016908522695302963]","[-0.36379799246788025,-0.9071980118751526,9.692935943603516]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.643700+00:00,90635.926706,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1658,82950,1,0,1,1,0,1,0,2733143992,3,25658,90635876,348,0,1.0622331,0.0157447,"[0.8617245554924011,-0.026864973828196526,0.03746696189045906,-0.5052775144577026]","[0.1331131011247635,-0.012305513955652714,0.015744667500257492]","[-0.35955101251602173,-0.8378589749336243,9.718351364135742]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.695288+00:00,90635.977681,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1659,83000,1,0,1,1,0,1,0,2733143992,4,44251,90635927,349,0,1.0614481,0.0170413,"[0.8620085716247559,-0.024087989702820778,0.03545898571610451,-0.5050778388977051]","[0.13430701196193695,-0.01604100689291954,0.01704130880534649]","[-0.3440999984741211,-0.7598609924316406,9.736572265625]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.747586+00:00,90636.029434,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1660,83050,1,0,1,1,0,1,0,2733143992,5,5357,90635978,350,0,1.0606740,0.0170671,"[0.8622803092002869,-0.02135799638926983,0.03340499475598335,-0.5048769116401672]","[0.13307766616344452,-0.017904669046401978,0.017067087814211845]","[-0.3581259846687317,-0.6847519874572754,9.76648998260498]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.799222+00:00,90636.081843,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1661,83100,1,0,1,1,0,1,0,2733143992,6,53192,90636030,351,0,1.0598719,0.0158404,"[0.8625478148460388,-0.018769990652799606,0.03134698420763016,-0.5046547055244446]","[0.12697741389274597,-0.019752275198698044,0.015840433537960052]","[-0.3530159890651703,-0.6075090169906616,9.7846040725708]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.851059+00:00,90636.133301,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1662,83150,1,0,1,1,0,1,0,2733143992,7,1476,90636082,352,0,1.0591170,0.0158624,"[0.8627928495407104,-0.016374992206692696,0.029271984472870827,-0.5044437646865845]","[0.1159839853644371,-0.02467220276594162,0.015862425789237022]","[-0.3479909896850586,-0.5397400259971619,9.812451362609863]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:44:20.903333+00:00,90636.185235,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1663,83200,1,0,1,1,0,1,0,2733143992,8,25155,90636134,353,0,1.0583848,0.0159065,"[0.8630213141441345,-0.014294987544417381,0.027229977771639824,-0.5042305588722229]","[0.10498309880495071,-0.030839812010526657,0.015906529501080513]","[-0.32857799530029297,-0.47728800773620605,9.811756134033203]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
