host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:52:00.879560+00:00,91096.162795,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:52:00.930061+00:00,91096.212948,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,1126,56351,1,0,1,1,0,1,0,1611038497,104,60309,91072453,105,0,0.5974792,0.0000607,"[0.9552015662193298,-0.030780985951423645,0.01471899263560772,-0.2939828634262085]","[0.0008296946762129664,9.267699169868138e-06,6.070255403756164e-05]","[-0.030882999300956726,-0.6587979793548584,9.677915573120117]",0.0001268,1.242,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:00.980021+00:00,91096.262870,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1127,56401,1,0,1,0,0,1,0,967243931,0,35661,91096162,106,0,0.5974463,-0.0011647,"[0.9552074670791626,-0.03075098991394043,0.014675994403660297,-0.29396888613700867]","[-0.0007951895240694284,-0.00041154862265102565,-0.0011646582279354334]","[-0.02607700042426586,-0.6565120220184326,9.671541213989258]",0.0001228,1.203,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.030441+00:00,91096.312953,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1128,56451,1,0,1,0,0,1,0,967243931,1,14043,91096213,107,0,0.5974413,-0.0011573,"[0.9552103281021118,-0.03068799525499344,0.01464199647307396,-0.29396793246269226]","[0.0004229630867484957,-0.0004194200737401843,-0.0011572755174711347]","[-0.028564000502228737,-0.6659029722213745,9.686042785644531]",0.0001236,1.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.079952+00:00,91096.362876,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1129,56501,1,0,1,0,0,1,0,967243931,2,61086,91096263,108,0,0.5974655,-0.0011573,"[0.9552083611488342,-0.030639994889497757,0.014608996920287609,-0.2939809262752533]","[0.0004229630867484957,-0.0004194200737401843,-0.0011572755174711347]","[-0.028619999065995216,-0.6632040143013,9.705195426940918]",0.0001236,1.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.130025+00:00,91096.412875,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1130,56551,1,0,1,0,0,1,0,967243931,3,5607,91096313,109,0,0.5974791,-0.0011388,"[0.9552075862884521,-0.030604984611272812,0.014573992229998112,-0.2939888536930084]","[-0.0001935744658112526,-0.0016631592297926545,-0.0011388447601348162]","[-0.028547000139951706,-0.6610549688339233,9.688371658325195]",0.0001475,1.445,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.179953+00:00,91096.462875,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1131,56601,1,0,1,0,0,1,0,967243931,4,48911,91096363,110,0,0.5974947,0.0000177,"[0.9552055597305298,-0.030598986893892288,0.01455899327993393,-0.2939968705177307]","[-0.0020039696246385574,0.0014832505257800221,1.766273271641694e-05]","[-0.0452519990503788,-0.660942018032074,9.69057559967041]",0.0001475,1.445,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.230511+00:00,91096.512885,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1132,56651,1,0,1,0,0,1,0,967243931,5,31139,91096413,111,0,0.5975294,-0.0024318,"[0.9551998972892761,-0.030617978423833847,0.014547987841069698,-0.29401376843452454]","[-0.0026094417553395033,0.0014563201693817973,-0.0024318196810781956]","[-0.09566299617290497,-0.6691589951515198,9.76688003540039]",0.0001810,1.773,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.280420+00:00,91096.562884,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1134,56751,1,0,1,0,0,1,0,967243931,7,40350,91096513,113,0,0.5975082,-0.0012016,"[0.9552001953125,-0.03070596419274807,0.014563984237611294,-0.2940027117729187]","[-0.003224076936021447,0.0008518428658135235,-0.0012015544343739748]","[-0.10286100208759308,-0.6689429879188538,9.778788566589355]",0.0001283,1.258,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:52:01.329587+00:00,91096.612875,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049096,1134,56751,1,0,1,0,0,1,0,967243931,7,40350,91096513,113,0,0.5975082,-0.0012016,"[0.9552001953125,-0.03070596419274807,0.014563984237611294,-0.2940027117729187]","[-0.003224076936021447,0.0008518428658135235,-0.0012015544343739748]","[-0.10286100208759308,-0.6689429879188538,9.778788566589355]",0.0001283,1.258,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
