host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:10:37.194620+00:00,88612.477857,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:10:37.245571+00:00,88612.528527,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,6707,335400,1,0,1,1,0,1,0,8213565,204,58850,88311310,205,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:10:37.296980+00:00,88612.579591,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6708,335450,1,0,1,1,0,1,0,2943121976,0,28321,88612477,206,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:10:37.349025+00:00,88612.631055,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6709,335500,1,0,1,1,0,1,0,2943121976,1,14432,88612529,207,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T10:10:37.400599+00:00,88612.683228,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6710,335550,1,0,1,1,0,1,0,2943121976,2,51891,88612580,208,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T10:10:37.452248+00:00,88612.734640,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6712,335650,1,0,1,1,0,1,0,2943121976,4,46068,88612683,210,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:10:37.504197+00:00,88612.786228,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6713,335700,1,0,1,1,0,1,0,2943121976,5,51411,88612735,211,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-13T10:10:37.556403+00:00,88612.838419,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6714,335750,1,0,1,1,0,1,0,2943121976,6,15888,88612787,212,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:10:37.608281+00:00,88612.890594,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6715,335800,1,0,1,1,0,1,0,2943121976,7,63900,88612839,213,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T10:10:37.659473+00:00,88612.942426,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,6716,335850,1,0,1,1,0,1,0,2943121976,8,21588,88612891,214,0,-0.3622591,0.2439138,"[0.9831854104995728,-0.028969991952180862,0.0025969992857426405,0.1802789568901062]","[0.14799483120441437,-0.11311205476522446,0.24391376972198486]","[-0.11427599936723709,-0.5874350070953369,9.755868911743164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
