host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:34:52.975800+00:00,90068.259087,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:34:53.027870+00:00,90068.309724,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,2129,106500,1,0,1,1,0,1,0,1616555720,204,50442,89977138,205,0,-3.5159285,0.1351015,"[-0.18651419878005981,-0.009839010424911976,-0.03776504099369049,0.9816768765449524]","[0.0269024521112442,-0.01884341426193714,0.13510149717330933]","[-0.20996299386024475,-0.6842010021209717,9.691424369812012]",0.0073693,72.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.080209+00:00,90068.362092,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2130,106550,1,0,1,1,0,1,0,3581452724,0,49723,90068259,206,0,-3.5215597,0.1322923,"[-0.18926021456718445,-0.009570010006427765,-0.036971040070056915,0.9811840653419495]","[0.02567107044160366,-0.02178279310464859,0.1322922557592392]","[-0.22346900403499603,-0.6751599907875061,9.701529502868652]",0.0073693,72.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.132559+00:00,90068.414416,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2131,106600,1,0,1,1,0,1,0,3581452724,1,28206,90068311,207,0,-3.5272241,0.1327195,"[-0.19201911985874176,-0.009198005311191082,-0.03621802106499672,0.9806795716285706]","[0.021594960242509842,-0.02424679324030876,0.1327195167541504]","[-0.20749999582767487,-0.65584397315979,9.711024284362793]",0.0075702,74.188,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.186041+00:00,90068.466768,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2133,106700,1,0,1,1,0,1,0,3581452724,3,30215,90068415,209,0,-3.5384130,0.1303019,"[-0.19746318459510803,-0.008288007229566574,-0.034873031079769135,0.9796547889709473]","[0.014671954326331615,-0.02818404883146286,0.13030190765857697]","[-0.18829700350761414,-0.6236519813537598,9.724365234375]",0.0077097,75.555,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.238245+00:00,90068.520247,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2134,106750,1,0,1,1,0,1,0,3581452724,4,53615,90068469,210,0,-3.5439754,0.1315580,"[-0.20016606152057648,-0.007710002362728119,-0.0342940129339695,0.979131281375885]","[0.014658934436738491,-0.030040154233574867,0.13155797123908997]","[-0.17632800340652466,-0.6091279983520508,9.733884811401367]",0.0077097,75.555,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.290666+00:00,90068.572513,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2135,106800,1,0,1,1,0,1,0,3581452724,5,63287,90068521,211,0,-3.5495191,0.1303534,"[-0.20285820960998535,-0.007064006756991148,-0.03380303457379341,0.9785990118980408]","[0.008551223203539848,-0.033135443925857544,0.1303534209728241]","[-0.17385399341583252,-0.5923010110855103,9.733664512634277]",0.0078109,76.547,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.343119+00:00,90068.624879,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2136,106850,1,0,1,1,0,1,0,3581452724,6,64288,90068573,212,0,-3.5550418,0.1295836,"[-0.2055371105670929,-0.006314003840088844,-0.03338101878762245,0.9780595302581787]","[0.004468200262635946,-0.03707049787044525,0.12958356738090515]","[-0.19304700195789337,-0.5909109711647034,9.766207695007324]",0.0078109,76.547,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.395477+00:00,90068.677351,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2137,106900,1,0,1,1,0,1,0,3581452724,7,20997,90068626,213,0,-3.5605323,0.1279444,"[-0.2081981748342514,-0.005478005390614271,-0.03307703137397766,0.9775118827819824]","[-0.001833223970606923,-0.03871398791670799,0.12794435024261475]","[-0.20735199749469757,-0.5793870091438293,9.781067848205566]",0.0078292,76.727,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:34:53.447847+00:00,90068.729674,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2138,106950,1,0,1,1,0,1,0,3581452724,8,13698,90068678,214,0,-3.5660059,0.1279554,"[-0.21084919571876526,-0.004584004171192646,-0.03287602961063385,0.9769548773765564]","[-0.00366794946603477,-0.039949871599674225,0.1279553920030594]","[-0.1954600065946579,-0.5792959928512573,9.790797233581543]",0.0078292,76.727,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
