host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:30:11.965814+00:00,89787.249067,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:30:12.016828+00:00,89787.299718,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,2718,135951,1,0,1,1,0,1,0,1651897676,204,10551,89667208,205,0,-0.9240699,0.0279860,"[0.8943734169006348,-0.0361739881336689,-0.0054489984177052975,0.44582289457321167]","[0.0028905447106808424,0.012411803938448429,0.02798602357506752]","[-0.20787499845027924,-0.6632459759712219,9.803884506225586]",0.0015338,15.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.068015+00:00,89787.350845,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2719,136001,1,0,1,1,0,1,0,2999346853,0,5187,89787249,206,0,-0.9253780,0.0280671,"[0.89407879114151,-0.03618597611784935,-0.005166996270418167,0.4464157223701477]","[0.0028631777968257666,0.007836964912712574,0.02806711196899414]","[-0.21414299309253693,-0.654591977596283,9.790891647338867]",0.0019069,18.688,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.119061+00:00,89787.401977,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2720,136051,1,0,1,1,0,1,0,2999346853,1,43253,89787300,207,0,-0.9267043,0.0281261,"[0.893782913684845,-0.03613997623324394,-0.00497399689629674,0.4470137655735016]","[0.0022329220082610846,0.004305797163397074,0.02812608703970909]","[-0.21734300255775452,-0.6610530018806458,9.786951065063477]",0.0023007,22.547,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.170927+00:00,89787.453082,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2721,136101,1,0,1,1,0,1,0,2999346853,2,36468,89787351,208,0,-0.9280626,0.0281925,"[0.8934817314147949,-0.036053985357284546,-0.004849997349083424,0.4476237893104553]","[0.004041519481688738,0.0011747984681278467,0.028192462399601936]","[-0.20542599260807037,-0.6709129810333252,9.775238037109375]",0.0023007,22.547,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.222248+00:00,89787.505092,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2722,136151,1,0,1,1,0,1,0,2999346853,3,52803,89787402,209,0,-0.9294182,0.0270101,"[0.8931816816329956,-0.03596198558807373,-0.0048289974220097065,0.4482297897338867]","[-0.00024265312822535634,-0.0025561221409589052,0.027010053396224976]","[-0.19102199375629425,-0.6664609909057617,9.756148338317871]",0.0026483,25.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.273821+00:00,89787.556227,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2723,136201,1,0,1,1,0,1,0,2999346853,4,5473,89787454,210,0,-0.9307524,0.0270395,"[0.8928866982460022,-0.03586897999048233,-0.004899998195469379,0.4488237500190735]","[-0.0008629431249573827,-0.004423711448907852,0.027039531618356705]","[-0.19100500643253326,-0.6763759851455688,9.737104415893555]",0.0026483,25.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.326091+00:00,89787.607947,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2725,136301,1,0,1,1,0,1,0,2999346853,6,56266,89787557,212,0,-0.9334275,0.0267314,"[0.8922962546348572,-0.03565996512770653,-0.0052119954489171505,0.45000961422920227]","[-0.0008959473925642669,-0.010043409653007984,0.026731429621577263]","[-0.19494600594043732,-0.6830649971961975,9.717966079711914]",0.0029815,29.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.376861+00:00,89787.660188,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.050837,2725,136301,1,0,1,1,0,1,0,2999346853,6,56266,89787557,212,0,-0.9334275,0.0267314,"[0.8922962546348572,-0.03565996512770653,-0.0052119954489171505,0.45000961422920227]","[-0.0008959473925642669,-0.010043409653007984,0.026731429621577263]","[-0.19494600594043732,-0.6830649971961975,9.717966079711914]",0.0029815,29.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:30:12.428654+00:00,89787.710825,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2727,136401,1,0,1,1,0,1,0,2999346853,8,7496,89787660,214,0,-0.9361756,0.0272054,"[0.8916928172111511,-0.03535798192024231,-0.005719996523112059,0.451221764087677]","[-0.0009189508273266256,-0.013781311921775341,0.02720540761947632]","[-0.19099199771881104,-0.6838120222091675,9.722820281982422]",0.0032773,32.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
