host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:25:50.188736+00:00,89525.471989,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:25:50.240091+00:00,89525.522579,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,4742,237151,1,0,1,1,0,1,0,3091951228,304,32340,89315243,305,0,-0.7576872,0.0170170,"[0.928341805934906,-0.03588497266173363,-0.0011969993356615305,0.3699897229671478]","[-0.014400554820895195,-0.030045736581087112,0.017016995698213577]","[-0.3104740083217621,-0.65522700548172,9.824177742004395]",0.0063760,62.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.291564+00:00,89525.574252,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4743,237201,1,0,1,1,0,1,0,576101325,0,27601,89525472,306,0,-0.7585332,0.0188882,"[0.9281912446022034,-0.035913966596126556,-0.002060997998341918,0.3703606426715851]","[-0.015636369585990906,-0.032510094344615936,0.0188881978392601]","[-0.28096699714660645,-0.6639549732208252,9.78706169128418]",0.0062093,60.852,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.343024+00:00,89525.625551,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4745,237301,1,0,1,1,0,1,0,576101325,2,27947,89525574,308,0,-0.7604719,0.0212713,"[0.9278405904769897,-0.03601398319005966,-0.003795997705310583,0.3712148070335388]","[-0.01867048442363739,-0.02996421419084072,0.02127130515873432]","[-0.2317730039358139,-0.6752359867095947,9.798988342285156]",0.0056673,55.539,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.394084+00:00,89525.677046,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4746,237351,1,0,1,1,0,1,0,576101325,3,64747,89525626,309,0,-0.7615353,0.0224610,"[0.927644670009613,-0.036111980676651,-0.004655997268855572,0.3716847896575928]","[-0.020492088049650192,-0.028689302504062653,0.02246101014316082]","[-0.21988099813461304,-0.6849859952926636,9.79447078704834]",0.0051020,50.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.445308+00:00,89525.728111,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4747,237401,1,0,1,1,0,1,0,576101325,4,35553,89525677,310,0,-0.7626309,0.0225200,"[0.9274423122406006,-0.036202989518642426,-0.005511998664587736,0.3721688687801361]","[-0.01807066798210144,-0.031200416386127472,0.022520018741488457]","[-0.20075799524784088,-0.6901779770851135,9.775575637817383]",0.0051020,50.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.497442+00:00,89525.779316,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4748,237451,1,0,1,1,0,1,0,576101325,5,42778,89525728,311,0,-0.7637301,0.0224906,"[0.9272406101226807,-0.0362439826130867,-0.0063549974001944065,0.3726538121700287]","[-0.015619387850165367,-0.02872077189385891,0.02249055728316307]","[-0.18413400650024414,-0.6973239779472351,9.785468101501465]",0.0043933,43.055,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.549873+00:00,89525.831721,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4749,237501,1,0,1,1,0,1,0,576101325,6,41022,89525780,312,0,-0.7647953,0.0217294,"[0.9270461201667786,-0.03624296933412552,-0.007174993399530649,0.3731226623058319]","[-0.012788236141204834,-0.030828887596726418,0.02172938548028469]","[-0.12837399542331696,-0.7037789821624756,9.747822761535645]",0.0043933,43.055,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.602300+00:00,89525.884180,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4750,237551,1,0,1,1,0,1,0,576101325,7,6152,89525833,313,0,-0.7657804,0.0201259,"[0.9268681406974792,-0.03618697077035904,-0.007983994670212269,0.37355369329452515]","[-0.009539848193526268,-0.031286321580410004,0.020125916227698326]","[-0.07417099922895432,-0.7087339758872986,9.702940940856934]",0.0036751,36.016,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:25:50.654675+00:00,89525.936524,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4751,237601,1,0,1,1,0,1,0,576101325,8,49956,89525885,314,0,-0.7666960,0.0189288,"[0.926706075668335,-0.03603597357869148,-0.008757993578910828,0.3739526569843292]","[-0.007105427794158459,-0.03194132447242737,0.01892884634435177]","[-0.05030699819326401,-0.7064380049705505,9.703181266784668]",0.0036751,36.016,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
