host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T13:30:19.373951+00:00,1242414.841570568,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:30:19.424854+00:00,1242414.892087849,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35633,1781700,1,0,0,1,0,3728581263,0,36579,5069,0,51,"[0.7063153982162476,-0.02274198643863201,0.026867980137467384,-0.7070215940475464]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[-0.035982999950647354,-0.6991779804229736,9.71043586730957]",-1.57199919,0.00124424533,0.159999996,1568,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000064,1,1786455019.403264046,pool_world,"[1.0100392901013902,-0.6209698598480214,1.0949097671395471]","[0.8652246810296756,0.5010617087795489,0.010501214397166258,-0.014599309168570631]","[0.05,0.05,0.05,0.2,0.2,0.2]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:30:19.474735+00:00,1242414.941723218,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35634,1781750,1,0,0,1,0,3728581263,1,44696,5070,0,50,"[0.7063292264938354,-0.02275698445737362,0.026859985664486885,-0.7070075869560242]","[-0.003236974822357297,-0.00034955458249896765,0.002489258535206318]","[-0.033594001084566116,-0.7016680240631104,9.705702781677246]",-1.57195878,0.00248925854,0.162142858,1589,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049699,1,1786455019.403264046,pool_world,"[1.0100392901013902,-0.6209698598480214,1.0949097671395471]","[0.8652246810296756,0.5010617087795489,0.010501214397166258,-0.014599309168570631]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000114,1,1,"[15,16]",1,0.025592,144.737457,92.429582,,0,,0,,
2026-08-11T13:30:19.525483+00:00,1242414.991841989,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35635,1781800,1,0,0,1,0,3728581263,2,7492,5071,0,50,"[0.706331729888916,-0.022758984938263893,0.026850981637835503,-0.7070044875144958]","[-0.0024242450017482042,-0.0003599392657633871,0.002086558612063527]","[-0.03607200086116791,-0.7094550132751465,9.720182418823242]",-1.57194901,0.00208655861,0.162142858,1589,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.099818,1,1786455019.403264046,pool_world,"[1.0100392901013902,-0.6209698598480214,1.0949097671395471]","[0.8652246810296756,0.5010617087795489,0.010501214397166258,-0.014599309168570631]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050232,1,1,"[15,16]",1,0.025592,144.737457,92.429582,0.000147,1,air,1,0.187774,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.574300+00:00,1242415.041513517,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35636,1781850,1,0,0,1,0,3728581263,3,8508,5072,0,49,"[0.7063453793525696,-0.022750994190573692,0.026826996356248856,-0.7069928646087646]","[0.0016375202685594559,-0.0003964340721722692,0.0012959069572389126]","[-0.05037900060415268,-0.7036659717559814,9.727127075195312]",-1.5719136,0.00129590696,0.160204068,1570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.149490,1,1786455019.403264046,pool_world,"[1.0100392901013902,-0.6209698598480214,1.0949097671395471]","[0.8652246810296756,0.5010617087795489,0.010501214397166258,-0.014599309168570631]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.099904,1,1,"[15,16]",1,0.025592,144.737457,92.429582,0.049819,1,air,1,0.187774,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.625053+00:00,1242415.092073678,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35637,1781900,1,0,0,1,0,3728581263,4,1690,5073,0,51,"[0.7063493132591248,-0.022744975984096527,0.026796970516443253,-0.7069902420043945]","[-0.0008006173884496093,-0.00036527996417135,0.0025040414184331894]","[-0.05992799997329712,-0.6986650228500366,9.736539840698242]",-1.57190287,0.00250404142,0.160204068,1570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000051,2,1786455019.434911251,pool_world,"[1.0100351163814638,-0.6209176359189872,1.0949097671395471]","[0.8652478253952409,0.5010295291409479,0.010479510915903241,-0.014345432324276163]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.150464,1,1,"[15,16]",1,0.025592,144.737457,92.429582,0.100379,1,air,1,0.187774,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.674390+00:00,1242415.141700776,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35638,1781950,1,0,0,1,0,3728581263,5,59616,5074,0,50,"[0.7063565850257874,-0.02273898385465145,0.026789981871843338,-0.7069834470748901]","[-0.002024337649345398,-0.0009658303461037576,0.003730606520548463]","[-0.0647749975323677,-0.6933919787406921,9.765192985534668]",-1.57188296,0.00373060652,0.160204068,1570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049678,2,1786455019.434911251,pool_world,"[1.0100351163814638,-0.6209176359189872,1.0949097671395471]","[0.8652478253952409,0.5010295291409479,0.010479510915903241,-0.014345432324276163]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000084,2,1,"[15,16]",1,0.021756,143.957565,93.965759,0.150006,1,air,1,0.187774,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.724324+00:00,1242415.191674519,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35639,1782000,1,0,0,1,0,3728581263,6,18592,5075,0,50,"[0.706358790397644,-0.022723980247974396,0.026773978024721146,-0.7069823741912842]","[-0.003838589880615473,0.0009020559955388308,0.0024634625297039747]","[-0.07905200123786926,-0.6836310029029846,9.769681930541992]",-1.57187819,0.00246346253,0.159183666,1560,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",254,1,1,1,0.099652,2,1786455019.434911251,pool_world,"[1.0100351163814638,-0.6209176359189872,1.0949097671395471]","[0.8652478253952409,0.5010295291409479,0.010479510915903241,-0.014345432324276163]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050058,2,1,"[15,16]",1,0.021756,143.957565,93.965759,0.000070,2,air,1,0.183662,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.774090+00:00,1242415.241477673,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35640,1782050,1,0,0,1,0,3728581263,7,25835,5076,0,49,"[0.706356406211853,-0.02271498553454876,0.026786983013153076,-0.7069845199584961]","[-0.0020075999200344086,0.0015140905743464828,0.0024634799920022488]","[-0.08858799934387207,-0.6713039875030518,9.78618335723877]",-1.5718857,0.00246347999,0.159183666,1560,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",254,1,1,1,0.149455,2,1786455019.434911251,pool_world,"[1.0100351163814638,-0.6209176359189872,1.0949097671395471]","[0.8652478253952409,0.5010295291409479,0.010479510915903241,-0.014345432324276163]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.099861,2,1,"[15,16]",1,0.021756,143.957565,93.965759,0.049873,2,air,1,0.183662,air_pinhole_pose_pressure_depth_z
2026-08-11T13:30:19.824645+00:00,1242415.291952583,camera_imu_yaw_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,35641,1782100,1,0,0,1,0,3728581263,8,44324,5077,0,51,"[0.7063581347465515,-0.022704999893903732,0.026792999356985092,-0.7069829702377319]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[-0.09018900245428085,-0.6712480187416077,9.789362907409668]",-1.57188189,0.00124424533,0.160204068,1570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",252,1,1,1,0.000045,3,1786455019.470209122,pool_world,"[1.0099853819769251,-0.6209139501933456,1.0949097671395471]","[0.8652392347873995,0.5010409950467895,0.010440332888977794,-0.014490939107107878]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.150336,2,1,"[15,16]",1,0.021756,143.957565,93.965759,0.100348,2,air,1,0.183662,air_pinhole_pose_pressure_depth_z
