host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T14:32:34.346584+00:00,1246149.814477546,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T14:32:34.398396+00:00,1246149.866284981,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000804,2,1786458754.394974709,finsrov_overhead_camera,"[0.7480772652315735,0.35933101169498366,1.2271753913666963]","[-0.035138312679560434,0.006949332120213399,0.020189503034100435,0.9991543372934697]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000653,2,1,[16],"[0.577992,0.74492,0.036619]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":100.855904,""pixel_xy"":[1014.042981,508.098485],""world_xy_yaw"":[0.577992,0.74492,0.036619],""pnp_valid"":true,""pnp_camera_xyz"":[0.748077,0.359331,1.227175],""pnp_camera_quat_xyzw"":[-0.035138,0.006949,0.02019,0.999154],""pnp_camera_rpy_deg"":[-4.010816,0.87699,2.284481],""pnp_reprojection_error_px"":0.110959}]",1,0.110959,100.855904,83.838797,,0,,0,,
2026-08-11T14:32:34.448460+00:00,1246149.916347181,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001978,3,1786458754.427119732,finsrov_overhead_camera,"[0.7478077024272314,0.3592008493596489,1.2267816316726172]","[-0.034296828619212974,0.006006574651837469,0.020095979610809032,0.9991915733287077]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001796,3,1,[16],"[0.577972,0.744948,0.035872]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":101.088089,""pixel_xy"":[1014.031063,508.075259],""world_xy_yaw"":[0.577972,0.744948,0.035872],""pnp_valid"":true,""pnp_camera_xyz"":[0.747808,0.359201,1.226782],""pnp_camera_quat_xyzw"":[-0.034297,0.006007,0.020096,0.999192],""pnp_camera_rpy_deg"":[-3.916517,0.766749,2.278166],""pnp_reprojection_error_px"":0.097409}]",1,0.097409,101.088089,84.391705,,0,,0,,
2026-08-11T14:32:34.496994+00:00,1246149.964889899,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000745,4,1786458754.460873365,finsrov_overhead_camera,"[0.7478259383140127,0.35922343112508265,1.2268665804460532]","[-0.03523621991816433,0.0058058817280265945,0.020361625308082512,0.9991546951088466]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000637,4,1,[16],"[0.577916,0.744931,0.037229]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":101.716751,""pixel_xy"":[1013.997489,508.088982],""world_xy_yaw"":[0.577916,0.744931,0.037229],""pnp_valid"":true,""pnp_camera_xyz"":[0.747826,0.359223,1.226867],""pnp_camera_quat_xyzw"":[-0.035236,0.005806,0.020362,0.999155],""pnp_camera_rpy_deg"":[-4.024464,0.746979,2.308676],""pnp_reprojection_error_px"":0.101413}]",1,0.101413,101.716751,85.255514,,0,,0,,
2026-08-11T14:32:34.548885+00:00,1246150.016781848,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000374,6,1786458754.527047396,finsrov_overhead_camera,"[0.7479307067787169,0.3593061184409368,1.2272026612088898]","[-0.035514225596137594,0.0048603417319210505,0.020904934531921368,0.9991386793487538]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000302,6,1,[16],"[0.57785,0.744951,0.037589]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.816238,""pixel_xy"":[1013.958231,508.072814],""world_xy_yaw"":[0.57785,0.744951,0.037589],""pnp_valid"":true,""pnp_camera_xyz"":[0.747931,0.359306,1.227203],""pnp_camera_quat_xyzw"":[-0.035514,0.00486,0.020905,0.999139],""pnp_camera_rpy_deg"":[-4.058128,0.641563,2.374514],""pnp_reprojection_error_px"":0.094609}]",1,0.094609,99.816238,85.180292,,0,,0,,
2026-08-11T14:32:34.596947+00:00,1246150.064844427,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000725,7,1786458754.559138298,finsrov_overhead_camera,"[0.7479845832938722,0.359326118699538,1.2273631688881725]","[-0.03447646065545085,0.004521304960932095,0.02072744777901267,0.9991803162446165]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000617,7,1,[16],"[0.577827,0.744925,0.036767]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":97.852005,""pixel_xy"":[1013.944617,508.094344],""world_xy_yaw"":[0.577827,0.744925,0.036767],""pnp_valid"":true,""pnp_camera_xyz"":[0.747985,0.359326,1.227363],""pnp_camera_quat_xyzw"":[-0.034476,0.004521,0.020727,0.99918],""pnp_camera_rpy_deg"":[-3.940054,0.599578,2.356174],""pnp_reprojection_error_px"":0.127092}]",1,0.127092,97.852005,85.23551,,0,,0,,
2026-08-11T14:32:34.650620+00:00,1246150.118487167,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001901,9,1786458754.626467705,finsrov_overhead_camera,"[0.7476086231725328,0.3591895766983044,1.2268643847389347]","[-0.03488576256202634,0.003660992573177883,0.02043649795191446,0.9991756253308557]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001583,9,1,[16],"[0.577795,0.744965,0.035088]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.586227,""pixel_xy"":[1013.92577,508.061354],""world_xy_yaw"":[0.577795,0.744965,0.035088],""pnp_valid"":true,""pnp_camera_xyz"":[0.747609,0.35919,1.226864],""pnp_camera_quat_xyzw"":[-0.034886,0.003661,0.020436,0.999176],""pnp_camera_rpy_deg"":[-3.989119,0.500877,2.326012],""pnp_reprojection_error_px"":0.100665}]",1,0.100665,99.586227,84.381163,,0,,0,,
2026-08-11T14:32:34.697006+00:00,1246150.164902728,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000347,11,1786458754.694376469,finsrov_overhead_camera,"[0.7534992471277941,0.21912566882425236,1.2359004352354601]","[-0.02517271817647223,0.004697309415533048,0.018563397792709817,0.999499709757963]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000286,11,1,"[15,16]","[0.578289,0.821813,0.035561]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":110.812897,""pixel_xy"":[1014.219817,445.071422],""world_xy_yaw"":[0.578289,0.821813,0.035561],""pnp_valid"":true,""pnp_camera_xyz"":[0.753499,0.219126,1.2359],""pnp_camera_quat_xyzw"":[-0.025173,0.004697,0.018563,0.9995],""pnp_camera_rpy_deg"":[-2.874505,0.591561,2.113186],""pnp_reprojection_error_px"":0.175863},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.215439,""pixel_xy"":[1013.852679,508.03029],""world_xy_yaw"":[0.577672,0.745003,0.036115],""pnp_valid"":true,""pnp_camera_xyz"":[0.747721,0.359267,1.227245],""pnp_camera_quat_xyzw"":[-0.035369,0.003408,0.020494,0.999158],""pnp_camera_rpy_deg"":[-4.045025,0.473274,2.333403],""pnp_reprojection_error_px"":0.075728}]",1,0.175863,110.812897,84.374011,,0,,0,,
2026-08-11T14:32:34.748122+00:00,1246150.216010074,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001612,12,1786458754.727985859,finsrov_overhead_camera,"[0.7534321648865941,0.2191098127444761,1.2358407260977444]","[-0.02526641936892284,0.004234256127834409,0.018428412235360275,0.9995019123292368]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001433,12,1,"[15,16]","[0.578251,0.821814,0.035612]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":110.850777,""pixel_xy"":[1014.19675,445.070427],""world_xy_yaw"":[0.578251,0.821814,0.035612],""pnp_valid"":true,""pnp_camera_xyz"":[0.753432,0.21911,1.235841],""pnp_camera_quat_xyzw"":[-0.025266,0.004234,0.018428,0.999502],""pnp_camera_rpy_deg"":[-2.886283,0.538332,2.098991],""pnp_reprojection_error_px"":0.172806},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":98.996544,""pixel_xy"":[1013.844868,508.013836],""world_xy_yaw"":[0.577659,0.745023,0.035412],""pnp_valid"":true,""pnp_camera_xyz"":[0.747517,0.359166,1.226988],""pnp_camera_quat_xyzw"":[-0.034546,0.003049,0.020573,0.999187],""pnp_camera_rpy_deg"":[-3.95153,0.430541,2.344216],""pnp_reprojection_error_px"":0.079436}]",1,0.172806,110.850777,85.93009,,0,,0,,
2026-08-11T14:32:34.797013+00:00,1246150.264904390,ratecheck,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000331,14,1786458754.794001102,finsrov_overhead_camera,"[0.7532782524227787,0.21904936266043262,1.235759990631552]","[-0.025749592057541907,0.00421606522009462,0.018387279066042858,0.9994904157977091]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000268,14,1,"[15,16]","[0.578152,0.821806,0.036151]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":110.952217,""pixel_xy"":[1014.138049,445.077318],""world_xy_yaw"":[0.578152,0.821806,0.036151],""pnp_valid"":true,""pnp_camera_xyz"":[0.753278,0.219049,1.23576],""pnp_camera_quat_xyzw"":[-0.02575,0.004216,0.018387,0.99949],""pnp_camera_rpy_deg"":[-2.94172,0.537142,2.094071],""pnp_reprojection_error_px"":0.144499},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.830704,""pixel_xy"":[1013.799827,507.973061],""world_xy_yaw"":[0.577584,0.745073,0.035116],""pnp_valid"":true,""pnp_camera_xyz"":[0.747493,0.359183,1.227105],""pnp_camera_quat_xyzw"":[-0.03459,0.002632,0.020451,0.999189],""pnp_camera_rpy_deg"":[-3.957573,0.382464,2.331928],""pnp_reprojection_error_px"":0.055144}]",1,0.144499,110.952217,85.400063,,0,,0,,
