host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T13:37:55.540788+00:00,1242871.008416089,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:37:55.591511+00:00,1242871.058797654,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,0,1,0.000000,44756,2237850,1,0,0,1,0,3728581263,1204,3909,6273,0,,"[-0.4741743803024292,0.014226011000573635,-0.0330430269241333,0.8796956539154053]","[-0.004038674291223288,0.0004412017879076302,-0.001199093647301197]","[-0.06334500014781952,-0.71977299451828,9.771193504333496]",4.13011646,-0.00119909365,0.130204082,1276,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.000053,1,1786455475.558354378,finsrov_overhead_camera,"[0.9325069341600875,0.5393292570668188,1.2182305338253376]","[-0.03631269833115345,-0.0031762202225435335,-0.14990330773996183,0.9880284904260741]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:37:55.641619+00:00,1242871.108631271,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44757,2237900,1,0,0,1,0,1898330436,0,47455,6274,0,101,"[-0.47415944933891296,0.014226013794541359,-0.03304002806544304,0.8797038197517395]","[-0.0007784517365507782,0.002068372443318367,-0.0024318022187799215]","[-0.11743099987506866,-0.6833410263061523,9.829208374023438]",4.13008261,-0.00243180222,0.131836727,1292,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.049887,1,1786455475.558354378,finsrov_overhead_camera,"[0.9325069341600875,0.5393292570668188,1.2182305338253376]","[-0.03631269833115345,-0.0031762202225435335,-0.14990330773996183,0.9880284904260741]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000119,1,1,"[15,16]",1,0.027193,140.537247,93.707656,,0,,0,,
2026-08-11T13:37:55.691502+00:00,1242871.158566957,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44758,2237950,1,0,0,1,0,1898330436,1,19830,6275,0,100,"[-0.47415944933891296,0.014226013794541359,-0.03304002806544304,0.8797038197517395]","[-0.0007784517365507782,0.002068372443318367,-0.0024318022187799215]","[-0.11743099987506866,-0.6833410263061523,9.829208374023438]",4.13008261,-0.00243180222,0.131836727,1292,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.099822,1,1786455475.558354378,finsrov_overhead_camera,"[0.9325069341600875,0.5393292570668188,1.2182305338253376]","[-0.03631269833115345,-0.0031762202225435335,-0.14990330773996183,0.9880284904260741]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050055,1,1,"[15,16]",1,0.027193,140.537247,93.707656,0.000086,1,air,1,0.159837,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.741078+00:00,1242871.208343720,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44759,2238000,1,0,0,1,0,1898330436,2,16449,6276,0,99,"[-0.47415944933891296,0.014226013794541359,-0.03304002806544304,0.8797038197517395]","[-0.0007784517365507782,0.002068372443318367,-0.0024318022187799215]","[-0.11743099987506866,-0.6833410263061523,9.829208374023438]",4.13008261,-0.00243180222,0.13755101,1348,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.149599,1,1786455475.558354378,finsrov_overhead_camera,"[0.9325069341600875,0.5393292570668188,1.2182305338253376]","[-0.03631269833115345,-0.0031762202225435335,-0.14990330773996183,0.9880284904260741]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099832,1,1,"[15,16]",1,0.027193,140.537247,93.707656,0.049863,1,air,1,0.159837,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.792273+00:00,1242871.259129303,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44760,2238050,1,0,0,1,0,1898330436,3,33965,6277,0,100,"[-0.4740961492061615,0.014214003458619118,-0.03301000967621803,0.8797392249107361]","[-0.0011932641500607133,0.0003971322439610958,-0.0032200452405959368]","[-0.01863200031220913,-0.7093150019645691,9.734771728515625]",4.12993813,-0.00322004524,0.13755101,1348,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000073,2,1786455475.598536968,finsrov_overhead_camera,"[0.9320773514885594,0.5390421950446683,1.2176358958399385]","[-0.03648155899611044,-0.0038278535761178322,-0.14968861402867073,0.9880525098497492]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150617,1,1,"[15,16]",1,0.027193,140.537247,93.707656,0.100648,1,air,1,0.159837,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.841479+00:00,1242871.308553456,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44761,2238100,1,0,0,1,0,1898330436,4,6208,6278,0,101,"[-0.47408637404441833,0.014216011390089989,-0.0330040268599987,0.8797447085380554]","[-0.0011926533188670874,0.00039200097671709955,-0.0036276844330132008]","[-0.029804999008774757,-0.7140009999275208,9.739510536193848]",4.12991619,-0.00362768443,0.13755101,1348,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.049497,2,1786455475.598536968,finsrov_overhead_camera,"[0.9320773514885594,0.5390421950446683,1.2176358958399385]","[-0.03648155899611044,-0.0038278535761178322,-0.14968861402867073,0.9880525098497492]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000108,2,1,"[15,16]",1,0.01608,140.489914,94.823487,0.150072,1,air,1,0.159837,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.891473+00:00,1242871.358580558,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44762,2238150,1,0,0,1,0,1898330436,5,40643,6279,0,100,"[-0.47407740354537964,0.014202012680470943,-0.033003028482198715,0.8797497749328613]","[-0.0007746819173917174,0.0029104414861649275,-0.0016312720254063606]","[-0.1095540001988411,-0.6994619965553284,9.826336860656738]",4.12989473,-0.00163127203,0.135102034,1324,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.099524,2,1786455475.598536968,finsrov_overhead_camera,"[0.9320773514885594,0.5390421950446683,1.2176358958399385]","[-0.03648155899611044,-0.0038278535761178322,-0.14968861402867073,0.9880525098497492]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050135,2,1,"[15,16]",1,0.01608,140.489914,94.823487,0.000104,2,air,1,0.148256,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.942074+00:00,1242871.408416688,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44763,2238200,1,0,0,1,0,1898330436,6,39111,6280,0,100,"[-0.47407740354537964,0.014202012680470943,-0.033003028482198715,0.8797497749328613]","[-0.0007746819173917174,0.0029104414861649275,-0.0016312720254063606]","[-0.1095540001988411,-0.6994619965553284,9.826336860656738]",4.12989473,-0.00163127203,0.135102034,1324,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.149360,2,1786455475.598536968,finsrov_overhead_camera,"[0.9320773514885594,0.5390421950446683,1.2176358958399385]","[-0.03648155899611044,-0.0038278535761178322,-0.14968861402867073,0.9880525098497492]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099971,2,1,"[15,16]",1,0.01608,140.489914,94.823487,0.049940,2,air,1,0.148256,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:55.991712+00:00,1242871.458891855,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44764,2238250,1,0,0,1,0,1898330436,7,23595,6281,0,100,"[-0.47404223680496216,0.014195007272064686,-0.032963015139102936,0.8797703981399536]","[-0.001994824269786477,0.002060814993456006,-0.0036620849277824163]","[-0.02953599952161312,-0.6971200108528137,9.689689636230469]",4.12981415,-0.00366208493,0.131836727,1292,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.000055,3,1786455475.625965357,finsrov_overhead_camera,"[0.9328533696779309,0.5394331821039127,1.2185987588095406]","[-0.036830625472750865,-0.0033028874879339285,-0.14980133831437498,0.9880243696391047]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150446,2,1,"[15,16]",1,0.01608,140.489914,94.823487,0.100415,2,air,1,0.148256,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:56.041483+00:00,1242871.508557351,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44765,2238300,1,0,0,1,0,1898330436,8,11839,6282,0,100,"[-0.4740321934223175,0.014187004417181015,-0.03295201435685158,0.8797763586044312]","[-0.0007840368780307472,0.0012417319230735302,-0.002009415067732334]","[-0.00901500042527914,-0.7178900241851807,9.70142650604248]",4.12979126,-0.00200941507,0.131836727,1292,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049720,3,1786455475.625965357,finsrov_overhead_camera,"[0.9328533696779309,0.5394331821039127,1.2185987588095406]","[-0.036830625472750865,-0.0033028874879339285,-0.14980133831437498,0.9880243696391047]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000112,3,1,"[15,16]",1,0.012178,139.017303,93.934736,0.150081,2,air,1,0.148256,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:56.091230+00:00,1242871.558529903,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44766,2238350,1,0,0,1,0,1898330436,9,47135,6283,0,99,"[-0.47401052713394165,0.014161014929413795,-0.03291403874754906,0.8797898292541504]","[-0.0019960282370448112,0.0020710951648652554,-0.0028468240052461624]","[-0.08568000048398972,-0.7062309980392456,9.810720443725586]",4.12973976,-0.00284682401,0.130612239,1280,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.099693,3,1786455475.625965357,finsrov_overhead_camera,"[0.9328533696779309,0.5394331821039127,1.2185987588095406]","[-0.036830625472750865,-0.0033028874879339285,-0.14980133831437498,0.9880243696391047]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050085,3,1,"[15,16]",1,0.012178,139.017303,93.934736,0.000065,3,air,1,0.154306,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:56.141085+00:00,1242871.608376545,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44767,2238400,1,0,0,1,0,1898330436,10,57009,6284,0,99,"[-0.4739942252635956,0.01414500642567873,-0.03289901465177536,0.8797994256019592]","[-0.0032229425851255655,0.0004051084106322378,-0.0036399890668690205]","[-0.1269260048866272,-0.6900539994239807,9.806809425354004]",4.12970161,-0.00363998907,0.130612239,1280,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.149539,3,1786455475.625965357,finsrov_overhead_camera,"[0.9328533696779309,0.5394331821039127,1.2185987588095406]","[-0.036830625472750865,-0.0033028874879339285,-0.14980133831437498,0.9880243696391047]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099931,3,1,"[15,16]",1,0.012178,139.017303,93.934736,0.049912,3,air,1,0.154306,air_pinhole_pose_pressure_depth_z
2026-08-11T13:37:56.191603+00:00,1242871.658854668,camera_raw_imu_yaw_slow_bidirectional_manual,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,44768,2238450,1,0,0,1,0,1898330436,11,16641,6285,0,101,"[-0.47398826479911804,0.014148008078336716,-0.03290201723575592,0.8798025250434875]","[-0.002811917569488287,0.0012342793634161353,-0.0036522760055959225]","[-0.11899500340223312,-0.6916450262069702,9.810121536254883]",4.12968826,-0.00365227601,0.130612239,1280,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,1,0.000049,4,1786455475.661366224,finsrov_overhead_camera,"[0.9326487601230803,0.5392799770042307,1.2182829867267546]","[-0.0368323411558464,-0.0032034347451752997,-0.14956721018616687,0.9880601025686341]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150410,3,1,"[15,16]",1,0.012178,139.017303,93.934736,0.100390,3,air,1,0.154306,air_pinhole_pose_pressure_depth_z
