host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T15:23:50.143761+00:00,1249225.611653167,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:23:50.194413+00:00,1249225.662304663,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000968,1,1786461830.161961555,pool_world,"[1.0991811686296722,-0.20973563535477321,0.9636226291409723]","[0.982891235426277,-0.18283673489616967,0.011057356134095848,-0.019320521991880328]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000817,1,1,"[15,16,17]","[0.8263,0.717641,0.363649]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.754608,""pixel_xy"":[1180.922796,472.043482],""world_xy_yaw"":[0.85835,0.788907,0.36931],""pnp_valid"":true,""pnp_camera_xyz"":[1.147506,0.283631,1.234324],""pnp_camera_quat_xyzw"":[-0.027251,0.013711,0.181149,0.982982],""pnp_camera_rpy_deg"":[-2.788001,2.110632,20.831842],""pnp_reprojection_error_px"":0.040105},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.349487,""pixel_xy"":[1161.845289,530.458357],""world_xy_yaw"":[0.8263,0.717641,0.363649],""pnp_valid"":true,""pnp_camera_xyz"":[1.094988,0.41488,1.224982],""pnp_camera_quat_xyzw"":[-0.032989,0.012721,0.181781,0.982703],""pnp_camera_rpy_deg"":[-3.454317,2.12021,20.896342],""pnp_reprojection_error_px"":0.01552},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.269699,""pixel_xy"":[1122.519012,483.795834],""world_xy_yaw"":[0.760232,0.774569,0.362942],""pnp_valid"":true,""pnp_camera_xyz"":[1.005193,0.308359,1.234201],""pnp_camera_quat_xyzw"":[-0.026035,0.019371,0.180229,0.983089],""pnp_camera_rpy_deg"":[-2.53661,2.720885,20.716959],""pnp_reprojection_error_px"":0.018105}]",1,0.01552,159.349487,96.394658,,0,,0,,
2026-08-11T15:23:50.244515+00:00,1249225.712405652,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000512,3,1786461830.233815908,pool_world,"[1.0991192058462056,-0.2096839330662451,0.9634719474622933]","[0.9828862516824333,-0.1828809032202648,0.011515099541921212,-0.018883695971294016]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000420,3,1,"[15,16,17]","[0.826253,0.717572,0.36423]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.239197,""pixel_xy"":[1180.881638,472.111154],""world_xy_yaw"":[0.858281,0.788824,0.370062],""pnp_valid"":true,""pnp_camera_xyz"":[1.147429,0.283775,1.234335],""pnp_camera_quat_xyzw"":[-0.027621,0.013509,0.181418,0.982925],""pnp_camera_rpy_deg"":[-2.833328,2.096313,20.862845],""pnp_reprojection_error_px"":0.035689},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.204788,""pixel_xy"":[1161.817126,530.515056],""world_xy_yaw"":[0.826253,0.717572,0.36423],""pnp_valid"":true,""pnp_camera_xyz"":[1.095115,0.415091,1.225187],""pnp_camera_quat_xyzw"":[-0.033477,0.012382,0.181928,0.982664],""pnp_camera_rpy_deg"":[-3.516053,2.092613,20.913481],""pnp_reprojection_error_px"":0.018909},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.816483,""pixel_xy"":[1122.491251,483.766615],""world_xy_yaw"":[0.760185,0.774605,0.362028],""pnp_valid"":true,""pnp_camera_xyz"":[1.005119,0.308312,1.234253],""pnp_camera_quat_xyzw"":[-0.026471,0.019831,0.180252,0.983064],""pnp_camera_rpy_deg"":[-2.576226,2.781793,20.717756],""pnp_reprojection_error_px"":0.019804}]",1,0.018909,161.204788,97.473687,,0,,0,,
2026-08-11T15:23:50.295522+00:00,1249225.763404574,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001835,4,1786461830.263535023,pool_world,"[1.099220205759606,-0.20963038636881173,0.9632223154433612]","[0.9828514422831596,-0.18314582235325183,0.011479927708650526,-0.01813453656062004]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001605,4,1,"[15,16,17]","[0.826252,0.717542,0.363537]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.377808,""pixel_xy"":[1180.881081,472.132535],""world_xy_yaw"":[0.85828,0.788798,0.368898],""pnp_valid"":true,""pnp_camera_xyz"":[1.147529,0.283885,1.234498],""pnp_camera_quat_xyzw"":[-0.027202,0.013418,0.181282,0.982963],""pnp_camera_rpy_deg"":[-2.788216,2.076982,20.848021],""pnp_reprojection_error_px"":0.045421},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.935577,""pixel_xy"":[1161.816872,530.539303],""world_xy_yaw"":[0.826252,0.717542,0.363537],""pnp_valid"":true,""pnp_camera_xyz"":[1.095161,0.415194,1.225278],""pnp_camera_quat_xyzw"":[-0.03326,0.012456,0.181907,0.982674],""pnp_camera_rpy_deg"":[-3.490155,2.096375,20.911226],""pnp_reprojection_error_px"":0.007974},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.722275,""pixel_xy"":[1122.496208,483.746763],""world_xy_yaw"":[0.760194,0.774629,0.361961],""pnp_valid"":true,""pnp_camera_xyz"":[1.005141,0.30824,1.234287],""pnp_camera_quat_xyzw"":[-0.027217,0.019809,0.180518,0.982995],""pnp_camera_rpy_deg"":[-2.6602,2.795492,20.74685],""pnp_reprojection_error_px"":0.016392}]",1,0.007974,159.935577,96.71029,,0,,0,,
2026-08-11T15:23:50.345438+00:00,1249225.813321504,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000918,6,1786461830.331874132,pool_world,"[1.0995710429573775,-0.20952052985173972,0.9629018383522197]","[0.9828462014767857,-0.18315029773645455,0.011848540498358241,-0.01813628323997095]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000756,6,1,"[15,16,17]","[0.826222,0.717465,0.362926]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.745728,""pixel_xy"":[1180.852576,472.220374],""world_xy_yaw"":[0.858232,0.788691,0.369113],""pnp_valid"":true,""pnp_camera_xyz"":[1.14785,0.284151,1.23491],""pnp_camera_quat_xyzw"":[-0.027212,0.013178,0.181399,0.982945],""pnp_camera_rpy_deg"":[-2.794068,2.050391,20.862209],""pnp_reprojection_error_px"":0.032579},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.936539,""pixel_xy"":[1161.798605,530.602318],""world_xy_yaw"":[0.826222,0.717465,0.362926],""pnp_valid"":true,""pnp_camera_xyz"":[1.094921,0.415293,1.225084],""pnp_camera_quat_xyzw"":[-0.03326,0.012,0.181816,0.982697],""pnp_camera_rpy_deg"":[-3.499779,2.044689,20.901868],""pnp_reprojection_error_px"":0.016884},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.747345,""pixel_xy"":[1122.526917,483.663771],""world_xy_yaw"":[0.760245,0.77473,0.361971],""pnp_valid"":true,""pnp_camera_xyz"":[1.005492,0.308161,1.234637],""pnp_camera_quat_xyzw"":[-0.027215,0.020178,0.180505,0.98299],""pnp_camera_rpy_deg"":[-2.652364,2.836936,20.744775],""pnp_reprojection_error_px"":0.022083}]",1,0.016884,162.936539,96.388308,,0,,0,,
2026-08-11T15:23:50.395564+00:00,1249225.863450990,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001729,7,1786461830.365368366,pool_world,"[1.099676136473619,-0.20948679517200644,0.9629126620777889]","[0.9827912320755987,-0.18347560099423263,0.011496749010178374,-0.018053330920604925]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001469,7,1,"[15,16,17]","[0.826166,0.717421,0.364208]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.45166,""pixel_xy"":[1180.850564,472.256285],""world_xy_yaw"":[0.858229,0.788647,0.368748],""pnp_valid"":true,""pnp_camera_xyz"":[1.147344,0.284115,1.234384],""pnp_camera_quat_xyzw"":[-0.026918,0.012838,0.181318,0.982972],""pnp_camera_rpy_deg"":[-2.768114,2.005769,20.854048],""pnp_reprojection_error_px"":0.03547},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.109772,""pixel_xy"":[1161.765718,530.63818],""world_xy_yaw"":[0.826166,0.717421,0.364208],""pnp_valid"":true,""pnp_camera_xyz"":[1.09515,0.415445,1.22537],""pnp_camera_quat_xyzw"":[-0.033402,0.011982,0.181982,0.982661],""pnp_camera_rpy_deg"":[-3.515768,2.046205,20.921029],""pnp_reprojection_error_px"":0.015878},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.2267,""pixel_xy"":[1122.56197,483.635841],""world_xy_yaw"":[0.760304,0.774764,0.362015],""pnp_valid"":true,""pnp_camera_xyz"":[1.005502,0.308087,1.23459],""pnp_camera_quat_xyzw"":[-0.027296,0.019841,0.180847,0.982932],""pnp_camera_rpy_deg"":[-2.667443,2.801629,20.784915],""pnp_reprojection_error_px"":0.035297}]",1,0.015878,164.109772,96.01944,,0,,0,,
2026-08-11T15:23:50.444690+00:00,1249225.912579348,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000624,9,1786461830.433649302,pool_world,"[1.100302493976416,-0.2094929214305793,0.9623094018612212]","[0.9826976173396464,-0.18401012465856417,0.01213887111591715,-0.017271789315316928]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000502,9,1,"[15,16,17]","[0.826108,0.717369,0.36384]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.867386,""pixel_xy"":[1180.793848,472.326128],""world_xy_yaw"":[0.858134,0.788562,0.368331],""pnp_valid"":true,""pnp_camera_xyz"":[1.147558,0.284326,1.234779],""pnp_camera_quat_xyzw"":[-0.026926,0.013241,0.181431,0.982946],""pnp_camera_rpy_deg"":[-2.76043,2.051642,20.86635],""pnp_reprojection_error_px"":0.026964},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.61171,""pixel_xy"":[1161.730723,530.681132],""world_xy_yaw"":[0.826108,0.717369,0.36384],""pnp_valid"":true,""pnp_camera_xyz"":[1.094999,0.415546,1.225301],""pnp_camera_quat_xyzw"":[-0.033291,0.011615,0.181789,0.982705],""pnp_camera_rpy_deg"":[-3.511317,2.00193,20.899801],""pnp_reprojection_error_px"":0.020666},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.803452,""pixel_xy"":[1122.579056,483.604803],""world_xy_yaw"":[0.760333,0.774802,0.364638],""pnp_valid"":true,""pnp_camera_xyz"":[1.005977,0.308079,1.235002],""pnp_camera_quat_xyzw"":[-0.028071,0.020509,0.181351,0.982804],""pnp_camera_rpy_deg"":[-2.739709,2.894327,20.840481],""pnp_reprojection_error_px"":0.009927}]",1,0.020666,164.61171,95.226019,,0,,0,,
2026-08-11T15:23:50.494679+00:00,1249225.962566863,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001236,10,1786461830.462148428,pool_world,"[1.1004656967045885,-0.2095440716287936,0.9622799305043714]","[0.9826399621530039,-0.1843115409584908,0.011768702666881755,-0.017591426519427286]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001065,10,1,"[15,16,17]","[0.826058,0.717326,0.363571]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.361343,""pixel_xy"":[1180.757635,472.33986],""world_xy_yaw"":[0.858073,0.788545,0.368898],""pnp_valid"":true,""pnp_camera_xyz"":[1.14703,0.284261,1.234279],""pnp_camera_quat_xyzw"":[-0.02699,0.012828,0.181346,0.982965],""pnp_camera_rpy_deg"":[-2.776295,2.00626,20.857187],""pnp_reprojection_error_px"":0.026304},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.292068,""pixel_xy"":[1161.700976,530.716143],""world_xy_yaw"":[0.826058,0.717326,0.363571],""pnp_valid"":true,""pnp_camera_xyz"":[1.095306,0.415731,1.225711],""pnp_camera_quat_xyzw"":[-0.03353,0.011959,0.181658,0.982717],""pnp_camera_rpy_deg"":[-3.531366,2.045128,20.883095],""pnp_reprojection_error_px"":0.017406},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.935211,""pixel_xy"":[1122.598792,483.575663],""world_xy_yaw"":[0.760366,0.774838,0.364728],""pnp_valid"":true,""pnp_camera_xyz"":[1.006053,0.308103,1.235104],""pnp_camera_quat_xyzw"":[-0.02775,0.020153,0.181669,0.982761],""pnp_camera_rpy_deg"":[-2.709892,2.848361,20.879094],""pnp_reprojection_error_px"":0.02703}]",1,0.017406,164.292068,95.378379,,0,,0,,
2026-08-11T15:23:50.545273+00:00,1249226.013157629,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000811,12,1786461830.530295134,pool_world,"[1.0999177732063514,-0.20956215003701736,0.9629274840465765]","[0.9826619209458433,-0.18422939476566494,0.011470071957618403,-0.017421730011378457]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000668,12,1,"[15,16,17]","[0.826011,0.717261,0.361837]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.177551,""pixel_xy"":[1180.710986,472.360677],""world_xy_yaw"":[0.857994,0.78852,0.367592],""pnp_valid"":true,""pnp_camera_xyz"":[1.146858,0.284334,1.234261],""pnp_camera_quat_xyzw"":[-0.02707,0.012886,0.181032,0.98302],""pnp_camera_rpy_deg"":[-2.784773,2.013478,20.820296],""pnp_reprojection_error_px"":0.046105},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.042068,""pixel_xy"":[1161.673499,530.769903],""world_xy_yaw"":[0.826011,0.717261,0.361837],""pnp_valid"":true,""pnp_camera_xyz"":[1.095231,0.415843,1.225738],""pnp_camera_quat_xyzw"":[-0.033055,0.01193,0.18125,0.982809],""pnp_camera_rpy_deg"":[-3.47928,2.030527,20.836548],""pnp_reprojection_error_px"":0.006149},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.494736,""pixel_xy"":[1122.608289,483.639068],""world_xy_yaw"":[0.760382,0.77476,0.365167],""pnp_valid"":true,""pnp_camera_xyz"":[1.005526,0.308068,1.23439],""pnp_camera_quat_xyzw"":[-0.027921,0.019851,0.181601,0.982775],""pnp_camera_rpy_deg"":[-2.735631,2.817713,20.87119],""pnp_reprojection_error_px"":0.022213}]",1,0.006149,162.042068,95.92787,,0,,0,,
2026-08-11T15:23:50.594592+00:00,1249226.062481185,camera_relative_target_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001199,13,1786461830.562784195,pool_world,"[1.0996569500506097,-0.20957188856513387,0.9629957304824533]","[0.9827831560710609,-0.18362034252848175,0.011336556013760369,-0.01709738139233116]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001053,13,1,"[15,16,17]","[0.825952,0.717252,0.362888]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.395691,""pixel_xy"":[1180.675769,472.371756],""world_xy_yaw"":[0.857935,0.788506,0.367056],""pnp_valid"":true,""pnp_camera_xyz"":[1.146862,0.284384,1.234347],""pnp_camera_quat_xyzw"":[-0.026433,0.012992,0.180637,0.983109],""pnp_camera_rpy_deg"":[-2.711581,2.011172,20.775226],""pnp_reprojection_error_px"":0.045172},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.602127,""pixel_xy"":[1161.637912,530.776823],""world_xy_yaw"":[0.825952,0.717252,0.362888],""pnp_valid"":true,""pnp_camera_xyz"":[1.095344,0.415961,1.225961],""pnp_camera_quat_xyzw"":[-0.033959,0.011999,0.181644,0.982704],""pnp_camera_rpy_deg"":[-3.579008,2.0585,20.880533],""pnp_reprojection_error_px"":0.007256},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.829926,""pixel_xy"":[1122.634946,483.706239],""world_xy_yaw"":[0.760427,0.774678,0.363434],""pnp_valid"":true,""pnp_camera_xyz"":[1.005437,0.308132,1.234211],""pnp_camera_quat_xyzw"":[-0.028251,0.01969,0.180998,0.98288],""pnp_camera_rpy_deg"":[-2.777889,2.804733,20.800346],""pnp_reprojection_error_px"":0.005452}]",1,0.007256,164.602127,96.183799,,0,,0,,
