host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:24:45.887851+00:00,1245681.355533,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:24:45.939482+00:00,1245681.405962,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3816,190851,1,0,1,1,0,1,0,2263435938,0,60166,1245681355,806,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0228571,224.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:45.991670+00:00,1245681.457912,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3817,190901,1,0,1,1,0,1,0,2263435938,1,36897,1245681407,807,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0228571,224.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:46.043405+00:00,1245681.510147,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3818,190951,1,0,1,1,0,1,0,2263435938,2,64047,1245681459,808,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0228571,224.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:46.094644+00:00,1245681.561725,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3819,191001,1,0,1,1,0,1,0,2263435938,3,15779,1245681511,809,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0248980,244.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:46.146636+00:00,1245681.612913,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3820,191051,1,0,1,1,0,1,0,2263435938,4,41070,1245681562,810,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0248980,244.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:46.198353+00:00,1245681.665088,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3821,191101,1,0,1,1,0,1,0,2263435938,5,26594,1245681614,811,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0266327,261.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:46.262212+00:00,1245681.728543,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3822,191151,1,0,1,1,0,1,0,2263435938,6,57028,1245681665,812,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0266327,261.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:46.313753+00:00,1245681.780663,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3823,191201,1,0,1,1,0,1,0,2263435938,6,57028,1245681665,812,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0281633,276.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:46.365555+00:00,1245681.832056,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3824,191251,1,0,1,1,0,1,0,2263435938,7,23031,1245681729,813,0,-2.2776968,-0.0379698,"[-0.4184523820877075,0.012727010063827038,-0.03384203091263771,0.9075188040733337]","[-0.005583744961768389,0.004147931933403015,-0.037969812750816345]","[-0.0742729976773262,-0.6787689924240112,9.77446460723877]",0.0281633,276.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
