host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:23:04.446668+00:00,1245579.914346,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:23:04.498428+00:00,1245579.964762,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1787,89401,1,0,1,1,0,1,0,770189266,0,6865,1245579914,206,0,-2.4722784,0.0000213,"[-0.32833626866340637,0.008842005394399166,-0.03421202674508095,0.9438996911048889]","[-0.0032258920837193727,0.000867271504830569,2.134537680831272e-05]","[-0.11509600281715393,-0.6896929740905762,9.834125518798828]",0.0725510,711.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.550464+00:00,1245580.016860,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1788,89451,1,0,1,1,0,1,0,770189266,1,40466,1245579965,207,0,-2.4723213,0.0024598,"[-0.32831624150276184,0.008832007646560669,-0.034186024218797684,0.9439076781272888]","[-0.0007856949232518673,0.0021300697699189186,0.0024597973097115755]","[-0.10319200158119202,-0.6871960163116455,9.84382152557373]",0.0725510,711.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.602537+00:00,1245580.068886,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1789,89501,1,0,1,1,0,1,0,770189266,2,34486,1245580017,208,0,-2.4723465,0.0018668,"[-0.32830411195755005,0.008838002569973469,-0.034174010157585144,0.9439123272895813]","[-0.003232332179322839,0.0002665641368366778,0.0018667516997084022]","[-0.10315799713134766,-0.6873419880867004,9.834228515625]",0.0713265,699.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.654372+00:00,1245580.120896,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1790,89551,1,0,1,1,0,1,0,770189266,3,52340,1245580070,209,0,-2.4723969,0.0018778,"[-0.3282802104949951,0.008840005844831467,-0.03417302295565605,0.9439206123352051]","[-0.003236067481338978,-0.0003572514688130468,0.001877817208878696]","[-0.10317900031805038,-0.6897109746932983,9.836661338806152]",0.0713265,699.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.706533+00:00,1245580.172788,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1791,89601,1,0,1,1,0,1,0,770189266,4,54631,1245580121,210,0,-2.4724371,0.0024708,"[-0.3282611668109894,0.008840003982186317,-0.03416601940989494,0.9439274668693542]","[-0.0026204201858490705,0.0008941845735535026,0.0024708453565835953]","[-0.1173200011253357,-0.6756160259246826,9.809906005859375]",0.0706122,692.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.758546+00:00,1245580.224975,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1792,89651,1,0,1,1,0,1,0,770189266,4,54631,1245580121,210,0,-2.4724932,0.0012516,"[-0.32823413610458374,0.008859002962708473,-0.03417601436376572,0.9439364075660706]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.12460699677467346,-0.6774749755859375,9.843433380126953]",0.0706122,692.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.810642+00:00,1245580.276976,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1793,89701,1,0,1,1,0,1,0,770189266,5,64652,1245580173,211,0,-2.4725330,0.0012590,"[-0.3282153606414795,0.008858009241521358,-0.03417403623461723,0.9439430236816406]","[-0.004453329835087061,-0.00035711185773834586,0.001258975942619145]","[-0.1270260065793991,-0.682237982749939,9.84587287902832]",0.0706122,692.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.862641+00:00,1245580.329060,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1794,89751,1,0,1,1,0,1,0,770189266,6,7116,1245580226,212,0,-2.4725666,0.0018594,"[-0.3281991481781006,0.008869003504514694,-0.034201011061668396,0.9439475536346436]","[-0.004450502339750528,0.00027443558792583644,0.0018593691056594253]","[-0.1341949999332428,-0.6846110224723816,9.8458251953125]",0.0679592,666.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:23:04.914662+00:00,1245580.381056,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1795,89801,1,0,1,1,0,1,0,770189266,7,24811,1245580278,213,0,-2.4726124,0.0036790,"[-0.3281770944595337,0.008885002695024014,-0.03422301262617111,0.9439542889595032]","[-0.005058575421571732,0.0009253387106582522,0.0036789793521165848]","[-0.1294109970331192,-0.6822270154953003,9.845845222473145]",0.0679592,666.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
