host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:23:46.343382+00:00,1245621.811060,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:23:46.395173+00:00,1245621.861479,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2625,131301,1,0,1,1,0,1,0,1673247511,0,48539,1245621811,406,0,-2.4749870,-0.0048850,"[-0.3270670473575592,0.008548001758754253,-0.034668006002902985,0.9443263411521912]","[-0.0019930091220885515,0.0020453862380236387,-0.004884984809905291]","[-0.11729499697685242,-0.6904889941215515,9.781339645385742]",0.0985714,966.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.447125+00:00,1245621.913614,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2626,131351,1,0,1,1,0,1,0,1673247511,1,61258,1245621862,407,0,-2.4748642,-0.0048629,"[-0.3271251618862152,0.008543004281818867,-0.03463701531291008,0.9443074464797974]","[-0.0020004790276288986,0.0007977027562446892,-0.004862871486693621]","[-0.0909309983253479,-0.6911590099334717,9.745668411254883]",0.0985714,966.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.499190+00:00,1245621.965505,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2627,131401,1,0,1,1,0,1,0,1673247511,2,59357,1245621914,408,0,-2.4747441,-0.0060858,"[-0.3271820843219757,0.008538004010915756,-0.034621015191078186,0.9442883133888245]","[-0.001998663879930973,0.0007822915213182569,-0.006085788831114769]","[-0.09568800032138824,-0.6887320280075073,9.74557876586914]",0.0911224,893.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.551204+00:00,1245622.017614,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2628,131451,1,0,1,1,0,1,0,1673247511,3,8273,1245621966,409,0,-2.4746478,-0.0048481,"[-0.32722729444503784,0.008547007106244564,-0.034612033516168594,0.9442728757858276]","[-0.0013951290166005492,0.0001699427084531635,-0.00484812306240201]","[-0.09325599670410156,-0.6815639734268188,9.743102073669434]",0.0911224,893.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.603210+00:00,1245622.069542,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2629,131501,1,0,1,1,0,1,0,1673247511,4,19032,1245622018,410,0,-2.4745336,-0.0042404,"[-0.32728126645088196,0.008548007346689701,-0.034599028527736664,0.9442546367645264]","[-0.0020051042083650827,0.00018158406601287425,-0.004240364767611027]","[-0.08369900286197662,-0.686601996421814,9.731291770935059]",0.0911224,893.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.655324+00:00,1245622.121632,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2630,131551,1,0,1,1,0,1,0,1673247511,5,12671,1245622070,411,0,-2.4744394,-0.0060587,"[-0.3273252844810486,0.008562006987631321,-0.03461003303527832,0.9442388415336609]","[2.663372470124159e-05,-6.258751091081649e-05,-0.006058718543499708]","[-0.05017700046300888,-0.6856769919395447,9.697280883789062]",0.0958163,939.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.707422+00:00,1245622.173729,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2631,131601,1,0,1,1,0,1,0,1673247511,5,12671,1245622070,411,0,-2.4743738,-0.0048186,"[-0.3273552358150482,0.008593006059527397,-0.03459902107715607,0.9442285895347595]","[-0.0007947531412355602,-0.001289606443606317,-0.004818627145141363]","[-0.04703899845480919,-0.6937099695205688,9.697434425354004]",0.0958163,939.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.758600+00:00,1245622.225787,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2632,131651,1,0,1,1,0,1,0,1673247511,6,48150,1245622122,412,0,-2.4742625,-0.0060895,"[-0.3274080753326416,0.008587002754211426,-0.03460001200437546,0.9442102909088135]","[-0.00077675876673311,0.0013982531381770968,-0.006089453585445881]","[-0.01908300071954727,-0.6952139735221863,9.660196304321289]",0.0871429,854.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:23:46.810543+00:00,1245622.276828,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2633,131701,1,0,1,1,0,1,0,1673247511,7,65124,1245622174,413,0,-2.4741473,-0.0048481,"[-0.32746222615242004,0.00859700608998537,-0.03461902588605881,0.9441906809806824]","[-0.0032261190935969353,-0.00044209189945831895,-0.004848140757530928]","[-0.009534000419080257,-0.6903740167617798,9.665032386779785]",0.0871429,854.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
