host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:24:12.675618+00:00,1245648.143238,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:24:12.726824+00:00,1245648.193713,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3152,157651,1,0,1,1,0,1,0,930012056,0,63938,1245648143,606,0,-2.3066144,0.0171642,"[-0.4053153097629547,0.011395009234547615,-0.03377802297472954,0.9134816527366638]","[0.00040329323383048177,0.0010595894418656826,0.017164161428809166]","[-0.0575219988822937,-0.6864659786224365,9.748381614685059]",0.0398980,391.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:12.778547+00:00,1245648.245153,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3153,157701,1,0,1,1,0,1,0,930012056,1,54329,1245648194,607,0,-2.3065743,0.0159191,"[-0.4053342044353485,0.011378004215657711,-0.03377501666545868,0.9134736061096191]","[0.0004125609702896327,0.0022918442264199257,0.015919148921966553]","[-0.06474100053310394,-0.683696985244751,9.769847869873047]",0.0446939,438.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:12.830489+00:00,1245648.296893,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3154,157751,1,0,1,1,0,1,0,930012056,2,3868,1245648246,608,0,-2.3063984,0.0183833,"[-0.4054163694381714,0.011327010579407215,-0.0337730310857296,0.9134378433227539]","[-0.002038579434156418,0.00046691051102243364,0.018383342772722244]","[-0.08393199741840363,-0.7028160095214844,9.772308349609375]",0.0446939,438.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:12.882656+00:00,1245648.348955,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3155,157801,1,0,1,1,0,1,0,930012056,3,13300,1245648297,609,0,-2.3062911,0.0171752,"[-0.4054661691188812,0.01130200456827879,-0.03373701497912407,0.9134173393249512]","[-0.0014314143918454647,-0.00017627824854571372,0.01717519201338291]","[-0.10064499825239182,-0.6977450251579285,9.784035682678223]",0.0480612,471.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:12.934683+00:00,1245648.401087,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3156,157851,1,0,1,1,0,1,0,930012056,4,49152,1245648350,610,0,-2.3061967,0.0159781,"[-0.40550947189331055,0.011294011026620865,-0.03371703624725342,0.9133989810943604]","[-0.0008280015899799764,-0.0014433175092563033,0.01597810536623001]","[-0.1013989970088005,-0.6905369758605957,9.783121109008789]",0.0480612,471.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:12.986570+00:00,1245648.453092,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3157,157901,1,0,1,1,0,1,0,930012056,5,29589,1245648402,611,0,-2.3061223,0.0165785,"[-0.4055432081222534,0.011303005740046501,-0.033700019121170044,0.9133844971656799]","[-0.0008251742110587656,-0.0008117526886053383,0.016578499227762222]","[-0.09826400130987167,-0.6903560161590576,9.79594898223877]",0.0405102,397.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.038219+00:00,1245648.504843,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3158,157951,1,0,1,1,0,1,0,930012056,6,5147,1245648454,612,0,-2.3060882,0.0159597,"[-0.405558317899704,0.011317008174955845,-0.033670030534267426,0.9133787751197815]","[-0.0020424367394298315,-0.0008115955861285329,0.015959657728672028]","[-0.10539399832487106,-0.6855130195617676,9.795793533325195]",0.0405102,397.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.090346+00:00,1245648.556606,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3159,158001,1,0,1,1,0,1,0,930012056,7,31295,1245648505,613,0,-2.3060825,0.0147257,"[-0.4055602550506592,0.011335008777678013,-0.033669017255306244,0.9133777022361755]","[-0.0020368865225464106,-0.00020319122995715588,0.014725692570209503]","[-0.09818799793720245,-0.6808450222015381,9.788612365722656]",0.0405102,397.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.145428+00:00,1245648.612591,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3160,158051,1,0,1,1,0,1,0,930012056,8,62431,1245648557,614,0,-2.3060770,0.0159080,"[-0.4055624008178711,0.011347010731697083,-0.03366203233599663,0.9133768677711487]","[-0.0032456666231155396,0.0016916081076487899,0.015908047556877136]","[-0.07423000037670135,-0.6740319728851318,9.769597053527832]",0.0413265,405.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.197289+00:00,1245648.663654,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3161,158101,1,0,1,1,0,1,0,930012056,9,40459,1245648613,615,0,-2.3060720,0.0147183,"[-0.40556445717811584,0.011355012655258179,-0.03368403762578964,0.9133750200271606]","[-0.0032550564501434565,-0.00019531979341991246,0.014718309044837952]","[-0.07184500247240067,-0.6789640188217163,9.762500762939453]",0.0413265,405.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T14:24:13.249306+00:00,1245648.715706,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3162,158151,1,0,1,1,0,1,0,930012056,10,40716,1245648664,616,0,-2.3060188,0.0171494,"[-0.4055882692337036,0.011372006498277187,-0.033703021705150604,0.9133635759353638]","[-0.002033046679571271,0.0010753321694210172,0.017149396240711212]","[-0.07430700212717056,-0.7032269835472107,9.748435020446777]",0.0394898,387.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.301323+00:00,1245648.767717,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3163,158201,1,0,1,1,0,1,0,930012056,11,22656,1245648716,617,0,-2.3059454,0.0178051,"[-0.40562140941619873,0.011390010826289654,-0.03372202813625336,0.9133479595184326]","[-0.002048877067863941,-0.0014123029541224241,0.017805080860853195]","[-0.08636000007390976,-0.7026219964027405,9.784271240234375]",0.0394898,387.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.353315+00:00,1245648.819745,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3164,158251,1,0,1,1,0,1,0,930012056,12,44612,1245648768,618,0,-2.3058803,0.0171862,"[-0.40565037727355957,0.01141201052814722,-0.03374403342604637,0.9133340120315552]","[-0.0032661566510796547,-0.0014121459098532796,0.01718624122440815]","[-0.09352800250053406,-0.7049940228462219,9.784223556518555]",0.0336735,330.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.405326+00:00,1245648.871739,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3165,158301,1,0,1,1,0,1,0,930012056,12,44612,1245648768,618,0,-2.3057714,0.0184091,"[-0.405699223279953,0.011440005153417587,-0.03375301882624626,0.9133115410804749]","[-0.00326795456930995,-0.0013967347331345081,0.018409138545393944]","[-0.04075799882411957,-0.7015979886054993,9.708016395568848]",0.0336735,330.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.457318+00:00,1245648.923737,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3166,158351,1,0,1,1,0,1,0,930012056,13,54627,1245648820,619,0,-2.3056979,0.0171789,"[-0.4057314097881317,0.01148501131683588,-0.03377503529191017,0.9132959246635437]","[-0.004484327044337988,-0.0014042918337509036,0.017178857699036598]","[-0.040766000747680664,-0.7064819931983948,9.703291893005371]",0.0330612,324.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.509325+00:00,1245648.975727,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3167,158401,1,0,1,1,0,1,0,930012056,14,22538,1245648872,620,0,-2.3056192,0.0184128,"[-0.4057663083076477,0.011521008796989918,-0.033811021596193314,0.9132786393165588]","[-0.002658869605511427,-0.0014006616547703743,0.018412839621305466]","[-0.04083799943327904,-0.7135519981384277,9.71298885345459]",0.0330612,324.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.560737+00:00,1245649.027758,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3168,158451,1,0,1,1,0,1,0,930012056,15,43641,1245648924,621,0,-2.3055627,0.0172010,"[-0.4057902693748474,0.011577007360756397,-0.03385701775550842,0.9132655262947083]","[-0.004491796717047691,-0.002651975490152836,0.017200971022248268]","[-0.0407320000231266,-0.7115499973297119,9.686574935913086]",0.0264286,259.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.612566+00:00,1245649.078975,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3169,158501,1,0,1,1,0,1,0,930012056,16,45768,1245648976,622,0,-2.3054953,0.0159264,"[-0.40581947565078735,0.011627014726400375,-0.03388304263353348,0.9132509231567383]","[-0.0056932116858661175,-0.000164165670867078,0.01592644490301609]","[-0.04557500034570694,-0.7087559700012207,9.710467338562012]",0.0264286,259.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.677829+00:00,1245649.144162,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3171,158601,1,0,1,1,0,1,0,930012056,18,43745,1245649080,624,0,-2.3054249,0.0159559,"[-0.40584808588027954,0.011740002781152725,-0.0339520089328289,0.9132342338562012]","[-0.004482511896640062,-0.0014197032433003187,0.015955939888954163]","[-0.07442999631166458,-0.7199169993400574,9.758275985717773]",0.0173469,170.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.729874+00:00,1245649.196161,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3172,158651,1,0,1,1,0,1,0,930012056,19,47247,1245649145,625,0,-2.3053970,0.0172047,"[-0.4058593213558197,0.011785008944571018,-0.033955030143260956,0.9132285714149475]","[-0.00022071434068493545,-0.001431815791875124,0.017204705625772476]","[-0.0815730020403862,-0.7076380252838135,9.772405624389648]",0.0130612,128.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.781486+00:00,1245649.248333,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3173,158701,1,0,1,1,0,1,0,930012056,20,44460,1245649197,626,0,-2.3053589,0.0172010,"[-0.4058753252029419,0.011828008107841015,-0.03396002948284149,0.9132207036018372]","[-0.0032711310777813196,-0.0022439348977059126,0.01720098778605461]","[-0.07757300138473511,-0.705299973487854,9.769216537475586]",0.0130612,128.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:24:13.833578+00:00,1245649.299819,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3174,158751,1,0,1,1,0,1,0,930012056,21,5386,1245649249,627,0,-2.3053367,0.0159412,"[-0.4058842957019806,0.01186300814151764,-0.033977024257183075,0.9132156372070312]","[-0.0032568718306720257,-0.00017989108164329082,0.015941210091114044]","[-0.08630900084972382,-0.6979209780693054,9.777005195617676]",0.0130612,128.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
