host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T09:24:21.469394+00:00,1227656.937017039,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29435,4256511,,,,,,,,,,,,"[0.5158987641334534,-0.035330984741449356,-0.01427899394184351,0.8558015823364258]","[0.03186618909239769,-0.05767957121133804,-0.07212132215499878]","[-0.49345600605010986,-0.5736380219459534,9.75290584564209]",,,0.231261149,2266.35938,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fb72fff24000f111043f39b710bd71f269bcd0155b3f1f86023d6a416cbd58b493bd44a6fcbef1d912bfe70b1c41b9cf6c3ec0a50d45030100a00000000000000000000000000000000000000000000000000000000000000000453c,2,98,0,0,0
2026-08-11T09:24:21.480022+00:00,1227656.947791746,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29436,4256521,,,,,,,,,,,,"[0.516252338886261,-0.03498496860265732,-0.014303985051810741,0.8556021451950073]","[0.03001086786389351,-0.06267391890287399,-0.07326684892177582]","[-0.48389700055122375,-0.5614590048789978,9.765630722045898]",,,0.231261149,2266.35938,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fc7209f340001d29043f664c0fbd435b6abcbe085b3f5ad9f53c2f5b80bdee0c96bd59c1f7bec7bb0fbf06401c41b9cf6c3ec0a50d45030100a000000000000000000000000000000000000000000000000000000000000000009638,4,196,0,0,0
2026-08-11T09:24:21.489671+00:00,1227656.957408665,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29437,4256531,,,,,,,,,,,,"[0.5166081190109253,-0.03462497144937515,-0.014350987039506435,0.8554012179374695]","[0.02632829174399376,-0.06765647232532501,-0.07442343980073929]","[-0.46957001090049744,-0.5615990161895752,9.76099967956543]",,,0.231261149,2266.35938,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fd7213f340006e40043fead20dbd67206bbc93fb5a3f6eaed73c7a8f8abd516b98bd7b6bf0bef4c40fbf0e2d1c41b9cf6c3ec0a50d45030100a000000000000000000000000000000000000000000000000000000000000000004475,6,294,0,0,0
2026-08-11T09:24:21.500074+00:00,1227656.967795518,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29438,4256541,,,,,,,,,,,,"[0.5169661045074463,-0.03425298258662224,-0.014434990473091602,0.8551985025405884]","[0.021418141201138496,-0.07451808452606201,-0.0767771527171135]","[-0.46950599551200867,-0.5594130158424377,9.746574401855469]",,,0.234157369,2294.74243,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fe721df34000e457043fdb4c0cbdbd806cbc4aee5a3f1975af3cf09c98bd573d9dbd1763f0beb1350fbff8f11b41f3c66f3ee16b0f45030100a000000000000000000000000000000000000000000000000000000000000000003dce,8,392,0,0,0
2026-08-11T09:24:21.509651+00:00,1227656.977060915,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29439,4256551,,,,,,,,,,,,"[0.5173333883285522,-0.033862993121147156,-0.014550999738276005,0.8549898862838745]","[0.018338436260819435,-0.08054431527853012,-0.0779116228222847]","[-0.4409579932689667,-0.5756300091743469,9.743942260742188]",,,0.234157369,2294.74243,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ff7227f34000f66f043fecb30abd51676ebc9ee05a3f7d3a963c6bf4a4bd21909fbd3fc5e1be7d5c13bf30e71b41f3c66f3ee16b0f45030100a000000000000000000000000000000000000000000000000000000000000000003371,10,490,0,0,0
2026-08-11T09:24:21.521617+00:00,1227656.989257015,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29440,4256561,,,,,,,,,,,,"[0.5177053809165955,-0.03345297649502754,-0.014694987796247005,0.8547784090042114]","[0.015876511111855507,-0.08511883020401001,-0.07906819880008698]","[-0.4410879909992218,-0.5734270215034485,9.783089637756348]",,,0.234157369,2294.74243,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400007331f340005788043ffd0509bd3fc370bcc2d25a3f750f823cc852aebd82eea1bd49d6e1be1dcc12bf89871c41f3c66f3ee16b0f45030100a0000000000000000000000000000000000000000000000000000000000000000067ba,12,588,0,0,0
2026-08-11T09:24:21.530006+00:00,1227656.997748208,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29441,4256571,,,,,,,,,,,,"[0.5180869102478027,-0.0330219641327858,-0.014867980033159256,0.8545609712600708]","[0.013399887830018997,-0.09262773394584656,-0.08200754225254059]","[-0.4195239841938019,-0.5616459846496582,9.773569107055664]",,,0.234157369,2294.74243,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540001733bf3400058a1043f0a4207bdd49873bc82c45a3f348b5b3c9cb3bdbd92f3a7bdd9cbd6be08c80fbf8a601c41f3c66f3ee16b0f45030100a000000000000000000000000000000000000000000000000000000000000000001d27,14,686,0,0,0
2026-08-11T09:24:21.539341+00:00,1227657.007089300,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29442,4256581,,,,,,,,,,,,"[0.518473744392395,-0.03257296606898308,-0.015068983659148216,0.8543400764465332]","[0.012150825932621956,-0.09825758635997772,-0.08374974876642227]","[-0.4028320014476776,-0.5740060210227966,9.75715160369873]",,,0.237289533,2325.4375,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400027345f34000b2ba043f3b6b05bde6e376bc08b65a3f4214473c463bc9bdfd84abbdff3fcebe0ff212bf4b1d1c4107fc723e00571145030100a000000000000000000000000000000000000000000000000000000000000000009582,16,784,0,0,0
2026-08-11T09:24:21.550009+00:00,1227657.017755469,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29443,4256591,,,,,,,,,,,,"[0.5188677906990051,-0.03210997208952904,-0.015294985845685005,0.854114294052124]","[0.00847568642348051,-0.10221067070960999,-0.08574005216360092]","[-0.40913599729537964,-0.5709409713745117,9.74583911895752]",,,0.237289533,2325.4375,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540003734ff3400085d4043fbf8503bdd2977abc3ca75a3f9bdd0a3cd453d1bd7b98afbd467ad1be302912bff5ee1b4107fc723e00571145030100a0000000000000000000000000000000000000000000000000000000000000000050b5,18,882,0,0,0
2026-08-11T09:24:21.560573+00:00,1227657.028322638,depth_down_10cm_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,29444,4256601,,,,,,,,,,,,"[0.5192663073539734,-0.031628984957933426,-0.015534994192421436,0.8538856506347656]","[0.007836650125682354,-0.10763391107320786,-0.08727844059467316]","[-0.3907409906387329,-0.5526329874992371,9.742582321166992]",,,0.237289533,2325.4375,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400047359f34000a3ee043f658d01bd7d867ebc40985a3f4b65003c2b6fdcbd0abfb2bd340fc8be5b790dbf9ee11b4107fc723e00571145030100a000000000000000000000000000000000000000000000000000000000000000004fb3,20,980,0,0,0
