host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T14:44:01.767872+00:00,18617.051264201,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:44:01.821749+00:00,18617.103646005,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17115,13963000,1,0,0,1,0,2773552616,0,51730,3966,0,53,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.06622434,20249,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:44:01.871708+00:00,18617.153654573,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17116,13963050,1,0,0,1,0,2773552616,1,10888,3967,0,50,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.06622434,20249,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:44:01.921762+00:00,18617.203720031,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17117,13963100,1,0,0,1,0,2773552616,2,62157,3968,0,50,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.05765319,20165,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000190,4,1,"[15,16]","[0.604416,0.648329,-0.212408]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.723679,""pixel_xy"":[1016.248344,524.635419],""world_xy_yaw"":[0.581697,0.724745,-0.200752],""pnp_valid"":true,""pnp_camera_xyz"":[0.751615,0.396327,1.224208],""pnp_camera_quat_xyzw"":[-0.032341,-0.005873,-0.092081,0.995209],""pnp_camera_rpy_deg"":[-3.629293,-1.011082,-10.540393],""pnp_reprojection_error_px"":0.116008},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.151237,""pixel_xy"":[1029.771184,587.271616],""world_xy_yaw"":[0.604416,0.648329,-0.212408],""pnp_valid"":true,""pnp_camera_xyz"":[0.7795,0.535472,1.217566],""pnp_camera_quat_xyzw"":[-0.03529,-0.002115,-0.093484,0.994993],""pnp_camera_rpy_deg"":[-4.004464,-0.619239,-10.713234],""pnp_reprojection_error_px"":0.062403}]",1,0.062403,119.151237,90.745374,,0,,0,,
2026-08-12T14:44:01.971653+00:00,18617.253618456,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17118,13963150,1,0,0,1,0,2773552616,3,58195,3969,0,50,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.05765319,20165,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",208,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001731,6,1,[16],"[0.604386,0.648303,-0.212245]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.483459,""pixel_xy"":[1029.753334,587.292884],""world_xy_yaw"":[0.604386,0.648303,-0.212245],""pnp_valid"":true,""pnp_camera_xyz"":[0.779044,0.535222,1.216875],""pnp_camera_quat_xyzw"":[-0.035351,-0.002389,-0.09352,0.994987],""pnp_camera_rpy_deg"":[-4.008529,-0.651249,-10.716241],""pnp_reprojection_error_px"":0.055267}]",1,0.055267,119.483459,87.887958,,0,,0,,
2026-08-12T14:44:02.021643+00:00,18617.303637322,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17119,13963200,1,0,0,1,0,2773552616,4,54646,3970,0,50,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.06224489,20210,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",223,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002477,7,1,"[15,16]","[0.6044,0.648282,-0.212288]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":99.451675,""pixel_xy"":[1016.222741,524.653367],""world_xy_yaw"":[0.581654,0.724723,-0.201976],""pnp_valid"":true,""pnp_camera_xyz"":[0.752199,0.396759,1.22529],""pnp_camera_quat_xyzw"":[-0.03264,-0.005283,-0.092578,0.995156],""pnp_camera_rpy_deg"":[-3.669103,-0.948796,-10.59935],""pnp_reprojection_error_px"":0.130903},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":120.542374,""pixel_xy"":[1029.761868,587.309521],""world_xy_yaw"":[0.6044,0.648282,-0.212288],""pnp_valid"":true,""pnp_camera_xyz"":[0.779886,0.535872,1.218239],""pnp_camera_quat_xyzw"":[-0.035932,-0.001621,-0.093351,0.994983],""pnp_camera_rpy_deg"":[-4.083167,-0.569204,-10.699447],""pnp_reprojection_error_px"":0.06262}]",1,0.06262,120.542374,89.159173,,0,,0,,
2026-08-12T14:44:02.069452+00:00,18617.352301993,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17120,13963250,1,0,0,1,0,2773552616,5,63805,3971,0,48,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.06224489,20210,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",208,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000724,9,1,"[15,16]","[0.604307,0.648255,-0.212584]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":98.70842,""pixel_xy"":[1016.128337,524.723931],""world_xy_yaw"":[0.581496,0.724637,-0.202056],""pnp_valid"":true,""pnp_camera_xyz"":[0.75107,0.396332,1.223706],""pnp_camera_quat_xyzw"":[-0.031403,-0.005451,-0.093379,0.99512],""pnp_camera_rpy_deg"":[-3.52535,-0.957649,-10.692008],""pnp_reprojection_error_px"":0.108985},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":120.729736,""pixel_xy"":[1029.706768,587.331628],""world_xy_yaw"":[0.604307,0.648255,-0.212584],""pnp_valid"":true,""pnp_camera_xyz"":[0.779423,0.535709,1.21773],""pnp_camera_quat_xyzw"":[-0.035639,-0.001961,-0.093175,0.99501],""pnp_camera_rpy_deg"":[-4.046158,-0.60415,-10.678055],""pnp_reprojection_error_px"":0.062903}]",1,0.062903,120.729736,90.868584,,0,,0,,
2026-08-12T14:44:02.121673+00:00,18617.403636627,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17121,13963300,1,0,0,1,0,2773552616,6,46016,3972,0,52,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.06224489,20210,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002471,10,1,[16],"[0.604216,0.648217,-0.211782]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.922462,""pixel_xy"":[1029.65226,587.363127],""world_xy_yaw"":[0.604216,0.648217,-0.211782],""pnp_valid"":true,""pnp_camera_xyz"":[0.779475,0.535849,1.217974],""pnp_camera_quat_xyzw"":[-0.035874,-0.001477,-0.093344,0.994986],""pnp_camera_rpy_deg"":[-4.078065,-0.552087,-10.699262],""pnp_reprojection_error_px"":0.068724}]",1,0.068724,119.922462,89.62305,,0,,0,,
2026-08-12T14:44:02.169999+00:00,18617.452761069,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17122,13963350,1,0,0,1,0,2773552616,7,51431,3973,0,49,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.0668366,20255,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000983,12,1,[16],"[0.604081,0.648168,-0.213184]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":120.87941,""pixel_xy"":[1029.571813,587.40368],""world_xy_yaw"":[0.604081,0.648168,-0.213184],""pnp_valid"":true,""pnp_camera_xyz"":[0.77897,0.535771,1.217547],""pnp_camera_quat_xyzw"":[-0.035409,-0.001449,-0.093507,0.994988],""pnp_camera_rpy_deg"":[-4.025198,-0.544585,-10.718372],""pnp_reprojection_error_px"":0.076946}]",1,0.076946,120.87941,85.974715,,0,,0,,
2026-08-12T14:44:02.220123+00:00,18617.503216527,depth_scale_0cm_final_return,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,17123,13963400,1,0,0,1,0,2773552616,8,61263,3974,0,50,"[-0.3008602559566498,0.006922006607055664,-0.036409031599760056,0.9529478549957275]","[-0.004466350190341473,-0.00221319985575974,0.0025150543078780174]","[-0.09351100027561188,-0.7444329857826233,9.722434043884277]",-2.5302906,0.00251505431,2.0668366,20255,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002108,13,1,[16],"[0.603956,0.648159,-0.211762]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.793137,""pixel_xy"":[1029.497843,587.41053],""world_xy_yaw"":[0.603956,0.648159,-0.211762],""pnp_valid"":true,""pnp_camera_xyz"":[0.779682,0.536407,1.218909],""pnp_camera_quat_xyzw"":[-0.036312,-0.000318,-0.093435,0.994963],""pnp_camera_rpy_deg"":[-4.140412,-0.425067,-10.714277],""pnp_reprojection_error_px"":0.06769}]",1,0.06769,119.793137,89.54148,,0,,0,,
