host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T14:32:06.411457+00:00,17901.694846620,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:32:06.461364+00:00,17901.744438212,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2808,13247650,1,0,0,1,0,2201725267,0,2694,3156,0,50,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.03244901,19918,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:32:06.514174+00:00,17901.796306727,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2809,13247700,1,0,0,1,0,2201725267,1,14078,3157,0,53,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.03244901,19918,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:32:06.563145+00:00,17901.846211700,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2810,13247750,1,0,0,1,0,2201725267,2,50221,3158,0,49,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.03244901,19918,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000071,4,1,"[15,16]","[0.456226,0.864113,0.033861]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":107.195183,""pixel_xy"":[941.563325,410.398932],""world_xy_yaw"":[0.456226,0.864113,0.033861],""pnp_valid"":true,""pnp_camera_xyz"":[0.59509,0.141854,1.249371],""pnp_camera_quat_xyzw"":[-0.027598,-0.008133,0.016659,0.999447],""pnp_camera_rpy_deg"":[-3.178254,-0.878789,1.934272],""pnp_reprojection_error_px"":0.101988},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":85.096634,""pixel_xy"":[941.079282,472.612006],""world_xy_yaw"":[0.455413,0.788213,0.036207],""pnp_valid"":true,""pnp_camera_xyz"":[0.58657,0.281036,1.234042],""pnp_camera_quat_xyzw"":[-0.033665,-0.003757,0.016849,0.999284],""pnp_camera_rpy_deg"":[-3.86521,-0.365172,1.944244],""pnp_reprojection_error_px"":0.085064}]",1,0.101988,107.195183,91.605548,,0,,0,,
2026-08-12T14:32:06.612281+00:00,17901.895166300,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2811,13247800,1,0,0,1,0,2201725267,3,12292,3159,0,49,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.02469397,19842,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000775,6,1,"[15,16]","[0.456359,0.864237,0.031909]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":108.430725,""pixel_xy"":[941.642053,410.297744],""world_xy_yaw"":[0.456359,0.864237,0.031909],""pnp_valid"":true,""pnp_camera_xyz"":[0.594748,0.141435,1.248368],""pnp_camera_quat_xyzw"":[-0.026681,-0.010314,0.016415,0.999456],""pnp_camera_rpy_deg"":[-3.077241,-1.131192,1.912271],""pnp_reprojection_error_px"":0.069792},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":83.966621,""pixel_xy"":[941.233233,472.491215],""world_xy_yaw"":[0.455672,0.788361,0.035576],""pnp_valid"":true,""pnp_camera_xyz"":[0.586146,0.280366,1.232428],""pnp_camera_quat_xyzw"":[-0.031458,-0.004397,0.016748,0.999355],""pnp_camera_rpy_deg"":[-3.613485,-0.443151,1.934208],""pnp_reprojection_error_px"":0.074614}]",1,0.069792,108.430725,91.301513,,0,,0,,
2026-08-12T14:32:06.662052+00:00,17901.944928603,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2812,13247850,1,0,0,1,0,2201725267,4,6050,3160,0,50,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.02469397,19842,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001154,7,1,"[15,16]","[0.456326,0.864351,0.032231]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":108.332085,""pixel_xy"":[941.622353,410.20382],""world_xy_yaw"":[0.456326,0.864351,0.032231],""pnp_valid"":true,""pnp_camera_xyz"":[0.594779,0.141284,1.248435],""pnp_camera_quat_xyzw"":[-0.025483,-0.009955,0.016069,0.999497],""pnp_camera_rpy_deg"":[-2.938775,-1.093379,1.870194],""pnp_reprojection_error_px"":0.095135},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":83.88588,""pixel_xy"":[941.268637,472.429911],""world_xy_yaw"":[0.455731,0.788436,0.035621],""pnp_valid"":true,""pnp_camera_xyz"":[0.586395,0.280321,1.232812],""pnp_camera_quat_xyzw"":[-0.031193,-0.004358,0.016905,0.999361],""pnp_camera_rpy_deg"":[-3.583065,-0.438632,1.95191],""pnp_reprojection_error_px"":0.072259}]",1,0.095135,108.332085,90.821011,,0,,0,,
2026-08-12T14:32:06.712780+00:00,17901.995437731,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2813,13247900,1,0,0,1,0,2201725267,5,60635,3161,0,51,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.01857138,19782,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001043,9,1,"[15,16]","[0.456263,0.864473,0.032101]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":111.522583,""pixel_xy"":[941.584955,410.103954],""world_xy_yaw"":[0.456263,0.864473,0.032101],""pnp_valid"":true,""pnp_camera_xyz"":[0.594557,0.140953,1.247981],""pnp_camera_quat_xyzw"":[-0.024516,-0.011062,0.015276,0.999521],""pnp_camera_rpy_deg"":[-2.829156,-1.224177,1.781478],""pnp_reprojection_error_px"":0.08651},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.72773,""pixel_xy"":[941.36173,472.333858],""world_xy_yaw"":[0.455888,0.788553,0.032156],""pnp_valid"":true,""pnp_camera_xyz"":[0.587139,0.280332,1.234095],""pnp_camera_quat_xyzw"":[-0.030284,-0.004847,0.016144,0.999399],""pnp_camera_rpy_deg"":[-3.479422,-0.499129,1.866102],""pnp_reprojection_error_px"":0.029367}]",1,0.08651,111.522583,91.081635,,0,,0,,
2026-08-12T14:32:06.762048+00:00,17902.044928662,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2814,13247950,1,0,0,1,0,2201725267,6,61551,3162,0,49,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.01857138,19782,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001152,10,1,"[15,16]","[0.456246,0.864494,0.032894]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":110.154846,""pixel_xy"":[941.575191,410.086792],""world_xy_yaw"":[0.456246,0.864494,0.032894],""pnp_valid"":true,""pnp_camera_xyz"":[0.594526,0.140831,1.248002],""pnp_camera_quat_xyzw"":[-0.025046,-0.011626,0.015927,0.999492],""pnp_camera_rpy_deg"":[-2.891769,-1.285938,1.858359],""pnp_reprojection_error_px"":0.053246},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":84.371567,""pixel_xy"":[941.378796,472.283058],""world_xy_yaw"":[0.455916,0.788615,0.032111],""pnp_valid"":true,""pnp_camera_xyz"":[0.587801,0.280494,1.235425],""pnp_camera_quat_xyzw"":[-0.031326,-0.004239,0.016087,0.999371],""pnp_camera_rpy_deg"":[-3.597743,-0.427756,1.857908],""pnp_reprojection_error_px"":0.017857}]",1,0.053246,110.154846,89.609872,,0,,0,,
2026-08-12T14:32:06.814145+00:00,17902.096303292,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2815,13248000,1,0,0,1,0,2201725267,7,7253,3163,0,52,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.02010202,19797,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",254,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001568,12,1,"[15,16]","[0.456276,0.864631,0.030792]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":109.086906,""pixel_xy"":[941.592758,409.974331],""world_xy_yaw"":[0.456276,0.864631,0.030792],""pnp_valid"":true,""pnp_camera_xyz"":[0.594644,0.140673,1.248324],""pnp_camera_quat_xyzw"":[-0.025623,-0.010791,0.01562,0.999491],""pnp_camera_rpy_deg"":[-2.956004,-1.190128,1.821359],""pnp_reprojection_error_px"":0.063206},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":85.85482,""pixel_xy"":[941.397217,472.207863],""world_xy_yaw"":[0.455947,0.788706,0.03081],""pnp_valid"":true,""pnp_camera_xyz"":[0.587863,0.280305,1.235467],""pnp_camera_quat_xyzw"":[-0.031058,-0.004589,0.015513,0.999387],""pnp_camera_rpy_deg"":[-3.567427,-0.470278,1.793266],""pnp_reprojection_error_px"":0.011429}]",1,0.063206,109.086906,89.527233,,0,,0,,
2026-08-12T14:32:06.864184+00:00,17902.146361477,depth_scale_0cm_return_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,2816,13248050,1,0,0,1,0,2201725267,8,4043,3164,0,50,"[0.583436131477356,-0.015980994328856468,0.0319569893181324,-0.8113727569580078]","[-0.003241931553930044,0.0023154409136623144,0.015896983444690704]","[-0.07882200181484222,-0.6600180268287659,9.740550994873047]",-1.89516926,0.0158969834,2.02010202,19797,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",254,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002277,13,1,"[15,16]","[0.456245,0.86467,0.030431]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":108.568985,""pixel_xy"":[941.574333,409.942707],""world_xy_yaw"":[0.456245,0.86467,0.030431],""pnp_valid"":true,""pnp_camera_xyz"":[0.594897,0.140646,1.24898],""pnp_camera_quat_xyzw"":[-0.026735,-0.009521,0.015478,0.999477],""pnp_camera_rpy_deg"":[-3.080901,-1.043056,1.802507],""pnp_reprojection_error_px"":0.050723},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":86.412735,""pixel_xy"":[941.397133,472.130918],""world_xy_yaw"":[0.455947,0.7888,0.031739],""pnp_valid"":true,""pnp_camera_xyz"":[0.588086,0.280267,1.235925],""pnp_camera_quat_xyzw"":[-0.03273,-0.004105,0.015799,0.999331],""pnp_camera_rpy_deg"":[-3.758288,-0.410823,1.824992],""pnp_reprojection_error_px"":0.02113}]",1,0.050723,108.568985,88.015375,,0,,0,,
