host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T14:37:54.305463+00:00,18249.588830463,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:37:54.359082+00:00,18249.641075323,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,0,1,0.000000,9765,13595500,1,0,0,1,0,2201725267,404,50426,3560,0,,"[-0.2886173129081726,0.011742012575268745,-0.043230049312114716,0.9563960433006287]","[-0.008272127248346806,-0.02778249979019165,0.0017233905382454395]","[0.046769000589847565,-0.8661929965019226,9.670665740966797]",-2.55553389,0.00172339054,21.8869381,214492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001661,2,0,[],null,[],0,,,96.667468,,0,,0,,
2026-08-12T14:37:54.406032+00:00,18249.689059847,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9766,13595550,1,0,0,1,0,1364408998,0,4894,3561,0,101,"[-0.28875020146369934,0.012431007809937,-0.04317702725529671,0.9563496112823486]","[-0.005821755155920982,-0.025295143947005272,0.0023053705226629972]","[0.06827399879693985,-0.8590760231018066,9.670808792114258]",-2.55519271,0.00230537052,21.8869381,214492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000906,3,0,[],null,[],0,,,96.868139,,0,,0,,
2026-08-12T14:37:54.457191+00:00,18249.739726670,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9767,13595600,1,0,0,1,0,1364408998,1,47787,3562,0,98,"[-0.2888980507850647,0.013043004088103771,-0.04314500838518143,0.9562982320785522]","[-0.011073346249759197,-0.0202471986413002,0.004019266460090876]","[0.05858699977397919,-0.8526620268821716,9.72017765045166]",-2.55482674,0.00401926646,21.8942852,214564,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001018,5,0,[],null,[],0,,,95.204096,,0,,0,,
2026-08-12T14:37:54.507407+00:00,18249.790127825,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9768,13595650,1,0,0,1,0,1364408998,2,39978,3563,0,101,"[-0.2890492379665375,0.013573011383414268,-0.04326404258608818,0.9562397599220276]","[-0.015517461113631725,-0.01582062430679798,0.006360573228448629]","[0.02745799906551838,-0.8651160001754761,9.735196113586426]",-2.55446076,0.00636057323,21.8942852,214564,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001718,6,0,[],null,[],0,,,92.8318,,0,,0,,
2026-08-12T14:37:54.556751+00:00,18249.839516152,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9769,13595700,1,0,0,1,0,1364408998,3,37021,3564,0,100,"[-0.28918027877807617,0.014086013659834862,-0.0435030423104763,0.9561818838119507]","[-0.02223530225455761,-0.019558964297175407,0.003329041413962841]","[0.013003000058233738,-0.8742679953575134,9.761551856994629]",-2.55413771,0.00332904141,21.8942852,214564,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000818,8,0,[],null,[],0,,,89.624581,,0,,0,,
2026-08-12T14:37:54.607983+00:00,18249.891013372,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9770,13595750,1,0,0,1,0,1364408998,4,62580,3565,0,101,"[-0.2893032431602478,0.014771012589335442,-0.043757036328315735,0.9561227560043335]","[-0.01740468479692936,-0.02709965780377388,0.0016569283325225115]","[0.031982000917196274,-0.90836101770401,9.740680694580078]",-2.55381393,0.00165692833,21.8942852,214564,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002378,9,0,[],null,[],0,,,90.201804,,0,,0,,
2026-08-12T14:37:54.656090+00:00,18249.939067452,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9771,13595800,1,0,0,1,0,1364408998,5,9835,3566,0,99,"[-0.28934502601623535,0.015084002166986465,-0.04380499944090843,0.9561030864715576]","[-0.01070290058851242,-0.0269401166588068,0.0012862379662692547]","[0.04724700003862381,-0.9107549786567688,9.69371509552002]",-2.55369592,0.00128623797,21.8942852,214564,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000603,11,0,[],null,[],0,,,88.32439,,0,,0,,
2026-08-12T14:37:54.707477+00:00,18249.989989241,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9772,13595850,1,0,0,1,0,1364408998,6,34068,3567,0,99,"[-0.2895202338695526,0.016128012910485268,-0.0435270331799984,0.9560456871986389]","[0.009397916495800018,-0.026641160249710083,0.0024198293685913086]","[0.12062299996614456,-0.895691990852356,9.65275764465332]",-2.55322742,0.00241982937,21.8737755,214363,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001604,12,0,[],null,[],0,,,87.265477,,0,,0,,
2026-08-12T14:37:54.758996+00:00,18250.040994291,depth_scale_20cm_outbound,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,9773,13595900,1,0,0,1,0,1364408998,7,64627,3568,0,103,"[-0.2896351218223572,0.016602009534835815,-0.04304702579975128,0.9560245275497437]","[0.013105607591569424,-0.017938705161213875,0.0016757255652919412]","[0.13980700075626373,-0.871616005897522,9.659821510314941]",-2.55294275,0.00167572557,21.8737755,214363,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001633,14,0,[],null,[],0,,,88.366409,,0,,0,,
