host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T15:05:16.234917+00:00,19891.518279020,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:05:16.288941+00:00,19891.570731347,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20014,1000751,1,0,0,1,0,4109400159,0,25760,1421,0,54,"[-0.44982942938804626,0.007790007628500462,-0.03806803748011589,0.8922688364982605]","[0.1022408977150917,-0.049198392778635025,0.14220477640628815]","[-0.15321199595928192,-0.7413870096206665,9.745691299438477]",-2.2084465,0.142204776,0.313491702,3072.21875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:05:16.338485+00:00,19891.620478306,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20015,1000801,1,0,0,1,0,4109400159,1,25549,1422,0,49,"[-0.44982942938804626,0.007790007628500462,-0.03806803748011589,0.8922688364982605]","[0.1022408977150917,-0.049198392778635025,0.14220477640628815]","[-0.15321199595928192,-0.7413870096206665,9.745691299438477]",-2.2084465,0.142204776,0.312909752,3066.51562,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:05:16.388334+00:00,19891.670343708,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20016,1000851,1,0,0,1,0,4109400159,2,43531,1423,0,50,"[-0.44982942938804626,0.007790007628500462,-0.03806803748011589,0.8922688364982605]","[0.1022408977150917,-0.049198392778635025,0.14220477640628815]","[-0.15321199595928192,-0.7413870096206665,9.745691299438477]",-2.2084465,0.142204776,0.312909752,3066.51562,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000147,4,0,[],null,[],0,,,91.398448,,0,,0,,
2026-08-12T15:05:16.438339+00:00,19891.720383350,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20017,1000901,1,0,0,1,0,4109400159,3,47573,1424,0,50,"[-0.3899102807044983,-0.0026070019230246544,-0.047261033207178116,0.9196355938911438]","[0.01598959043622017,0.01973632350564003,-0.011208190582692623]","[-0.3481679856777191,-0.8078330159187317,9.692453384399414]",-2.34134746,-0.0112081906,0.312283963,3060.38281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001630,6,0,[],null,[],0,,,95.24798,,0,,0,,
2026-08-12T15:05:16.488345+00:00,19891.770380845,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20018,1000951,1,0,0,1,0,4109400159,4,21809,1425,0,50,"[-0.38972917199134827,-0.0029140019323676825,-0.04714302346110344,0.9197174310684204]","[0.014357899315655231,0.01849912852048874,-0.011195921339094639]","[-0.3576259911060333,-0.7933819890022278,9.690533638000488]",-2.34175515,-0.0111959213,0.312283963,3060.38281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001623,8,0,[],null,[],0,,,94.493456,,0,,0,,
2026-08-12T15:05:16.535802+00:00,19891.818832595,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20019,1001001,1,0,0,1,0,4109400159,5,37341,1426,0,48,"[-0.38912731409072876,-0.003760002786293626,-0.04705404117703438,0.9199737906455994]","[-0.00026265461929142475,0.018177639693021774,-0.011277182959020138]","[-0.46764299273490906,-0.7882999777793884,9.77874755859375]",-2.34310865,-0.011277183,0.312283963,3060.38281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000896,9,0,[],null,[],0,,,93.569583,,0,,0,,
2026-08-12T15:05:16.586118+00:00,19891.869144337,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20020,1001051,1,0,0,1,0,4109400159,6,8993,1427,0,50,"[-0.3889491558074951,-0.003968001343309879,-0.04712902009487152,0.9200443625450134]","[-0.0018812207272276282,0.019451240077614784,-0.010086240246891975]","[-0.4724929928779602,-0.7977780103683472,9.786828994750977]",-2.34350967,-0.0100862402,0.311672509,3054.39062,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000681,11,0,[],null,[],0,,,91.538529,,0,,0,,
2026-08-12T15:05:16.636627+00:00,19891.919790559,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20021,1001101,1,0,0,1,0,4109400159,7,3050,1428,0,51,"[-0.38851118087768555,-0.004419001284986734,-0.04751801863312721,0.9202073812484741]","[-0.011643352918326855,0.017034238204360008,-0.008878193795681]","[-0.5090619921684265,-0.792701005935669,9.792731285095215]",-2.34449911,-0.0088781938,0.311672509,3054.39062,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001729,12,0,[],null,[],0,,,90.715628,,0,,0,,
2026-08-12T15:05:16.686182+00:00,19891.969025113,depth_scale_fixed_10cm_outbound_static,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,20022,1001151,1,0,0,1,0,4109400159,8,34330,1429,0,49,"[-0.388241171836853,-0.004616002086549997,-0.04788301885128021,0.9203014373779297]","[-0.01652170531451702,0.015802595764398575,-0.010108528658747673]","[-0.43726199865341187,-0.8055750131607056,9.707388877868652]",-2.34510899,-0.0101085287,0.311672509,3054.39062,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000771,14,0,[],null,[],0,,,87.625525,,0,,0,,
