host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T14:04:01.836641+00:00,16217.120053918,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:04:01.887239+00:00,16217.170254626,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34651,11563000,1,0,0,1,0,553225720,0,59686,1531,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.89785707,18599,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",239,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:04:01.939410+00:00,16217.221501538,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34652,11563050,1,0,0,1,0,553225720,1,64248,1532,0,52,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.89785707,18599,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:04:01.989620+00:00,16217.271728191,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34653,11563100,1,0,0,1,0,553225720,2,29457,1533,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.89785707,18599,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",223,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000202,4,1,"[15,16]","[0.559788,0.62998,-0.38212]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":91.879898,""pixel_xy"":[981.46994,540.594712],""world_xy_yaw"":[0.523269,0.705274,-0.345395],""pnp_valid"":true,""pnp_camera_xyz"":[0.671837,0.431313,1.222574],""pnp_camera_quat_xyzw"":[-0.033638,-0.005164,-0.162897,0.986056],""pnp_camera_rpy_deg"":[-3.707933,-1.21148,-18.72197],""pnp_reprojection_error_px"":0.045762},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":114.318672,""pixel_xy"":[1003.206873,602.311668],""world_xy_yaw"":[0.559788,0.62998,-0.38212],""pnp_valid"":true,""pnp_camera_xyz"":[0.709677,0.559946,1.20343],""pnp_camera_quat_xyzw"":[-0.030555,-0.05129,-0.14156,0.988128],""pnp_camera_rpy_deg"":[-2.64471,-6.316066,-16.159572],""pnp_reprojection_error_px"":1.140723}]",1,1.140723,114.318672,87.866129,,0,,0,,
2026-08-12T14:04:02.039396+00:00,16217.321524464,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34654,11563150,1,0,0,1,0,553225720,2,29457,1533,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.89785707,18599,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",208,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001568,6,1,[15],"[0.523198,0.705254,-0.345116]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":91.826447,""pixel_xy"":[981.427113,540.611495],""world_xy_yaw"":[0.523198,0.705254,-0.345116],""pnp_valid"":true,""pnp_camera_xyz"":[0.671244,0.431023,1.221639],""pnp_camera_quat_xyzw"":[-0.033036,-0.006317,-0.162401,0.986151],""pnp_camera_rpy_deg"":[-3.619027,-1.32871,-18.661245],""pnp_reprojection_error_px"":0.044676}]",1,0.044676,91.826447,86.907321,,0,,0,,
2026-08-12T14:04:02.089367+00:00,16217.371504793,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34655,11563200,1,0,0,1,0,553225720,4,20522,1535,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.90091836,18629,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",219,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001584,8,1,"[15,16]","[0.560048,0.630292,-0.401417]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":91.297661,""pixel_xy"":[981.413619,540.613734],""world_xy_yaw"":[0.523175,0.705251,-0.346647],""pnp_valid"":true,""pnp_camera_xyz"":[0.6714,0.4312,1.222051],""pnp_camera_quat_xyzw"":[-0.033087,-0.00596,-0.162807,0.986085],""pnp_camera_rpy_deg"":[-3.630836,-1.290868,-18.709522],""pnp_reprojection_error_px"":0.061595},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":114.582413,""pixel_xy"":[1003.361859,602.055644],""world_xy_yaw"":[0.560048,0.630292,-0.401417],""pnp_valid"":true,""pnp_camera_xyz"":[0.707576,0.558096,1.199823],""pnp_camera_quat_xyzw"":[-0.024172,-0.051425,-0.146569,0.987567],""pnp_camera_rpy_deg"":[-1.883217,-6.237957,-16.781175],""pnp_reprojection_error_px"":1.096831}]",1,1.096831,114.582413,89.00226,,0,,0,,
2026-08-12T14:04:02.138379+00:00,16217.421128182,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34656,11563250,1,0,0,1,0,553225720,4,20522,1535,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.90091836,18629,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",219,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001845,9,1,"[15,16]","[0.559703,0.629901,-0.381373]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":93.066566,""pixel_xy"":[981.396601,540.651377],""world_xy_yaw"":[0.523146,0.705205,-0.346485],""pnp_valid"":true,""pnp_camera_xyz"":[0.67135,0.431234,1.222058],""pnp_camera_quat_xyzw"":[-0.033295,-0.00583,-0.162825,0.986076],""pnp_camera_rpy_deg"":[-3.656829,-1.280153,-18.711717],""pnp_reprojection_error_px"":0.045849},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":118.258812,""pixel_xy"":[1003.156641,602.376183],""world_xy_yaw"":[0.559703,0.629901,-0.381373],""pnp_valid"":true,""pnp_camera_xyz"":[0.708865,0.559474,1.202222],""pnp_camera_quat_xyzw"":[-0.030378,-0.052,-0.140994,0.988177],""pnp_camera_rpy_deg"":[-2.616885,-6.392388,-16.094209],""pnp_reprojection_error_px"":1.1573}]",1,1.1573,118.258812,87.702656,,0,,0,,
2026-08-12T14:04:02.188384+00:00,16217.471452407,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34657,11563300,1,0,0,1,0,553225720,6,50061,1537,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.90091836,18629,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001465,11,1,"[15,16]","[0.559729,0.629991,-0.381783]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":90.269119,""pixel_xy"":[981.340191,540.652602],""world_xy_yaw"":[0.523051,0.705204,-0.345709],""pnp_valid"":true,""pnp_camera_xyz"":[0.671399,0.431344,1.222285],""pnp_camera_quat_xyzw"":[-0.033055,-0.005539,-0.163035,0.986051],""pnp_camera_rpy_deg"":[-3.634827,-1.243554,-18.737372],""pnp_reprojection_error_px"":0.04564},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.702225,""pixel_xy"":[1003.17175,602.302434],""world_xy_yaw"":[0.559729,0.629991,-0.381783],""pnp_valid"":true,""pnp_camera_xyz"":[0.709361,0.559799,1.202959],""pnp_camera_quat_xyzw"":[-0.03004,-0.049059,-0.143088,0.988037],""pnp_camera_rpy_deg"":[-2.612281,-6.058305,-16.342387],""pnp_reprojection_error_px"":1.102119}]",1,1.102119,116.702225,86.394452,,0,,0,,
2026-08-12T14:04:02.239279+00:00,16217.521675737,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34658,11563350,1,0,0,1,0,553225720,7,1889,1538,0,51,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.90091836,18629,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002336,12,1,"[15,16]","[0.559875,0.631326,-0.352555]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":90.929291,""pixel_xy"":[981.333488,540.660167],""world_xy_yaw"":[0.52304,0.705195,-0.344992],""pnp_valid"":true,""pnp_camera_xyz"":[0.67157,0.431496,1.222653],""pnp_camera_quat_xyzw"":[-0.033817,-0.00505,-0.162689,0.986085],""pnp_camera_rpy_deg"":[-3.730531,-1.201108,-18.697927],""pnp_reprojection_error_px"":0.049942},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":110.289192,""pixel_xy"":[1003.258835,601.208295],""world_xy_yaw"":[0.559875,0.631326,-0.352555],""pnp_valid"":true,""pnp_camera_xyz"":[0.719089,0.566187,1.217101],""pnp_camera_quat_xyzw"":[-0.037556,-0.000913,-0.163943,0.985754],""pnp_camera_rpy_deg"":[-4.229383,-0.808643,-18.855249],""pnp_reprojection_error_px"":0.042954}]",1,0.042954,110.289192,87.277814,,0,,0,,
2026-08-12T14:04:02.289550+00:00,16217.571638438,depth_scale_readiness_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,34659,11563400,1,0,0,1,0,553225720,8,25846,1539,0,50,"[0.7771649956703186,-0.025052988901734352,0.02495298720896244,-0.6283026337623596]","[-0.0020167629700154066,0.0009365262812934816,0.006143245380371809]","[-0.15091200172901154,-0.6819819808006287,9.855191230773926]",-1.36000693,0.00614324538,1.90091836,18629,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001605,14,1,[15],"[0.522984,0.705178,-0.347472]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":93.031151,""pixel_xy"":[981.300278,540.673865],""world_xy_yaw"":[0.522984,0.705178,-0.347472],""pnp_valid"":true,""pnp_camera_xyz"":[0.671249,0.43139,1.222222],""pnp_camera_quat_xyzw"":[-0.033095,-0.005147,-0.163738,0.985935],""pnp_camera_rpy_deg"":[-3.645714,-1.202532,-18.820213],""pnp_reprojection_error_px"":0.057688}]",1,0.057688,93.031151,85.584475,,0,,0,,
