host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T14:48:45.377934+00:00,18900.661309034,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.431427+00:00,18900.713395908,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,0,1,0.000000,196,9851,1,0,0,0,0,0,0,0,0,0,,"[0.6331451535224915,-0.011644994840025902,0.014122993685305119,-0.7738166451454163]","[-0.0028358984272927046,-0.0011839616345241666,0.002506467280909419]","[0.02454500086605549,-0.35328999161720276,9.744424819946289]",-1.7700963,0.00250646728,0.00042729592,4.1875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.481330+00:00,18900.763354483,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,197,9901,1,0,0,1,0,4090603382,0,11303,1,0,103,"[0.6331384778022766,-0.01164298877120018,0.014115987345576286,-0.7738222479820251]","[-0.0020151745993644,-0.0003882659657392651,5.0841445045080036e-05]","[0.022909000515937805,-0.3621029853820801,9.74453353881836]",-1.77011371,5.0841445e-05,0.00042729592,4.1875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.529253+00:00,18900.811991205,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,198,9951,1,0,0,1,0,4090603382,1,65192,2,0,98,"[0.633135974407196,-0.011647986248135567,0.014123983681201935,-0.7738240957260132]","[-0.0014013424515724182,0.0008785988320596516,0.001866769278421998]","[0.03484300151467323,-0.36711499094963074,9.735151290893555]",-1.77011991,0.00186676928,0.00042729592,4.1875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.581381+00:00,18900.863370452,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,199,10001,1,0,0,1,0,4090603382,2,60076,3,0,100,"[0.6331473588943481,-0.011647993698716164,0.014134994708001614,-0.7738146185874939]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[0.03715600073337555,-0.37419500946998596,9.744877815246582]",-1.7700907,0.00125162804,0.000462372438,4.53125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.631364+00:00,18900.913369932,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,200,10051,1,0,0,1,0,4090603382,3,63570,4,0,102,"[0.6331444382667542,-0.011652992106974125,0.014150992967188358,-0.7738165855407715]","[-0.0020020497031509876,0.0021225123200565577,0.0012295146007090807]","[0.027594000101089478,-0.38144099712371826,9.740077018737793]",-1.77009785,0.0012295146,0.000462372438,4.53125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.681290+00:00,18900.963338636,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,201,10101,1,0,0,1,0,4090603382,4,3734,5,0,100,"[0.6331442594528198,-0.011651994660496712,0.014156993478536606,-0.7738166451454163]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[0.029969999566674232,-0.38633599877357483,9.73537826538086]",-1.77009833,0.00125162804,0.000445631362,4.3671875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.728699+00:00,18901.011752282,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,202,10151,1,0,0,1,0,4090603382,5,51834,6,0,98,"[0.6331263780593872,-0.011659998446702957,0.014170998707413673,-0.7738309502601624]","[-0.000795643194578588,0.00046649161959066987,0.002489293459802866]","[0.008409000001847744,-0.37680599093437195,9.774971008300781]",-1.77014434,0.00248929346,0.000445631362,4.3671875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T14:48:45.779592+00:00,18901.062284385,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,203,10201,1,0,0,1,0,4090603382,6,51021,7,0,98,"[0.6331154108047485,-0.01167199295014143,0.014175991527736187,-0.7738395929336548]","[-0.004453329835087061,-0.00035711185773834586,0.001258975942619145]","[0.0013229999458417296,-0.37133198976516724,9.7636137008667]",-1.77017188,0.00125897594,0.000407366053,3.9921875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001302,1,0,[],null,[],0,,,92.582716,,0,,0,,
2026-08-12T14:48:45.829790+00:00,18901.112784647,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,204,10251,1,0,0,1,0,4090603382,7,57420,8,0,101,"[0.6331169009208679,-0.01166699081659317,0.014177990145981312,-0.773838460445404]","[-0.0020020497031509876,0.0021225123200565577,0.0012295146007090807]","[-0.017765000462532043,-0.35644498467445374,9.787162780761719]",-1.77016842,0.0012295146,0.000407366053,3.9921875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000120,5,0,[],null,[],0,,,94.339524,,0,,0,,
2026-08-12T14:48:45.881044+00:00,18901.163070372,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,205,10301,1,0,0,1,0,4090603382,8,14336,9,0,102,"[0.6331222057342529,-0.011659985408186913,0.014182981103658676,-0.7738340497016907]","[-0.003238772740587592,-0.0003341258561704308,0.0037121756467968225]","[-0.024932999163866043,-0.35389700531959534,9.794240951538086]",-1.77015483,0.00371217565,0.000407366053,3.9921875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000155,9,0,[],null,[],0,,,92.575022,,0,,0,,
2026-08-12T14:48:45.928816+00:00,18901.211731661,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,206,10351,1,0,0,1,0,4090603382,9,22052,10,0,99,"[0.6331253051757812,-0.01165599375963211,0.01418399065732956,-0.7738315463066101]","[-0.0032295051496475935,0.0008981116116046906,0.002467145211994648]","[-0.03207999840378761,-0.339138001203537,9.813132286071777]",-1.77014697,0.00246714521,0.000387436216,3.796875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000057,13,0,[],null,[],0,,,92.207665,,0,,0,,
2026-08-12T14:48:45.981267+00:00,18901.263263735,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,207,10401,1,0,0,1,0,4090603382,10,19088,11,0,100,"[0.633131742477417,-0.011663987301290035,0.014182984828948975,-0.7738261818885803]","[-0.0024173858109861612,0.0008928755414672196,0.0024720667861402035]","[-0.03283600136637688,-0.3409459888935089,9.799555778503418]",-1.77013004,0.00247206679,0.000387436216,3.796875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000864,16,0,[],null,[],0,,,88.14124,,0,,0,,
2026-08-12T14:48:46.031403+00:00,18901.313399198,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,208,10451,1,0,0,1,0,4090603382,11,13303,12,0,102,"[0.6331348419189453,-0.01166199054569006,0.014198988676071167,-0.7738233804702759]","[-0.0007838798337616026,0.0021146410144865513,0.0012368973111733794]","[-0.02959899976849556,-0.34120500087738037,9.783604621887207]",-1.77012205,0.00123689731,0.000368303561,3.609375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001566,18,0,[],null,[],0,,,89.715109,,0,,0,,
2026-08-12T14:48:46.081280+00:00,18901.363299690,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,209,10501,1,0,0,1,0,4090603382,12,23038,13,0,100,"[0.6331325769424438,-0.01164998672902584,0.014209985733032227,-0.7738252282142639]","[-0.0032295051496475935,0.0008981116116046906,0.002467145211994648]","[-0.020044000819325447,-0.33967000246047974,9.782093048095703]",-1.77012861,0.00246714521,0.000368303561,3.609375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001575,20,0,[],null,[],0,,,87.367016,,0,,0,,
2026-08-12T14:48:46.131286+00:00,18901.413354609,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,210,10551,1,0,0,1,0,4090603382,13,8633,14,0,100,"[0.6331321001052856,-0.011642999947071075,0.014198998920619488,-0.773826003074646]","[-0.001404169830493629,0.00024705135729163885,0.0012663761153817177]","[-0.01285099983215332,-0.3374069929122925,9.774945259094238]",-1.7701304,0.00126637612,0.000368303561,3.609375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002309,21,0,[],null,[],0,,,89.019826,,0,,0,,
2026-08-12T14:48:46.181246+00:00,18901.463304602,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,211,10601,1,0,0,1,0,4090603382,14,36901,15,0,100,"[0.6331352591514587,-0.011638995260000229,0.014188993722200394,-0.773823618888855]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[0.0038999998942017555,-0.34510400891304016,9.748865127563477]",-1.77012217,0.00124424533,0.000293367368,2.875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002277,22,0,[],null,[],0,,,89.456471,,0,,0,,
2026-08-12T14:48:46.230964+00:00,18901.513151819,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,212,10651,1,0,0,1,0,4090603382,15,1541,16,0,100,"[0.6331391334533691,-0.011636994779109955,0.01417799387127161,-0.773820698261261]","[-0.0007922573713585734,0.0008746717940084636,0.0018704694230109453]","[0.015752999112010002,-0.3620699942111969,9.744451522827148]",-1.7701124,0.00187046942,0.000293367368,2.875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001452,24,0,[],null,[],0,,,87.771194,,0,,0,,
2026-08-12T14:48:46.280498+00:00,18901.563403281,depth_unit_postflash_air,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,213,10701,1,0,0,1,0,4090603382,16,35417,17,0,99,"[0.6331412196159363,-0.011631990782916546,0.014162986539304256,-0.7738193273544312]","[-0.0011930373730137944,0.0017065132269635797,0.0016494409646838903]","[0.013372000306844711,-0.36125698685646057,9.744414329528809]",-1.77010715,0.00164944096,0.000317283149,3.109375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002297,25,0,[],null,[],0,,,86.458825,,0,,0,,
