host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T13:52:43.346899+00:00,1243758.814795793,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:52:43.397979+00:00,1243758.865861569,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000104,1,1786456363.374504805,finsrov_overhead_camera,"[0.9599227621062841,0.4998450791805742,1.2209817288167486]","[-0.036904713991588824,-0.003272512385977232,-0.1312295014512226,0.9906594524339564]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",,0,0,[],0,,,,,0,,0,,
2026-08-11T13:52:43.447375+00:00,1243758.915235461,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049478,1,1786456363.374504805,finsrov_overhead_camera,"[0.9599227621062841,0.4998450791805742,1.2209817288167486]","[-0.036904713991588824,-0.003272512385977232,-0.1312295014512226,0.9906594524339564]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000192,1,1,"[15,16]",1,0.056566,139.383408,92.524878,,0,,0,,
2026-08-11T13:52:43.497282+00:00,1243758.965163731,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099406,1,1786456363.374504805,finsrov_overhead_camera,"[0.9599227621062841,0.4998450791805742,1.2209817288167486]","[-0.036904713991588824,-0.003272512385977232,-0.1312295014512226,0.9906594524339564]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050120,1,1,"[15,16]",1,0.056566,139.383408,92.524878,0.000190,1,air,1,0.15654,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.546933+00:00,1243759.014792575,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149035,1,1786456363.374504805,finsrov_overhead_camera,"[0.9599227621062841,0.4998450791805742,1.2209817288167486]","[-0.036904713991588824,-0.003272512385977232,-0.1312295014512226,0.9906594524339564]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099749,1,1,"[15,16]",1,0.056566,139.383408,92.524878,0.049819,1,air,1,0.15654,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.597994+00:00,1243759.065865053,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000103,2,1786456363.406592846,finsrov_overhead_camera,"[0.9594407432836872,0.49955909965424866,1.220334636902377]","[-0.03666212260869091,-0.0037028157500263864,-0.1310600541609115,0.9906893762046132]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150821,1,1,"[15,16]",1,0.056566,139.383408,92.524878,0.100891,1,air,1,0.15654,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.647368+00:00,1243759.115249998,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049488,2,1786456363.406592846,finsrov_overhead_camera,"[0.9594407432836872,0.49955909965424866,1.220334636902377]","[-0.03666212260869091,-0.0037028157500263864,-0.1310600541609115,0.9906893762046132]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000262,2,1,"[15,16]",1,0.032935,140.846695,91.172492,0.150276,1,air,1,0.15654,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.697139+00:00,1243759.165024325,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099263,2,1786456363.406592846,finsrov_overhead_camera,"[0.9594407432836872,0.49955909965424866,1.220334636902377]","[-0.03666212260869091,-0.0037028157500263864,-0.1310600541609115,0.9906893762046132]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.050036,2,1,"[15,16]",1,0.032935,140.846695,91.172492,0.000161,2,air,1,0.145523,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.746874+00:00,1243759.214736193,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.148975,2,1786456363.406592846,finsrov_overhead_camera,"[0.9594407432836872,0.49955909965424866,1.220334636902377]","[-0.03666212260869091,-0.0037028157500263864,-0.1310600541609115,0.9906893762046132]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.099748,2,1,"[15,16]",1,0.032935,140.846695,91.172492,0.049873,2,air,1,0.145523,air_pinhole_pose_pressure_depth_z
2026-08-11T13:52:43.797960+00:00,1243759.265819375,m1_positive_direction,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000100,3,1786456363.437488794,finsrov_overhead_camera,"[0.9597609022168782,0.4997357874252694,1.2207187697787931]","[-0.03680681003061423,-0.003514998573547985,-0.13114244242720477,0.9906737925849384]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.150832,2,1,"[15,16]",1,0.032935,140.846695,91.172492,0.100956,2,air,1,0.145523,air_pinhole_pose_pressure_depth_z
