host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T13:52:44.705468+00:00,1243760.173112,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T13:52:44.756301+00:00,1243760.223573,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62540,3127050,1,0,1,1,0,1,0,1083569519,0,2173,1243760173,7879,0,-1.7451075,0.0012369,"[0.6425368785858154,-0.020811982452869415,0.029510974884033203,-0.7654034495353699]","[-0.002614869736135006,0.0015026063192635775,0.0012368799652904272]","[-0.13184799253940582,-0.701678991317749,9.83171272277832]",0.2736735,2682.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:44.807306+00:00,1243760.274521,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62541,3127100,1,0,1,1,0,1,0,1083569519,1,9606,1243760224,7880,0,-1.7451253,0.0012221,"[0.6425294280052185,-0.020830988883972168,0.029525985941290855,-0.7654085755348206]","[-0.003220220096409321,0.0021303663961589336,0.001222131890244782]","[-0.12945400178432465,-0.696806013584137,9.836464881896973]",0.2795918,2740.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:44.858523+00:00,1243760.325495,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62542,3127150,1,0,1,1,0,1,0,1083569519,2,30781,1243760274,7881,0,-1.7451197,0.0012442,"[0.6425314545631409,-0.02083398960530758,0.029556982219219208,-0.7654055953025818]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[-0.1342409998178482,-0.696711003780365,9.841205596923828]",0.2795918,2740.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:44.909496+00:00,1243760.376726,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62543,3127200,1,0,1,1,0,1,0,1083569519,3,49073,1243760326,7882,0,-1.7451088,0.0012295,"[0.6425354480743408,-0.020838987082242966,0.02956998348236084,-0.7654016017913818]","[-0.0020020497031509876,0.0021225123200565577,0.0012295146007090807]","[-0.1318259984254837,-0.6894689798355103,9.843526840209961]",0.2797959,2742.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:44.960435+00:00,1243760.427716,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62544,3127250,1,0,1,1,0,1,0,1083569519,4,29072,1243760377,7883,0,-1.7451231,0.0000263,"[0.6425300240516663,-0.020835991948843002,0.029581986367702484,-0.7654057145118713]","[-0.002413772977888584,0.0008620180888101459,2.6267205612384714e-05]","[-0.11899500340223312,-0.6916450262069702,9.810121536254883]",0.2797959,2742.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.011499+00:00,1243760.478713,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62545,3127300,1,0,1,1,0,1,0,1083569519,5,20971,1243760428,7884,0,-1.7451289,0.0006476,"[0.6425279974937439,-0.020831981673836708,0.029585976153612137,-0.765407383441925]","[-0.000790442165452987,0.0008592430385760963,0.0006475695408880711]","[-0.1269329935312271,-0.6974040269851685,9.798120498657227]",0.2806122,2750.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",191,1,1
2026-08-11T13:52:45.062483+00:00,1243760.529736,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62546,3127350,1,0,1,1,0,1,0,1083569519,6,30570,1243760479,7885,0,-1.7451868,0.0018963,"[0.6425055265426636,-0.020838987082242966,0.02957398071885109,-0.765426516532898]","[-0.0020216326229274273,-0.0009889734210446477,0.0018962654285132885]","[-0.1269499957561493,-0.6924099922180176,9.810041427612305]",0.2806122,2750.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",191,1,1
2026-08-11T13:52:45.113428+00:00,1243760.580703,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62547,3127400,1,0,1,1,0,1,0,1083569519,7,46326,1243760530,7886,0,-1.7452075,0.0012480,"[0.6424972414970398,-0.02085198648273945,0.02958698198199272,-0.7654326558113098]","[-0.0007876147283241153,0.001490807975642383,0.0012479628203436732]","[-0.12688599526882172,-0.6902250051498413,9.79561710357666]",0.2835714,2779.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",191,1,1
2026-08-11T13:52:45.164536+00:00,1243760.631586,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,62548,3127450,1,0,1,1,0,1,0,1083569519,8,11413,1243760581,7887,0,-1.7452109,0.0000250,"[0.6424962282180786,-0.020842989906668663,0.029588984325528145,-0.765433669090271]","[-0.0026167896576225758,0.0008633271208964288,2.5028020900208503e-05]","[-0.11973899602890015,-0.6803789734840393,9.812345504760742]",0.2835714,2779.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.215871+00:00,1243760.682758,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,0,1,0.000000,62549,3127500,1,0,1,1,0,1,0,1083569519,9,10248,1243760632,7888,0,-1.7452308,0.0012541,"[0.6424883604049683,-0.020850976929068565,0.029582971706986427,-0.7654402852058411]","[-0.0028241174295544624,0.0004641703562811017,0.0012540713651105762]","[-0.1077369973063469,-0.6873250007629395,9.781400680541992]",0.2856123,2799.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.266960+00:00,1243760.734151,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62550,3127550,2,1,1,1,0,1,0,1083569519,10,35369,1243760683,7889,0,-1.7452524,0.0012553,"[0.6424800753593445,-0.020849980413913727,0.029580973088741302,-0.7654473185539246]","[-0.0014004347613081336,0.000870884396135807,0.001255328068509698]","[-0.08383099734783173,-0.6983349919319153,9.750654220581055]",0.2856123,2799.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.317968+00:00,1243760.785224,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62551,3127600,2,1,1,1,0,1,0,1083569519,11,45921,1243760734,7890,0,-1.7442371,0.0507311,"[0.642862856388092,-0.021038975566625595,0.029673965647816658,-0.7651171088218689]","[-0.02098688669502735,-0.002121622208505869,0.050731122493743896]","[0.019972000271081924,-0.8341280221939087,9.871386528015137]",0.2856123,2799.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.368885+00:00,1243760.836146,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62552,3127650,2,1,1,1,0,1,0,1083569519,12,47681,1243760785,7891,0,-1.7404925,0.0972199,"[0.6442831158638,-0.021434983238577843,0.03003697842359543,-0.7638964056968689]","[-0.02533417008817196,-0.0040033841505646706,0.09721988439559937]","[0.021611999720335007,-0.7329490184783936,9.565266609191895]",0.2844898,2788.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1212.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.420050+00:00,1243760.887094,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62553,3127700,2,1,1,1,0,1,0,1083569519,13,59536,1243760836,7892,0,-1.7347139,0.1247794,"[0.646474301815033,-0.021912988275289536,0.0305319856852293,-0.7620095610618591]","[-0.027220819145441055,-0.00676376186311245,0.12477944046258926]","[-0.11785999685525894,-0.7643219828605652,9.83039379119873]",0.2844898,2788.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.472140+00:00,1243760.938391,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62554,3127750,2,1,1,1,0,1,0,1083569519,13,59536,1243760836,7892,0,-1.7286555,0.1211735,"[0.6487703323364258,-0.022279977798461914,0.030847972258925438,-0.7600322961807251]","[-0.020522907376289368,-0.008100980892777443,0.12117346376180649]","[-0.08625400066375732,-0.7104610204696655,9.743607521057129]",0.2943878,2885.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[662.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.524389+00:00,1243760.990613,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62555,3127800,2,1,1,1,0,1,0,1083569519,14,6435,1243760887,7893,0,-1.7226076,0.1248238,"[0.6510579586029053,-0.022597992792725563,0.031127989292144775,-0.7580527663230896]","[-0.019301457330584526,-0.0066069443710148335,0.12482377141714096]","[-0.07441599667072296,-0.7347409725189209,9.732905387878418]",0.2943878,2885.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.576107+00:00,1243761.042894,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62556,3127850,2,1,1,1,0,1,0,1083569519,15,18146,1243760939,7894,0,-1.7163693,0.1284962,"[0.6534128189086914,-0.02288099378347397,0.03135998919606209,-0.7560057640075684]","[-0.01564614288508892,-0.005544544663280249,0.1284961998462677]","[-0.05292600020766258,-0.7521659731864929,9.701425552368164]",0.2961224,2902.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.627988+00:00,1243761.094467,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62557,3127900,2,1,1,1,0,1,0,1083569519,16,19168,1243760991,7895,0,-1.7098501,0.1346218,"[0.6558684706687927,-0.02313198335468769,0.03157998248934746,-0.7538595795631409]","[-0.013827929273247719,-0.005479234736412764,0.13462182879447937]","[-0.043435998260974884,-0.7569109797477722,9.70880126953125]",0.2961224,2902.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[612.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.679624+00:00,1243761.146410,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62558,3127950,2,1,1,1,0,1,0,1083569519,17,7201,1243761043,7896,0,-1.7029996,0.1413552,"[0.6584434509277344,-0.023334985598921776,0.031761981546878815,-0.7515975832939148]","[-0.012619707733392715,-0.005402265582233667,0.14135517179965973]","[-0.060127999633550644,-0.7642340064048767,9.696722030639648]",0.3058163,2997.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:52:45.731765+00:00,1243761.197972,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62559,3128000,2,1,1,1,0,1,0,1083569519,18,31663,1243761095,7897,0,-1.6957784,0.1493262,"[0.6611524820327759,-0.02346198633313179,0.03190597891807556,-0.7492055296897888]","[-0.008976943790912628,-0.005325627978891134,0.14932620525360107]","[-0.06255999952554703,-0.7714020013809204,9.699197769165039]",0.3058163,2997.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",253,1,1
2026-08-11T13:52:45.783859+00:00,1243761.250231,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62560,3128050,2,1,1,1,0,1,0,1083569519,19,60015,1243761147,7898,0,-1.6882267,0.1554961,"[0.6639772653579712,-0.02356598526239395,0.03196098282933235,-0.7466976046562195]","[-0.005342680029571056,-0.007143632508814335,0.15549607574939728]","[-0.06497099995613098,-0.7762020230293274,9.699241638183594]",0.3153061,3090.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",253,1,1
2026-08-11T13:52:45.835144+00:00,1243761.302273,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62561,3128100,2,1,1,1,0,1,0,1083569519,20,34517,1243761199,7899,0,-1.6803325,0.1612485,"[0.666921854019165,-0.023623982444405556,0.03192797675728798,-0.7440683841705322]","[-0.0002803696843329817,-0.007936221547424793,0.16124849021434784]","[-0.045862000435590744,-0.7706649899482727,9.700179100036621]",0.3153061,3090.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",253,1,1
2026-08-11T13:52:45.886373+00:00,1243761.353347,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,1,0.0500000,1,1,1,1,1,1,0.000000,62562,3128150,2,1,1,1,0,1,0,1083569519,21,15987,1243761251,7900,0,-1.6721712,0.1666387,"[0.6699569821357727,-0.023629983887076378,0.03179297223687172,-0.7413423657417297]","[0.002529278863221407,-0.012046681717038155,0.16663870215415955]","[-0.007515000179409981,-0.7675409913063049,9.654197692871094]",0.3198979,3135.000,"[1.0,0.05000000074505806,0.0,0.0]","[0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[612.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
