host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T13:56:42.146642+00:00,1243997.614284,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T13:56:42.197853+00:00,1243997.664748,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,1753,3364500,1,0,1,1,0,1,0,1151417564,74,34492,1243913606,8027,0,-0.9333559,-0.0036252,"[0.8925333619117737,-0.030837969854474068,0.01892698183655739,-0.4495275318622589]","[-0.001396926585584879,0.00018535397248342633,-0.0036252234131097794]","[-0.050273001194000244,-0.6869019865989685,9.722084999084473]",0.3614286,3542.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",191,1,1
2026-08-11T13:56:42.249486+00:00,1243997.716144,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1754,3364550,1,0,1,1,0,1,0,258243491,0,36446,1243997614,8028,0,-0.9333457,-0.0048961,"[0.8925346732139587,-0.030833983793854713,0.018911991268396378,-0.4495258033275604]","[-0.001989274052903056,0.0026692368555814028,-0.004896050319075584]","[-0.0598130002617836,-0.6966999769210815,9.707727432250977]",0.3538775,3468.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:56:42.301598+00:00,1243997.767860,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1755,3364600,1,0,1,1,0,1,0,258243491,1,51484,1243997665,8029,0,-0.9333384,-0.0048592,"[0.8925365209579468,-0.0308279599994421,0.018913976848125458,-0.4495224356651306]","[-0.00322238402441144,0.00018174113938584924,-0.004859205801039934]","[-0.059804998338222504,-0.6967359781265259,9.705328941345215]",0.3538775,3468.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:56:42.353368+00:00,1243997.820047,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1756,3364650,1,0,1,1,0,1,0,258243491,2,52792,1243997717,8030,0,-0.9333287,-0.0035957,"[0.8925383687019348,-0.030837969854474068,0.018902981653809547,-0.4495185315608978]","[-0.002017216756939888,-0.0016822181642055511,-0.0035957449581474066]","[-0.05029800161719322,-0.701554000377655,9.707908630371094]",0.3583674,3512.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:56:42.405342+00:00,1243997.871720,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1757,3364700,1,0,1,1,0,1,0,258243491,3,58195,1243997769,8031,0,-0.9333026,-0.0030248,"[0.8925437331199646,-0.03085799142718315,0.018876992166042328,-0.44950783252716064]","[-0.003225089283660054,0.00020486673747655004,-0.003024847712367773]","[0.016645999625325203,-0.7025589942932129,9.663113594055176]",0.3583674,3512.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",252,1,1
2026-08-11T13:56:42.457492+00:00,1243997.923722,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1758,3364750,1,0,1,1,0,1,0,258243491,4,44332,1243997820,8032,0,-0.9332787,-0.0036105,"[0.8925493955612183,-0.030846968293190002,0.018892981112003326,-0.4494965374469757]","[-0.0007915766909718513,-0.00044240610441192985,-0.0036104752216488123]","[0.002365000080317259,-0.7050809860229492,9.650992393493652]",0.3615306,3543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",253,1,1
2026-08-11T13:56:42.509197+00:00,1243997.975969,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1759,3364800,1,0,1,1,0,1,0,258243491,5,64493,1243997872,8033,0,-0.9332457,-0.0048113,"[0.8925570845603943,-0.03083997778594494,0.018895987421274185,-0.44948169589042664]","[-0.0007972315070219338,-0.0017055008793249726,-0.004811261780560017]","[9.999999974752427e-07,-0.7076219916343689,9.641408920288086]",0.3615306,3543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",253,1,1
2026-08-11T13:56:42.561327+00:00,1243998.027552,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1760,3364850,1,0,1,1,0,1,0,258243491,6,40035,1243997924,8034,0,-0.9332417,-0.0036179,"[0.8925576210021973,-0.03084898740053177,0.018897991627454758,-0.4494798183441162]","[-0.0020097466185688972,-0.00043453462421894073,-0.0036178582813590765]","[0.009529000148177147,-0.7051510214805603,9.648677825927734]",0.3615306,3543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",221,1,1
2026-08-11T13:56:42.612932+00:00,1243998.079833,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1761,3364900,1,0,1,1,0,1,0,258243491,7,43067,1243997976,8035,0,-0.9332536,-0.0048518,"[0.8925551176071167,-0.030842997133731842,0.01890300214290619,-0.4494849741458893]","[-0.0020042138639837503,0.0001738697028486058,-0.004851823672652245]","[0.014298999682068825,-0.7051730155944824,9.648733139038086]",0.3559184,3488.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",223,1,1
