host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T08:29:25.668150+00:00,82540.951396,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T08:29:25.719215+00:00,82541.002052,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15142,757150,1,0,1,1,0,1,0,847745876,0,38775,82540951,207,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2116845,2074.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",224,1,1
2026-08-13T08:29:25.771032+00:00,82541.053262,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15143,757200,1,0,1,1,0,1,0,847745876,1,12097,82541002,208,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2116845,2074.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",224,1,1
2026-08-13T08:29:25.822949+00:00,82541.105204,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15144,757250,1,0,1,1,0,1,0,847745876,1,12097,82541002,208,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2116845,2074.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:29:25.875240+00:00,82541.157121,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15145,757300,1,0,1,1,0,1,0,847745876,2,62564,82541054,209,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2117841,2075.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:29:25.927608+00:00,82541.209494,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15146,757350,1,0,1,1,0,1,0,847745876,3,18417,82541106,210,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2117841,2075.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:29:25.979630+00:00,82541.261855,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15147,757400,1,0,1,1,0,1,0,847745876,4,8312,82541158,211,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2119316,2076.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:29:26.071216+00:00,82541.352084,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15149,757500,1,0,1,1,0,1,0,847745876,6,61283,82541262,213,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2119316,2076.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:29:26.122719+00:00,82541.405401,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15150,757550,1,0,1,1,0,1,0,847745876,6,61283,82541262,213,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2119691,2077.297,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:29:26.174946+00:00,82541.456840,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,15151,757600,1,0,1,1,0,1,0,847745876,7,42001,82541354,214,1,-1.0364995,0.0097972,"[0.8682224154472351,-0.028271973133087158,0.020839979872107506,-0.49493053555488586]","[-0.004458530806005001,0.0009985202923417091,0.009797196835279465]","[-0.0858670026063919,-0.6358579993247986,9.744914054870605]",0.2119691,2077.297,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
