host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T08:40:06.611536+00:00,1225002.079163036,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26088,1601601,,,,,,,,,,,,"[0.8853538632392883,-0.030217980965971947,0.018248988315463066,-0.46357569098472595]","[-0.0031801818404346704,0.003100438043475151,-0.020812248811125755]","[-0.036038000136613846,-0.7063210010528564,9.715337753295898]",,,0.211467639,2072.38281,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400e865417018008da6623fb38bf7bce77e953ccb59edbe996a50bbb8304b3b737eaabc959c13bd74d134bf06721b41f98a583e20860145030100a000000000000000000000000000000000000000000000000000000000000000005026,2,98,0,0,0
2026-08-11T08:40:06.620868+00:00,1225002.088614264,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26089,1601611,,,,,,,,,,,,"[0.8853539824485779,-0.030208978801965714,0.018261989578604698,-0.46357569098472595]","[-0.0007326019695028663,0.005174465011805296,-0.020019065588712692]","[-0.0392020009458065,-0.6998189687728882,9.720003128051758]",,,0.211467639,2072.38281,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400e9654b7018008fa6623fd278f7bc2b9a953ccb59edbe160c40ba8f8ea93b06ffa3bc479220bd562733bf22851b41f98a583e20860145030100a00000000000000000000000000000000000000000000000000000000000000000745a,4,196,0,0,0
2026-08-11T08:40:06.631493+00:00,1225002.099125065,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26090,1601621,,,,,,,,,,,,"[0.8853554129600525,-0.030196990817785263,0.01827899180352688,-0.4635728597640991]","[-0.0019545420072972775,0.0043402500450611115,-0.020826978608965874]","[-0.033594001084566116,-0.6967470049858093,9.712825775146484]",,,0.211467639,2072.38281,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ea6555701800a7a6623fae5ff7bcd3bd953c6c59edbec61700bba8388e3b579daabcdd9909bd035e32bfbc671b41f98a583e20860145030100a000000000000000000000000000000000000000000000000000000000000000009f53,6,294,0,0,0
2026-08-11T08:40:06.641584+00:00,1225002.109318960,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26091,1601631,,,,,,,,,,,,"[0.8853573799133301,-0.030192967504262924,0.01829998381435871,-0.4635685384273529]","[-0.002565442118793726,0.004359605722129345,-0.019607780501246452]","[-0.03605100139975548,-0.7087259888648987,9.715373039245605]",,,0.211467639,2072.38281,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400eb655f701800c8a6623f3e57f7bcd9e9953cdb58edbefa2028bb06db8e3b7fa0a0bc37aa13bd116f35bf2b721b41f98a583e20860145030100a00000000000000000000000000000000000000000000000000000000000000000623d,8,392,0,0,0
2026-08-11T08:40:06.651604+00:00,1225002.119276725,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26092,1601641,,,,,,,,,,,,"[0.8853575587272644,-0.030188987031579018,0.018317991867661476,-0.463567852973938]","[-0.001338004251010716,0.005584006663411856,-0.020845409482717514]","[-0.03841499984264374,-0.7014259696006775,9.720036506652832]",,,0.211467639,2072.38281,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ec6569701800cba6623fe54ef7bc9d0f963cc458edbef95fafba0bfab63bfec3aabc0c591dbda79033bf45851b41f98a583e20860145030100a00000000000000000000000000000000000000000000000000000000000000000d104,10,490,0,0,0
2026-08-11T08:40:06.661264+00:00,1225002.128713570,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26093,1601651,,,,,,,,,,,,"[0.8853614926338196,-0.030172966420650482,0.018336979672312737,-0.4635604918003082]","[0.0004874355799984187,0.005587619263678789,-0.019611427560448647]","[-0.03842800110578537,-0.7038310170173645,9.720070838928223]",,,0.211423784,2071.95312,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ed65737018000da7623f4c2df7bc6f37963ccd57edbe7f8eff395918b73b25a8a0bcae661dbd452e34bf69851b417a7f583e407f0145030100a0000000000000000000000000000000000000000000000000000000000000000032f9,12,588,0,0,0
2026-08-11T08:40:06.671433+00:00,1225002.139148020,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26094,1601661,,,,,,,,,,,,"[0.8853634595870972,-0.030157990753650665,0.01836099475622177,-0.4635568857192993]","[-0.0011317937169224024,0.006429898086935282,-0.019636020064353943]","[-0.04874800145626068,-0.6997500061988831,9.721491813659668]",,,0.211423784,2071.95312,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ee657d7018002ea7623fe40df7bccc69963c5457edbeb25894bae5b1d23bb8dba0bcfcab47bdd12233bf3b8b1b417a7f583e407f0145030100a000000000000000000000000000000000000000000000000000000000000000000532,14,686,0,0,0
2026-08-11T08:40:06.681668+00:00,1225002.149377524,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26095,1601671,,,,,,,,,,,,"[0.8853654265403748,-0.030146967619657516,0.018391979858279228,-0.4635525345802307]","[-0.004374039359390736,0.007490604650229216,-0.019674135372042656]","[-0.026412999257445335,-0.6919689774513245,9.712837219238281]",,,0.211423784,2071.95312,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ef65877018004fa7623fc6f6f6bcc7aa963cc256edbe1a548fbbbf73f53ba72ba1bc1360d8bce12431bfc8671b417a7f583e407f0145030100a0000000000000000000000000000000000000000000000000000000000000000076d8,16,784,0,0,0
2026-08-11T08:40:06.691458+00:00,1225002.159139926,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26096,1601681,,,,,,,,,,,,"[0.8853663206100464,-0.030136974528431892,0.018413983285427094,-0.4635505974292755]","[-0.0007307169726118445,0.005595490802079439,-0.019618811085820198]","[-0.03365800157189369,-0.7038530111312866,9.720126152038574]",,,0.211423784,2071.95312,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400f065917018005ea7623fd1e1f6bcecd8963c8156edbe968d3fba615ab73ba1b7a0bcf9dc09bdb62f34bfa3851b417a7f583e407f0145030100a00000000000000000000000000000000000000000000000000000000000000000418b,18,882,0,0,0
2026-08-11T08:40:06.700926+00:00,1225002.168610319,imu_depth_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,26097,1601691,,,,,,,,,,,,"[0.8853703141212463,-0.030121993273496628,0.01844099536538124,-0.4635429084300995]","[-0.001328596961684525,0.00747095188125968,-0.01965567097067833]","[-0.04085500165820122,-0.7085580229759216,9.724910736083984]",,,0.211372763,2071.45312,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400f1659b701800a1a7623f66c2f6bc9211973c7f55edbe5124aebae3cef43bee04a1bc935727bd0f6435bf3c991b411a72583e40770145030100a00000000000000000000000000000000000000000000000000000000000000000b598,20,980,0,0,0
