host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-15T13:54:55.078526+00:00,274870.361740,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T13:54:55.180701+00:00,274870.461558,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7690,384551,1,0,1,1,0,1,0,2952897443,0,45075,274870361,3103,0,2.0643907,-0.0130746,"[0.5125607848167419,-0.019634976983070374,0.02977096475660801,-0.8579099774360657]","[-0.004409818910062313,0.0032059778459370136,-0.013074575923383236]","[0.043338000774383545,-0.6848139762878418,9.783102989196777]",0.2117100,2074.758,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.279524+00:00,274870.561530,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7692,384651,1,0,1,1,0,1,0,2952897443,1,3349,274870463,3104,0,2.0658927,-0.0134380,"[0.5119123458862305,-0.019718999043107033,0.029893998056650162,-0.8582909107208252]","[-0.0044241477735340595,0.0007054795860312879,-0.013437988236546516]","[0.0498339980840683,-0.6821489930152893,9.749552726745605]",0.2119013,2076.633,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.379470+00:00,274870.661531,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7694,384751,1,0,1,1,0,1,0,2952897443,2,45241,274870562,3105,0,2.0670862,-0.0085611,"[0.5113928318023682,-0.019889988005161285,0.03006698563694954,-0.8585905432701111]","[-0.0068677314557135105,0.0007829024107195437,-0.008561136201024055]","[0.05709199979901314,-0.6973839998245239,9.699484825134277]",0.2119332,2076.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.479808+00:00,274870.761538,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7696,384851,1,0,1,1,0,1,0,2952897443,3,45108,274870662,3106,0,2.0677588,-0.0030396,"[0.51109778881073,-0.020041989162564278,0.030241984874010086,-0.8587565422058105]","[-0.007492437027394772,-0.0003914250119123608,-0.0030396480578929186]","[0.035617001354694366,-0.6972489953041077,9.701635360717773]",0.2119563,2077.172,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.580714+00:00,274870.861504,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7698,384951,1,0,1,1,0,1,0,2952897443,4,22099,274870763,3107,0,2.0679891,-0.0000155,"[0.5109943747520447,-0.02015298418700695,0.03047097846865654,-0.858807384967804]","[-0.0056547620333731174,0.0021306807175278664,-1.5533430996583775e-05]","[0.021122999489307404,-0.723459005355835,9.713847160339355]",0.2117323,2074.977,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.678564+00:00,274870.961532,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7699,385001,1,0,1,1,0,1,0,2952897443,5,45962,274870863,3108,0,2.0680280,0.0012221,"[0.5109763741493225,-0.02018297277390957,0.030597960576415062,-0.8588128685951233]","[-0.006882217712700367,0.0009062971803359687,0.0012220795033499599]","[0.004342000000178814,-0.7230150103569031,9.737637519836426]",0.2115458,2073.148,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.779447+00:00,274871.061477,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7702,385151,1,0,1,1,0,1,0,2952897443,6,11840,274870962,3109,0,2.0684943,-0.0048887,"[0.5107759833335876,-0.020171981304883957,0.030934974551200867,-0.8589202165603638]","[-0.006264074239879847,0.0008252440602518618,-0.004888737574219704]","[-0.017361000180244446,-0.7366520166397095,9.78316593170166]",0.2112014,2069.773,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.878854+00:00,274871.161475,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7704,385251,1,0,1,1,0,1,0,2952897443,7,45568,274871062,3110,0,2.0693398,-0.0085759,"[0.5104117393493652,-0.02018897980451584,0.031164968386292458,-0.8591281175613403]","[-0.005642091389745474,0.002022714586928487,-0.008575867861509323]","[-0.029371000826358795,-0.7263889908790588,9.821258544921875]",0.2110013,2067.812,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:55.978957+00:00,274871.261545,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7706,385351,1,0,1,1,0,1,0,2952897443,8,49460,274871162,3111,0,2.0706055,-0.0122077,"[0.509863018989563,-0.020288998261094093,0.03142499923706055,-0.8594419956207275]","[-0.006869772914797068,-0.0005110324127599597,-0.012207739986479282]","[0.008917000144720078,-0.7271149754524231,9.785724639892578]",0.2106808,2064.672,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:56.078817+00:00,274871.361468,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7708,385451,1,0,1,1,0,1,0,2952897443,9,49593,274871262,3112,0,2.0719776,-0.0116037,"[0.5092625617980957,-0.020536992698907852,0.03165498375892639,-0.8597835898399353]","[-0.008088850416243076,-0.0004954466712661088,-0.011603664606809616]","[0.037657998502254486,-0.7228389978408813,9.759608268737793]",0.2106569,2064.438,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T13:54:56.179373+00:00,274871.461474,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7710,385551,1,0,1,1,0,1,0,2952897443,10,25571,274871362,3113,0,2.0732503,-0.0108963,"[0.5087034702301025,-0.0208169836550951,0.0317479744553566,-0.8601043224334717]","[-0.00323947099968791,-0.004262251313775778,-0.010896317660808563]","[0.0663599967956543,-0.7405419945716858,9.712221145629883]",0.2107199,2065.055,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
