host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-15T14:14:13.003361+00:00,276028.286606,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T14:14:13.104274+00:00,276028.386388,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30848,1542451,1,0,1,1,0,1,0,3344533805,0,2488,276028286,11273,0,2.4469004,-0.0012556,"[-0.3403162658214569,0.008429007604718208,-0.0346740297973156,0.9396337270736694]","[0.0012699190992861986,0.005397832486778498,-0.0012555549619719386]","[-0.05655699968338013,-0.660959005355835,9.738422393798828]",0.2090330,2048.523,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.204839+00:00,276028.486392,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30850,1542551,1,0,1,1,0,1,0,3344533805,1,35035,276028387,11274,0,2.4469831,-0.0012679,"[-0.3402861952781677,0.00815400667488575,-0.03460502251982689,0.9396495819091797]","[0.00046029570512473583,0.005818963050842285,-0.0012678594794124365]","[-0.050315000116825104,-0.6965600252151489,9.719826698303223]",0.2091574,2049.742,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.304584+00:00,276028.586398,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30852,1542651,1,0,1,1,0,1,0,3344533805,2,65091,276028488,11275,0,2.4470341,0.0012443,"[-0.34026721119880676,0.008001003414392471,-0.034610018134117126,0.9396575689315796]","[0.0004342728352639824,0.002106769708916545,0.001244280138053]","[-0.05784500017762184,-0.7490419745445251,9.746901512145996]",0.2091884,2050.047,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.403754+00:00,276028.686396,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30854,1542751,1,0,1,1,0,1,0,3344533805,3,874,276028587,11276,0,2.4468431,0.0025262,"[-0.34035536646842957,0.008054008707404137,-0.03461703285574913,0.9396249651908875]","[-0.0008080875268206,-0.0016129636205732822,0.0025261547416448593]","[-0.08728399872779846,-0.734046995639801,9.77432632446289]",0.2090378,2048.570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.505021+00:00,276028.786462,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30856,1542851,1,0,1,1,0,1,0,3344533805,4,16175,276028687,11277,0,2.4463565,0.0050235,"[-0.340576171875,0.008294004946947098,-0.034572020173072815,0.9395444989204407]","[-0.0032704502809792757,-0.005309431813657284,0.005023546516895294]","[-0.10539399832487106,-0.6904339790344238,9.788670539855957]",0.2089413,2047.625,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.604885+00:00,276028.886390,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30858,1542951,1,0,1,1,0,1,0,3344533805,5,21323,276028788,11278,0,2.4458127,0.0050162,"[-0.34082216024398804,0.008592004887759686,-0.03454902023077011,0.9394534826278687]","[-0.004488638136535883,-0.0053015598095953465,0.005016163922846317]","[-0.1005219966173172,-0.6613709926605225,9.802693367004395]",0.2088217,2046.453,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.704558+00:00,276028.986390,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30860,1543051,1,0,1,1,0,1,0,3344533805,6,6435,276028888,11279,0,2.4455004,0.0012885,"[-0.340961217880249,0.008828005753457546,-0.03458302095532417,0.9393995404243469]","[-0.005683944094926119,-0.002428713021799922,0.0012884543975815177]","[-0.08358799666166306,-0.644432008266449,9.761857032775879]",0.2086830,2045.094,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.805463+00:00,276029.086439,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30862,1543151,1,0,1,1,0,1,0,3344533805,7,350,276028987,11280,0,2.4455526,-0.0024318,"[-0.3409341871738434,0.008911003358662128,-0.03469301760196686,0.9394044876098633]","[-0.004440431483089924,0.0008442855905741453,-0.002431836910545826]","[-0.06934099644422531,-0.6794880032539368,9.72895336151123]",0.2086751,2045.016,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T14:14:13.904761+00:00,276029.186396,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,30864,1543251,1,0,1,1,0,1,0,3344533805,8,40957,276029088,11281,0,2.4457586,-0.0013527,"[-0.34084299206733704,0.008760999888181686,-0.03490700200200081,0.9394311308860779]","[-0.006224699784070253,0.008357596583664417,-0.001352717517875135]","[-0.06716399639844894,-0.7204269766807556,9.727181434631348]",0.2086089,2044.367,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
