host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-15T15:39:00.127242+00:00,281115.410567697,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-15T15:39:00.179361+00:00,281115.461995327,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,0,1,0.000000,1520,6629651,2,1,0,1,0,3120867187,77,44304,35529,0,,"[0.9069153666496277,-0.003422999056056142,0.010430997237563133,-0.4211699068546295]","[0.04489884153008461,0.0037759847473353148,0.008206695318222046]","[0.06460200250148773,-0.4312100112438202,9.32863712310791]",-11.6967249,0.00820669532,0.367578924,3602.27344,"[0.0,0.0,0.02285923808813095,0.0]","[0.0,0.0,0.03246592730283737,-0.031762272119522095,0.013252547942101955,0.0,0.0,0.013956204988062382]","[0.0,0.0,600.0,-612.5,312.5,0.0,0.0,337.5]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001025,2,1,"[15,16,17]","[0.065977,0.690379,-2.533328]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":55.271671,""pixel_xy"":[844.195277,535.072394],""world_xy_yaw"":[0.292648,0.712012,-1.402602],""pnp_valid"":true,""pnp_camera_xyz"":[0.402743,0.464659,1.354619],""pnp_camera_quat_xyzw"":[-0.005954,-0.020177,-0.634458,0.772671],""pnp_camera_rpy_deg"":[0.94047,-2.219943,-78.798629],""pnp_reprojection_error_px"":0.194007},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":59.437145,""pixel_xy"":[900.411847,546.285748],""world_xy_yaw"":[0.387092,0.698331,-1.406115],""pnp_valid"":true,""pnp_camera_xyz"":[0.537079,0.485538,1.339352],""pnp_camera_quat_xyzw"":[-0.039915,0.003526,-0.644761,0.763333],""pnp_camera_rpy_deg"":[-3.758656,-2.641639,-80.2866],""pnp_reprojection_error_px"":0.403141},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":130.601242,""pixel_xy"":[709.271812,552.804069],""world_xy_yaw"":[0.065977,0.690379,-2.533328],""pnp_valid"":true,""pnp_camera_xyz"":[0.061458,0.465914,1.239126],""pnp_camera_quat_xyzw"":[-0.00748,0.044624,0.953382,-0.298354],""pnp_camera_rpy_deg"":[5.138151,-0.708499,-145.27754],""pnp_reprojection_error_px"":0.077297}]",1,0.077297,130.601242,84.509967,,0,,0,,
2026-08-15T15:39:00.228884+00:00,281115.511591242,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1521,6629701,1,0,0,1,0,352105750,0,40386,35531,0,102,"[0.9070813059806824,-0.002362999599426985,0.010050999000668526,-0.4208289086818695]","[0.04376142472028732,0.009652107954025269,-0.021260973066091537]","[-0.20239600539207458,-0.1894489973783493,9.636256217956543]",-11.6975002,-0.0212609731,0.368592173,3612.20312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,237.5,400.0,312.5,0.0,0.0,387.5]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001344,3,1,"[15,16,17]","[0.064726,0.689382,-2.534895]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":51.654205,""pixel_xy"":[842.204479,534.748009],""world_xy_yaw"":[0.289303,0.712407,-1.438902],""pnp_valid"":true,""pnp_camera_xyz"":[0.404778,0.472668,1.379714],""pnp_camera_quat_xyzw"":[-0.392905,0.03193,-0.594731,0.700643],""pnp_camera_rpy_deg"":[-40.495651,-24.998988,-71.301736],""pnp_reprojection_error_px"":0.349282},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":59.48111,""pixel_xy"":[898.539495,546.222034],""world_xy_yaw"":[0.383946,0.698409,-1.405386],""pnp_valid"":true,""pnp_camera_xyz"":[0.528778,0.482535,1.330418],""pnp_camera_quat_xyzw"":[-0.021504,-0.008681,-0.641836,0.766491],""pnp_camera_rpy_deg"":[-1.251451,-2.34476,-79.857898],""pnp_reprojection_error_px"":0.257409},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.838608,""pixel_xy"":[708.527351,553.621597],""world_xy_yaw"":[0.064726,0.689382,-2.534895],""pnp_valid"":true,""pnp_camera_xyz"":[0.060019,0.467542,1.239431],""pnp_camera_quat_xyzw"":[-0.010646,0.044584,0.953355,-0.298349],""pnp_camera_rpy_deg"":[5.242029,-0.361161,-145.261877],""pnp_reprojection_error_px"":0.169414}]",1,0.169414,132.838608,84.80975,,0,,0,,
2026-08-15T15:39:00.277903+00:00,281115.560920720,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1522,6629751,1,0,0,1,0,352105750,1,23118,35533,1,99,"[0.9071548581123352,-0.0017549986951053143,0.009988993406295776,-0.42067474126815796]","[-0.0015716342022642493,0.003223623149096966,-0.010203910060226917]","[-0.04119399935007095,-0.06551600247621536,9.87216854095459]",-11.6978493,-0.0102039101,0.368592173,3612.20312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,137.5,237.5,262.5,0.0,0.0,212.5]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000775,4,1,"[15,16,17]","[0.063916,0.688834,-2.53807]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":52.27356,""pixel_xy"":[840.373305,534.68928],""world_xy_yaw"":[0.286227,0.712479,-1.453205],""pnp_valid"":true,""pnp_camera_xyz"":[0.401934,0.47471,1.385605],""pnp_camera_quat_xyzw"":[-0.386982,0.034799,-0.600614,0.698783],""pnp_camera_rpy_deg"":[-39.849628,-24.596119,-72.322607],""pnp_reprojection_error_px"":0.376908},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":60.969822,""pixel_xy"":[897.182674,546.208195],""world_xy_yaw"":[0.381667,0.698426,-1.407432],""pnp_valid"":true,""pnp_camera_xyz"":[0.526585,0.484605,1.335364],""pnp_camera_quat_xyzw"":[-0.033211,-0.000954,-0.638378,0.769005],""pnp_camera_rpy_deg"":[-2.860774,-2.514406,-79.331695],""pnp_reprojection_error_px"":0.112679},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.800537,""pixel_xy"":[708.045451,554.070632],""world_xy_yaw"":[0.063916,0.688834,-2.53807],""pnp_valid"":true,""pnp_camera_xyz"":[0.058778,0.469902,1.241883],""pnp_camera_quat_xyzw"":[-0.002752,0.049806,0.954137,-0.295185],""pnp_camera_rpy_deg"":[5.548953,-1.383934,-145.685688],""pnp_reprojection_error_px"":0.101095}]",1,0.101095,133.800537,84.275275,,0,,0,,
2026-08-15T15:39:00.327740+00:00,281115.610784837,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1523,6629801,1,0,0,1,0,352105750,2,309,35535,2,99,"[0.9071643352508545,-0.0021819996181875467,0.010172998532652855,-0.42064788937568665]","[-0.03487621620297432,-0.0017397094052284956,-0.025196008384227753]","[-0.2031179964542389,-0.19125300645828247,9.832978248596191]",-11.6978979,-0.0251960084,0.37005657,3626.55469,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,150.0,150.0,212.5,0.0,0.0,150.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000469,6,1,"[16,17]","[0.062064,0.687479,-2.543309]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":57.359795,""pixel_xy"":[894.00128,546.172586],""world_xy_yaw"":[0.376322,0.698469,-1.428569],""pnp_valid"":true,""pnp_camera_xyz"":[0.526277,0.492534,1.355826],""pnp_camera_quat_xyzw"":[-0.0414,-0.005959,-0.637934,0.768954],""pnp_camera_rpy_deg"":[-3.22024,-3.553735,-79.259126],""pnp_reprojection_error_px"":0.383131},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.996277,""pixel_xy"":[706.942755,555.181249],""world_xy_yaw"":[0.062064,0.687479,-2.543309],""pnp_valid"":true,""pnp_camera_xyz"":[0.056244,0.471744,1.240377],""pnp_camera_quat_xyzw"":[-0.006563,0.04301,0.954922,-0.293652],""pnp_camera_rpy_deg"":[4.933775,-0.729119,-145.844638],""pnp_reprojection_error_px"":0.076533}]",1,0.076533,134.996277,84.809731,,0,,0,,
2026-08-15T15:39:00.377795+00:00,281115.660805605,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1524,6629851,1,0,0,1,0,352105750,3,26865,35537,3,100,"[0.9071085453033447,-0.003447998780757189,0.010575995780527592,-0.42074984312057495]","[-0.06902070343494415,-0.008427968248724937,-0.028949899598956108]","[-0.10716799646615982,-0.1546729952096939,9.737590789794922]",-11.6976471,-0.0289498996,0.371850282,3644.13281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,225.0,137.5,162.5,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000818,7,1,"[16,17]","[0.061326,0.686943,-2.546231]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":56.721436,""pixel_xy"":[892.595098,546.458358],""world_xy_yaw"":[0.37396,0.698121,-1.436932],""pnp_valid"":true,""pnp_camera_xyz"":[0.529001,0.498814,1.371485],""pnp_camera_quat_xyzw"":[-0.051248,-0.035483,-0.63157,0.772809],""pnp_camera_rpy_deg"":[-1.985104,-6.867656,-78.394916],""pnp_reprojection_error_px"":0.292519},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":133.740372,""pixel_xy"":[706.503337,555.620878],""world_xy_yaw"":[0.061326,0.686943,-2.546231],""pnp_valid"":true,""pnp_camera_xyz"":[0.055264,0.473015,1.241093],""pnp_camera_quat_xyzw"":[-0.006706,0.045378,0.955301,-0.292053],""pnp_camera_rpy_deg"":[5.199534,-0.784553,-146.036936],""pnp_reprojection_error_px"":0.073377}]",1,0.073377,133.740372,85.096917,,0,,0,,
2026-08-15T15:39:00.427797+00:00,281115.710825593,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1525,6629901,1,0,0,1,0,352105750,4,56106,35539,4,100,"[0.9069803357124329,-0.005422994960099459,0.011144990101456642,-0.42099058628082275]","[-0.09525182098150253,-0.016438156366348267,-0.034468017518520355]","[-0.1459680050611496,-0.20095500349998474,9.845772743225098]",-11.6970749,-0.0344680175,0.371850282,3644.13281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,287.5,137.5,275.0,0.0,0.0,150.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000496,9,1,"[16,17]","[0.05985,0.686091,-2.549421]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":58.794258,""pixel_xy"":[889.291717,546.556831],""world_xy_yaw"":[0.36841,0.698001,-1.404182],""pnp_valid"":true,""pnp_camera_xyz"":[0.508001,0.485914,1.335895],""pnp_camera_quat_xyzw"":[0.001075,-0.028356,-0.635855,0.771287],""pnp_camera_rpy_deg"":[2.163609,-2.428625,-79.050791],""pnp_reprojection_error_px"":0.146921},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":132.469742,""pixel_xy"":[705.625214,556.319084],""world_xy_yaw"":[0.05985,0.686091,-2.549421],""pnp_valid"":true,""pnp_camera_xyz"":[0.053272,0.475144,1.242238],""pnp_camera_quat_xyzw"":[-0.002292,0.04701,0.955915,-0.289845],""pnp_camera_rpy_deg"":[5.234263,-1.31043,-146.323996],""pnp_reprojection_error_px"":0.097173}]",1,0.097173,132.469742,84.739037,,0,,0,,
2026-08-15T15:39:00.477759+00:00,281115.760776809,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1526,6629951,1,0,0,1,0,352105750,5,36382,35541,5,100,"[0.906780481338501,-0.007898990996181965,0.011779986321926117,-0.42136451601982117]","[-0.1110978052020073,-0.02018689550459385,-0.04305802285671234]","[-0.18696999549865723,-0.26031598448753357,9.884556770324707]",-11.6962004,-0.0430580229,0.373418361,3659.5,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,300.0,137.5,712.5,0.0,0.0,150.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000810,10,1,"[16,17]","[0.059194,0.685682,-2.55079]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":59.578644,""pixel_xy"":[887.583944,546.399638],""world_xy_yaw"":[0.365541,0.698192,-1.393769],""pnp_valid"":true,""pnp_camera_xyz"":[0.505571,0.487087,1.342251],""pnp_camera_quat_xyzw"":[-0.46164,0.077926,-0.568375,0.676584],""pnp_camera_rpy_deg"":[-51.782567,-24.791819,-67.88607],""pnp_reprojection_error_px"":0.262442},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":131.882645,""pixel_xy"":[705.234452,556.653968],""world_xy_yaw"":[0.059194,0.685682,-2.55079],""pnp_valid"":true,""pnp_camera_xyz"":[0.052362,0.476317,1.243282],""pnp_camera_quat_xyzw"":[0.004548,0.047779,0.956636,-0.287306],""pnp_camera_rpy_deg"":[5.097996,-2.072097,-146.659135],""pnp_reprojection_error_px"":0.090398}]",1,0.090398,131.882645,84.650721,,0,,0,,
2026-08-15T15:39:00.528111+00:00,281115.811080920,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1527,6630001,1,0,0,1,0,352105750,6,60144,35545,5,100,"[0.9065060615539551,-0.010834991931915283,0.012498989701271057,-0.4218686819076538]","[-0.1281636506319046,-0.02325766533613205,-0.04799775779247284]","[-0.17038500308990479,-0.30420300364494324,9.851807594299316]",-11.6950283,-0.0479977578,0.374593407,3671.01562,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000576,12,1,"[16,17]","[0.057842,0.684904,-2.55585]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":60.00687,""pixel_xy"":[884.697285,546.83995],""world_xy_yaw"":[0.360691,0.697655,-1.376087],""pnp_valid"":true,""pnp_camera_xyz"":[0.503004,0.491356,1.352196],""pnp_camera_quat_xyzw"":[-0.020508,-0.009068,-0.636159,0.771232],""pnp_camera_rpy_deg"":[-1.152448,-2.296997,-79.012614],""pnp_reprojection_error_px"":0.431801},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.45816,""pixel_xy"":[704.429663,557.291716],""world_xy_yaw"":[0.057842,0.684904,-2.55585],""pnp_valid"":true,""pnp_camera_xyz"":[0.0505,0.477498,1.242424],""pnp_camera_quat_xyzw"":[0.002931,0.044987,0.957232,-0.285787],""pnp_camera_rpy_deg"":[4.846798,-1.795017,-146.829398],""pnp_reprojection_error_px"":0.115763}]",1,0.115763,134.45816,85.285662,,0,,0,,
2026-08-15T15:39:00.577965+00:00,281115.860892448,auto_start_diagnostic,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,1528,6630051,1,0,0,1,0,352105750,7,14575,35546,5,100,"[0.9061429500579834,-0.014110990799963474,0.013276991434395313,-0.4225277304649353]","[-0.13731522858142853,-0.02765807695686817,-0.05531318485736847]","[-0.13976900279521942,-0.37810999155044556,9.853246688842773]",-11.6935081,-0.0553131849,0.375657678,3681.44531,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.5]",255,1,1,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000828,13,1,"[16,17]","[0.05712,0.684384,-2.560268]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":61.040539,""pixel_xy"":[883.40082,546.971835],""world_xy_yaw"":[0.358513,0.697494,-1.38067],""pnp_valid"":true,""pnp_camera_xyz"":[0.493222,0.485452,1.335265],""pnp_camera_quat_xyzw"":[-0.022456,-0.004647,-0.638787,0.769042],""pnp_camera_rpy_deg"":[-1.640129,-2.053711,-79.398509],""pnp_reprojection_error_px"":0.429141},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":134.857681,""pixel_xy"":[703.999976,557.718231],""world_xy_yaw"":[0.05712,0.684384,-2.560268],""pnp_valid"":true,""pnp_camera_xyz"":[0.049557,0.477774,1.241038],""pnp_camera_quat_xyzw"":[0.001679,0.040025,0.957938,-0.284166],""pnp_camera_rpy_deg"":[4.344538,-1.487772,-147.011145],""pnp_reprojection_error_px"":0.082172}]",1,0.082172,134.857681,85.104914,,0,,0,,
