host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T12:00:26.724043+00:00,8801.991763156,2.690135967,0,1280,480,269.466426,236.749437,30,139,2219,nan,nan,0,0,0
2026-08-12T12:00:26.730161+00:00,8802.008907730,2.722156846,1,1280,480,269.537804,236.931143,30,139,2222,nan,nan,0,0,0
2026-08-12T12:00:26.768698+00:00,8802.046655638,2.758144403,2,1280,480,269.953893,236.337538,30,139,2299,nan,nan,0,0,0
2026-08-12T12:00:26.802505+00:00,8802.077230706,2.790143081,3,1280,480,270.329120,236.460497,30,139,2215,nan,nan,0,0,0
2026-08-12T12:00:26.833671+00:00,8802.112126737,2.826141770,4,1280,480,270.471071,236.642825,30,139,2195,nan,nan,0,0,0
2026-08-12T12:00:26.864583+00:00,8802.143364909,2.858140470,5,1280,480,270.922402,236.191583,30,139,2281,nan,nan,0,0,0
2026-08-12T12:00:26.901015+00:00,8802.178804246,2.894139180,6,1280,480,271.378269,236.712804,30,138,2218,nan,nan,0,0,0
2026-08-12T12:00:26.935787+00:00,8802.212248905,2.926137900,7,1280,480,271.568440,236.603456,30,139,2199,nan,nan,0,0,0
2026-08-12T12:00:26.972923+00:00,8802.250174962,2.962147741,8,1280,480,272.146862,236.390743,31,139,2247,nan,nan,0,0,0
2026-08-12T12:00:27.005065+00:00,8802.279422839,2.994135371,9,1280,480,272.534060,236.677112,30,138,2202,nan,nan,0,0,0
2026-08-12T12:00:27.040293+00:00,8802.317150678,3.026134122,10,1280,480,273.030330,236.343297,30,138,2275,nan,nan,0,0,0
2026-08-12T12:00:27.078081+00:00,8802.353033566,3.062143994,11,1280,480,273.555857,236.662596,30,138,2211,nan,nan,0,0,0
2026-08-12T12:00:27.102547+00:00,8802.381909189,3.094131654,12,1280,480,274.057844,235.738826,30,138,2282,nan,nan,0,0,0
2026-08-12T12:00:27.148626+00:00,8802.422898880,3.130130434,13,1280,480,274.585366,236.545167,31,138,2214,nan,nan,0,0,0
2026-08-12T12:00:27.171933+00:00,8802.451398714,3.162140335,14,1280,480,274.941513,235.423043,30,138,2274,nan,nan,0,0,0
2026-08-12T12:00:27.217566+00:00,8802.495361241,3.198116913,15,1280,480,275.442838,235.792137,29,139,2213,nan,nan,0,0,0
2026-08-12T12:00:27.241774+00:00,8802.518314259,3.230115723,16,1280,480,275.616007,235.416817,30,138,2224,nan,nan,0,0,0
2026-08-12T12:00:27.267950+00:00,8802.546773220,3.262147875,17,1280,480,276.080986,235.238116,30,138,2272,nan,nan,0,0,0
2026-08-12T12:00:27.305555+00:00,8802.583611680,3.298124481,18,1280,480,276.393583,235.276548,30,138,2213,nan,nan,0,0,0
2026-08-12T12:00:27.347648+00:00,8802.624863848,3.330123319,19,1280,480,276.559101,234.625169,30,138,2225,nan,nan,0,0,0
2026-08-12T12:00:27.379608+00:00,8802.657371102,3.366122166,20,1280,480,276.741166,234.542403,29,139,2264,nan,nan,0,0,0
2026-08-12T12:00:27.406702+00:00,8802.683788101,3.398121022,21,1280,480,277.045130,235.180965,30,138,2238,nan,nan,0,0,0
2026-08-12T12:00:27.442521+00:00,8802.720965792,3.434119888,22,1280,480,277.184410,235.397327,30,138,2245,nan,nan,0,0,0
2026-08-12T12:00:27.474113+00:00,8802.752209695,3.466118763,23,1280,480,277.331701,235.183437,30,138,2246,nan,nan,0,0,0
2026-08-12T12:00:27.511011+00:00,8802.789855006,3.502128758,24,1280,480,277.581883,234.832218,30,139,2241,nan,nan,0,0,0
2026-08-12T12:00:27.541913+00:00,8802.820709820,3.534105429,25,1280,480,277.875671,235.703488,30,139,2236,nan,nan,0,0,0
2026-08-12T12:00:27.571676+00:00,8802.850232456,3.566137663,26,1280,480,278.085638,236.068243,29,139,2242,nan,nan,0,0,0
2026-08-12T12:00:27.617177+00:00,8802.891576452,3.602114351,27,1280,480,278.280428,236.226928,29,139,2243,nan,nan,0,0,0
2026-08-12T12:00:27.644205+00:00,8802.922910599,3.634113270,28,1280,480,278.564137,235.863293,30,138,2253,nan,nan,0,0,0
2026-08-12T12:00:27.676927+00:00,8802.954600347,3.670112198,29,1280,480,278.925661,236.232871,30,138,2233,nan,nan,0,0,0
2026-08-12T12:00:27.718071+00:00,8802.995768482,3.702111134,30,1280,480,279.203237,236.342626,30,138,2224,nan,nan,0,0,0
2026-08-12T12:00:27.745477+00:00,8803.024211544,3.738110079,31,1280,480,279.572137,235.577096,29,138,2218,nan,nan,0,0,0
2026-08-12T12:00:27.781920+00:00,8803.057723115,3.770120143,32,1280,480,279.989247,236.259409,30,138,2232,nan,nan,0,0,0
2026-08-12T12:00:27.808489+00:00,8803.087242948,3.802107993,33,1280,480,280.359927,236.183137,30,138,2206,nan,nan,0,0,0
2026-08-12T12:00:27.846228+00:00,8803.124504924,3.838106963,34,1280,480,280.750000,235.958703,30,139,2252,nan,nan,0,0,0
2026-08-12T12:00:27.880663+00:00,8803.159167985,3.870117052,35,1280,480,281.317829,235.918377,30,138,2193,nan,nan,0,0,0
2026-08-12T12:00:27.915795+00:00,8803.192436901,3.906104927,36,1280,480,281.658988,236.282746,30,138,2214,nan,nan,0,0,0
2026-08-12T12:00:27.946314+00:00,8803.225036631,3.938115032,37,1280,480,282.330769,235.927149,30,138,2210,nan,nan,0,0,0
2026-08-12T12:00:27.983154+00:00,8803.261547885,3.974102923,38,1280,480,282.629764,236.322595,30,138,2204,nan,nan,0,0,0
2026-08-12T12:00:28.024628+00:00,8803.298693937,4.006101933,39,1280,480,283.260342,235.571942,30,138,2224,nan,nan,0,0,0
2026-08-12T12:00:28.051118+00:00,8803.329341721,4.042112062,40,1280,480,283.536961,236.200000,29,139,2205,nan,nan,0,0,0
2026-08-12T12:00:28.081373+00:00,8803.359355085,4.074122199,41,1280,480,283.644779,235.874145,30,138,2193,nan,nan,0,0,0
2026-08-12T12:00:28.114960+00:00,8803.392756015,4.106110122,42,1280,480,284.249550,235.225676,29,138,2220,nan,nan,0,0,0
2026-08-12T12:00:28.155455+00:00,8803.433254890,4.142098053,43,1280,480,284.410163,235.593466,29,138,2204,nan,nan,0,0,0
2026-08-12T12:00:28.183000+00:00,8803.460751764,4.174108213,44,1280,480,284.494316,235.768076,29,138,2199,nan,nan,0,0,0
2026-08-12T12:00:28.229444+00:00,8803.506778949,4.210096159,45,1280,480,284.553531,236.250114,29,138,2195,nan,nan,0,0,0
2026-08-12T12:00:28.255742+00:00,8803.533401723,4.242095223,46,1280,480,284.536007,236.404740,30,138,2194,nan,nan,0,0,0
2026-08-12T12:00:28.289295+00:00,8803.563866298,4.278094295,47,1280,480,284.552307,236.518045,30,138,2189,nan,nan,0,0,0
2026-08-12T12:00:28.317936+00:00,8803.595738713,4.310093374,48,1280,480,284.584699,236.632514,30,138,2196,nan,nan,0,0,0
2026-08-12T12:00:28.360232+00:00,8803.636535925,4.346092461,49,1280,480,284.812500,235.910268,30,138,2240,nan,nan,0,0,0
2026-08-12T12:00:28.386718+00:00,8803.664356901,4.378091555,50,1280,480,285.097266,236.601524,29,138,2231,nan,nan,0,0,0
2026-08-12T12:00:28.423509+00:00,8803.698231269,4.410112878,51,1280,480,285.358345,237.070487,30,139,2199,nan,nan,0,0,0
