host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T12:00:52.683359+00:00,8827.949376581,7.066791212,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.691038+00:00,8827.969165511,7.098802770,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.729270+00:00,8828.003577559,7.130814325,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.758842+00:00,8828.035643203,7.166803654,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.797224+00:00,8828.072873842,7.198804091,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.825261+00:00,8828.102582718,7.234804524,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.860533+00:00,8828.137095109,7.266804954,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.891995+00:00,8828.170667920,7.302805380,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.930844+00:00,8828.207165341,7.334805803,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.959873+00:00,8828.238078239,7.366828445,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:52.992843+00:00,8828.270753699,7.402806639,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.030924+00:00,8828.308849166,7.434818163,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.062343+00:00,8828.340301824,7.470818573,12,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.095394+00:00,8828.373900369,7.502818979,13,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.131729+00:00,8828.406791746,7.538808271,14,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.175708+00:00,8828.452048749,7.570819782,15,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.204102+00:00,8828.482774982,7.606820179,16,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:00:53.232399+00:00,8828.507619310,7.638809461,17,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
