host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T12:00:46.123886+00:00,8821.407555201,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T12:00:46.174367+00:00,8821.458038512,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000381,2,1,"[16,17]","[0.189199,1.071375,1.843777]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.930435,""pixel_xy"":[780.037507,533.51436],""world_xy_yaw"":[0.184863,0.713912,0.159714],""pnp_valid"":true,""pnp_camera_xyz"":[0.228659,0.435383,1.275359],""pnp_camera_quat_xyzw"":[-0.200691,0.163567,0.054679,0.964354],""pnp_camera_rpy_deg"":[-23.09068,19.719761,2.42363],""pnp_reprojection_error_px"":0.667993},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.603409,""pixel_xy"":[782.618685,240.511912],""world_xy_yaw"":[0.189199,1.071375,1.843777],""pnp_valid"":true,""pnp_camera_xyz"":[0.236898,-0.255354,1.280231],""pnp_camera_quat_xyzw"":[-0.023707,0.03799,0.797168,0.602095],""pnp_camera_rpy_deg"":[1.841462,4.792302,105.950106],""pnp_reprojection_error_px"":0.009928}]",1,0.009928,162.603409,84.847893,,0,,0,,
2026-08-12T12:00:46.224654+00:00,8821.508323621,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001281,3,1,"[16,17]","[0.189072,1.071367,1.844232]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.033966,""pixel_xy"":[779.956411,533.479632],""world_xy_yaw"":[0.184727,0.713955,0.16034],""pnp_valid"":true,""pnp_camera_xyz"":[0.2288,0.436063,1.27727],""pnp_camera_quat_xyzw"":[-0.186547,0.163508,0.052819,0.967303],""pnp_camera_rpy_deg"":[-21.397517,19.635233,2.505923],""pnp_reprojection_error_px"":0.710141},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.199539,""pixel_xy"":[782.542615,240.518468],""world_xy_yaw"":[0.189072,1.071367,1.844232],""pnp_valid"":true,""pnp_camera_xyz"":[0.236557,-0.25517,1.2796],""pnp_camera_quat_xyzw"":[-0.025141,0.037649,0.796993,0.602289],""pnp_camera_rpy_deg"":[1.709809,4.900492,105.916338],""pnp_reprojection_error_px"":0.028024}]",1,0.028024,164.199539,85.871518,,0,,0,,
2026-08-12T12:00:46.274472+00:00,8821.558141640,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000683,5,1,"[16,17]","[0.188721,1.071306,1.842996]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.46022,""pixel_xy"":[779.813971,533.494741],""world_xy_yaw"":[0.184487,0.713936,0.160294],""pnp_valid"":true,""pnp_camera_xyz"":[0.228571,0.436191,1.27761],""pnp_camera_quat_xyzw"":[-0.18873,0.162317,0.052882,0.967077],""pnp_camera_rpy_deg"":[-21.656858,19.506069,2.4938],""pnp_reprojection_error_px"":0.694125},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.64505,""pixel_xy"":[782.334003,240.569084],""world_xy_yaw"":[0.188721,1.071306,1.842996],""pnp_valid"":true,""pnp_camera_xyz"":[0.236145,-0.255145,1.279772],""pnp_camera_quat_xyzw"":[-0.025081,0.037382,0.79709,0.602181],""pnp_camera_rpy_deg"":[1.690137,4.876365,105.931782],""pnp_reprojection_error_px"":0.008628}]",1,0.008628,164.64505,86.858109,,0,,0,,
2026-08-12T12:00:46.325981+00:00,8821.609637660,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002270,6,1,"[16,17]","[0.188571,1.071308,1.843103]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.723709,""pixel_xy"":[779.772267,533.480714],""world_xy_yaw"":[0.184417,0.713954,0.159279],""pnp_valid"":true,""pnp_camera_xyz"":[0.228396,0.436152,1.277477],""pnp_camera_quat_xyzw"":[-0.185932,0.164415,0.05214,0.967305],""pnp_camera_rpy_deg"":[-21.340429,19.722687,2.419008],""pnp_reprojection_error_px"":0.716866},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.328308,""pixel_xy"":[782.244816,240.567356],""world_xy_yaw"":[0.188571,1.071308,1.843103],""pnp_valid"":true,""pnp_camera_xyz"":[0.236045,-0.255261,1.280407],""pnp_camera_quat_xyzw"":[-0.025721,0.036192,0.797057,0.60227],""pnp_camera_rpy_deg"":[1.536196,4.852823,105.914405],""pnp_reprojection_error_px"":0.008262}]",1,0.008262,163.328308,88.448527,,0,,0,,
2026-08-12T12:00:46.375418+00:00,8821.659086168,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001767,7,1,"[16,17]","[0.188381,1.071341,1.844957]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.111984,""pixel_xy"":[779.717957,533.485512],""world_xy_yaw"":[0.184326,0.713948,0.158849],""pnp_valid"":true,""pnp_camera_xyz"":[0.228238,0.436066,1.277211],""pnp_camera_quat_xyzw"":[-0.190574,0.165044,0.052356,0.966282],""pnp_camera_rpy_deg"":[-21.906627,19.810688,2.331567],""pnp_reprojection_error_px"":0.71177},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.79039,""pixel_xy"":[782.131351,240.540025],""world_xy_yaw"":[0.188381,1.071341,1.844957],""pnp_valid"":true,""pnp_camera_xyz"":[0.235689,-0.255158,1.279886],""pnp_camera_quat_xyzw"":[-0.025643,0.037901,0.797154,0.602039],""pnp_camera_rpy_deg"":[1.699692,4.963324,105.950896],""pnp_reprojection_error_px"":0.035073}]",1,0.035073,162.79039,86.651753,,0,,0,,
2026-08-12T12:00:46.425667+00:00,8821.709340576,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001363,9,1,"[16,17]","[0.188005,1.071335,1.842603]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.425995,""pixel_xy"":[779.594473,533.390656],""world_xy_yaw"":[0.184119,0.714063,0.15831],""pnp_valid"":true,""pnp_camera_xyz"":[0.228151,0.436575,1.278605],""pnp_camera_quat_xyzw"":[-0.176257,0.169498,0.04931,0.968387],""pnp_camera_rpy_deg"":[-20.241666,20.22218,2.183517],""pnp_reprojection_error_px"":0.814806},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.927887,""pixel_xy"":[781.907554,240.545045],""world_xy_yaw"":[0.188005,1.071335,1.842603],""pnp_valid"":true,""pnp_camera_xyz"":[0.235148,-0.255124,1.279637],""pnp_camera_quat_xyzw"":[-0.027501,0.036386,0.796773,0.602556],""pnp_camera_rpy_deg"":[1.428883,5.029759,105.866319],""pnp_reprojection_error_px"":0.030786}]",1,0.030786,163.927887,85.19845,,0,,0,,
2026-08-12T12:00:46.476122+00:00,8821.759768439,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002416,10,1,"[16,17]","[0.187845,1.071314,1.841912]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.054932,""pixel_xy"":[779.525556,533.360946],""world_xy_yaw"":[0.184003,0.7141,0.158495],""pnp_valid"":true,""pnp_camera_xyz"":[0.228104,0.436721,1.279002],""pnp_camera_quat_xyzw"":[-0.171172,0.168858,0.048165,0.969468],""pnp_camera_rpy_deg"":[-19.640995,20.11426,2.171577],""pnp_reprojection_error_px"":0.839482},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.04306,""pixel_xy"":[781.812581,240.561891],""world_xy_yaw"":[0.187845,1.071314,1.841912],""pnp_valid"":true,""pnp_camera_xyz"":[0.234783,-0.254956,1.278909],""pnp_camera_quat_xyzw"":[-0.028896,0.036474,0.7967,0.60258],""pnp_camera_rpy_deg"":[1.340173,5.16359,105.856732],""pnp_reprojection_error_px"":0.023704}]",1,0.023704,165.04306,84.271432,,0,,0,,
2026-08-12T12:00:46.524476+00:00,8821.808144815,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000687,12,1,"[16,17]","[0.187511,1.07134,1.841609]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.696487,""pixel_xy"":[779.497989,533.39059],""world_xy_yaw"":[0.183957,0.714063,0.158454],""pnp_valid"":true,""pnp_camera_xyz"":[0.227971,0.436677,1.278782],""pnp_camera_quat_xyzw"":[-0.171616,0.169188,0.048494,0.969315],""pnp_camera_rpy_deg"":[-19.690102,20.159709,2.194174],""pnp_reprojection_error_px"":0.828323},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.559128,""pixel_xy"":[781.613625,240.541348],""world_xy_yaw"":[0.187511,1.07134,1.841609],""pnp_valid"":true,""pnp_camera_xyz"":[0.234462,-0.255194,1.27984],""pnp_camera_quat_xyzw"":[-0.0265,0.036792,0.796499,0.602938],""pnp_camera_rpy_deg"":[1.533083,4.966886,105.816103],""pnp_reprojection_error_px"":0.016542}]",1,0.016542,162.559128,86.530053,,0,,0,,
2026-08-12T12:00:46.576007+00:00,8821.859663854,onboard_latency_target_motion,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002269,13,1,"[16,17]","[0.187334,1.071355,1.84173]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.599777,""pixel_xy"":[779.460079,533.41591],""world_xy_yaw"":[0.183893,0.714033,0.157902],""pnp_valid"":true,""pnp_camera_xyz"":[0.227908,0.436704,1.278773],""pnp_camera_quat_xyzw"":[-0.176394,0.170785,0.048402,0.968181],""pnp_camera_rpy_deg"":[-20.283802,20.351387,2.046034],""pnp_reprojection_error_px"":0.812804},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.31665,""pixel_xy"":[781.508152,240.528514],""world_xy_yaw"":[0.187334,1.071355,1.84173],""pnp_valid"":true,""pnp_camera_xyz"":[0.234234,-0.255205,1.279833],""pnp_camera_quat_xyzw"":[-0.026779,0.037418,0.796443,0.602961],""pnp_camera_rpy_deg"":[1.570913,5.035851,105.812763],""pnp_reprojection_error_px"":0.028063}]",1,0.028063,164.31665,85.964712,,0,,0,,
