host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T15:54:26.536962+00:00,22841.820632708,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:54:26.587617+00:00,22841.871289106,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000901,1,1786550066.567856312,finsrov_overhead_camera,"[0.041084941619676824,0.7419880747965611,1.3542512791327874]","[-0.10050178977830786,-0.015355961742768905,0.05142640322072075,0.9934882534494766]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000768,1,1,"[15,16,17]","[0.04919,0.575771,0.079501]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.881271,""pixel_xy"":[704.680048,587.695728],""world_xy_yaw"":[0.058262,0.647811,0.084985],""pnp_valid"":true,""pnp_camera_xyz"":[0.055599,0.59942,1.363636],""pnp_camera_quat_xyzw"":[-0.072103,-0.032011,0.055466,0.995339],""pnp_camera_rpy_deg"":[-8.471245,-3.19449,6.615736],""pnp_reprojection_error_px"":0.177205},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.070267,""pixel_xy"":[699.279899,646.744993],""world_xy_yaw"":[0.04919,0.575771,0.079501],""pnp_valid"":true,""pnp_camera_xyz"":[0.041085,0.741988,1.354251],""pnp_camera_quat_xyzw"":[-0.100502,-0.015356,0.051426,0.993488],""pnp_camera_rpy_deg"":[-11.613872,-1.156023,6.043938],""pnp_reprojection_error_px"":0.337465},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.566956,""pixel_xy"":[681.936714,344.654343],""world_xy_yaw"":[0.020054,0.944322,1.162499],""pnp_valid"":true,""pnp_camera_xyz"":[-0.000718,-0.009361,1.258716],""pnp_camera_quat_xyzw"":[0.034157,0.087845,0.542749,0.83459],""pnp_camera_rpy_deg"":[8.817797,6.289475,66.558807],""pnp_reprojection_error_px"":0.062917}]",1,0.337465,149.070267,93.728417,,0,,0,,
2026-08-12T15:54:26.637924+00:00,22841.921592299,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000233,3,1786550066.637275696,finsrov_overhead_camera,"[0.003092569786025113,-0.014304205208888483,1.261769863722811]","[0.03343351378529007,0.07804740547803808,0.5452892082907521,0.8339367373942465]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000118,3,1,"[15,16,17]","[0.022886,0.947,1.167577]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.114487,""pixel_xy"":[704.922299,585.70893],""world_xy_yaw"":[0.058669,0.650235,0.098769],""pnp_valid"":true,""pnp_camera_xyz"":[0.057048,0.602329,1.382031],""pnp_camera_quat_xyzw"":[-0.059083,-0.024932,0.059326,0.996177],""pnp_camera_rpy_deg"":[-6.937264,-2.445135,6.964581],""pnp_reprojection_error_px"":0.21056},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.46936,""pixel_xy"":[699.554568,644.642768],""world_xy_yaw"":[0.049652,0.578336,0.091888],""pnp_valid"":true,""pnp_camera_xyz"":[0.041624,0.740221,1.360983],""pnp_camera_quat_xyzw"":[-0.116922,0.006428,0.051503,0.991784],""pnp_camera_rpy_deg"":[-13.375516,1.420745,5.778736],""pnp_reprojection_error_px"":0.512429},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.045059,""pixel_xy"":[683.622833,342.45907],""world_xy_yaw"":[0.022886,0.947,1.167577],""pnp_valid"":true,""pnp_camera_xyz"":[0.003093,-0.014304,1.26177],""pnp_camera_quat_xyzw"":[0.033434,0.078047,0.545289,0.833937],""pnp_camera_rpy_deg"":[8.134792,5.377153,66.741869],""pnp_reprojection_error_px"":0.064635}]",1,0.064635,150.045059,89.590098,,0,,0,,
2026-08-12T15:54:26.689313+00:00,22841.972968488,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002213,4,1786550066.664465427,finsrov_overhead_camera,"[0.04112541545035092,0.7335058406781598,1.3530469403527277]","[-0.08811679192834851,0.009381483784664347,0.052256051664429364,0.99469428660604]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001972,4,1,"[15,16,17]","[0.049452,0.579646,0.097095]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.319885,""pixel_xy"":[704.932153,584.46018],""world_xy_yaw"":[0.058686,0.651759,0.1077],""pnp_valid"":true,""pnp_camera_xyz"":[0.056797,0.597002,1.375758],""pnp_camera_quat_xyzw"":[-0.035711,-0.012128,0.059037,0.997543],""pnp_camera_rpy_deg"":[-4.168667,-1.144873,6.815527],""pnp_reprojection_error_px"":0.080782},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.429932,""pixel_xy"":[699.435902,643.568605],""world_xy_yaw"":[0.049452,0.579646,0.097095],""pnp_valid"":true,""pnp_camera_xyz"":[0.041125,0.733506,1.353047],""pnp_camera_quat_xyzw"":[-0.088117,0.009381,0.052256,0.994694],""pnp_camera_rpy_deg"":[-10.042918,1.597194,5.874166],""pnp_reprojection_error_px"":0.44619},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.226227,""pixel_xy"":[684.650137,341.090255],""world_xy_yaw"":[0.024612,0.94867,1.169494],""pnp_valid"":true,""pnp_camera_xyz"":[0.005443,-0.017529,1.263228],""pnp_camera_quat_xyzw"":[0.028537,0.071904,0.547297,0.833355],""pnp_camera_rpy_deg"":[7.282818,5.083411,66.912688],""pnp_reprojection_error_px"":0.084439}]",1,0.44619,151.429932,87.642821,,0,,0,,
2026-08-12T15:54:26.739547+00:00,22842.023203507,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000847,6,1786550066.738181114,finsrov_overhead_camera,"[0.03838500674540864,0.7120550597029539,1.3208214683190738]","[-0.015110844461894661,-0.004652055854955847,0.05873283557331558,0.9981485234079589]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000258,6,1,"[15,16,17]","[0.047024,0.581941,0.132959]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.095673,""pixel_xy"":[704.466034,581.795631],""world_xy_yaw"":[0.057903,0.655009,0.137081],""pnp_valid"":true,""pnp_camera_xyz"":[0.055119,0.579023,1.349803],""pnp_camera_quat_xyzw"":[-0.39244,0.0443,0.056637,0.916963],""pnp_camera_rpy_deg"":[-46.087577,7.220905,3.993873],""pnp_reprojection_error_px"":0.144623},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.539764,""pixel_xy"":[697.990481,641.688105],""world_xy_yaw"":[0.047024,0.581941,0.132959],""pnp_valid"":true,""pnp_camera_xyz"":[0.038385,0.712055,1.320821],""pnp_camera_quat_xyzw"":[-0.015111,-0.004652,0.058733,0.998149],""pnp_camera_rpy_deg"":[-1.760005,-0.430403,6.741617],""pnp_reprojection_error_px"":0.345422},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.970718,""pixel_xy"":[687.043251,338.059382],""world_xy_yaw"":[0.028633,0.952368,1.182167],""pnp_valid"":true,""pnp_camera_xyz"":[0.011175,-0.024589,1.264219],""pnp_camera_quat_xyzw"":[0.032382,0.076211,0.551463,0.830079],""pnp_camera_rpy_deg"":[7.954522,5.210081,67.558693],""pnp_reprojection_error_px"":0.041255}]",1,0.345422,152.539764,89.772493,,0,,0,,
2026-08-12T15:54:26.789308+00:00,22842.072963438,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002184,7,1786550066.771908045,finsrov_overhead_camera,"[0.014523899569186746,-0.028381446417321776,1.2647891613645894]","[0.03257610398039566,0.07218074897394938,0.5540994982259978,0.8286751371874962]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001949,7,1,"[15,16,17]","[0.031005,0.954339,1.187305]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.774918,""pixel_xy"":[704.05383,580.743307],""world_xy_yaw"":[0.05721,0.656293,0.148174],""pnp_valid"":true,""pnp_camera_xyz"":[0.053762,0.569289,1.333935],""pnp_camera_quat_xyzw"":[-0.40327,0.042755,0.059975,0.912112],""pnp_camera_rpy_deg"":[-47.428135,7.259759,4.331654],""pnp_reprojection_error_px"":0.318048},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.384506,""pixel_xy"":[697.57582,640.615649],""world_xy_yaw"":[0.046327,0.583249,0.136046],""pnp_valid"":true,""pnp_camera_xyz"":[0.03698,0.702426,1.308028],""pnp_camera_quat_xyzw"":[0.002094,-0.004836,0.061898,0.998069],""pnp_camera_rpy_deg"":[0.205249,-0.568016,7.096559],""pnp_reprojection_error_px"":0.313751},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.679779,""pixel_xy"":[688.455398,336.443579],""world_xy_yaw"":[0.031005,0.954339,1.187305],""pnp_valid"":true,""pnp_camera_xyz"":[0.014524,-0.028381,1.264789],""pnp_camera_quat_xyzw"":[0.032576,0.072181,0.554099,0.828675],""pnp_camera_rpy_deg"":[7.726846,4.791383,67.861654],""pnp_reprojection_error_px"":0.032598}]",1,0.032598,152.679779,87.862012,,0,,0,,
2026-08-12T15:54:26.838268+00:00,22842.121931305,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000771,9,1786550066.835429907,finsrov_overhead_camera,"[0.02218469497862092,-0.034715404950068536,1.2643804985557554]","[0.028523624277427308,0.07067717284821137,0.5614524367730579,0.8239916876630855]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000633,9,1,"[15,16,17]","[0.036592,0.957667,1.203735]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.556198,""pixel_xy"":[704.205159,578.415203],""world_xy_yaw"":[0.057465,0.659133,0.158942],""pnp_valid"":true,""pnp_camera_xyz"":[0.053275,0.554048,1.309578],""pnp_camera_quat_xyzw"":[0.009277,0.024268,0.059061,0.997916],""pnp_camera_rpy_deg"":[1.226615,2.713381,6.803198],""pnp_reprojection_error_px"":0.333598},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.985855,""pixel_xy"":[697.026232,637.815268],""world_xy_yaw"":[0.045404,0.586665,0.138014],""pnp_valid"":true,""pnp_camera_xyz"":[0.035271,0.700283,1.316391],""pnp_camera_quat_xyzw"":[-0.014538,-0.000769,0.066326,0.997692],""pnp_camera_rpy_deg"":[-1.668215,0.022594,7.60643],""pnp_reprojection_error_px"":0.092623},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.6819,""pixel_xy"":[691.78101,333.715869],""world_xy_yaw"":[0.036592,0.957667,1.203735],""pnp_valid"":true,""pnp_camera_xyz"":[0.022185,-0.034715,1.26438],""pnp_camera_quat_xyzw"":[0.028524,0.070677,0.561452,0.823992],""pnp_camera_rpy_deg"":[7.286056,4.844139,68.848166],""pnp_reprojection_error_px"":0.068406}]",1,0.068406,154.6819,85.367608,,0,,0,,
2026-08-12T15:54:26.888867+00:00,22842.172535974,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001836,10,1786550066.870599270,finsrov_overhead_camera,"[0.026173510203042847,-0.037299401374475016,1.26355554566174]","[0.026021196868431174,0.07382554748443776,0.5656994788595516,0.8208878032168521]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001629,10,1,"[15,16,17]","[0.039452,0.959049,1.215575]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.995651,""pixel_xy"":[704.515923,577.368602],""world_xy_yaw"":[0.057987,0.66041,0.139752],""pnp_valid"":true,""pnp_camera_xyz"":[0.054532,0.561769,1.334848],""pnp_camera_quat_xyzw"":[-0.027877,0.003529,0.064112,0.997547],""pnp_camera_rpy_deg"":[-3.162454,0.608258,7.337869],""pnp_reprojection_error_px"":0.101128},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.187775,""pixel_xy"":[696.752473,636.260806],""world_xy_yaw"":[0.044944,0.588562,0.141868],""pnp_valid"":true,""pnp_camera_xyz"":[0.034861,0.70458,1.331617],""pnp_camera_quat_xyzw"":[-0.041905,0.004502,0.06622,0.996915],""pnp_camera_rpy_deg"":[-4.758903,0.832261,7.565978],""pnp_reprojection_error_px"":0.07214},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.519119,""pixel_xy"":[693.483102,332.582496],""world_xy_yaw"":[0.039452,0.959049,1.215575],""pnp_valid"":true,""pnp_camera_xyz"":[0.026174,-0.037299,1.263556],""pnp_camera_quat_xyzw"":[0.026021,0.073826,0.565699,0.820888],""pnp_camera_rpy_deg"":[7.283678,5.265133,69.479235],""pnp_reprojection_error_px"":0.07375}]",1,0.07375,153.519119,86.166398,,0,,0,,
2026-08-12T15:54:26.939098+00:00,22842.222769920,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000687,12,1786550066.935494423,finsrov_overhead_camera,"[0.034082464284312344,-0.04140897361903856,1.2648750004273273]","[0.014325521197196557,0.06029560498350044,0.5724862995416623,0.8175687471394663]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000477,12,1,"[15,16,17]","[0.045083,0.96113,1.226594]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.645538,""pixel_xy"":[705.023735,574.831725],""world_xy_yaw"":[0.05884,0.663505,0.120712],""pnp_valid"":true,""pnp_camera_xyz"":[0.056366,0.567374,1.363856],""pnp_camera_quat_xyzw"":[-0.06994,-0.033966,0.074693,0.994171],""pnp_camera_rpy_deg"":[-8.301048,-3.272677,8.830825],""pnp_reprojection_error_px"":0.224405},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.023911,""pixel_xy"":[696.485517,633.172638],""world_xy_yaw"":[0.044496,0.592329,0.1596],""pnp_valid"":true,""pnp_camera_xyz"":[0.035079,0.70871,1.35443],""pnp_camera_quat_xyzw"":[-0.089846,-0.019006,0.081067,0.992469],""pnp_camera_rpy_deg"":[-10.455308,-1.326985,9.460785],""pnp_reprojection_error_px"":0.110004},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.396698,""pixel_xy"":[696.835275,330.877319],""world_xy_yaw"":[0.045083,0.96113,1.226594],""pnp_valid"":true,""pnp_camera_xyz"":[0.034082,-0.041409,1.264875],""pnp_camera_quat_xyzw"":[0.014326,0.060296,0.572486,0.817569],""pnp_camera_rpy_deg"":[5.323265,4.714416,70.221026],""pnp_reprojection_error_px"":0.032565}]",1,0.032565,154.396698,83.471925,,0,,0,,
2026-08-12T15:54:26.989369+00:00,22842.273038900,rigid_center,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002148,13,1786550066.970640421,finsrov_overhead_camera,"[0.0375344952480411,-0.04338487565854762,1.2649880566503813]","[0.013182936209966389,0.06031701973808797,0.5753412368965554,0.8155798725135024]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001880,13,1,"[15,16,17]","[0.047558,0.962155,1.233204]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.688705,""pixel_xy"":[705.307925,573.41426],""world_xy_yaw"":[0.059317,0.665235,0.129827],""pnp_valid"":true,""pnp_camera_xyz"":[0.057342,0.5689,1.376203],""pnp_camera_quat_xyzw"":[-0.078363,-0.028374,0.079523,0.993343],""pnp_camera_rpy_deg"":[-9.227211,-2.516518,9.357373],""pnp_reprojection_error_px"":0.324069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.409927,""pixel_xy"":[696.239592,631.644803],""world_xy_yaw"":[0.044082,0.594193,0.171463],""pnp_valid"":true,""pnp_camera_xyz"":[0.034945,0.708435,1.361458],""pnp_camera_quat_xyzw"":[-0.105681,-0.013688,0.080574,0.991036],""pnp_camera_rpy_deg"":[-12.221023,-0.578693,9.358124],""pnp_reprojection_error_px"":0.243569},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.409637,""pixel_xy"":[698.308306,330.036901],""world_xy_yaw"":[0.047558,0.962155,1.233204],""pnp_valid"":true,""pnp_camera_xyz"":[0.037534,-0.043385,1.264988],""pnp_camera_quat_xyzw"":[0.013183,0.060317,0.575341,0.81558],""pnp_camera_rpy_deg"":[5.234121,4.773522,70.619527],""pnp_reprojection_error_px"":0.028473}]",1,0.028473,152.409637,82.546783,,0,,0,,
