host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T16:10:47.614100+00:00,23822.897767395,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T16:10:47.666471+00:00,23822.950126852,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001956,1,1786551047.640815973,finsrov_overhead_camera,"[-0.12147288409824636,0.5233675888616681,1.2299780756414214]","[-0.005044662381969254,-0.015806082567899712,0.6988668751208781,0.7150593052286557]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001667,1,1,"[15,16,17]","[-0.069298,0.657583,1.549847]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.779541,""pixel_xy"":[691.185198,577.651099],""world_xy_yaw"":[0.035591,0.660066,1.538893],""pnp_valid"":true,""pnp_camera_xyz"":[0.019724,0.519899,1.233517],""pnp_camera_quat_xyzw"":[0.003252,-0.013878,0.69648,0.717435],""pnp_camera_rpy_deg"":[-0.840542,-1.400574,88.312098],""pnp_reprojection_error_px"":0.08994},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":158.930878,""pixel_xy"":[628.750911,579.686155],""world_xy_yaw"":[-0.069298,0.657583,1.549847],""pnp_valid"":true,""pnp_camera_xyz"":[-0.121473,0.523368,1.229978],""pnp_camera_quat_xyzw"":[-0.005045,-0.015806,0.698867,0.715059],""pnp_camera_rpy_deg"":[-1.67962,-0.891185,88.700807],""pnp_reprojection_error_px"":0.095038},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":96.943039,""pixel_xy"":[985.180929,493.809339],""world_xy_yaw"":[0.529504,0.762353,1.496271],""pnp_valid"":true,""pnp_camera_xyz"":[0.682065,0.326798,1.225791],""pnp_camera_quat_xyzw"":[-0.037538,0.021536,0.69443,0.718258],""pnp_camera_rpy_deg"":[-1.38082,4.765167,88.009919],""pnp_reprojection_error_px"":0.114179}]",1,0.095038,158.930878,89.143514,,0,,0,,
2026-08-12T16:10:47.717261+00:00,23823.000909958,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001217,3,1786551047.706385374,finsrov_overhead_camera,"[-0.12192106352409007,0.5232392475503682,1.23027539038635]","[-0.00192533370940423,-0.013477866626171047,0.6980656642154206,0.7159043013174304]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000994,3,1,"[15,16,17]","[-0.069629,0.657696,1.546325]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.567963,""pixel_xy"":[690.991336,577.423885],""world_xy_yaw"":[0.035265,0.660343,1.537758],""pnp_valid"":true,""pnp_camera_xyz"":[0.019307,0.519871,1.234613],""pnp_camera_quat_xyzw"":[0.001811,-0.013212,0.695873,0.718041],""pnp_camera_rpy_deg"":[-0.904748,-1.231604,88.213267],""pnp_reprojection_error_px"":0.087815},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.471283,""pixel_xy"":[628.554381,579.593516],""world_xy_yaw"":[-0.069629,0.657696,1.546325],""pnp_valid"":true,""pnp_camera_xyz"":[-0.121921,0.523239,1.230275],""pnp_camera_quat_xyzw"":[-0.001925,-0.013478,0.698066,0.715904],""pnp_camera_rpy_deg"":[-1.236342,-0.95171,88.564659],""pnp_reprojection_error_px"":0.082067},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.605789,""pixel_xy"":[984.929818,493.974029],""world_xy_yaw"":[0.529082,0.762152,1.495736],""pnp_valid"":true,""pnp_camera_xyz"":[0.681061,0.326944,1.225032],""pnp_camera_quat_xyzw"":[-0.035366,0.022081,0.693964,0.718802],""pnp_camera_rpy_deg"":[-1.160992,4.636198,87.938563],""pnp_reprojection_error_px"":0.105109}]",1,0.082067,155.471283,89.33404,,0,,0,,
2026-08-12T16:10:47.766588+00:00,23823.050242017,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002064,4,1786551047.747343779,finsrov_overhead_camera,"[-0.12217245288923907,0.5232554371489697,1.2308455133077647]","[-0.0038374146279473963,-0.014238588064073293,0.6976754776741242,0.7162621480373631]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001810,4,1,"[15,16,17]","[-0.069808,0.657795,1.544632]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.30188,""pixel_xy"":[690.854765,577.298221],""world_xy_yaw"":[0.035036,0.660496,1.537861],""pnp_valid"":true,""pnp_camera_xyz"":[0.01909,0.519633,1.234749],""pnp_camera_quat_xyzw"":[0.001541,-0.011443,0.695969,0.717979],""pnp_camera_rpy_deg"":[-0.785952,-1.064392,88.223694],""pnp_reprojection_error_px"":0.047926},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.632629,""pixel_xy"":[628.447416,579.51194],""world_xy_yaw"":[-0.069808,0.657795,1.544632],""pnp_valid"":true,""pnp_camera_xyz"":[-0.122172,0.523255,1.230846],""pnp_camera_quat_xyzw"":[-0.003837,-0.014239,0.697675,0.716262],""pnp_camera_rpy_deg"":[-1.453629,-0.861909,88.504678],""pnp_reprojection_error_px"":0.082803},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.072723,""pixel_xy"":[984.759404,494.05725],""world_xy_yaw"":[0.528796,0.76205,1.49526],""pnp_valid"":true,""pnp_camera_xyz"":[0.680011,0.326752,1.223979],""pnp_camera_quat_xyzw"":[-0.033006,0.020916,0.693679,0.719224],""pnp_camera_rpy_deg"":[-1.060746,4.351648,87.888111],""pnp_reprojection_error_px"":0.070794}]",1,0.082803,155.632629,86.987882,,0,,0,,
2026-08-12T16:10:47.816507+00:00,23823.100162504,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000945,6,1786551047.803886652,finsrov_overhead_camera,"[-0.12268188045421383,0.5231455367641707,1.2315950869136005]","[-0.001761081262772906,-0.014585181051147738,0.6971374674773766,0.7167869436071788]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000775,6,1,"[15,16,17]","[-0.070072,0.65802,1.542288]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.24733,""pixel_xy"":[690.635344,577.017428],""world_xy_yaw"":[0.034667,0.660839,1.537841],""pnp_valid"":true,""pnp_camera_xyz"":[0.018705,0.518548,1.233641],""pnp_camera_quat_xyzw"":[-0.000684,-0.013934,0.695766,0.718133],""pnp_camera_rpy_deg"":[-1.167583,-1.0922,88.198581],""pnp_reprojection_error_px"":0.01054},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.313629,""pixel_xy"":[628.290729,579.328115],""world_xy_yaw"":[-0.070072,0.65802,1.542288],""pnp_valid"":true,""pnp_camera_xyz"":[-0.122682,0.523146,1.231595],""pnp_camera_quat_xyzw"":[-0.001761,-0.014585,0.697137,0.716787],""pnp_camera_rpy_deg"":[-1.310141,-1.057368,88.4197],""pnp_reprojection_error_px"":0.053592},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.367905,""pixel_xy"":[984.269455,494.038315],""world_xy_yaw"":[0.527973,0.762073,1.496298],""pnp_valid"":true,""pnp_camera_xyz"":[0.680218,0.327444,1.226305],""pnp_camera_quat_xyzw"":[-0.032946,0.022785,0.693589,0.719257],""pnp_camera_rpy_deg"":[-0.907346,4.501159,87.882696],""pnp_reprojection_error_px"":0.080755}]",1,0.053592,155.313629,84.964956,,0,,0,,
2026-08-12T16:10:47.865748+00:00,23823.149407446,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001618,7,1786551047.836765051,finsrov_overhead_camera,"[-0.12284158641634457,0.5228111726908604,1.2313895177997292]","[-0.0012446825471657359,-0.013100666577527011,0.6966280821429425,0.717311744271922]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001352,7,1,"[15,16,17]","[-0.070189,0.658123,1.539742]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.877762,""pixel_xy"":[690.587093,576.845802],""world_xy_yaw"":[0.034586,0.661048,1.538958],""pnp_valid"":true,""pnp_camera_xyz"":[0.018554,0.518264,1.233771],""pnp_camera_quat_xyzw"":[-0.000548,-0.012884,0.695795,0.718125],""pnp_camera_rpy_deg"":[-1.072625,-1.016561,88.199878],""pnp_reprojection_error_px"":0.029712},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.79953,""pixel_xy"":[628.220731,579.243745],""world_xy_yaw"":[-0.070189,0.658123,1.539742],""pnp_valid"":true,""pnp_camera_xyz"":[-0.122842,0.522811,1.23139],""pnp_camera_quat_xyzw"":[-0.001245,-0.013101,0.696628,0.717312],""pnp_camera_rpy_deg"":[-1.14835,-0.977534,88.333626],""pnp_reprojection_error_px"":0.028504},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":93.346886,""pixel_xy"":[984.005781,494.075852],""world_xy_yaw"":[0.52753,0.762027,1.494143],""pnp_valid"":true,""pnp_camera_xyz"":[0.679506,0.327388,1.226072],""pnp_camera_quat_xyzw"":[-0.033361,0.021732,0.693231,0.719615],""pnp_camera_rpy_deg"":[-1.027857,4.446667,87.820441],""pnp_reprojection_error_px"":0.083351}]",1,0.028504,156.79953,85.435987,,0,,0,,
2026-08-12T16:10:47.915282+00:00,23823.198948526,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000413,9,1786551047.907457829,finsrov_overhead_camera,"[-0.12308251360743223,0.5222821531937885,1.2311934052058016]","[-0.0015910533629425886,-0.01440390067777614,0.6961806886769444,0.7177203110597865]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000335,9,1,"[15,16,17]","[-0.070373,0.658375,1.538794]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.764557,""pixel_xy"":[690.440856,576.50222],""world_xy_yaw"":[0.034341,0.661467,1.536682],""pnp_valid"":true,""pnp_camera_xyz"":[0.018297,0.517855,1.234615],""pnp_camera_quat_xyzw"":[-0.001136,-0.012766,0.694852,0.719039],""pnp_camera_rpy_deg"":[-1.110351,-0.961429,88.04924],""pnp_reprojection_error_px"":0.03718},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.171661,""pixel_xy"":[628.111216,579.037132],""world_xy_yaw"":[-0.070373,0.658375,1.538794],""pnp_valid"":true,""pnp_camera_xyz"":[-0.123083,0.522282,1.231193],""pnp_camera_quat_xyzw"":[-0.001591,-0.014404,0.696181,0.71772],""pnp_camera_rpy_deg"":[-1.280272,-1.057776,88.266245],""pnp_reprojection_error_px"":0.03199},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.378494,""pixel_xy"":[983.543704,494.255686],""world_xy_yaw"":[0.526753,0.761808,1.490149],""pnp_valid"":true,""pnp_camera_xyz"":[0.679691,0.328397,1.228293],""pnp_camera_quat_xyzw"":[-0.037167,0.023556,0.69302,0.719574],""pnp_camera_rpy_deg"":[-1.198489,4.899869,87.794855],""pnp_reprojection_error_px"":0.083496}]",1,0.03199,157.171661,87.186288,,0,,0,,
2026-08-12T16:10:47.965203+00:00,23823.248868564,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001089,10,1786551047.938778162,finsrov_overhead_camera,"[-0.12314442025168429,0.5220277330974944,1.2310355915111864]","[-0.0020961648090036767,-0.015295452958408548,0.6960879617003172,0.7177905020183734]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000912,10,1,"[15,16,17]","[-0.070377,0.658474,1.538346]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.602783,""pixel_xy"":[690.411035,576.337866],""world_xy_yaw"":[0.034291,0.661668,1.537235],""pnp_valid"":true,""pnp_camera_xyz"":[0.018186,0.517718,1.235098],""pnp_camera_quat_xyzw"":[-0.000949,-0.012226,0.694812,0.719087],""pnp_camera_rpy_deg"":[-1.051832,-0.931894,88.041338],""pnp_reprojection_error_px"":0.048316},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.967651,""pixel_xy"":[628.108863,578.955964],""world_xy_yaw"":[-0.070377,0.658474,1.538346],""pnp_valid"":true,""pnp_camera_xyz"":[-0.123144,0.522028,1.231036],""pnp_camera_quat_xyzw"":[-0.002096,-0.015295,0.696088,0.717791],""pnp_camera_rpy_deg"":[-1.392859,-1.090956,88.254459],""pnp_reprojection_error_px"":0.029816},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.784355,""pixel_xy"":[983.376083,494.420423],""world_xy_yaw"":[0.526472,0.761607,1.489374],""pnp_valid"":true,""pnp_camera_xyz"":[0.679126,0.328662,1.227895],""pnp_camera_quat_xyzw"":[-0.038407,0.022601,0.692806,0.719745],""pnp_camera_rpy_deg"":[-1.378583,4.919268,87.755657],""pnp_reprojection_error_px"":0.099106}]",1,0.029816,157.967651,85.992691,,0,,0,,
2026-08-12T16:10:48.016033+00:00,23823.299688737,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000830,12,1786551048.002651930,finsrov_overhead_camera,"[-0.12325588940672795,0.521848395586852,1.2312829160702903]","[-0.004668957028014985,-0.015501302589530688,0.69558413876131,0.7182622197790894]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000673,12,1,"[15,16,17]","[-0.07043,0.658639,1.537915]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.972763,""pixel_xy"":[690.334259,576.162722],""world_xy_yaw"":[0.034162,0.661881,1.53438],""pnp_valid"":true,""pnp_camera_xyz"":[0.018047,0.517077,1.234775],""pnp_camera_quat_xyzw"":[-0.001329,-0.013464,0.694625,0.719245],""pnp_camera_rpy_deg"":[-1.181465,-1.003936,88.015178],""pnp_reprojection_error_px"":0.011555},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":158.087357,""pixel_xy"":[628.077599,578.820292],""world_xy_yaw"":[-0.07043,0.658639,1.537915],""pnp_valid"":true,""pnp_camera_xyz"":[-0.123256,0.521848,1.231283],""pnp_camera_quat_xyzw"":[-0.004669,-0.015501,0.695584,0.718262],""pnp_camera_rpy_deg"":[-1.620283,-0.903746,88.17489],""pnp_reprojection_error_px"":0.041875},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":96.149673,""pixel_xy"":[983.126386,494.581503],""world_xy_yaw"":[0.526052,0.761411,1.488696],""pnp_valid"":true,""pnp_camera_xyz"":[0.678234,0.328832,1.227246],""pnp_camera_quat_xyzw"":[-0.037463,0.020478,0.691949,0.720683],""pnp_camera_rpy_deg"":[-1.475206,4.666781,87.60935],""pnp_reprojection_error_px"":0.11454}]",1,0.041875,158.087357,87.752975,,0,,0,,
2026-08-12T16:10:48.065086+00:00,23823.348753052,rigid_down15cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001024,13,1786551048.039637566,finsrov_overhead_camera,"[-0.12331491009043094,0.521858375800353,1.2315963912612475]","[-0.005592038938659075,-0.01663546148235308,0.6956390028606638,0.718177114798849]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000864,13,1,"[15,16,17]","[-0.070455,0.658703,1.538008]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.036636,""pixel_xy"":[690.310396,576.084219],""world_xy_yaw"":[0.034121,0.661977,1.535075],""pnp_valid"":true,""pnp_camera_xyz"":[0.018005,0.516907,1.234732],""pnp_camera_quat_xyzw"":[-0.001632,-0.015197,0.694656,0.719179],""pnp_camera_rpy_deg"":[-1.344577,-1.122524,88.025771],""pnp_reprojection_error_px"":0.020028},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.509796,""pixel_xy"":[628.062693,578.767656],""world_xy_yaw"":[-0.070455,0.658703,1.538008],""pnp_valid"":true,""pnp_camera_xyz"":[-0.123315,0.521858,1.231596],""pnp_camera_quat_xyzw"":[-0.005592,-0.016635,0.695639,0.718177],""pnp_camera_rpy_deg"":[-1.786815,-0.923323,88.187811],""pnp_reprojection_error_px"":0.038981},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.783501,""pixel_xy"":[983.082715,494.614695],""world_xy_yaw"":[0.525979,0.76137,1.487076],""pnp_valid"":true,""pnp_camera_xyz"":[0.679088,0.329423,1.229014],""pnp_camera_quat_xyzw"":[-0.038208,0.023256,0.691856,0.720648],""pnp_camera_rpy_deg"":[-1.316504,4.955884,87.607574],""pnp_reprojection_error_px"":0.10272}]",1,0.038981,160.509796,88.399583,,0,,0,,
