host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T15:57:41.477606+00:00,23036.761275586,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T15:57:41.528742+00:00,23036.812411261,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001244,1,1786550261.496677399,finsrov_overhead_camera,"[1.103031194831159,0.2498734315408927,1.232438869452486]","[-0.02118780988552302,0.02334041860386562,0.7910819711052606,0.6108973862801077]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001065,1,1,"[16,17]","[0.829716,0.806103,1.772308]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.41478,""pixel_xy"":[750.670467,597.220461],""world_xy_yaw"":[0.135526,0.636191,1.456535],""pnp_valid"":true,""pnp_camera_xyz"":[0.167398,0.609977,1.334461],""pnp_camera_quat_xyzw"":[-0.009882,0.000636,0.666842,0.745133],""pnp_camera_rpy_deg"":[-0.795318,0.809506,83.646998],""pnp_reprojection_error_px"":0.026922},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":170.302551,""pixel_xy"":[1163.878874,457.947995],""world_xy_yaw"":[0.829716,0.806103,1.772308],""pnp_valid"":true,""pnp_camera_xyz"":[1.103031,0.249873,1.232439],""pnp_camera_quat_xyzw"":[-0.021188,0.02334,0.791082,0.610897],""pnp_camera_rpy_deg"":[0.633849,3.556902,104.666874],""pnp_reprojection_error_px"":0.020498}]",1,0.020498,170.302551,93.824146,,0,,0,,
2026-08-12T15:57:41.579429+00:00,23036.863094107,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000807,3,1786550261.571813107,finsrov_overhead_camera,"[1.1043051432705595,0.250070240411312,1.232736409799273]","[-0.02023625859663185,0.022202782316759224,0.7917002760734281,0.61017063446274]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000659,3,1,"[16,17]","[0.830393,0.806033,1.776106]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.344193,""pixel_xy"":[750.551713,597.371346],""world_xy_yaw"":[0.135327,0.636007,1.458375],""pnp_valid"":true,""pnp_camera_xyz"":[0.166719,0.608611,1.330582],""pnp_camera_quat_xyzw"":[-0.008816,-0.003658,0.667008,0.74499],""pnp_camera_rpy_deg"":[-1.032288,0.361509,83.674462],""pnp_reprojection_error_px"":0.019949},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":171.935547,""pixel_xy"":[1164.281401,458.005796],""world_xy_yaw"":[0.830393,0.806033,1.776106],""pnp_valid"":true,""pnp_camera_xyz"":[1.104305,0.25007,1.232736],""pnp_camera_quat_xyzw"":[-0.020236,0.022203,0.7917,0.610171],""pnp_camera_rpy_deg"":[0.600419,3.390283,104.77423],""pnp_reprojection_error_px"":0.027825}]",1,0.027825,171.935547,94.740056,,0,,0,,
2026-08-12T15:57:41.630059+00:00,23036.913716498,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002339,4,1786550261.598140955,finsrov_overhead_camera,"[1.1054028681511838,0.25028044118545095,1.2335415370532743]","[-0.020773822493701168,0.02235492102785261,0.792083018933432,0.6096500610367714]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002101,4,1,"[15,16,17]","[0.830672,0.806014,1.776718]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":137.304932,""pixel_xy"":[808.044983,590.735709],""world_xy_yaw"":[0.231916,0.644102,1.455361],""pnp_valid"":true,""pnp_camera_xyz"":[0.305484,0.588464,1.322584],""pnp_camera_quat_xyzw"":[-0.001812,-0.009444,0.665626,0.746223],""pnp_camera_rpy_deg"":[-0.875309,-0.669359,83.470645],""pnp_reprojection_error_px"":0.064115},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.882416,""pixel_xy"":[750.537893,597.474618],""world_xy_yaw"":[0.135304,0.635881,1.458881],""pnp_valid"":true,""pnp_camera_xyz"":[0.166135,0.606972,1.326346],""pnp_camera_quat_xyzw"":[-0.006438,-0.008596,0.666637,0.745305],""pnp_camera_rpy_deg"":[-1.206639,-0.242339,83.624604],""pnp_reprojection_error_px"":0.021747},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":171.610077,""pixel_xy"":[1164.447533,458.021152],""world_xy_yaw"":[0.830672,0.806014,1.776718],""pnp_valid"":true,""pnp_camera_xyz"":[1.105403,0.25028,1.233542],""pnp_camera_quat_xyzw"":[-0.020774,0.022355,0.792083,0.60965],""pnp_camera_rpy_deg"":[0.578851,3.449372,104.847947],""pnp_reprojection_error_px"":0.014147}]",1,0.014147,171.610077,93.004119,,0,,0,,
2026-08-12T15:57:41.678767+00:00,23036.962437955,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000631,6,1786550261.664085388,finsrov_overhead_camera,"[1.1062877635718764,0.25058628947898004,1.2339579009445123]","[-0.021536181551851344,0.023872671166869454,0.7927493975604903,0.6086991712849658]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000510,6,1,"[16,17]","[0.831015,0.805936,1.777685]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.441086,""pixel_xy"":[750.413576,597.754398],""world_xy_yaw"":[0.135095,0.63554,1.4589],""pnp_valid"":true,""pnp_camera_xyz"":[0.165026,0.604229,1.318833],""pnp_camera_quat_xyzw"":[-0.007132,-0.011488,0.666278,0.74558],""pnp_camera_rpy_deg"":[-1.486631,-0.436991,83.575986],""pnp_reprojection_error_px"":0.072458},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":174.695663,""pixel_xy"":[1164.652008,458.085598],""world_xy_yaw"":[0.831015,0.805936,1.777685],""pnp_valid"":true,""pnp_camera_xyz"":[1.106288,0.250586,1.233958],""pnp_camera_quat_xyzw"":[-0.021536,0.023873,0.792749,0.608699],""pnp_camera_rpy_deg"":[0.667814,3.623976,104.984638],""pnp_reprojection_error_px"":0.032746}]",1,0.032746,174.695663,90.82806,,0,,0,,
2026-08-12T15:57:41.729030+00:00,23037.012694848,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001558,7,1786550261.701228619,finsrov_overhead_camera,"[1.1068681024736253,0.2507334229095988,1.2344209336850689]","[-0.021655645421092835,0.023836207235761353,0.7927486787062623,0.6086972980517369]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001397,7,1,"[15,16,17]","[0.831108,0.805888,1.77665]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":138.305435,""pixel_xy"":[806.561888,592.314685],""world_xy_yaw"":[0.229424,0.642176,1.453659],""pnp_valid"":true,""pnp_camera_xyz"":[0.299539,0.580324,1.300158],""pnp_camera_quat_xyzw"":[-0.168874,0.487022,0.55176,0.655631],""pnp_camera_rpy_deg"":[33.994786,55.585359,98.471301],""pnp_reprojection_error_px"":1.443618},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.305801,""pixel_xy"":[750.341959,597.920826],""world_xy_yaw"":[0.134974,0.635337,1.458041],""pnp_valid"":true,""pnp_camera_xyz"":[0.164613,0.603641,1.316813],""pnp_camera_quat_xyzw"":[-0.009768,-0.011344,0.66652,0.745337],""pnp_camera_rpy_deg"":[-1.700988,-0.222828,83.612891],""pnp_reprojection_error_px"":0.073735},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":172.314301,""pixel_xy"":[1164.707183,458.124249],""world_xy_yaw"":[0.831108,0.805888,1.77665],""pnp_valid"":true,""pnp_camera_xyz"":[1.106868,0.250733,1.234421],""pnp_camera_quat_xyzw"":[-0.021656,0.023836,0.792749,0.608697],""pnp_camera_rpy_deg"":[0.656153,3.632294,104.984437],""pnp_reprojection_error_px"":0.031586}]",1,0.031586,172.314301,93.787393,,0,,0,,
2026-08-12T15:57:41.780260+00:00,23037.063917663,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001237,9,1786550261.768260717,finsrov_overhead_camera,"[1.1074933215632838,0.25082932713206957,1.2350505675509074]","[-0.021679309088157815,0.025425775884101588,0.7929038035710299,0.6084300253609656]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001005,9,1,"[16,17]","[0.831157,0.80592,1.776275]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.997711,""pixel_xy"":[750.14979,598.158383],""world_xy_yaw"":[0.134652,0.635047,1.455932],""pnp_valid"":true,""pnp_camera_xyz"":[0.164552,0.605844,1.320584],""pnp_camera_quat_xyzw"":[-0.015927,-0.003914,0.666951,0.744921],""pnp_camera_rpy_deg"":[-1.659103,0.883136,83.665423],""pnp_reprojection_error_px"":0.064221},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":171.792007,""pixel_xy"":[1164.736424,458.098221],""world_xy_yaw"":[0.831157,0.80592,1.776275],""pnp_valid"":true,""pnp_camera_xyz"":[1.107493,0.250829,1.235051],""pnp_camera_quat_xyzw"":[-0.021679,0.025426,0.792904,0.60843],""pnp_camera_rpy_deg"":[0.800422,3.745159,105.024938],""pnp_reprojection_error_px"":0.03394}]",1,0.03394,171.792007,90.548908,,0,,0,,
2026-08-12T15:57:41.830041+00:00,23037.113698438,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002285,10,1786550261.795671701,finsrov_overhead_camera,"[1.1075878021937537,0.25090772367407427,1.2352410890438343]","[-0.022577048890006293,0.02607932218372813,0.7928874195748985,0.6083910631310379]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002047,10,1,"[16,17]","[0.831122,0.805915,1.775229]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.551178,""pixel_xy"":[750.048722,598.224598],""world_xy_yaw"":[0.134482,0.634966,1.454781],""pnp_valid"":true,""pnp_camera_xyz"":[0.164507,0.60687,1.32256],""pnp_camera_quat_xyzw"":[-0.019329,0.000225,0.667054,0.744758],""pnp_camera_rpy_deg"":[-1.63311,1.496851,83.678075],""pnp_reprojection_error_px"":0.066446},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":172.097961,""pixel_xy"":[1164.715586,458.102794],""world_xy_yaw"":[0.831122,0.805915,1.775229],""pnp_valid"":true,""pnp_camera_xyz"":[1.107588,0.250908,1.235241],""pnp_camera_quat_xyzw"":[-0.022577,0.026079,0.792887,0.608391],""pnp_camera_rpy_deg"":[0.797374,3.872416,105.028126],""pnp_reprojection_error_px"":0.038862}]",1,0.038862,172.097961,90.3897,,0,,0,,
2026-08-12T15:57:41.880213+00:00,23037.163870878,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001212,12,1786550261.864058495,finsrov_overhead_camera,"[1.1079884514247527,0.25098030375367736,1.2359913501871995]","[-0.02298028801257983,0.026695263705118093,0.7929093126329116,0.6083207140962542]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000983,12,1,"[16,17]","[0.830938,0.805945,1.773892]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.263748,""pixel_xy"":[749.777104,598.31247],""world_xy_yaw"":[0.134026,0.634859,1.453841],""pnp_valid"":true,""pnp_camera_xyz"":[0.16393,0.607666,1.323724],""pnp_camera_quat_xyzw"":[-0.016275,0.006045,0.666425,0.74537],""pnp_camera_rpy_deg"":[-0.928944,1.759427,83.584646],""pnp_reprojection_error_px"":0.041164},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":175.65419,""pixel_xy"":[1164.606123,458.077775],""world_xy_yaw"":[0.830938,0.805945,1.773892],""pnp_valid"":true,""pnp_camera_xyz"":[1.107988,0.25098,1.235991],""pnp_camera_quat_xyzw"":[-0.02298,0.026695,0.792909,0.608321],""pnp_camera_rpy_deg"":[0.825623,3.952023,105.037583],""pnp_reprojection_error_px"":0.031841}]",1,0.031841,175.65419,91.284992,,0,,0,,
2026-08-12T15:57:41.930113+00:00,23037.213770845,rigid_left20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002302,13,1786550261.899935722,finsrov_overhead_camera,"[1.1077483510595878,0.2508598714400891,1.2358659097044942]","[-0.024109154407004466,0.027305088038524074,0.7928025946588297,0.6083890422609657]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.002061,13,1,"[16,17]","[0.830855,0.805991,1.771485]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.887955,""pixel_xy"":[749.576238,598.306382],""world_xy_yaw"":[0.133688,0.634866,1.455329],""pnp_valid"":true,""pnp_camera_xyz"":[0.163483,0.607554,1.323367],""pnp_camera_quat_xyzw"":[-0.014421,0.005018,0.666345,0.745488],""pnp_camera_rpy_deg"":[-0.849103,1.530021,83.571712],""pnp_reprojection_error_px"":0.041734},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":171.897919,""pixel_xy"":[1164.556511,458.0399],""world_xy_yaw"":[0.830855,0.805991,1.771485],""pnp_valid"":true,""pnp_camera_xyz"":[1.107748,0.25086,1.235866],""pnp_camera_quat_xyzw"":[-0.024109,0.027305,0.792803,0.608389],""pnp_camera_rpy_deg"":[0.801902,4.09738,105.024118],""pnp_reprojection_error_px"":0.029357}]",1,0.029357,171.897919,92.755612,,0,,0,,
