host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T16:01:24.162169+00:00,23259.445837062,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T16:01:24.213278+00:00,23259.496925983,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T16:01:24.264587+00:00,23259.548236220,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T16:01:24.316079+00:00,23259.599734162,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000393,3,1786550484.232474804,finsrov_overhead_camera,"[0.6484825845022826,-0.003473450571677549,1.2603990047690699]","[-0.028668612395622853,0.022811379603089526,0.6768887599313742,0.7351730124960245]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000161,3,1,"[15,16,17]","[0.491121,0.941209,1.454167]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.855331,""pixel_xy"":[774.608055,559.866184],""world_xy_yaw"":[0.175742,0.681763,0.727794],""pnp_valid"":true,""pnp_camera_xyz"":[0.220458,0.5055,1.30072],""pnp_camera_quat_xyzw"":[0.018357,-0.022165,0.361372,0.931978],""pnp_camera_rpy_deg"":[1.044229,-3.128829,42.35882],""pnp_reprojection_error_px"":0.100658},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.992844,""pixel_xy"":[734.681633,602.741589],""world_xy_yaw"":[0.108665,0.629455,0.742545],""pnp_valid"":true,""pnp_camera_xyz"":[0.12785,0.620561,1.327636],""pnp_camera_quat_xyzw"":[0.001666,-0.015384,0.363187,0.931588],""pnp_camera_rpy_deg"":[-0.462596,-1.711844,42.604373],""pnp_reprojection_error_px"":0.138897},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.079559,""pixel_xy"":[962.333968,347.205626],""world_xy_yaw"":[0.491121,0.941209,1.454167],""pnp_valid"":true,""pnp_camera_xyz"":[0.648483,-0.003473,1.260399],""pnp_camera_quat_xyzw"":[-0.028669,0.022811,0.676889,0.735173],""pnp_camera_rpy_deg"":[-0.647506,4.149063,85.249348],""pnp_reprojection_error_px"":0.052066}]",1,0.052066,168.079559,83.005805,,0,,0,,
2026-08-12T16:01:24.365111+00:00,23259.648765688,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000080,6,1786550484.326553583,finsrov_overhead_camera,"[0.6477842147547657,-0.0035000532307235747,1.258992245938287]","[-0.023552149855497067,0.025937761521852173,0.6762747171465668,0.7358158979749967]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001027,5,1,"[15,16,17]","[0.491134,0.941199,1.452331]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.222519,""pixel_xy"":[775.026153,559.757285],""world_xy_yaw"":[0.176444,0.681896,0.731125],""pnp_valid"":true,""pnp_camera_xyz"":[0.225387,0.513238,1.321854],""pnp_camera_quat_xyzw"":[0.012781,-0.025756,0.361935,0.93176],""pnp_camera_rpy_deg"":[0.296943,-3.281897,42.448049],""pnp_reprojection_error_px"":0.058461},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.922043,""pixel_xy"":[735.440384,602.75132],""world_xy_yaw"":[0.10994,0.629443,0.730553],""pnp_valid"":true,""pnp_camera_xyz"":[0.128463,0.61591,1.317602],""pnp_camera_quat_xyzw"":[0.0078,-0.031389,0.364326,0.93071],""pnp_camera_rpy_deg"":[-0.479545,-3.675825,42.77105],""pnp_reprojection_error_px"":0.078431},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.999191,""pixel_xy"":[962.341846,347.213838],""world_xy_yaw"":[0.491134,0.941199,1.452331],""pnp_valid"":true,""pnp_camera_xyz"":[0.648057,-0.003516,1.25956],""pnp_camera_quat_xyzw"":[-0.025827,0.025473,0.676632,0.735427],""pnp_camera_rpy_deg"":[-0.202011,4.152875,85.224138],""pnp_reprojection_error_px"":0.030238}]",1,0.030238,167.999191,82.818206,,0,,0,,
2026-08-12T16:01:24.414528+00:00,23259.698182663,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000459,8,1786550484.406746864,finsrov_overhead_camera,"[0.6476410292227983,-0.0031628544303655224,1.2586234524076]","[-0.021097235455325738,0.025222157240041277,0.6758552171176826,0.7363005330265022]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000248,8,1,"[15,16,17]","[0.491165,0.941014,1.453512]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.929764,""pixel_xy"":[775.949413,559.192022],""world_xy_yaw"":[0.177995,0.682586,0.741416],""pnp_valid"":true,""pnp_camera_xyz"":[0.229558,0.516799,1.33375],""pnp_camera_quat_xyzw"":[0.002133,-0.028957,0.364763,0.930648],""pnp_camera_rpy_deg"":[-0.984482,-3.178886,42.832253],""pnp_reprojection_error_px"":0.101503},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.265961,""pixel_xy"":[736.495573,602.813339],""world_xy_yaw"":[0.111713,0.629368,0.739123],""pnp_valid"":true,""pnp_camera_xyz"":[0.130135,0.611451,1.307838],""pnp_camera_quat_xyzw"":[-0.008695,-0.032072,0.365854,0.930079],""pnp_camera_rpy_deg"":[-2.275168,-3.05516,43.005863],""pnp_reprojection_error_px"":0.080553},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.384537,""pixel_xy"":[962.360426,347.365248],""world_xy_yaw"":[0.491165,0.941014,1.453512],""pnp_valid"":true,""pnp_camera_xyz"":[0.647641,-0.003163,1.258623],""pnp_camera_quat_xyzw"":[-0.021097,0.025222,0.675855,0.736301],""pnp_camera_rpy_deg"":[0.173709,3.764722,85.103773],""pnp_reprojection_error_px"":0.039403}]",1,0.039403,168.384537,84.850812,,0,,0,,
2026-08-12T16:01:24.464805+00:00,23259.748459684,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002247,9,1786550484.425599098,finsrov_overhead_camera,"[0.6474168474481468,-0.0029193935853702403,1.258209710691442]","[-0.021357995803697828,0.025160481173227826,0.6757686326382703,0.7363745930873657]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001945,9,1,"[15,16,17]","[0.491162,0.940884,1.453036]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.072342,""pixel_xy"":[776.286038,559.034629],""world_xy_yaw"":[0.178561,0.682778,0.742428],""pnp_valid"":true,""pnp_camera_xyz"":[0.229571,0.515009,1.329723],""pnp_camera_quat_xyzw"":[0.000849,-0.031148,0.36522,0.9304],""pnp_camera_rpy_deg"":[-1.215259,-3.358374,42.899734],""pnp_reprojection_error_px"":0.170547},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.306305,""pixel_xy"":[736.799178,602.959542],""world_xy_yaw"":[0.112223,0.629189,0.742539],""pnp_valid"":true,""pnp_camera_xyz"":[0.130507,0.610769,1.305785],""pnp_camera_quat_xyzw"":[-0.016147,-0.030604,0.367804,0.929259],""pnp_camera_rpy_deg"":[-3.013707,-2.579206,43.25555],""pnp_reprojection_error_px"":0.034305},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.591858,""pixel_xy"":[962.358417,347.472044],""world_xy_yaw"":[0.491162,0.940884,1.453036],""pnp_valid"":true,""pnp_camera_xyz"":[0.647417,-0.002919,1.25821],""pnp_camera_quat_xyzw"":[-0.021358,0.02516,0.675769,0.736375],""pnp_camera_rpy_deg"":[0.146443,3.779748,85.08984],""pnp_reprojection_error_px"":0.036141}]",1,0.036141,165.591858,83.895734,,0,,0,,
2026-08-12T16:01:24.628592+00:00,23259.912246215,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000390,12,1786550484.527243376,finsrov_overhead_camera,"[0.6475657435251658,-0.002419814000656913,1.2577550502880122]","[-0.026153670947424455,0.0240631143792575,0.6762959021162873,0.7357722506340272]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000140,12,1,"[16,17]","[0.491451,0.940626,1.452156]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.636383,""pixel_xy"":[737.271169,603.271305],""world_xy_yaw"":[0.113016,0.628809,0.74248],""pnp_valid"":true,""pnp_camera_xyz"":[0.132409,0.614707,1.31294],""pnp_camera_quat_xyzw"":[-0.015881,-0.016656,0.365214,0.930639],""pnp_camera_rpy_deg"":[-2.39184,-1.111621,42.876672],""pnp_reprojection_error_px"":0.033715},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.070709,""pixel_xy"":[962.530106,347.68375],""world_xy_yaw"":[0.491451,0.940626,1.452156],""pnp_valid"":true,""pnp_camera_xyz"":[0.647566,-0.00242,1.257755],""pnp_camera_quat_xyzw"":[-0.026154,0.024063,0.676296,0.735772],""pnp_camera_rpy_deg"":[-0.341121,4.059087,85.164163],""pnp_reprojection_error_px"":0.03307}]",1,0.03307,167.070709,88.519715,,0,,0,,
2026-08-12T16:01:24.632722+00:00,23259.916379206,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000086,15,1786550484.627828360,finsrov_overhead_camera,"[0.6492977463542556,-0.00231383560082421,1.2587429340284984]","[-0.026349397943620657,0.023421571620164863,0.6768693770314415,0.7352584481989437]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001102,14,1,"[16,17]","[0.491993,0.94053,1.451122]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.836594,""pixel_xy"":[737.421648,603.085266],""world_xy_yaw"":[0.113268,0.629036,0.738415],""pnp_valid"":true,""pnp_camera_xyz"":[0.133047,0.61428,1.312934],""pnp_camera_quat_xyzw"":[-0.000968,-0.013214,0.361949,0.932104],""pnp_camera_rpy_deg"":[-0.651685,-1.371374,42.451608],""pnp_reprojection_error_px"":0.121315},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.479752,""pixel_xy"":[962.852792,347.762641],""world_xy_yaw"":[0.491993,0.94053,1.451122],""pnp_valid"":true,""pnp_camera_xyz"":[0.648714,-0.002296,1.258608],""pnp_camera_quat_xyzw"":[-0.026903,0.02419,0.676605,0.735457],""pnp_camera_rpy_deg"":[-0.392838,4.128107,85.212601],""pnp_reprojection_error_px"":0.016907}]",1,0.016907,166.479752,92.455334,,0,,0,,
2026-08-12T16:01:24.634562+00:00,23259.918237530,rigid_right20cm,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001944,15,1786550484.627828360,finsrov_overhead_camera,"[0.6492977463542556,-0.00231383560082421,1.2587429340284984]","[-0.026349397943620657,0.023421571620164863,0.6768693770314415,0.7352584481989437]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001109,15,1,"[16,17]","[0.492335,0.94055,1.453179]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.132324,""pixel_xy"":[737.523993,602.875695],""world_xy_yaw"":[0.11344,0.629292,0.742135],""pnp_valid"":true,""pnp_camera_xyz"":[0.133189,0.61324,1.311386],""pnp_camera_quat_xyzw"":[0.002614,-0.015434,0.362984,0.931664],""pnp_camera_rpy_deg"":[-0.363106,-1.756768,42.578139],""pnp_reprojection_error_px"":0.152107},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.232727,""pixel_xy"":[963.056416,347.745971],""world_xy_yaw"":[0.492335,0.94055,1.453179],""pnp_valid"":true,""pnp_camera_xyz"":[0.649298,-0.002314,1.258743],""pnp_camera_quat_xyzw"":[-0.026349,0.023422,0.676869,0.735258],""pnp_camera_rpy_deg"":[-0.404392,4.020421,85.250339],""pnp_reprojection_error_px"":0.033664}]",1,0.033664,167.232727,91.129204,,0,,0,,
