host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T12:24:04.705996+00:00,10219.973452386,1.901443574,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.717940+00:00,10219.995970593,1.937454685,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.754708+00:00,10220.032166300,1.969443574,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.781408+00:00,10220.058984628,2.001465796,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.817958+00:00,10220.095843557,2.037443573,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.847216+00:00,10220.125919738,2.069454684,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.886060+00:00,10220.164664370,2.105443617,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.917131+00:00,10220.195978805,2.137443660,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.951430+00:00,10220.229297128,2.173443703,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:04.988384+00:00,10220.266360643,2.205443746,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.019613+00:00,10220.298522566,2.241432677,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.061308+00:00,10220.338579591,2.273443830,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.086962+00:00,10220.365736370,2.305454983,12,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.123904+00:00,10220.402071193,2.341443913,13,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.152765+00:00,10220.431560819,2.373455065,14,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.192745+00:00,10220.469914867,2.409443995,15,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.225157+00:00,10220.498817433,2.441455146,16,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.256383+00:00,10220.534799350,2.477432964,17,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.287701+00:00,10220.566925645,2.509444115,18,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.323441+00:00,10220.600933531,2.541455265,19,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.358979+00:00,10220.633055532,2.577444193,20,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.389079+00:00,10220.668084477,2.609455343,21,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.427158+00:00,10220.704160211,2.645444271,22,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.455885+00:00,10220.734018045,2.677444309,23,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.492268+00:00,10220.770335323,2.713444347,24,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.532732+00:00,10220.806579554,2.745444385,25,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.562099+00:00,10220.840055673,2.781444422,26,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.603136+00:00,10220.880521149,2.813444459,27,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.624792+00:00,10220.904124514,2.845466718,28,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T12:24:05.662414+00:00,10220.939958799,2.881444532,29,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
