host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T12:26:23.177218+00:00,10358.444342343,4.846307607,0,1280,480,563.938343,231.025819,29,127,2595,462.536394,236.337469,24,146,2418
2026-08-12T12:26:23.190685+00:00,10358.469498138,4.882308609,1,1280,480,563.716429,231.057330,29,127,2599,462.317124,236.049460,24,146,2406
2026-08-12T12:26:23.221011+00:00,10358.498981861,4.914309603,2,1280,480,563.551541,231.265881,28,127,2629,462.238765,229.857013,24,123,2203
2026-08-12T12:26:23.256250+00:00,10358.535361010,4.950310589,3,1280,480,563.454337,231.332824,28,129,2617,462.075274,229.822080,24,123,2192
2026-08-12T12:26:23.284641+00:00,10358.564182650,4.982311567,4,1280,480,563.300644,231.255964,28,128,2641,461.709038,236.731738,24,146,2423
2026-08-12T12:26:23.322616+00:00,10358.600117957,5.018334759,5,1280,480,563.166097,231.310908,29,129,2631,461.479705,237.004510,24,146,2439
2026-08-12T12:26:23.357057+00:00,10358.632848279,5.050302389,6,1280,480,562.917902,231.506651,29,128,2631,461.286300,237.073421,24,147,2438
2026-08-12T12:26:23.397408+00:00,10358.672647936,5.082325566,7,1280,480,562.645928,237.735058,28,152,2861,461.084158,236.997937,25,147,2424
2026-08-12T12:26:23.429049+00:00,10358.704601525,5.118315528,8,1280,480,562.522382,231.750379,29,128,2636,460.790515,237.166186,24,147,2425
2026-08-12T12:26:23.456639+00:00,10358.733662335,5.150316593,9,1280,480,562.141414,237.855799,28,152,2871,460.446084,237.226732,24,147,2439
2026-08-12T12:26:23.499559+00:00,10358.774941459,5.186317649,10,1280,480,561.909852,231.710156,29,128,2629,460.270748,230.487982,25,124,2205
2026-08-12T12:26:23.529938+00:00,10358.805464281,5.218329808,11,1280,480,561.548241,232.091184,29,128,2643,459.716865,237.453426,24,147,2437
2026-08-12T12:26:23.562890+00:00,10358.840475705,5.254308626,12,1280,480,561.329554,231.848828,29,129,2646,459.597391,230.571300,24,124,2223
2026-08-12T12:26:23.600514+00:00,10358.875984960,5.286320768,13,1280,480,561.059380,231.585855,29,128,2644,459.086546,237.422477,25,147,2438
2026-08-12T12:26:23.619827+00:00,10358.899155686,5.318332902,14,1280,480,560.872914,231.437785,29,128,2636,458.799177,237.048971,24,147,2430
2026-08-12T12:26:23.674806+00:00,10358.949670451,5.354322806,15,1280,480,560.733359,231.422844,29,128,2644,458.640606,237.339337,24,147,2443
2026-08-12T12:26:23.689580+00:00,10358.969380145,5.386323813,16,1280,480,560.740098,231.476801,29,129,2651,458.581158,237.511419,24,147,2452
2026-08-12T12:26:23.733122+00:00,10359.008290393,5.422324812,17,1280,480,560.769144,231.413288,29,129,2664,458.549353,237.276699,24,147,2472
2026-08-12T12:26:23.757460+00:00,10359.037132816,5.454325803,18,1280,480,560.803833,231.268320,29,129,2661,458.481151,237.345359,24,147,2467
2026-08-12T12:26:23.795590+00:00,10359.072588338,5.490326786,19,1280,480,560.822005,231.290650,29,129,2663,458.451052,237.241909,24,147,2472
2026-08-12T12:26:23.828871+00:00,10359.106890209,5.522327761,20,1280,480,560.715953,235.518217,29,145,2827,458.428803,237.126572,24,148,2465
2026-08-12T12:26:23.867898+00:00,10359.143261802,5.558317617,21,1280,480,560.834328,235.692524,29,145,2849,458.462439,236.943053,24,148,2476
2026-08-12T12:26:23.893354+00:00,10359.172608081,5.590329687,22,1280,480,560.912421,235.546755,29,144,2866,458.462222,236.901010,24,148,2475
2026-08-12T12:26:23.929879+00:00,10359.207017862,5.622330639,23,1280,480,561.006162,236.816844,29,154,2921,458.396364,236.453333,25,148,2475
2026-08-12T12:26:23.969241+00:00,10359.244729929,5.658364916,24,1280,480,560.960149,230.685661,29,130,2685,458.377181,229.365996,25,125,2235
2026-08-12T12:26:23.994676+00:00,10359.273642899,5.690332183,25,1280,480,560.449336,234.826345,29,146,2862,457.903226,235.954032,25,148,2480
2026-08-12T12:26:24.032742+00:00,10359.311540311,5.726343888,26,1280,480,560.453523,229.658171,29,130,2668,457.560016,235.154907,24,148,2466
2026-08-12T12:26:24.070061+00:00,10359.345628815,5.758344477,27,1280,480,560.180358,229.220687,29,129,2678,457.280419,234.962933,25,148,2482
2026-08-12T12:26:24.101857+00:00,10359.377713962,5.794333951,28,1280,480,559.989564,228.797987,29,130,2683,456.968927,234.587167,25,148,2478
2026-08-12T12:26:24.128095+00:00,10359.407492696,5.826345642,29,1280,480,559.755556,228.937407,29,130,2700,456.762495,234.503399,24,148,2501
2026-08-12T12:26:24.173637+00:00,10359.450720729,5.862323995,30,1280,480,559.493844,234.616963,29,154,2924,456.555068,234.558659,24,148,2506
2026-08-12T12:26:24.202555+00:00,10359.480539324,5.894335677,31,1280,480,559.440423,234.671219,29,154,2929,456.432335,234.084631,25,148,2505
2026-08-12T12:26:24.230897+00:00,10359.509477928,5.926369576,32,1280,480,559.432442,228.695249,29,130,2694,456.322658,234.039231,25,148,2498
2026-08-12T12:26:24.266388+00:00,10359.544625817,5.962336805,33,1280,480,559.365691,228.812153,29,130,2699,456.161265,234.366947,24,149,2499
2026-08-12T12:26:24.299263+00:00,10359.577913417,5.994348473,34,1280,480,559.302334,229.129307,30,130,2699,456.007585,234.800000,25,149,2505
2026-08-12T12:26:24.337226+00:00,10359.613552732,6.030337915,35,1280,480,559.176634,233.970097,28,147,2876,455.982000,234.857600,25,149,2500
2026-08-12T12:26:24.366170+00:00,10359.644760049,6.062338463,36,1280,480,559.219368,234.173898,29,147,2881,455.885885,235.309344,24,149,2515
2026-08-12T12:26:24.402725+00:00,10359.680377200,6.098339007,37,1280,480,559.433677,229.769344,29,130,2714,455.960733,228.736475,24,126,2292
2026-08-12T12:26:24.437110+00:00,10359.712705828,6.130328436,38,1280,480,559.337249,234.565999,29,147,2894,455.768133,235.712247,24,149,2523
2026-08-12T12:26:24.470644+00:00,10359.748607643,6.162351193,39,1280,480,559.309442,234.915920,29,148,2902,455.753267,235.824554,24,149,2525
2026-08-12T12:26:24.504206+00:00,10359.781254232,6.198340613,40,1280,480,559.399309,234.755095,29,148,2895,455.744572,236.054876,24,149,2533
2026-08-12T12:26:24.539499+00:00,10359.814912996,6.230341140,41,1280,480,559.727806,230.253118,29,131,2726,455.797463,236.025367,24,149,2523
2026-08-12T12:26:24.569079+00:00,10359.847546975,6.266341663,42,1280,480,559.959415,230.477148,29,131,2735,456.022213,235.573979,25,149,2521
2026-08-12T12:26:24.609891+00:00,10359.885270921,6.298342181,43,1280,480,560.037509,234.682037,29,148,2906,456.180484,235.316938,25,150,2521
2026-08-12T12:26:24.640572+00:00,10359.919167377,6.334342695,44,1280,480,560.198832,234.744849,28,148,2912,456.313262,235.531287,25,149,2541
2026-08-12T12:26:24.683770+00:00,10359.959901326,6.366343205,45,1280,480,560.432126,230.037688,29,131,2733,456.504114,228.642269,25,126,2309
2026-08-12T12:26:24.710448+00:00,10359.988668737,6.402343711,46,1280,480,560.269613,234.345666,29,147,2919,456.273228,235.639764,25,150,2540
2026-08-12T12:26:24.738752+00:00,10360.017068704,6.434344213,47,1280,480,560.105263,234.444976,29,147,2926,456.284037,228.385385,25,127,2299
2026-08-12T12:26:24.773002+00:00,10360.048645463,6.466344711,48,1280,480,560.136662,229.477405,29,132,2744,456.079447,228.370035,25,127,2316
2026-08-12T12:26:24.807880+00:00,10360.085575031,6.502345205,49,1280,480,560.002176,229.687704,29,132,2757,455.757849,235.406201,25,150,2548
2026-08-12T12:26:24.837960+00:00,10360.117533223,6.534345695,50,1280,480,559.873413,229.561843,29,131,2757,455.764935,228.272727,25,127,2310
