host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T12:26:34.180796+00:00,10369.464469074,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T12:26:34.232547+00:00,10369.516205167,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002454,1,1,"[15,16,17]","[-0.125972,0.947983,1.232654]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.523911,""pixel_xy"":[662.593134,562.199653],""world_xy_yaw"":[-0.012444,0.678916,-0.409443],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044725,0.482121,1.225709],""pnp_camera_quat_xyzw"":[-0.023928,-0.027291,-0.190451,0.981026],""pnp_camera_rpy_deg"":[-2.098894,-3.592478,-21.907058],""pnp_reprojection_error_px"":0.064285},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":138.67691,""pixel_xy"":[686.218786,622.665208],""world_xy_yaw"":[0.027248,0.605148,-0.417859],""pnp_valid"":true,""pnp_camera_xyz"":[0.008373,0.611764,1.213512],""pnp_camera_quat_xyzw"":[-0.046717,-0.029332,-0.190209,0.980193],""pnp_camera_rpy_deg"":[-4.62609,-4.316999,-21.789307],""pnp_reprojection_error_px"":0.050488},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.687424,""pixel_xy"":[595.016698,341.653223],""world_xy_yaw"":[-0.125972,0.947983,1.232654],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202903,-0.016274,1.25823],""pnp_camera_quat_xyzw"":[-0.020299,0.029648,0.572659,0.819006],""pnp_camera_rpy_deg"":[0.040588,4.11812,69.924928],""pnp_reprojection_error_px"":0.024325}]",1,0.024325,159.687424,91.401794,,0,,0,,
2026-08-12T12:26:34.282588+00:00,10369.566245657,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001669,3,1,"[15,16,17]","[-0.126009,0.947944,1.232071]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":135.176239,""pixel_xy"":[662.558677,562.214204],""world_xy_yaw"":[-0.012501,0.678899,-0.408853],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044743,0.482093,1.225575],""pnp_camera_quat_xyzw"":[-0.024196,-0.028495,-0.190276,0.981019],""pnp_camera_rpy_deg"":[-2.103675,-3.733484,-21.884754],""pnp_reprojection_error_px"":0.056719},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.445374,""pixel_xy"":[686.217354,622.698695],""world_xy_yaw"":[0.027245,0.605108,-0.418443],""pnp_valid"":true,""pnp_camera_xyz"":[0.008354,0.611815,1.213496],""pnp_camera_quat_xyzw"":[-0.047085,-0.031045,-0.189602,0.98024],""pnp_camera_rpy_deg"":[-4.633802,-4.514902,-21.711656],""pnp_reprojection_error_px"":0.043814},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.515976,""pixel_xy"":[594.994897,341.685022],""world_xy_yaw"":[-0.126009,0.947944,1.232071],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202816,-0.016211,1.257552],""pnp_camera_quat_xyzw"":[-0.019238,0.031867,0.57222,0.819255],""pnp_camera_rpy_deg"":[0.284286,4.257094,69.87637],""pnp_reprojection_error_px"":0.033898}]",1,0.033898,160.515976,89.211689,,0,,0,,
2026-08-12T12:26:34.332389+00:00,10369.616047677,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002393,4,1,"[15,16,17]","[-0.126016,0.947984,1.234041]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":139.380569,""pixel_xy"":[662.574201,562.195432],""world_xy_yaw"":[-0.012475,0.678922,-0.40945],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044742,0.481985,1.225334],""pnp_camera_quat_xyzw"":[-0.023704,-0.027406,-0.190449,0.981028],""pnp_camera_rpy_deg"":[-2.071129,-3.600571,-21.907471],""pnp_reprojection_error_px"":0.071838},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.969315,""pixel_xy"":[686.189397,622.671798],""world_xy_yaw"":[0.027198,0.60514,-0.417204],""pnp_valid"":true,""pnp_camera_xyz"":[0.008319,0.611559,1.213068],""pnp_camera_quat_xyzw"":[-0.046215,-0.02948,-0.189987,0.980255],""pnp_camera_rpy_deg"":[-4.567287,-4.321639,-21.765009],""pnp_reprojection_error_px"":0.052783},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.537903,""pixel_xy"":[594.990205,341.652293],""world_xy_yaw"":[-0.126016,0.947984,1.234041],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202744,-0.016235,1.257039],""pnp_camera_quat_xyzw"":[-0.020214,0.03412,0.572209,0.819149],""pnp_camera_rpy_deg"":[0.340898,4.532958,69.885248],""pnp_reprojection_error_px"":0.016213}]",1,0.016213,162.537903,88.953769,,0,,0,,
2026-08-12T12:26:34.382421+00:00,10369.666081659,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002393,5,1,"[15,16,17]","[-0.126017,0.94797,1.232578]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":138.057846,""pixel_xy"":[662.576554,562.213031],""world_xy_yaw"":[-0.012471,0.6789,-0.409616],""pnp_valid"":true,""pnp_camera_xyz"":[-0.04475,0.482128,1.22563],""pnp_camera_quat_xyzw"":[-0.02452,-0.027802,-0.190382,0.98101],""pnp_camera_rpy_deg"":[-2.154822,-3.662756,-21.896533],""pnp_reprojection_error_px"":0.066336},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.847397,""pixel_xy"":[686.203731,622.646958],""world_xy_yaw"":[0.027222,0.605171,-0.418085],""pnp_valid"":true,""pnp_camera_xyz"":[0.008307,0.611715,1.213374],""pnp_camera_quat_xyzw"":[-0.046135,-0.028131,-0.190344,0.980229],""pnp_camera_rpy_deg"":[-4.585616,-4.169802,-21.81122],""pnp_reprojection_error_px"":0.078717},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.277527,""pixel_xy"":[594.989751,341.663804],""world_xy_yaw"":[-0.126017,0.94797,1.232578],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202822,-0.016261,1.257706],""pnp_camera_quat_xyzw"":[-0.019249,0.03079,0.572502,0.819099],""pnp_camera_rpy_deg"":[0.213826,4.156458,69.91037],""pnp_reprojection_error_px"":0.039305}]",1,0.039305,160.277527,87.815759,,0,,0,,
2026-08-12T12:26:34.432393+00:00,10369.716052131,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001641,7,1,"[15,16,17]","[-0.125955,0.948044,1.233935]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":137.159851,""pixel_xy"":[662.559945,562.200022],""world_xy_yaw"":[-0.012499,0.678916,-0.409014],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044759,0.481923,1.225172],""pnp_camera_quat_xyzw"":[-0.022972,-0.027767,-0.190265,0.981071],""pnp_camera_rpy_deg"":[-1.981545,-3.624855,-21.888271],""pnp_reprojection_error_px"":0.067136},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.390839,""pixel_xy"":[686.201764,622.664519],""world_xy_yaw"":[0.027219,0.605149,-0.418489],""pnp_valid"":true,""pnp_camera_xyz"":[0.008283,0.611536,1.21301],""pnp_camera_quat_xyzw"":[-0.046038,-0.029879,-0.189719,0.980303],""pnp_camera_rpy_deg"":[-4.540004,-4.361561,-21.733269],""pnp_reprojection_error_px"":0.065331},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.211823,""pixel_xy"":[595.026885,341.603485],""world_xy_yaw"":[-0.125955,0.948044,1.233935],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202718,-0.016341,1.257375],""pnp_camera_quat_xyzw"":[-0.018927,0.030689,0.572738,0.818945],""pnp_camera_rpy_deg"":[0.238632,4.125738,69.943399],""pnp_reprojection_error_px"":0.011097}]",1,0.011097,159.211823,85.687302,,0,,0,,
2026-08-12T12:26:34.482449+00:00,10369.766107843,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001656,9,1,"[15,16,17]","[-0.125871,0.948132,1.234885]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":136.736633,""pixel_xy"":[662.552343,562.150637],""world_xy_yaw"":[-0.012512,0.678976,-0.408896],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044792,0.481974,1.225471],""pnp_camera_quat_xyzw"":[-0.024167,-0.027336,-0.190095,0.981087],""pnp_camera_rpy_deg"":[-2.126209,-3.602026,-21.864626],""pnp_reprojection_error_px"":0.086726},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.832199,""pixel_xy"":[686.13857,622.636943],""world_xy_yaw"":[0.027113,0.605183,-0.416738],""pnp_valid"":true,""pnp_camera_xyz"":[0.008169,0.611623,1.213286],""pnp_camera_quat_xyzw"":[-0.045869,-0.027742,-0.190059,0.980308],""pnp_camera_rpy_deg"":[-4.565053,-4.118948,-21.780126],""pnp_reprojection_error_px"":0.066837},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.034683,""pixel_xy"":[595.076751,341.531071],""world_xy_yaw"":[-0.125871,0.948132,1.234885],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202378,-0.0165,1.256074],""pnp_camera_quat_xyzw"":[-0.019736,0.034241,0.572508,0.818946],""pnp_camera_rpy_deg"":[0.395526,4.512739,69.928829],""pnp_reprojection_error_px"":0.017936}]",1,0.017936,163.034683,84.434454,,0,,0,,
2026-08-12T12:26:34.532483+00:00,10369.816140894,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002437,10,1,"[15,16,17]","[-0.125761,0.948163,1.233667]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":138.037369,""pixel_xy"":[662.539341,562.148264],""world_xy_yaw"":[-0.012534,0.678979,-0.40854],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044802,0.48185,1.225237],""pnp_camera_quat_xyzw"":[-0.023669,-0.027824,-0.18997,0.98111],""pnp_camera_rpy_deg"":[-2.059939,-3.645832,-21.851331],""pnp_reprojection_error_px"":0.074319},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.915176,""pixel_xy"":[686.11611,622.646717],""world_xy_yaw"":[0.027075,0.605171,-0.41661],""pnp_valid"":true,""pnp_camera_xyz"":[0.008136,0.611784,1.213587],""pnp_camera_quat_xyzw"":[-0.046293,-0.028687,-0.18975,0.980321],""pnp_camera_rpy_deg"":[-4.594083,-4.233006,-21.739461],""pnp_reprojection_error_px"":0.060413},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.005554,""pixel_xy"":[595.142155,341.505791],""world_xy_yaw"":[-0.125761,0.948163,1.233667],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202399,-0.016597,1.25716],""pnp_camera_quat_xyzw"":[-0.01883,0.032291,0.572603,0.81898],""pnp_camera_rpy_deg"":[0.352623,4.269993,69.932981],""pnp_reprojection_error_px"":0.026116}]",1,0.026116,161.005554,84.192892,,0,,0,,
2026-08-12T12:26:34.582468+00:00,10369.866125306,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001640,12,1,"[15,16,17]","[-0.125584,0.948253,1.234324]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":136.470078,""pixel_xy"":[662.56069,562.130349],""world_xy_yaw"":[-0.012498,0.679001,-0.408567],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044772,0.481844,1.225257],""pnp_camera_quat_xyzw"":[-0.024006,-0.028689,-0.189387,0.98119],""pnp_camera_rpy_deg"":[-2.081429,-3.749298,-21.781355],""pnp_reprojection_error_px"":0.08726},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.650772,""pixel_xy"":[686.116526,622.658005],""world_xy_yaw"":[0.027076,0.605157,-0.417924],""pnp_valid"":true,""pnp_camera_xyz"":[0.008099,0.612249,1.214434],""pnp_camera_quat_xyzw"":[-0.048135,-0.030089,-0.189167,0.980303],""pnp_camera_rpy_deg"":[-4.774765,-4.427908,-21.659359],""pnp_reprojection_error_px"":0.069728},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.916077,""pixel_xy"":[595.247806,341.431699],""world_xy_yaw"":[-0.125584,0.948253,1.234324],""pnp_valid"":true,""pnp_camera_xyz"":[-0.202098,-0.016775,1.256962],""pnp_camera_quat_xyzw"":[-0.01828,0.03311,0.572775,0.81884],""pnp_camera_rpy_deg"":[0.459186,4.310669,69.962575],""pnp_reprojection_error_px"":0.03528}]",1,0.03528,159.916077,86.15824,,0,,0,,
2026-08-12T12:26:34.631902+00:00,10369.915566658,onboard_extrinsic_center_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001906,13,1,"[15,16,17]","[-0.125499,0.948308,1.23524]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":137.25238,""pixel_xy"":[662.568389,562.127982],""world_xy_yaw"":[-0.012485,0.679004,-0.408368],""pnp_valid"":true,""pnp_camera_xyz"":[-0.044782,0.482072,1.225918],""pnp_camera_quat_xyzw"":[-0.024828,-0.028296,-0.189469,0.981165],""pnp_camera_rpy_deg"":[-2.182253,-3.723119,-21.788387],""pnp_reprojection_error_px"":0.07617},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.373474,""pixel_xy"":[686.12286,622.671438],""world_xy_yaw"":[0.027086,0.605141,-0.417871],""pnp_valid"":true,""pnp_camera_xyz"":[0.008122,0.611946,1.213824],""pnp_camera_quat_xyzw"":[-0.047717,-0.030166,-0.189355,0.980284],""pnp_camera_rpy_deg"":[-4.72508,-4.428478,-21.682842],""pnp_reprojection_error_px"":0.057107},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.809906,""pixel_xy"":[595.298194,341.38691],""world_xy_yaw"":[-0.125499,0.948308,1.23524],""pnp_valid"":true,""pnp_camera_xyz"":[-0.201852,-0.016858,1.256147],""pnp_camera_quat_xyzw"":[-0.017978,0.035335,0.572728,0.818786],""pnp_camera_rpy_deg"":[0.634201,4.499875,69.969267],""pnp_reprojection_error_px"":0.031521}]",1,0.031521,161.809906,87.649229,,0,,0,,
