host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T11:48:03.921537+00:00,8059.205190143,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:48:03.972045+00:00,8059.255716048,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000598,2,1,[15],"[0.415647,0.72149,-0.050882]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":68.281052,""pixel_xy"":[917.408723,527.303198],""world_xy_yaw"":[0.415647,0.72149,-0.050882],""pnp_valid"":true,""pnp_camera_xyz"":[0.528081,0.401579,1.223288],""pnp_camera_quat_xyzw"":[-0.028185,-0.002632,-0.024505,0.999299],""pnp_camera_rpy_deg"":[-3.221876,-0.380533,-2.798772],""pnp_reprojection_error_px"":0.082062}]",1,0.082062,68.281052,85.232952,,0,,0,,
2026-08-12T11:48:04.023718+00:00,8059.307373834,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002437,3,1,[15],"[0.415681,0.72138,-0.050207]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":68.075119,""pixel_xy"":[917.429155,527.393805],""world_xy_yaw"":[0.415681,0.72138,-0.050207],""pnp_valid"":true,""pnp_camera_xyz"":[0.527583,0.40126,1.222074],""pnp_camera_quat_xyzw"":[-0.026872,-0.00372,-0.023672,0.999352],""pnp_camera_rpy_deg"":[-3.068842,-0.498952,-2.700487],""pnp_reprojection_error_px"":0.027449}]",1,0.027449,68.075119,83.856111,,0,,0,,
2026-08-12T11:48:04.073714+00:00,8059.357369886,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001583,5,1,[15],"[0.415641,0.721329,-0.048452]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":68.274315,""pixel_xy"":[917.405474,527.435557],""world_xy_yaw"":[0.415641,0.721329,-0.048452],""pnp_valid"":true,""pnp_camera_xyz"":[0.527887,0.401764,1.222961],""pnp_camera_quat_xyzw"":[-0.027973,-0.000908,-0.02343,0.999334],""pnp_camera_rpy_deg"":[-3.202533,-0.179059,-2.681145],""pnp_reprojection_error_px"":0.080751}]",1,0.080751,68.274315,84.878923,,0,,0,,
2026-08-12T11:48:04.123194+00:00,8059.406866369,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001963,6,1,[15],"[0.415528,0.721286,-0.046172]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":66.245636,""pixel_xy"":[917.338306,527.470875],""world_xy_yaw"":[0.415528,0.721286,-0.046172],""pnp_valid"":true,""pnp_camera_xyz"":[0.528132,0.402065,1.223717],""pnp_camera_quat_xyzw"":[-0.02906,-0.000549,-0.023202,0.999308],""pnp_camera_rpy_deg"":[-3.328128,-0.140139,-2.656032],""pnp_reprojection_error_px"":0.070633}]",1,0.070633,66.245636,83.21602,,0,,0,,
2026-08-12T11:48:04.173623+00:00,8059.457280941,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001601,8,1,"[15,16]","[0.4232,0.644832,-0.046101]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":68.456619,""pixel_xy"":[917.231662,527.514841],""world_xy_yaw"":[0.415349,0.721232,-0.045655],""pnp_valid"":true,""pnp_camera_xyz"":[0.527829,0.40213,1.223541],""pnp_camera_quat_xyzw"":[-0.028374,0.000526,-0.02345,0.999322],""pnp_camera_rpy_deg"":[-3.252335,-0.015978,-2.688075],""pnp_reprojection_error_px"":0.082462},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":118.706589,""pixel_xy"":[921.90503,590.137891],""world_xy_yaw"":[0.4232,0.644832,-0.046101],""pnp_valid"":true,""pnp_camera_xyz"":[0.5211,0.527389,1.183591],""pnp_camera_quat_xyzw"":[-0.389913,0.423872,-0.026713,0.81706],""pnp_camera_rpy_deg"":[-62.971723,42.208155,-30.343924],""pnp_reprojection_error_px"":0.973018}]",1,0.973018,118.706589,83.746377,,0,,0,,
2026-08-12T11:48:04.223560+00:00,8059.507217947,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002337,9,1,[15],"[0.415233,0.721147,-0.044979]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":67.057701,""pixel_xy"":[917.162536,527.584364],""world_xy_yaw"":[0.415233,0.721147,-0.044979],""pnp_valid"":true,""pnp_camera_xyz"":[0.527838,0.402337,1.223884],""pnp_camera_quat_xyzw"":[-0.029048,0.00064,-0.023375,0.999304],""pnp_camera_rpy_deg"":[-3.329928,-0.004519,-2.679766],""pnp_reprojection_error_px"":0.060525}]",1,0.060525,67.057701,87.385608,,0,,0,,
2026-08-12T11:48:04.271760+00:00,8059.555431990,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000590,11,1,[15],"[0.41495,0.721079,-0.045208]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":67.951645,""pixel_xy"":[916.994096,527.639782],""world_xy_yaw"":[0.41495,0.721079,-0.045208],""pnp_valid"":true,""pnp_camera_xyz"":[0.527039,0.402234,1.222842],""pnp_camera_quat_xyzw"":[-0.027222,-0.000105,-0.023467,0.999354],""pnp_camera_rpy_deg"":[-3.118606,-0.085195,-2.688069],""pnp_reprojection_error_px"":0.111002}]",1,0.111002,67.951645,87.433995,,0,,0,,
2026-08-12T11:48:04.323627+00:00,8059.607281929,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002375,12,1,[15],"[0.414817,0.721017,-0.046821]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":66.651161,""pixel_xy"":[916.914622,527.690618],""world_xy_yaw"":[0.414817,0.721017,-0.046821],""pnp_valid"":true,""pnp_camera_xyz"":[0.52627,0.401881,1.221453],""pnp_camera_quat_xyzw"":[-0.025655,-0.000871,-0.02409,0.99938],""pnp_camera_rpy_deg"":[-2.936957,-0.170622,-2.757274],""pnp_reprojection_error_px"":0.108233}]",1,0.108233,66.651161,87.546948,,0,,0,,
2026-08-12T11:48:04.373560+00:00,8059.657217936,onboard_target_060_left_near_static,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001617,14,1,"[15,16]","[0.422076,0.642818,-0.017615]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":66.832504,""pixel_xy"":[916.792868,527.793848],""world_xy_yaw"":[0.414612,0.720892,-0.046732],""pnp_valid"":true,""pnp_camera_xyz"":[0.526138,0.402234,1.22181],""pnp_camera_quat_xyzw"":[-0.025552,-0.000939,-0.023888,0.999388],""pnp_camera_rpy_deg"":[-2.924999,-0.177483,-2.73399],""pnp_reprojection_error_px"":0.107286},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":118.188507,""pixel_xy"":[921.235636,591.788467],""world_xy_yaw"":[0.422076,0.642818,-0.017615],""pnp_valid"":true,""pnp_camera_xyz"":[0.547727,0.55624,1.247064],""pnp_camera_quat_xyzw"":[-0.05555,0.01994,-0.02228,0.998008],""pnp_camera_rpy_deg"":[-6.421661,2.139089,-2.677812],""pnp_reprojection_error_px"":0.474161}]",1,0.474161,118.188507,88.586705,,0,,0,,
