host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T13:28:03.415012+00:00,14058.681933822,1.969340771,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.428641+00:00,14058.707729418,2.005329660,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.460059+00:00,14058.737586459,2.037329659,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.501601+00:00,14058.777964104,2.073329659,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.523628+00:00,14058.803735857,2.105329914,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.558201+00:00,14058.837010511,2.137341278,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.603153+00:00,14058.879037486,2.173330418,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.631473+00:00,14058.910041161,2.205330667,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.667496+00:00,14058.943401579,2.241330914,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.691641+00:00,14058.971337796,2.273331159,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.729892+00:00,14059.008416725,2.309320291,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.765656+00:00,14059.041619903,2.341331644,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.795661+00:00,14059.071712109,2.373331884,12,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.832986+00:00,14059.110542162,2.409332122,13,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.866429+00:00,14059.145517369,2.441332358,14,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.902777+00:00,14059.179206606,2.477332592,15,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.929664+00:00,14059.209485495,2.509332824,16,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.968104+00:00,14059.246076278,2.545344165,17,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:03.999639+00:00,14059.278047055,2.577355497,18,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.041510+00:00,14059.318724895,2.613333495,19,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.070058+00:00,14059.349773903,2.645355935,20,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.107113+00:00,14059.386432560,2.677345040,21,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.134108+00:00,14059.413517336,2.713734143,22,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.166719+00:00,14059.445968768,2.745434356,23,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.204740+00:00,14059.482996577,2.781356789,24,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.231780+00:00,14059.511701549,2.813345887,25,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.269110+00:00,14059.548175275,2.849334984,26,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.302504+00:00,14059.581520436,2.881335190,27,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.337004+00:00,14059.616258433,2.917346505,28,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.368634+00:00,14059.647738236,2.949335597,29,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.405220+00:00,14059.684427051,2.981346909,30,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.438846+00:00,14059.718254847,3.017347108,31,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:28:04.470845+00:00,14059.750186700,3.049347306,32,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
