host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T13:29:12.613361+00:00,14127.882832900,0.242837526,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.633606+00:00,14127.912038426,0.274847580,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.658313+00:00,14127.936678230,0.310835086,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.702698+00:00,14127.976529006,0.342833548,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.728601+00:00,14128.005814431,0.378831151,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.758174+00:00,14128.036222074,0.410794955,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.804323+00:00,14128.078652881,0.446814146,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.832570+00:00,14128.110306685,0.478821782,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.865768+00:00,14128.140764431,0.510829004,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.902589+00:00,14128.180040158,0.546813641,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.926056+00:00,14128.204788123,0.578809401,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.963833+00:00,14128.242357067,0.614804915,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:12.994228+00:00,14128.272864329,0.646800270,12,1280,480,210.917189,201.649519,32,142,2391,nan,nan,0,0,0
2026-08-12T13:29:13.035455+00:00,14128.312843184,0.682784725,13,1280,480,215.932801,202.175556,32,142,2381,nan,nan,0,0,0
2026-08-12T13:29:13.061573+00:00,14128.339480721,0.714780281,14,1280,480,220.560101,203.193589,32,141,2371,nan,nan,0,0,0
2026-08-12T13:29:13.097879+00:00,14128.375994453,0.746787034,15,1280,480,222.932007,204.336650,32,140,2412,nan,nan,0,0,0
2026-08-12T13:29:13.133937+00:00,14128.411463315,0.782783066,16,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:29:13.171750+00:00,14128.446221067,0.814779304,17,1280,480,221.642887,206.471929,32,140,2369,nan,nan,0,0,0
2026-08-12T13:29:13.203288+00:00,14128.478128315,0.850775820,18,1280,480,218.804671,207.883227,31,140,2355,nan,nan,0,0,0
2026-08-12T13:29:13.240014+00:00,14128.516762838,0.882772813,19,1280,480,215.682836,209.438640,33,140,2412,nan,nan,0,0,0
2026-08-12T13:29:13.267425+00:00,14128.544768010,0.918770128,20,1280,480,213.945679,210.923045,35,141,2430,nan,nan,0,0,0
2026-08-12T13:29:13.301190+00:00,14128.579281889,0.950767792,21,1280,480,212.876187,213.251754,33,140,2423,nan,nan,0,0,0
2026-08-12T13:29:13.345133+00:00,14128.620133580,0.986760692,22,1280,480,212.478152,215.153974,33,140,2403,nan,nan,0,0,0
2026-08-12T13:29:13.366771+00:00,14128.643831056,1.018743963,23,1280,480,212.403279,217.165984,32,140,2440,nan,nan,0,0,0
2026-08-12T13:29:13.400011+00:00,14128.676917489,1.050761628,24,1280,480,212.900042,219.432020,34,140,2361,nan,nan,0,0,0
2026-08-12T13:29:13.436084+00:00,14128.713927957,1.086746931,25,1280,480,213.708368,220.536820,34,139,2390,nan,nan,0,0,0
2026-08-12T13:29:13.466568+00:00,14128.745269520,1.118744296,26,1280,480,214.798989,222.208175,35,139,2373,nan,nan,0,0,0
2026-08-12T13:29:13.502225+00:00,14128.780588622,1.154742322,27,1280,480,216.014511,223.483568,32,139,2343,nan,nan,0,0,0
2026-08-12T13:29:13.534882+00:00,14128.813165034,1.186740894,28,1280,480,217.554815,223.893289,31,138,2399,nan,nan,0,0,0
2026-08-12T13:29:13.576210+00:00,14128.853762819,1.222728820,29,1280,480,219.010620,224.831776,31,139,2354,nan,nan,0,0,0
2026-08-12T13:29:13.609287+00:00,14128.887209173,1.254739273,30,1280,480,220.026797,225.087622,31,141,2351,nan,nan,0,0,0
2026-08-12T13:29:13.635966+00:00,14128.913431451,1.286738841,31,1280,480,219.260268,226.265888,20,138,2313,nan,nan,0,0,0
2026-08-12T13:29:13.682085+00:00,14128.955801057,1.322738578,32,1280,480,219.109554,225.140552,32,139,2355,nan,nan,0,0,0
2026-08-12T13:29:13.704215+00:00,14128.983165228,1.354749528,33,1280,480,219.681092,224.734874,32,139,2380,nan,nan,0,0,0
2026-08-12T13:29:13.739116+00:00,14129.017533399,1.390738323,34,1280,480,219.994900,224.423714,31,139,2353,nan,nan,0,0,0
2026-08-12T13:29:13.774367+00:00,14129.048778908,1.422738272,35,1280,480,219.681282,223.977234,32,139,2372,nan,nan,0,0,0
2026-08-12T13:29:13.810032+00:00,14129.088194774,1.458727134,36,1280,480,219.914286,223.757356,33,139,2345,nan,nan,0,0,0
2026-08-12T13:29:13.837029+00:00,14129.116038386,1.490738231,37,1280,480,219.772323,223.436310,31,139,2363,nan,nan,0,0,0
2026-08-12T13:29:13.886194+00:00,14129.160260319,1.526727113,38,1280,480,219.920206,223.056199,33,139,2331,nan,nan,0,0,0
