host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T13:35:15.688492+00:00,14490.954643225,2.448626674,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.703917+00:00,14490.982394002,2.484625495,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.743931+00:00,14491.018505356,2.516624325,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.771018+00:00,14491.049415133,2.552623164,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.805892+00:00,14491.080755843,2.584622013,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.845547+00:00,14491.120311780,2.620620871,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.869114+00:00,14491.147409641,2.652619738,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.900647+00:00,14491.179943209,2.684640836,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.942169+00:00,14491.219642211,2.720617499,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:15.974606+00:00,14491.253558318,2.752616393,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:16.004572+00:00,14491.283967293,2.788604185,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:16.043281+00:00,14491.318963375,2.820614208,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:16.074386+00:00,14491.352932358,2.856602017,12,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:16.107262+00:00,14491.385283065,2.888612057,13,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:35:16.140131+00:00,14491.418850190,2.924599884,14,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
