host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T13:37:25.425250+00:00,14620.681563061,3.384087789,0,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.433441+00:00,14620.709079682,3.416086455,1,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.462057+00:00,14620.738905077,3.452085132,2,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.500901+00:00,14620.776365166,3.484083819,3,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.529130+00:00,14620.805563426,3.520082517,4,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.563718+00:00,14620.839809661,3.552081225,5,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.602239+00:00,14620.875441964,3.588079944,6,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.633017+00:00,14620.905396724,3.620067562,7,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.661126+00:00,14620.938088000,3.652077412,8,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.697531+00:00,14620.972966456,3.688076161,9,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.731172+00:00,14621.008669077,3.720086031,10,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.765091+00:00,14621.042130220,3.756073689,11,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.796857+00:00,14621.073594741,3.788072468,12,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.836493+00:00,14621.112325639,3.824071257,13,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.863431+00:00,14621.140724274,3.856081166,14,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.911421+00:00,14621.186898935,3.892057752,15,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.931769+00:00,14621.209171452,3.924078791,16,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.973120+00:00,14621.247727014,3.956077618,17,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:25.999144+00:00,14621.276062115,3.992065343,18,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.034522+00:00,14621.311201129,4.024064189,19,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.075612+00:00,14621.350604229,4.060051933,20,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.106715+00:00,14621.381749228,4.092061908,21,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.135163+00:00,14621.412482223,4.128049670,22,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.175468+00:00,14621.451497893,4.160048552,23,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.206672+00:00,14621.483143165,4.192069665,24,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.236428+00:00,14621.513537470,4.228057454,25,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.268425+00:00,14621.545409730,4.260056363,26,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.306880+00:00,14621.582733716,4.296055280,27,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.337773+00:00,14621.614994276,4.328054206,28,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
2026-08-12T13:37:26.376128+00:00,14621.649334239,4.364053141,29,1280,480,nan,nan,0,0,0,nan,nan,0,0,0
