host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T13:35:13.636998+00:00,14488.920668387,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T13:35:13.688636+00:00,14488.972293516,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T13:35:13.737379+00:00,14489.021049111,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T13:35:13.786667+00:00,14489.070339913,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000058,4,1,"[16,17]","[0.430651,1.010814,1.275139]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.719604,""pixel_xy"":[962.688377,578.450709],""world_xy_yaw"":[0.491716,0.65909,-0.339751],""pnp_valid"":true,""pnp_camera_xyz"":[0.619404,0.506039,1.200634],""pnp_camera_quat_xyzw"":[-0.416611,0.389383,-0.155511,0.806618],""pnp_camera_rpy_deg"":[-66.2127,29.906796,-41.582555],""pnp_reprojection_error_px"":0.683004},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.719666,""pixel_xy"":[926.340032,290.152785],""world_xy_yaw"":[0.430651,1.010814,1.275139],""pnp_valid"":true,""pnp_camera_xyz"":[0.537901,-0.129118,1.198832],""pnp_camera_quat_xyzw"":[0.024827,0.005129,0.591811,0.805678],""pnp_camera_rpy_deg"":[2.641434,-1.210213,72.570355],""pnp_reprojection_error_px"":0.039347}]",1,0.039347,146.719666,81.558002,,0,,0,,
2026-08-12T13:35:13.837016+00:00,14489.120685438,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000650,6,1,"[16,17]","[0.431788,1.010557,1.273995]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.031281,""pixel_xy"":[962.981557,578.315425],""world_xy_yaw"":[0.492209,0.659255,-0.34001],""pnp_valid"":true,""pnp_camera_xyz"":[0.621957,0.507927,1.205056],""pnp_camera_quat_xyzw"":[-0.412704,0.386614,-0.153356,0.810362],""pnp_camera_rpy_deg"":[-65.406988,30.000927,-40.956518],""pnp_reprojection_error_px"":0.461168},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.362183,""pixel_xy"":[927.016819,290.363024],""world_xy_yaw"":[0.431788,1.010557,1.273995],""pnp_valid"":true,""pnp_camera_xyz"":[0.539558,-0.128742,1.199227],""pnp_camera_quat_xyzw"":[0.02588,0.004841,0.591461,0.805903],""pnp_camera_rpy_deg"":[2.719854,-1.307173,72.519687],""pnp_reprojection_error_px"":0.035697}]",1,0.035697,150.362183,80.548861,,0,,0,,
2026-08-12T13:35:13.888688+00:00,14489.172344833,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001615,8,1,"[16,17]","[0.432325,1.010296,1.276549]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":147.987411,""pixel_xy"":[963.389464,577.602289],""world_xy_yaw"":[0.492894,0.660125,-0.33814],""pnp_valid"":true,""pnp_camera_xyz"":[0.623765,0.508667,1.207362],""pnp_camera_quat_xyzw"":[-0.401893,0.399998,-0.148113,0.810275],""pnp_camera_rpy_deg"":[-65.121563,31.94913,-41.436294],""pnp_reprojection_error_px"":0.250553},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.585556,""pixel_xy"":[927.336083,290.576871],""world_xy_yaw"":[0.432325,1.010296,1.276549],""pnp_valid"":true,""pnp_camera_xyz"":[0.541271,-0.128525,1.201619],""pnp_camera_quat_xyzw"":[0.024918,0.008101,0.593666,0.804285],""pnp_camera_rpy_deg"":[2.849264,-0.948552,72.840672],""pnp_reprojection_error_px"":0.010123}]",1,0.010123,148.585556,80.097643,,0,,0,,
2026-08-12T13:35:13.938606+00:00,14489.222261629,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002392,9,1,"[15,16,17]","[0.4322,1.010186,1.27636]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":97.239914,""pixel_xy"":[941.611587,517.403327],""world_xy_yaw"":[0.456307,0.733568,-0.33451],""pnp_valid"":true,""pnp_camera_xyz"":[0.587297,0.382458,1.233225],""pnp_camera_quat_xyzw"":[-0.035439,9.8e-05,-0.1643,0.985774],""pnp_camera_rpy_deg"":[-4.008628,-0.656214,-18.902134],""pnp_reprojection_error_px"":0.131795},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.722382,""pixel_xy"":[963.213274,577.914399],""world_xy_yaw"":[0.492598,0.659744,-0.339876],""pnp_valid"":true,""pnp_camera_xyz"":[0.62123,0.506798,1.202084],""pnp_camera_quat_xyzw"":[-0.411841,0.40314,-0.150401,0.803271],""pnp_camera_rpy_deg"":[-66.789048,31.586091,-42.334216],""pnp_reprojection_error_px"":0.396612},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.956894,""pixel_xy"":[927.262019,290.667343],""world_xy_yaw"":[0.4322,1.010186,1.27636],""pnp_valid"":true,""pnp_camera_xyz"":[0.541424,-0.128392,1.202378],""pnp_camera_quat_xyzw"":[0.023155,0.008633,0.594021,0.80407],""pnp_camera_rpy_deg"":[2.722472,-0.780727,72.893083],""pnp_reprojection_error_px"":0.006179}]",1,0.006179,151.956894,79.576672,,0,,0,,
2026-08-12T13:35:13.987249+00:00,14489.270916754,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000810,11,1,"[16,17]","[0.431534,1.009716,1.274145]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.532181,""pixel_xy"":[963.655624,577.586289],""world_xy_yaw"":[0.493341,0.660145,-0.340229],""pnp_valid"":true,""pnp_camera_xyz"":[0.625426,0.50969,1.209802],""pnp_camera_quat_xyzw"":[-0.400955,0.398681,-0.147696,0.811464],""pnp_camera_rpy_deg"":[-64.863923,31.910386,-41.223429],""pnp_reprojection_error_px"":0.236404},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.545883,""pixel_xy"":[926.865668,291.052269],""world_xy_yaw"":[0.431534,1.009716,1.274145],""pnp_valid"":true,""pnp_camera_xyz"":[0.540658,-0.127539,1.202399],""pnp_camera_quat_xyzw"":[0.02146,0.007328,0.59287,0.804979],""pnp_camera_rpy_deg"":[2.478374,-0.782044,72.726593],""pnp_reprojection_error_px"":0.037154}]",1,0.037154,153.545883,79.06927,,0,,0,,
2026-08-12T13:35:14.038838+00:00,14489.322495005,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002517,12,1,"[16,17]","[0.431313,1.00945,1.273908]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.902115,""pixel_xy"":[963.097141,578.418635],""world_xy_yaw"":[0.492403,0.659129,-0.340519],""pnp_valid"":true,""pnp_camera_xyz"":[0.61823,0.504472,1.195597],""pnp_camera_quat_xyzw"":[-0.424885,0.402138,-0.152575,0.796542],""pnp_camera_rpy_deg"":[-68.465949,30.729542,-42.868091],""pnp_reprojection_error_px"":0.710152},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.549301,""pixel_xy"":[926.733909,291.270372],""world_xy_yaw"":[0.431313,1.00945,1.273908],""pnp_valid"":true,""pnp_camera_xyz"":[0.540288,-0.12704,1.202287],""pnp_camera_quat_xyzw"":[0.019687,0.006999,0.59309,0.804865],""pnp_camera_rpy_deg"":[2.292227,-0.692465,72.757766],""pnp_reprojection_error_px"":0.023813}]",1,0.023813,151.549301,79.86894,,0,,0,,
2026-08-12T13:35:14.088586+00:00,14489.372242129,onboard_extrinsic_right_high_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001606,14,1,"[16,17]","[0.49297,0.658981,-0.341337]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.942047,""pixel_xy"":[963.434683,578.539851],""world_xy_yaw"":[0.49297,0.658981,-0.341337],""pnp_valid"":true,""pnp_camera_xyz"":[0.624442,0.509471,1.207642],""pnp_camera_quat_xyzw"":[-0.421365,0.385338,-0.151688,0.806819],""pnp_camera_rpy_deg"":[-66.411857,29.601505,-40.919173],""pnp_reprojection_error_px"":0.514684},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":148.287781,""pixel_xy"":[926.380458,291.800132],""world_xy_yaw"":[0.430719,1.008804,1.272551],""pnp_valid"":true,""pnp_camera_xyz"":[0.53951,-0.125849,1.202247],""pnp_camera_quat_xyzw"":[0.023202,0.009364,0.592292,0.805335],""pnp_camera_rpy_deg"":[2.778049,-0.710666,72.648763],""pnp_reprojection_error_px"":0.032899}]",1,0.514684,152.942047,82.95488,,0,,0,,
