host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T13:37:22.460704+00:00,14617.744374120,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T13:37:22.510525+00:00,14617.794196698,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000897,1,1,"[16,17]","[0.331386,0.96704,0.92382]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.781494,""pixel_xy"":[969.001409,609.22237],""world_xy_yaw"":[0.502322,0.621549,-0.599641],""pnp_valid"":true,""pnp_camera_xyz"":[0.642643,0.584767,1.218961],""pnp_camera_quat_xyzw"":[-0.044277,-0.009232,-0.277487,0.959664],""pnp_camera_rpy_deg"":[-4.584508,-2.42381,-32.157421],""pnp_reprojection_error_px"":0.09121},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":169.431747,""pixel_xy"":[867.25342,326.032508],""world_xy_yaw"":[0.331386,0.96704,0.92382],""pnp_valid"":true,""pnp_camera_xyz"":[0.414123,-0.050693,1.216013],""pnp_camera_quat_xyzw"":[-0.00388,0.074698,0.459145,0.885207],""pnp_camera_rpy_deg"":[3.572015,7.805451,55.074122],""pnp_reprojection_error_px"":0.02417}]",1,0.02417,169.431747,89.672297,,0,,0,,
2026-08-12T13:37:22.562198+00:00,14617.845857694,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001477,3,1,"[16,17]","[0.335567,0.966634,0.932244]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.125076,""pixel_xy"":[969.07041,609.174453],""world_xy_yaw"":[0.502438,0.621607,-0.596834],""pnp_valid"":true,""pnp_camera_xyz"":[0.64133,0.583313,1.216363],""pnp_camera_quat_xyzw"":[-0.041929,-0.010486,-0.2755,0.960329],""pnp_camera_rpy_deg"":[-4.291122,-2.47839,-31.921471],""pnp_reprojection_error_px"":0.073434},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":171.199188,""pixel_xy"":[869.742444,326.365755],""world_xy_yaw"":[0.335567,0.966634,0.932244],""pnp_valid"":true,""pnp_camera_xyz"":[0.413356,-0.049235,1.197503],""pnp_camera_quat_xyzw"":[-0.005983,0.057387,0.461085,0.885478],""pnp_camera_rpy_deg"":[2.439876,6.150918,55.144745],""pnp_reprojection_error_px"":0.062656}]",1,0.062656,171.199188,89.747783,,0,,0,,
2026-08-12T13:37:22.612007+00:00,14617.895665454,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002166,4,1,"[16,17]","[0.338653,0.96648,0.942511]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.732559,""pixel_xy"":[968.994897,609.164013],""world_xy_yaw"":[0.502311,0.62162,-0.594653],""pnp_valid"":true,""pnp_camera_xyz"":[0.640345,0.582342,1.214641],""pnp_camera_quat_xyzw"":[-0.041925,-0.012315,-0.27484,0.960496],""pnp_camera_rpy_deg"":[-4.235036,-2.676853,-31.837316],""pnp_reprojection_error_px"":0.012265},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.568832,""pixel_xy"":[871.579028,326.492098],""world_xy_yaw"":[0.338653,0.96648,0.942511],""pnp_valid"":true,""pnp_camera_xyz"":[0.413616,-0.048497,1.186729],""pnp_camera_quat_xyzw"":[-0.004306,0.043929,0.463421,0.885038],""pnp_camera_rpy_deg"":[1.902833,4.689058,55.352487],""pnp_reprojection_error_px"":0.056638}]",1,0.056638,165.568832,91.047046,,0,,0,,
2026-08-12T13:37:22.662235+00:00,14617.945893259,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001611,6,1,"[16,17]","[0.346213,0.966972,0.966243]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.912842,""pixel_xy"":[968.928468,609.052853],""world_xy_yaw"":[0.5022,0.621756,-0.591604],""pnp_valid"":true,""pnp_camera_xyz"":[0.641517,0.583338,1.217138],""pnp_camera_quat_xyzw"":[-0.042174,-0.010643,-0.27421,0.960686],""pnp_camera_rpy_deg"":[-4.316558,-2.497606,-31.766693],""pnp_reprojection_error_px"":0.018042},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.614136,""pixel_xy"":[876.078996,326.08876],""world_xy_yaw"":[0.346213,0.966972,0.966243],""pnp_valid"":true,""pnp_camera_xyz"":[0.417188,-0.048716,1.169302],""pnp_camera_quat_xyzw"":[-0.00406,0.029249,0.472065,0.881069],""pnp_camera_rpy_deg"":[1.174236,3.174322,56.396209],""pnp_reprojection_error_px"":0.073026}]",1,0.073026,165.614136,91.434145,,0,,0,,
2026-08-12T13:37:22.712341+00:00,14617.995987530,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002376,7,1,"[16,17]","[0.35004,0.967431,0.978732]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.104095,""pixel_xy"":[968.760769,608.850828],""world_xy_yaw"":[0.501918,0.622002,-0.587115],""pnp_valid"":true,""pnp_camera_xyz"":[0.643706,0.585325,1.221626],""pnp_camera_quat_xyzw"":[-0.044461,-0.005928,-0.274802,0.960454],""pnp_camera_rpy_deg"":[-4.715059,-2.05291,-31.848856],""pnp_reprojection_error_px"":0.16171},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.176743,""pixel_xy"":[878.357064,325.712694],""world_xy_yaw"":[0.35004,0.967431,0.978732],""pnp_valid"":true,""pnp_camera_xyz"":[0.419682,-0.049271,1.162622],""pnp_camera_quat_xyzw"":[0.000978,0.027602,0.476782,0.878587],""pnp_camera_rpy_deg"":[1.608593,2.726514,57.012947],""pnp_reprojection_error_px"":0.091793}]",1,0.091793,161.176743,90.896911,,0,,0,,
2026-08-12T13:37:22.762396+00:00,14618.046052352,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001624,9,1,"[16,17]","[0.356708,0.968553,1.005674]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.252136,""pixel_xy"":[968.825068,608.664869],""world_xy_yaw"":[0.502026,0.622229,-0.584726],""pnp_valid"":true,""pnp_camera_xyz"":[0.643051,0.584251,1.220352],""pnp_camera_quat_xyzw"":[-0.042454,-0.006861,-0.272583,0.961171],""pnp_camera_rpy_deg"":[-4.469111,-2.082239,-31.584827],""pnp_reprojection_error_px"":0.127296},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.103561,""pixel_xy"":[882.326084,324.792623],""world_xy_yaw"":[0.356708,0.968553,1.005674],""pnp_valid"":true,""pnp_camera_xyz"":[0.425288,-0.050819,1.155174],""pnp_camera_quat_xyzw"":[0.015709,0.030094,0.486936,0.872778],""pnp_camera_rpy_deg"":[3.254256,2.133723,58.376211],""pnp_reprojection_error_px"":0.03291}]",1,0.03291,159.103561,88.51891,,0,,0,,
2026-08-12T13:37:22.812381+00:00,14618.096036233,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002458,10,1,"[16,17]","[0.359148,0.969218,1.010415]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.456436,""pixel_xy"":[968.894241,608.560136],""world_xy_yaw"":[0.502142,0.622357,-0.584231],""pnp_valid"":true,""pnp_camera_xyz"":[0.642467,0.583362,1.219131],""pnp_camera_quat_xyzw"":[-0.041221,-0.007422,-0.271764,0.961452],""pnp_camera_rpy_deg"":[-4.317345,-2.101932,-31.487753],""pnp_reprojection_error_px"":0.098506},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.9384,""pixel_xy"":[883.778626,324.247812],""world_xy_yaw"":[0.359148,0.969218,1.010415],""pnp_valid"":true,""pnp_camera_xyz"":[0.426399,-0.051852,1.149938],""pnp_camera_quat_xyzw"":[0.020651,0.026254,0.488649,0.871841],""pnp_camera_rpy_deg"":[3.53667,1.466655,58.584814],""pnp_reprojection_error_px"":0.06087}]",1,0.06087,157.9384,88.083788,,0,,0,,
2026-08-12T13:37:22.862374+00:00,14618.146031106,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001617,12,1,"[16,17]","[0.363046,0.970375,1.016778]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":150.211685,""pixel_xy"":[969.048083,608.328669],""world_xy_yaw"":[0.502401,0.622639,-0.58103],""pnp_valid"":true,""pnp_camera_xyz"":[0.64163,0.581594,1.216898],""pnp_camera_quat_xyzw"":[-0.039461,-0.009969,-0.269944,0.962016],""pnp_camera_rpy_deg"":[-4.048391,-2.320307,-31.266464],""pnp_reprojection_error_px"":0.023728},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":154.034058,""pixel_xy"":[886.098873,323.298842],""world_xy_yaw"":[0.363046,0.970375,1.016778],""pnp_valid"":true,""pnp_camera_xyz"":[0.42989,-0.053653,1.146337],""pnp_camera_quat_xyzw"":[0.022833,0.027966,0.491349,0.870214],""pnp_camera_rpy_deg"":[3.855792,1.503309,58.95138],""pnp_reprojection_error_px"":0.037392}]",1,0.037392,154.034058,87.669816,,0,,0,,
2026-08-12T13:37:22.911878+00:00,14618.195540946,onboard_extrinsic_right_high_060,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002005,13,1,"[16,17]","[0.363821,0.970648,1.013177]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.226395,""pixel_xy"":[969.135179,608.200512],""world_xy_yaw"":[0.502547,0.622795,-0.580575],""pnp_valid"":true,""pnp_camera_xyz"":[0.642057,0.581399,1.217289],""pnp_camera_quat_xyzw"":[-0.041053,-0.012866,-0.268381,0.962352],""pnp_camera_rpy_deg"":[-4.139618,-2.682391,-31.068484],""pnp_reprojection_error_px"":0.021752},{""tag_id"":17,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":153.638565,""pixel_xy"":[886.560101,323.075111],""world_xy_yaw"":[0.363821,0.970648,1.013177],""pnp_valid"":true,""pnp_camera_xyz"":[0.430832,-0.054168,1.146376],""pnp_camera_quat_xyzw"":[0.025532,0.030753,0.490467,0.870543],""pnp_camera_rpy_deg"":[4.281129,1.633106,58.855135],""pnp_reprojection_error_px"":0.058982}]",1,0.058982,153.638565,85.392217,,0,,0,,
