host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-13T08:40:23.996052+00:00,83199.279721280,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-13T08:40:24.046328+00:00,83199.329992811,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000212,2,1786610424.035283804,pool_world,"[0.7919210222023119,0.28891387327202706,1.0748573363456286]","[0.6436707468156441,0.7650086858352801,0.01087456945527311,-0.01820505505433269]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000144,2,1,"[15,16]","[0.56589,1.076004,-0.168728]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.813965,""pixel_xy"":[994.553851,178.812814],""world_xy_yaw"":[0.54525,1.146648,-0.167481],""pnp_valid"":true,""pnp_camera_xyz"":[0.739534,-0.40303,1.287752],""pnp_camera_quat_xyzw"":[-0.02455,-0.00496,-0.086756,0.995915],""pnp_camera_rpy_deg"":[-2.75379,-0.81013,-9.937651],""pnp_reprojection_error_px"":0.012749},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.391159,""pixel_xy"":[1006.839531,236.717773],""world_xy_yaw"":[0.56589,1.076004,-0.168728],""pnp_valid"":true,""pnp_camera_xyz"":[0.764518,-0.264396,1.28152],""pnp_camera_quat_xyzw"":[-0.030219,-0.004719,-0.086273,0.995802],""pnp_camera_rpy_deg"":[-3.404059,-0.837252,-9.878244],""pnp_reprojection_error_px"":0.045202}]",1,0.045202,168.391159,87.90655,0.000052,2,air,1,0.143912,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.096498+00:00,83199.380165718,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000884,3,1786610424.066060543,pool_world,"[0.7919391247385078,0.288881390742675,1.0748573363456286]","[0.643708469416454,0.7649770456670375,0.011115058296992962,-0.018054957300199494]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000762,3,1,"[15,16]","[0.565938,1.075993,-0.168959]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.287476,""pixel_xy"":[994.575629,178.828948],""world_xy_yaw"":[0.545287,1.146629,-0.166697],""pnp_valid"":true,""pnp_camera_xyz"":[0.739548,-0.402972,1.28765],""pnp_camera_quat_xyzw"":[-0.024403,-0.004687,-0.086561,0.995937],""pnp_camera_rpy_deg"":[-2.739833,-0.777039,-9.916099],""pnp_reprojection_error_px"":0.007092},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.196121,""pixel_xy"":[1006.868168,236.727069],""world_xy_yaw"":[0.565938,1.075993,-0.168959],""pnp_valid"":true,""pnp_camera_xyz"":[0.764295,-0.264287,1.281027],""pnp_camera_quat_xyzw"":[-0.029605,-0.00483,-0.086456,0.995804],""pnp_camera_rpy_deg"":[-3.332685,-0.844523,-9.899411],""pnp_reprojection_error_px"":0.051338}]",1,0.051338,166.196121,88.025662,0.000633,3,air,1,0.138656,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.146668+00:00,83199.430334668,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000323,5,1786610424.136788845,pool_world,"[0.792051367354232,0.2888757532595017,1.0748573363456286]","[0.6436470907496536,0.765029301303935,0.010978369887096858,-0.018112595356336043]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000218,5,1,"[15,16]","[0.566022,1.075998,-0.169156]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.272293,""pixel_xy"":[994.619967,178.823051],""world_xy_yaw"":[0.545362,1.146636,-0.166871],""pnp_valid"":true,""pnp_camera_xyz"":[0.739808,-0.403062,1.287913],""pnp_camera_quat_xyzw"":[-0.024531,-0.004723,-0.086678,0.995923],""pnp_camera_rpy_deg"":[-2.754032,-0.782744,-9.929379],""pnp_reprojection_error_px"":0.010494},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.835693,""pixel_xy"":[1006.917892,236.722667],""world_xy_yaw"":[0.566022,1.075998,-0.169156],""pnp_valid"":true,""pnp_camera_xyz"":[0.764477,-0.264298,1.28114],""pnp_camera_quat_xyzw"":[-0.030297,-0.004764,-0.086468,0.995782],""pnp_camera_rpy_deg"":[-3.412283,-0.843817,-9.900437],""pnp_reprojection_error_px"":0.041574}]",1,0.041574,166.835693,89.472558,0.000094,5,air,1,0.146889,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.196267+00:00,83199.479937499,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000752,6,1786610424.166365385,pool_world,"[0.7920753082766608,0.28883142392899736,1.0748573363456286]","[0.6436778358768377,0.7650006669459374,0.011201374753847004,-0.018092881937539898]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000620,6,1,"[15,16]","[0.566065,1.07597,-0.168874]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.658691,""pixel_xy"":[994.644891,178.822331],""world_xy_yaw"":[0.545403,1.146637,-0.166479],""pnp_valid"":true,""pnp_camera_xyz"":[0.739818,-0.403035,1.287824],""pnp_camera_quat_xyzw"":[-0.024275,-0.004437,-0.086437,0.995952],""pnp_camera_rpy_deg"":[-2.727767,-0.746841,-9.90261],""pnp_reprojection_error_px"":0.011291},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.576797,""pixel_xy"":[1006.943345,236.745547],""world_xy_yaw"":[0.566065,1.07597,-0.168874],""pnp_valid"":true,""pnp_camera_xyz"":[0.764931,-0.264417,1.281778],""pnp_camera_quat_xyzw"":[-0.029434,-0.004359,-0.08651,0.995807],""pnp_camera_rpy_deg"":[-3.317755,-0.789246,-9.907286],""pnp_reprojection_error_px"":0.059133}]",1,0.059133,165.576797,88.64855,0.000515,6,air,1,0.147688,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.246432+00:00,83199.530102192,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000236,8,1786610424.239224195,pool_world,"[0.7921788380109696,0.2887904610978654,1.0748573363456286]","[0.6436774796838781,0.7649987612123383,0.011210673920421172,-0.018180161760791225]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000148,8,1,"[15,16]","[0.566113,1.075974,-0.168163]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.969376,""pixel_xy"":[994.701065,178.841506],""world_xy_yaw"":[0.545498,1.146613,-0.16698],""pnp_valid"":true,""pnp_camera_xyz"":[0.739921,-0.403008,1.287798],""pnp_camera_quat_xyzw"":[-0.023878,-0.00469,-0.086623,0.995944],""pnp_camera_rpy_deg"":[-2.679731,-0.772257,-9.923587],""pnp_reprojection_error_px"":0.001764},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":169.335846,""pixel_xy"":[1006.972112,236.742764],""world_xy_yaw"":[0.566113,1.075974,-0.168163],""pnp_valid"":true,""pnp_camera_xyz"":[0.764823,-0.264327,1.281442],""pnp_camera_quat_xyzw"":[-0.029893,-0.004449,-0.086374,0.995804],""pnp_camera_rpy_deg"":[-3.369333,-0.803518,-9.890964],""pnp_reprojection_error_px"":0.050052}]",1,0.050052,169.335846,89.223302,0.000055,8,air,1,0.147749,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.296443+00:00,83199.580111127,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000868,9,1786610424.268182278,pool_world,"[0.7921820579167606,0.2887700859767039,1.0748573363456286]","[0.643636441384261,0.76503398857108,0.011350118285046583,-0.01806384422389342]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000749,9,1,"[15,16]","[0.566177,1.075949,-0.168431]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.114822,""pixel_xy"":[994.725293,178.820507],""world_xy_yaw"":[0.545538,1.146639,-0.167455],""pnp_valid"":true,""pnp_camera_xyz"":[0.740236,-0.40315,1.288239],""pnp_camera_quat_xyzw"":[-0.023445,-0.004431,-0.086734,0.995946],""pnp_camera_rpy_deg"":[-2.632811,-0.738762,-9.937322],""pnp_reprojection_error_px"":0.018149},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":169.029816,""pixel_xy"":[1007.010215,236.762727],""world_xy_yaw"":[0.566177,1.075949,-0.168431],""pnp_valid"":true,""pnp_camera_xyz"":[0.764625,-0.264236,1.280991],""pnp_camera_quat_xyzw"":[-0.030373,-0.00431,-0.08641,0.995787],""pnp_camera_rpy_deg"":[-3.42549,-0.792609,-9.895183],""pnp_reprojection_error_px"":0.068294}]",1,0.068294,169.029816,88.558248,0.000632,9,air,1,0.154395,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.349386+00:00,83199.633038111,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000776,11,1786610424.339283705,pool_world,"[0.7923120397295716,0.2887613131414967,1.0748573363456286]","[0.6436722437318618,0.7650047556196775,0.011346843351684307,-0.018028191102288028]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000493,11,1,"[15,16]","[0.566271,1.075941,-0.168941]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.692551,""pixel_xy"":[994.785962,178.844281],""world_xy_yaw"":[0.54564,1.14661,-0.167302],""pnp_valid"":true,""pnp_camera_xyz"":[0.740349,-0.403115,1.288206],""pnp_camera_quat_xyzw"":[-0.02369,-0.004267,-0.086559,0.995956],""pnp_camera_rpy_deg"":[-2.662532,-0.721925,-9.917467],""pnp_reprojection_error_px"":0.007145},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.348251,""pixel_xy"":[1007.065811,236.769836],""world_xy_yaw"":[0.566271,1.075941,-0.168941],""pnp_valid"":true,""pnp_camera_xyz"":[0.764618,-0.264175,1.280787],""pnp_camera_quat_xyzw"":[-0.030404,-0.004519,-0.086495,0.995778],""pnp_camera_rpy_deg"":[-3.426959,-0.817043,-9.904295],""pnp_reprojection_error_px"":0.066973}]",1,0.066973,167.348251,89.752802,0.000197,11,air,1,0.154275,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.397627+00:00,83199.681286313,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001683,12,1786610424.370049238,pool_world,"[0.7924262812844493,0.2887510965962276,1.0748573363456286]","[0.6435587328542984,0.7650938343704978,0.011663804689223359,-0.018098000867241008]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.001446,12,1,"[15,16]","[0.566308,1.075953,-0.169409]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.522034,""pixel_xy"":[994.80927,178.842414],""world_xy_yaw"":[0.54568,1.146612,-0.167723],""pnp_valid"":true,""pnp_camera_xyz"":[0.740323,-0.403071,1.288069],""pnp_camera_quat_xyzw"":[-0.023677,-0.004114,-0.086699,0.995945],""pnp_camera_rpy_deg"":[-2.662489,-0.704825,-9.933967],""pnp_reprojection_error_px"":0.009807},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.622559,""pixel_xy"":[1007.088207,236.759723],""world_xy_yaw"":[0.566308,1.075953,-0.169409],""pnp_valid"":true,""pnp_camera_xyz"":[0.765064,-0.264304,1.281444],""pnp_camera_quat_xyzw"":[-0.029786,-0.004191,-0.08663,0.995786],""pnp_camera_rpy_deg"":[-3.359443,-0.773965,-9.921291],""pnp_reprojection_error_px"":0.054064}]",1,0.054064,168.622559,89.071317,0.001206,12,air,1,0.150676,air_pinhole_pose_pressure_depth_z
2026-08-13T08:40:24.447437+00:00,83199.731105070,overhead_refracted_probe,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000308,14,1786610424.434458733,pool_world,"[0.7922641471117307,0.28869906222072733,1.0748573363456286]","[0.6438857283115279,0.7648357624571022,0.011109619950632739,-0.01772009277483607]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000144,14,1,"[15,16]","[0.566385,1.075911,-0.167953]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.288513,""pixel_xy"":[994.859807,178.844667],""world_xy_yaw"":[0.545764,1.146609,-0.16745],""pnp_valid"":true,""pnp_camera_xyz"":[0.740254,-0.40296,1.287767],""pnp_camera_quat_xyzw"":[-0.024331,-0.004424,-0.086442,0.99595],""pnp_camera_rpy_deg"":[-2.734241,-0.745926,-9.903182],""pnp_reprojection_error_px"":0.017951},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.10759,""pixel_xy"":[1007.133799,236.794658],""world_xy_yaw"":[0.566385,1.075911,-0.167953],""pnp_valid"":true,""pnp_camera_xyz"":[0.764808,-0.264146,1.280829],""pnp_camera_quat_xyzw"":[-0.030346,-0.004109,-0.08606,0.995819],""pnp_camera_rpy_deg"":[-3.424708,-0.76822,-9.855622],""pnp_reprojection_error_px"":0.075472}]",1,0.075472,166.10759,88.41125,0.000053,14,air,1,0.147999,air_pinhole_pose_pressure_depth_z
