host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T08:32:41.942315+00:00,1224557.409936180,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47156,1156921,,,,,,,,,,,,"[0.6444852352142334,-0.013101993128657341,-0.016676992177963257,0.7643226385116577]","[-0.0008598714484833181,0.002762419870123267,0.05259888619184494]","[0.003194000106304884,-0.43555501103401184,9.8125581741333]",,,0.241690055,2368.56274,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540034b839a71100fcfc243fbea956bc309e88bca6aa433fff6861bab709353bee71573d6e52513b1101dfbe3d001d41997d773e01091445030100a00000000000000000000000000000000000000000000000000000000000000000cf27,2,98,0,0,0
2026-08-11T08:32:41.952122+00:00,1224557.419871184,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47157,1156931,,,,,,,,,,,,"[0.6442835330963135,-0.013116992078721523,-0.01666899025440216,0.7644925117492676]","[-0.00330188381485641,0.0015150330727919936,0.051383331418037415]","[0.025772999972105026,-0.41734299063682556,9.751778602600098]",,,0.241690055,2368.56274,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540035b843a71100c4ef243fa7e856bc688d88bcc8b5433f6b6458bb1394c63a5477523de621d33cfbadd5be49071c41997d773e01091445030100a00000000000000000000000000000000000000000000000000000000000000000b63b,4,196,0,0,0
2026-08-11T08:32:41.962817+00:00,1224557.430559435,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47158,1156941,,,,,,,,,,,,"[0.6440814733505249,-0.01313899178057909,-0.016663989052176476,0.764662504196167]","[-0.004505113698542118,0.004018271807581186,0.05133170634508133]","[0.008516999892890453,-0.38383200764656067,9.73509407043457]",,,0.241690055,2368.56274,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540036b84da7110086e2243fed4457bceb8288bcecc0433fa29f93bbb5ab833b3241523de38a0b3ca185c4bef2c21b41997d773e01091445030100a000000000000000000000000000000000000000000000000000000000000000007d9f,6,294,0,0,0
2026-08-11T08:32:41.972041+00:00,1224557.439788685,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47159,1156951,,,,,,,,,,,,"[0.6438794136047363,-0.013168987818062305,-0.016660982742905617,0.7648321986198425]","[-0.005724191199988127,0.004033840261399746,0.05193578079342842]","[0.0012260000221431255,-0.3733699917793274,9.787631034851074]",,,0.241690055,2368.56274,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540037b857a7110048d5243fbdc257bc9d7c88bc0bcc433fff91bbbb4e2e843b9dba543dbcb1a03a5a2abfbe239a1c41997d773e01091445030100a00000000000000000000000000000000000000000000000000000000000000000388c,8,392,0,0,0
2026-08-11T08:32:41.982846+00:00,1224557.450540535,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47160,1156961,,,,,,,,,,,,"[0.6436779499053955,-0.013213994912803173,-0.016674991697072983,0.7650007009506226]","[-0.011814151890575886,0.004065465182065964,0.051287394016981125]","[-0.0010610000463202596,-0.36640000343322754,9.770710945129395]",,,0.240770891,2359.55469,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540038b861a7110014c8243f837f58bcfe9988bc16d7433f259041bc9837853bbb12523d41118bbac898bbbed5541c41a58c763ee0781345030100a00000000000000000000000000000000000000000000000000000000000000000a5a3,10,490,0,0,0
2026-08-11T08:32:41.992989+00:00,1224557.460651491,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47161,1156971,,,,,,,,,,,,"[0.6434803009033203,-0.013270992785692215,-0.016690989956259727,0.7651655673980713]","[-0.011799211613833904,0.006560832262039185,0.051243167370557785]","[-0.00595899997279048,-0.37074899673461914,9.799505233764648]",,,0.240770891,2359.55469,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540039b86ba7110020bb243f946e59bc8bbb88bce4e1433f7b5141bc40fcd63b5be4513db743c3bbd0d2bdbec6ca1c41a58c763ee0781345030100a00000000000000000000000000000000000000000000000000000000000000000b327,12,588,0,0,0
2026-08-11T08:32:42.002223+00:00,1224557.469885655,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47162,1156981,,,,,,,,,,,,"[0.6432806849479675,-0.013340996578335762,-0.016711996868252754,0.7653318047523499]","[-0.017271725460886955,0.007828482426702976,0.04996490478515625]","[0.008036999963223934,-0.4039030075073242,9.838534355163574]",,,0.240770891,2359.55469,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154003ab875a711000bae243f32945abc99e788bcc9ec433f6f7d8dbc0943003c00a84c3d9fad033c60cccebea36a1d41a58c763ee0781345030100a0000000000000000000000000000000000000000000000000000000000000000093f2,14,686,0,0,0
2026-08-11T08:32:42.012994+00:00,1224557.480670285,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47163,1156991,,,,,,,,,,,,"[0.6430839896202087,-0.013429995626211166,-0.016746990382671356,0.765494704246521]","[-0.02031715027987957,0.00784815289080143,0.049946416169404984]","[0.015332000330090523,-0.41192200779914856,9.788360595703125]",,,0.240770891,2359.55469,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154003bb87fa7110027a1243f7c095cbcfc3089bc76f7433f2770a6bc8a95003c9d944c3d12337b3c71e7d2be209d1c41a58c763ee0781345030100a00000000000000000000000000000000000000000000000000000000000000000b4ab,16,784,0,0,0
2026-08-11T08:32:42.022044+00:00,1224557.489791981,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47164,1157001,,,,,,,,,,,,"[0.6428865194320679,-0.013518987223505974,-0.016782982274889946,0.7656582593917847]","[-0.019091511145234108,0.00908796489238739,0.049931690096855164]","[0.010745000094175339,-0.3856250047683716,9.775927543640137]",,,0.240770891,2359.55469,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154003cb889a711003694243fbe7e5dbc777c89bc2e02443fcd659cbcb0e5143c2c854c3dcc0b303ca470c5be336a1c41a58c763ee0781345030100a000000000000000000000000000000000000000000000000000000000000000004300,18,882,0,0,0
2026-08-11T08:32:42.034720+00:00,1224557.502478828,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47165,1157011,,,,,,,,,,,,"[0.6426882743835449,-0.013627981767058372,-0.016814976930618286,0.7658219933509827]","[-0.024554617702960968,0.012242577970027924,0.04984316602349281]","[-0.0011840000515803695,-0.37324899435043335,9.794798851013184]",,,0.239839748,2350.42944,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154003db893a711003887243fe6475fbc90bf89bce90c443fc426c9bc1895483c59284c3d73309bba7e1abfbe7fb71c418d98753edfe61245030100a00000000000000000000000000000000000000000000000000000000000000000e1d0,20,980,0,0,0
