host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T09:22:00.673775+00:00,1227516.141390231,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15355,4115711,,,,,,,,,,,,"[0.70018470287323,0.020461995154619217,-0.06266697496175766,0.710911750793457]","[0.06908683478832245,-0.46457213163375854,-0.10564948618412018]","[1.1903209686279297,-0.5980319976806641,9.785415649414062]",,,0.223035708,2185.75,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fb3bffcc3e004e3f333fea9fa73c8b5780bd50fe353f667d8d3d66dcedbec25ed8bd705c983fa01819bf10911c417963643e009c0845030100a0000000000000000000000000000000000000000000000000000000000000000092f7,2,98,0,0,0
2026-08-11T09:22:00.683357+00:00,1227516.150753843,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15356,4115721,,,,,,,,,,,,"[0.7004054188728333,0.02241598442196846,-0.06405595690011978,0.7105115652084351]","[0.06802655011415482,-0.4722673296928406,-0.1061306968331337]","[1.2922929525375366,-0.603488028049469,9.722699165344238]",,,0.223035708,2185.75,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fc3b09cd3e00c54d333fbaa1b73cc52f83bd16e4353f81518b3d06cdf1be0d5bd9bddb69a53f317e1abf2d901b417963643e009c0845030100a000000000000000000000000000000000000000000000000000000000000000007ce1,4,196,0,0,0
2026-08-11T09:22:00.693254+00:00,1227516.160740673,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15357,4115731,,,,,,,,,,,,"[0.7006238102912903,0.02439798228442669,-0.06546495109796524,0.7101024389266968]","[0.06962115317583084,-0.4777075946331024,-0.10785937309265137]","[1.374500036239624,-0.5789899826049805,9.67210865020752]",,,0.225865752,2213.48462,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fd3b13cd3e00155c333f47dec73c7d1286bd46c9353f89958e3d1796f4be60e5dcbd9eefaf3fb03814bff5c01a415a49673ec1570a45030100a000000000000000000000000000000000000000000000000000000000000000004400,6,294,0,0,0
2026-08-11T09:22:00.703999+00:00,1227516.171574811,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15358,4115741,,,,,,,,,,,,"[0.7008395791053772,0.026398977264761925,-0.06689494848251343,0.7096844911575317]","[0.06836561858654022,-0.48393818736076355,-0.10775617510080338]","[1.3434380292892456,-0.566307008266449,9.705148696899414]",,,0.225865752,2213.48462,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400fe3b1dcd3e00396a333fab42d83c380089bde2ad353f46038c3dbfc6f7be45afdcbdc7f5ab3f7ff910bf4a481b415a49673ec1570a45030100a00000000000000000000000000000000000000000000000000000000000000000c38f,8,392,0,0,0
2026-08-11T09:22:00.713525+00:00,1227516.181286764,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15359,4115751,,,,,,,,,,,,"[0.7010522484779358,0.028415974229574203,-0.06834493577480316,0.7092582583427429]","[0.06711284071207047,-0.490191787481308,-0.10948733240365982]","[1.3073630332946777,-0.5550169944763184,9.8029203414917]",,,0.225865752,2213.48462,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400ff3b27cd3e002978333f9ec8e83c6ef88bbdf391353f7572893d6bfafabee53ae0bdac57a73f98150ebfc3d81c415a49673ec1570a45030100a00000000000000000000000000000000000000000000000000000000000000000cb61,10,490,0,0,0
2026-08-11T09:22:00.723679+00:00,1227516.191299602,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15360,4115761,,,,,,,,,,,,"[0.7012585401535034,0.03044997900724411,-0.06982595473527908,0.7088255286216736]","[0.06383081525564194,-0.4955672025680542,-0.10859592258930206]","[1.3830130100250244,-0.538661003112793,9.794754028320312]",,,0.225865752,2213.48462,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400003c31cd3e00ae85333f3c72f93ce9008fbd9775353fbbb9823dfcbafdbe8a67debd9206b13fb0e509bf50b71c415a49673ec1570a45030100a00000000000000000000000000000000000000000000000000000000000000000bddb,12,588,0,0,0
2026-08-11T09:22:00.733153+00:00,1227516.200805327,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15361,4115771,,,,,,,,,,,,"[0.7014567255973816,0.03249599039554596,-0.07133897393941879,0.7083877325057983]","[0.062174856662750244,-0.5007501840591431,-0.10810597240924835]","[1.4983580112457275,-0.5493029952049255,9.764249801635742]",,,0.225865752,2213.48462,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400013c3bcd3e00ab92333f841a053d2b1a92bde658353f10ab7e3d2a3100bfaa66ddbd32cabf3f1f9f0cbf5e3a1c415a49673ec1570a45030100a0000000000000000000000000000000000000000000000000000000000000000037d0,14,686,0,0,0
2026-08-11T09:22:00.743519+00:00,1227516.211197522,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15362,4115781,,,,,,,,,,,,"[0.7016502022743225,0.03456498309969902,-0.07288596034049988,0.7079406380653381]","[0.059073306620121,-0.5107428431510925,-0.11039333790540695]","[1.61810302734375,-0.5248960256576538,9.666916847229004]",,,0.228977993,2243.98438,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400023c45cd3e00599f333f03940d3d3c4595bd993b353fdaf6713d0bc002bfe715e2bd001ecf3f965f06bfb1ab1a4135796a3ec03f0c45030100a000000000000000000000000000000000000000000000000000000000000000000187,16,784,0,0,0
2026-08-11T09:22:00.753683+00:00,1227516.221416085,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15363,4115791,,,,,,,,,,,,"[0.7018424272537231,0.036645978689193726,-0.07446795701980591,0.7074805498123169]","[0.05599234253168106,-0.516977071762085,-0.11152409762144089]","[1.61810302734375,-0.5248960256576538,9.666916847229004]",,,0.228977993,2243.98438,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400033c4fcd3e00f2ab333f181a163da88298bd721d353f3a58653d9c5804bfbf66e4bd001ecf3f965f06bfb1ab1a4135796a3ec03f0c45030100a00000000000000000000000000000000000000000000000000000000000000000c388,18,882,0,0,0
2026-08-11T09:22:00.763050+00:00,1227516.230737300,pitch_nose_down_then_level,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,15364,4115801,,,,,,,,,,,,"[0.7020344138145447,0.03872395306825638,-0.07607591897249222,0.7070082426071167]","[0.05171189084649086,-0.5200840830802917,-0.11271756887435913]","[1.5750349760055542,-0.49950799345970154,9.740412712097168]",,,0.228977993,2243.98438,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400043c59cd3e0087b8333f029d1e3db1cd9bbd7efe343fd9cf533d3b2405bf78d8e6bdbf9ac93f83bfffbebbd81b4135796a3ec03f0c45030100a00000000000000000000000000000000000000000000000000000000000000000910f,20,980,0,0,0
