host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:25:33.756631+00:00,107509.039997,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:25:33.794079+00:00,107509.076974,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3501,175100,1,0,1,1,0,1,0,4195713756,0,38756,107509040,761,0,-4.4353261,-0.0503857,"[0.6023911237716675,-0.018960988149046898,0.027569979429244995,-0.797499418258667]","[-0.010792122222483158,0.012761550955474377,-0.050385668873786926]","[-0.059748001396656036,-0.6346510052680969,9.77957820892334]",0.0009909,9.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:33.844176+00:00,107509.126963,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3502,175150,1,0,1,1,0,1,0,4195713756,1,15329,107509077,762,0,-4.4331732,-0.0479645,"[0.601533055305481,-0.01891498640179634,0.027958981692790985,-0.7981343865394592]","[-0.014856312423944473,0.012818624265491962,-0.04796449467539787]","[-0.05811300128698349,-0.6315739750862122,9.771556854248047]",0.0007470,7.320,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:33.894566+00:00,107509.176968,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3503,175200,1,0,1,1,0,1,0,4195713756,2,3523,107509127,763,0,-4.4311004,-0.0462063,"[0.6007068157196045,-0.018856989219784737,0.028449978679418564,-0.7987405061721802]","[-0.01646086387336254,0.01659528911113739,-0.046206336468458176]","[-0.05016599968075752,-0.6356920003890991,9.766910552978516]",0.0007470,7.320,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:33.945140+00:00,107509.226996,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3504,175250,1,0,1,1,0,1,0,4195713756,3,63162,107509177,764,0,-4.4290438,-0.0468178,"[0.5998864769935608,-0.018791988492012024,0.028970982879400253,-0.7993395924568176]","[-0.016459956765174866,0.016587574034929276,-0.04681779444217682]","[-0.050182998180389404,-0.6503809690475464,9.750334739685059]",0.0005174,5.070,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:33.995025+00:00,107509.276924,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3505,175300,1,0,1,1,0,1,0,4195713756,4,1134,107509228,765,0,-4.4270225,-0.0468436,"[0.5990794897079468,-0.01874099113047123,0.02952398546040058,-0.7999256253242493]","[-0.0188925601541996,0.01722715049982071,-0.046843625605106354]","[-0.042973000556230545,-0.6531130075454712,9.731266975402832]",0.0003739,3.664,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.044388+00:00,107509.326974,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3506,175350,1,0,1,1,0,1,0,4195713756,5,7299,107509278,766,0,-4.4249358,-0.0480186,"[0.5982450246810913,-0.01870798133313656,0.030074967071413994,-0.8005300760269165]","[-0.01646560989320278,0.015324479900300503,-0.04801858216524124]","[-0.04056200012564659,-0.6581550240516663,9.716976165771484]",0.0003739,3.664,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.095051+00:00,107509.376988,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3507,175400,1,0,1,1,0,1,0,4195713756,6,15138,107509327,767,0,-4.4228287,-0.0496712,"[0.5974025726318359,-0.018651986494660378,0.03059498406946659,-0.8011406064033508]","[-0.01645573228597641,0.016551585868000984,-0.0496712364256382]","[-0.0454460009932518,-0.6789669990539551,9.718025207519531]",0.0002790,2.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.144838+00:00,107509.426986,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3508,175450,1,0,1,1,0,1,0,4195713756,7,63678,107509378,768,0,-4.4206772,-0.0488658,"[0.5965423583984375,-0.01857498101890087,0.03108297474682331,-0.8017643690109253]","[-0.014419177547097206,0.017796441912651062,-0.04886576533317566]","[-0.04554799944162369,-0.6982100009918213,9.718308448791504]",0.0002790,2.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.195049+00:00,107509.476989,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3509,175500,1,0,1,1,0,1,0,4195713756,8,18731,107509428,769,0,-4.4184923,-0.0486263,"[0.5956689715385437,-0.018464993685483932,0.03154998645186424,-0.8023977279663086]","[-0.014024627394974232,0.01592487283051014,-0.048626307398080826]","[-0.050310999155044556,-0.6941180229187012,9.722189903259277]",0.0002296,2.250,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.245081+00:00,107509.526931,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3510,175550,1,0,1,1,0,1,0,4195713756,9,12652,107509478,770,0,-4.4163413,-0.0504496,"[0.5948097109794617,-0.018321983516216278,0.031978968530893326,-0.803021252155304]","[-0.01036365982145071,0.016501983627676964,-0.05044956132769585]","[-0.05988600105047226,-0.7136110067367554,9.70317554473877]",0.0002296,2.250,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.294978+00:00,107509.576989,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3511,175600,1,0,1,1,0,1,0,4195713756,10,53135,107509528,771,0,-4.4142184,-0.0480148,"[0.5939632058143616,-0.01811298541724682,0.03235197812318802,-0.8036373853683472]","[-0.0067015583626925945,0.018380742520093918,-0.04801477864384651]","[-0.07196400314569473,-0.7276579737663269,9.724832534790039]",0.0001873,1.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.345028+00:00,107509.626920,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3512,175650,1,0,1,1,0,1,0,4195713756,11,47048,107509578,772,0,-4.4121914,-0.0455468,"[0.5931556820869446,-0.01786998100578785,0.03269296884536743,-0.8042252063751221]","[-0.0048816511407494545,0.017775950953364372,-0.04554682970046997]","[-0.09592600166797638,-0.7369130253791809,9.741486549377441]",0.0001873,1.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.394863+00:00,107509.676923,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3513,175700,1,0,1,1,0,1,0,4195713756,12,1619,107509628,773,0,-4.4102139,-0.0446688,"[0.5923689603805542,-0.01757298782467842,0.03296297788619995,-0.8048003911972046]","[-0.0006317045190371573,0.015679236501455307,-0.04466884210705757]","[-0.11584900319576263,-0.7374399900436401,9.753259658813477]",0.0002902,2.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.444883+00:00,107509.726919,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3514,175750,1,0,1,1,0,1,0,4195713756,13,36979,107509678,774,0,-4.4082584,-0.0454988,"[0.5915915369987488,-0.017245983704924583,0.0331539660692215,-0.8053712844848633]","[0.0018157882150262594,0.01731679029762745,-0.04549882933497429]","[-0.1190750002861023,-0.7437909841537476,9.756514549255371]",0.0002902,2.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:25:34.494748+00:00,107509.776923,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3515,175800,1,0,1,1,0,1,0,4195713756,14,57966,107509728,775,0,-4.4062939,-0.0448136,"[0.5908092856407166,-0.016928987577557564,0.03329097107052803,-0.8059463500976562]","[0.004231324419379234,0.013981623575091362,-0.04481363296508789]","[-0.1367029994726181,-0.7504979968070984,9.784396171569824]",0.0005269,5.164,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
