host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:58:54.297988+00:00,91509.581268,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:58:54.348434+00:00,91509.631097,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,9395,469801,1,0,1,1,0,1,0,2949590624,1960,44157,91503652,2561,0,0.5269163,-0.0071464,"[0.9649055004119873,-0.03330498933792114,0.01499499473720789,-0.2600449025630951]","[0.010154989548027515,-0.004302516113966703,-0.007146355230361223]","[-0.07667099684476852,-0.7156090140342712,9.724603652954102]",0.0018838,18.461,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.398777+00:00,91509.681106,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9396,469851,1,0,1,1,0,1,0,3399207803,0,15183,91509581,2562,0,0.5275275,-0.0058755,"[0.9648346900939941,-0.03307197988033295,0.014774990268051624,-0.260349839925766]","[0.012578326277434826,-0.006174346897751093,-0.005875494331121445]","[-0.07175599783658981,-0.6965709924697876,9.712384223937988]",0.0016789,16.453,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.448505+00:00,91509.731099,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9397,469901,1,0,1,1,0,1,0,3399207803,1,65443,91509631,2563,0,0.5280722,-0.0058939,"[0.9647746086120605,-0.03277398645877838,0.014526992104947567,-0.26062390208244324]","[0.011363891884684563,-0.0055426424369215965,-0.005893942434340715]","[-0.04381899908185005,-0.6807739734649658,9.705277442932129]",0.0014110,13.828,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.498881+00:00,91509.781103,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9398,469951,1,0,1,1,0,1,0,3399207803,2,39997,91509682,2564,0,0.5285512,-0.0034297,"[0.9647238254547119,-0.032450977712869644,0.014261988922953606,-0.26086682081222534]","[0.012574712745845318,-0.006143489386886358,-0.003429694566875696]","[-0.01659199967980385,-0.6636989712715149,9.676552772521973]",0.0014110,13.828,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.548893+00:00,91509.831130,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9399,470001,1,0,1,1,0,1,0,3399207803,3,7070,91509731,2565,0,0.5289450,-0.0028072,"[0.9646840691566467,-0.03212697058916092,0.013986986130475998,-0.26106876134872437]","[0.012570071034133434,-0.006759625393897295,-0.0028071703854948282]","[-0.01653200015425682,-0.6491929888725281,9.68113899230957]",0.0011719,11.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.598882+00:00,91509.881105,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9400,470051,1,0,1,1,0,1,0,3399207803,4,31442,91509782,2566,0,0.5293294,-0.0034297,"[0.9646443128585815,-0.03183700144290924,0.013708997517824173,-0.26126596331596375]","[0.010743705555796623,-0.006755541544407606,-0.0034297117963433266]","[-0.011757999658584595,-0.6467729806900024,9.68355655670166]",0.0011719,11.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.648880+00:00,91509.931127,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9401,470101,1,0,1,1,0,1,0,3399207803,5,15616,91509832,2567,0,0.5297268,-0.0034260,"[0.9646022915840149,-0.03155696764588356,0.01344398595392704,-0.26146870851516724]","[0.01135279145091772,-0.006759468000382185,-0.0034260116517543793]","[-0.01647300086915493,-0.6346880197525024,9.685723304748535]",0.0010005,9.805,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.699257+00:00,91509.981125,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9402,470151,1,0,1,1,0,1,0,3399207803,6,23022,91509882,2568,0,0.5301471,-0.0052604,"[0.9645558595657349,-0.031316980719566345,0.013187991455197334,-0.26168182492256165]","[0.007693533319979906,-0.008006680756807327,-0.0052604228258132935]","[-0.021268999204039574,-0.6394760012626648,9.685738563537598]",0.0010005,9.805,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.748497+00:00,91510.031094,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9403,470201,1,0,1,1,0,1,0,3399207803,7,6844,91509932,2569,0,0.5306588,-0.0059136,"[0.9644968509674072,-0.031090980395674706,0.012934991158545017,-0.26193884015083313]","[0.009336080402135849,-0.005113640334457159,-0.005913629662245512]","[-0.05795999988913536,-0.6322339773178101,9.728389739990234]",0.0009614,9.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.798367+00:00,91510.081034,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9404,470251,1,0,1,1,0,1,0,3399207803,8,43369,91509982,2570,0,0.5311613,-0.0034961,"[0.9644383788108826,-0.03087298944592476,0.012746995314955711,-0.2621889114379883]","[0.007104136049747467,-0.004236577078700066,-0.003496103920042515]","[-0.08834599703550339,-0.6403639912605286,9.764141082763672]",0.0009614,9.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.848480+00:00,91510.131129,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9405,470301,1,0,1,1,0,1,0,3399207803,9,23648,91510031,2571,0,0.5316806,-0.0047301,"[0.9643775224685669,-0.030654987320303917,0.01258799433708191,-0.2624458968639374]","[0.008940658532083035,-0.0030161209870129824,-0.004730051849037409]","[-0.093129001557827,-0.6378269791603088,9.771246910095215]",0.0009542,9.352,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.899240+00:00,91510.181130,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9406,470351,1,0,1,1,0,1,0,3399207803,10,11901,91510081,2572,0,0.5322183,-0.0047374,"[0.964313268661499,-0.030460964888334274,0.012456986121833324,-0.26271069049835205]","[0.007722488604485989,-0.0030082494486123323,-0.004737434443086386]","[-0.09797599911689758,-0.6522369980812073,9.771403312683105]",0.0009542,9.352,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.948070+00:00,91510.231024,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9407,470401,1,0,1,1,0,1,0,3399207803,11,60049,91510131,2573,0,0.5327004,-0.0035883,"[0.9642558693885803,-0.030271975323557854,0.012377990409731865,-0.2629467844963074]","[0.006524913478642702,0.0007580663659609854,-0.0035882575903087854]","[-0.1075420007109642,-0.6520829796791077,9.778485298156738]",0.0009566,9.375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:54.999128+00:00,91510.281140,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9408,470451,1,0,1,1,0,1,0,3399207803,12,63010,91510182,2574,0,0.5331129,-0.0024170,"[0.9642075896263123,-0.030078986659646034,0.012336994521319866,-0.26314792037010193]","[0.005319868680089712,0.003276715986430645,-0.002416984410956502]","[-0.114717997610569,-0.6494979858398438,9.78796100616455]",0.0010324,10.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:55.049228+00:00,91510.331130,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9409,470501,1,0,1,1,0,1,0,3399207803,13,6680,91510231,2575,0,0.5335059,0.0000214,"[0.9641608595848083,-0.02991097792983055,0.012345991097390652,-0.2633378207683563]","[0.002877402352169156,0.00290740467607975,2.1415191440610215e-05]","[-0.14257699251174927,-0.6385679841041565,9.812268257141113]",0.0010324,10.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:55.099230+00:00,91510.381112,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9410,470551,1,0,1,1,0,1,0,3399207803,14,2335,91510282,2576,0,0.5338624,-0.0012199,"[0.9641174077987671,-0.02979198843240738,0.01235599722713232,-0.26350992918014526]","[0.001054440625011921,0.0033196688164025545,-0.001219932921230793]","[-0.16003599762916565,-0.6296070218086243,9.815934181213379]",0.0010890,10.672,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:55.148462+00:00,91510.431051,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9411,470601,1,0,1,1,0,1,0,3399207803,15,6273,91510332,2577,0,0.5342196,-0.0025055,"[0.9640723466873169,-0.029712991788983345,0.012433997355401516,-0.26367995142936707]","[-0.001974229235202074,0.005819277372211218,-0.002505524782463908]","[-0.15525299310684204,-0.6223019957542419,9.823079109191895]",0.0010890,10.672,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:55.198961+00:00,91510.481102,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9412,470651,1,0,1,1,0,1,0,3399207803,16,49361,91510382,2578,0,0.5346256,-0.0024982,"[0.9640187621116638,-0.029696978628635406,0.012553991749882698,-0.26387184858322144]","[-0.004418039228767157,0.00458733644336462,-0.0024981943424791098]","[-0.15521900355815887,-0.612608015537262,9.827733039855957]",0.0011942,11.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:58:55.247961+00:00,91510.531021,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9413,470701,1,0,1,1,0,1,0,3399207803,17,49804,91510431,2579,0,0.5351036,-0.0038096,"[0.9639530181884766,-0.029764974489808083,0.012710989452898502,-0.26409679651260376]","[-0.008048341609537601,0.00833855476230383,-0.0038096001371741295]","[-0.15518499910831451,-0.6078330278396606,9.825264930725098]",0.0011942,11.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
