host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T12:05:38.385631+00:00,181913.668898,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T12:05:38.435711+00:00,181913.718677,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9819,491001,1,0,1,1,0,1,0,2219221639,0,52054,181913668,3716,0,-5.1000872,0.0115541,"[0.8296329975128174,-0.026978997513651848,0.024371998384594917,-0.5571240186691284]","[-0.004435108508914709,0.005388547200709581,0.011554131284356117]","[-0.12689900398254395,-0.7073919773101807,9.774279594421387]",0.0015171,14.867,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0]",255,1,1
2026-08-14T12:05:38.485671+00:00,181913.768667,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9820,491051,1,0,1,1,0,1,0,2219221639,1,39655,181913719,3717,0,-5.1006289,0.0121988,"[0.8297852873802185,-0.026937998831272125,0.024493997916579247,-0.5568939447402954]","[-0.0007852236740291119,0.004748814273625612,0.012198804877698421]","[-0.1269329935312271,-0.6974040269851685,9.798120498657227]",0.0014453,14.164,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0]",255,1,1
2026-08-14T12:05:38.536549+00:00,181913.818676,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9821,491101,1,0,1,1,0,1,0,2219221639,2,37712,181913769,3718,0,-5.1012239,0.0117764,"[0.8299534320831299,-0.026856977492570877,0.024576978757977486,-0.556643545627594]","[0.0004409923276398331,0.005983477924019098,0.011776435188949108]","[-0.12375400215387344,-0.7015129923820496,9.792621612548828]",0.0014453,14.164,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,387.5,0.0]",255,1,1
2026-08-14T12:05:38.585722+00:00,181913.868695,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9822,491151,1,0,1,1,0,1,0,2219221639,3,32910,181913819,3719,0,-5.1018224,0.0134033,"[0.8301233053207397,-0.026752982288599014,0.024635983631014824,-0.5563926100730896]","[-0.0001704837632132694,0.006007981952279806,0.013403292745351791]","[-0.11737500131130219,-0.6876800060272217,9.807682037353516]",0.0013815,13.539,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,387.5,0.0]",255,1,1
2026-08-14T12:05:38.635988+00:00,181913.918677,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9823,491201,1,0,1,1,0,1,0,2219221639,4,65300,181913869,3720,0,-5.1024475,0.0134476,"[0.8303014636039734,-0.02661699242889881,0.024644993245601654,-0.5561327934265137]","[0.003476556623354554,0.004736701492220163,0.013447570614516735]","[-0.10300900042057037,-0.68060302734375,9.802947998046875]",0.0013815,13.539,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,387.5,0.0]",255,1,1
2026-08-14T12:05:38.685736+00:00,181913.968734,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9824,491251,1,0,1,1,0,1,0,2219221639,5,15352,181913919,3721,0,-5.1030717,0.0128951,"[0.8304794430732727,-0.026482978835701942,0.024620983749628067,-0.5558745265007019]","[0.004067874047905207,0.0016058600740507245,0.012895103543996811]","[-0.09580300003290176,-0.6906970143318176,9.774392127990723]",0.0014023,13.742,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0]",255,1,1
2026-08-14T12:05:38.737454+00:00,181914.018687,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9825,491301,1,0,1,1,0,1,0,2219221639,6,18917,181913969,3722,0,-5.1036935,0.0123316,"[0.830657422542572,-0.026325978338718414,0.02451597899198532,-0.555620551109314]","[0.0064939167350530624,-0.0002890963514801115,0.012331589125096798]","[-0.07898399978876114,-0.6888459920883179,9.743372917175293]",0.0014023,13.742,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0]",255,1,1
2026-08-14T12:05:38.785654+00:00,181914.068668,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9826,491351,1,0,1,1,0,1,0,2219221639,7,62803,181914020,3723,0,-5.1042905,0.0111640,"[0.8308276534080505,-0.026197990402579308,0.024339990690350533,-0.5553797483444214]","[0.006477057002484798,-0.0034237250220030546,0.011163980700075626]","[-0.08133900165557861,-0.6914229989051819,9.731389999389648]",0.0013584,13.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,387.5,0.0]",255,1,1
2026-08-14T12:05:38.835979+00:00,181914.118675,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9827,491401,1,0,1,1,0,1,0,2219221639,8,47458,181914069,3724,0,-5.1048474,0.0111824,"[0.8309870958328247,-0.026060981675982475,0.024109983816742897,-0.5551576614379883]","[0.007691509090363979,-0.004055429715663195,0.011182430200278759]","[-0.06932800263166428,-0.6869239807128906,9.714669227600098]",0.0013584,13.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,387.5,0.0]",255,1,1
