host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T12:10:52.129923+00:00,182227.413152,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T12:10:52.180455+00:00,182227.462882,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16094,804751,1,0,1,1,0,1,0,3381922043,0,8380,182227413,3761,0,-5.2009268,0.0037269,"[0.8566954135894775,-0.02704397216439247,0.021448979154229164,-0.5146664977073669]","[-0.0008024325361475348,-0.00034985123784281313,0.0037269415333867073]","[-0.062105000019073486,-0.6675670146942139,9.7240629196167]",0.0023884,23.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,412.5,0.0]",255,1,1
2026-08-14T12:10:52.230435+00:00,182227.512879,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16095,804801,1,0,1,1,0,1,0,3381922043,1,21448,182227463,3762,0,-5.2009130,0.0024782,"[0.8566921353340149,-0.027029981836676598,0.021447984501719475,-0.5146726369857788]","[-0.0014022499090060592,0.0008863131515681744,0.002478228183463216]","[-0.06209699809551239,-0.6823660135269165,9.700292587280273]",0.0023374,22.906,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,412.5,0.0]",255,1,1
2026-08-14T12:10:52.280847+00:00,182227.562888,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16096,804851,1,0,1,1,0,1,0,3381922043,2,2227,182227513,3763,0,-5.2008724,0.0036974,"[0.8566823601722717,-0.027010975405573845,0.021458981558680534,-0.5146895051002502]","[-0.0020131326746195555,0.0009056688286364079,0.003697445383295417]","[-0.07650899887084961,-0.6867809891700745,9.721781730651855]",0.0023374,22.906,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,412.5,0.0]",255,1,1
2026-08-14T12:10:52.330986+00:00,182227.612886,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16097,804901,1,0,1,1,0,1,0,3381922043,3,23138,182227564,3764,0,-5.2008553,0.0036974,"[0.8566779494285583,-0.027005981653928757,0.021467985585331917,-0.5146966576576233]","[-0.0020131326746195555,0.0009056688286364079,0.003697445383295417]","[-0.08604999631643295,-0.6768959760665894,9.735919952392578]",0.0024809,24.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
2026-08-14T12:10:52.380674+00:00,182227.662881,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16098,804951,1,0,1,1,0,1,0,3381922043,4,2014,182227614,3765,0,-5.2008753,0.0036974,"[0.8566834926605225,-0.026997994631528854,0.02146999165415764,-0.5146878957748413]","[-0.0020131326746195555,0.0009056688286364079,0.003697445383295417]","[-0.09645900130271912,-0.6781709790229797,9.754209518432617]",0.0025996,25.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
2026-08-14T12:10:52.430834+00:00,182227.712887,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16099,805001,1,0,1,1,0,1,0,3381922043,5,32893,182227663,3766,0,-5.2008810,0.0042868,"[0.8566848635673523,-0.02699398249387741,0.02149498648941517,-0.5146846771240234]","[-0.002006570342928171,0.002161066746339202,0.004286773037165403]","[-0.10045799612998962,-0.6788690090179443,9.759770393371582]",0.0025996,25.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
2026-08-14T12:10:52.480819+00:00,182227.762888,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16100,805051,1,0,1,1,0,1,0,3381922043,6,32558,182227714,3767,0,-5.2009087,0.0049425,"[0.8566924333572388,-0.026980996131896973,0.021516995504498482,-0.5146718621253967]","[-0.002022417727857828,-0.00032656858093105257,0.004942458122968674]","[-0.11244399845600128,-0.6687160134315491,9.790667533874512]",0.0026650,26.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
2026-08-14T12:10:52.530886+00:00,182227.812887,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16101,805101,1,0,1,1,0,1,0,3381922043,7,28336,182227764,3768,0,-5.2009330,0.0036900,"[0.8566986322402954,-0.02698597125709057,0.021514978259801865,-0.5146614909172058]","[-0.003231320297345519,0.000913540250621736,0.0036900448612868786]","[-0.11248999834060669,-0.6611329913139343,9.814545631408691]",0.0026650,26.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
2026-08-14T12:10:52.580982+00:00,182227.862886,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,16102,805151,1,0,1,1,0,1,0,3381922043,8,46844,182227814,3769,0,-5.2009339,0.0031118,"[0.856698215007782,-0.027002977207303047,0.021528981626033783,-0.5146605968475342]","[-0.0014106100425124168,-0.00035363860661163926,0.00311180017888546]","[-0.10529699921607971,-0.6588699817657471,9.807398796081543]",0.0026834,26.297,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0]",255,1,1
