host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:14:20.609421+00:00,106835.892673,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:14:20.659636+00:00,106835.942499,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,266,13350,1,0,1,1,0,1,0,3719916789,0,45124,106835892,1,0,2.7626610,-0.0243223,"[-0.18844212591648102,0.0002480002585798502,-0.036396026611328125,0.9814096689224243]","[0.010198988951742649,-0.001399230444803834,-0.02432231605052948]","[-0.09812899678945541,-0.7057049870491028,9.736204147338867]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.709843+00:00,106835.992482,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,267,13400,1,0,1,1,0,1,0,3719916789,1,23902,106835943,2,0,2.7638884,-0.0239208,"[-0.18783612549304962,0.00028599993675015867,-0.03612802177667618,0.9815356731414795]","[0.008572900667786598,-0.0015915483236312866,-0.02392083778977394]","[-0.0965299978852272,-0.6991879940032959,9.743324279785156]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.760087+00:00,106836.042488,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,268,13450,1,0,1,1,0,1,0,3719916789,2,33724,106835993,3,0,2.7651477,-0.0243555,"[-0.18721404671669006,0.0003420000721234828,-0.035894010215997696,0.9816631078720093]","[0.006548196543008089,-0.0007517831400036812,-0.024355528876185417]","[-0.09089700132608414,-0.6913059949874878,9.736075401306152]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.810651+00:00,106836.092502,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,269,13500,1,0,1,1,0,1,0,3719916789,3,64507,106836043,4,0,2.7664046,-0.0242929,"[-0.18659204244613647,0.0004369999805931002,-0.03570801392197609,0.9817882776260376]","[0.005916718393564224,-0.004490906838327646,-0.024292871356010437]","[-0.09085000306367874,-0.6890479922294617,9.726447105407715]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.860668+00:00,106836.142509,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,270,13550,1,0,1,1,0,1,0,3719916789,4,19040,106836093,5,0,2.7676301,-0.0243335,"[-0.18598608672618866,0.0005280001205392182,-0.03558901697397232,0.9819074869155884]","[0.002878746250644326,-0.0032235535327345133,-0.024333450943231583]","[-0.10049699991941452,-0.6959260106086731,9.745628356933594]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.910656+00:00,106836.192502,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,271,13600,1,0,1,1,0,1,0,3719916789,5,56384,106836143,6,0,2.7687740,-0.0219172,"[-0.18542015552520752,0.0006330003961920738,-0.03555302321910858,0.9820157885551453]","[-0.001997546758502722,-0.0031612450256943703,-0.021917181089520454]","[-0.11477399617433548,-0.6910859942436218,9.74299430847168]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:20.960633+00:00,106836.242501,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,272,13650,1,0,1,1,0,1,0,3719916789,6,44637,106836193,7,0,2.7698362,-0.0207496,"[-0.1848950982093811,0.0007220005500130355,-0.035583026707172394,0.9821135997772217]","[-0.003811676986515522,-0.0006386509048752487,-0.020749608054757118]","[-0.12195900082588196,-0.6835439801216125,9.761991500854492]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:21.009801+00:00,106836.292478,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,273,13700,1,0,1,1,0,1,0,3719916789,7,53033,106836243,8,0,2.7708306,-0.0182928,"[-0.18440504372119904,0.0007740000146441162,-0.035675011575222015,0.9822023510932922]","[-0.00687068048864603,-0.0022517191246151924,-0.018292760476469994]","[-0.11873199790716171,-0.6878610253334045,9.742902755737305]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:14:21.059977+00:00,106836.342497,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,274,13750,1,0,1,1,0,1,0,3719916789,8,49687,106836293,9,0,2.7717578,-0.0171510,"[-0.1839480698108673,0.0008340005879290402,-0.03585701808333397,0.9822813868522644]","[-0.008065776899456978,0.0019304913002997637,-0.017150966450572014]","[-0.12202700227499008,-0.6980130076408386,9.759805679321289]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
