host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:09:36.280205+00:00,106551.563481,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:09:36.331260+00:00,106551.613337,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,1080,54050,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9056522,0.0013033,"[0.5793994069099426,-0.005082995165139437,0.027573976665735245,-0.8145613670349121]","[-0.0008062897832132876,-0.0016283922595903277,0.001303254859521985]","[-0.23550699651241302,-0.5123819708824158,9.748573303222656]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.381359+00:00,106551.663336,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1081,54100,1,0,1,1,0,1,0,1624167766,0,5557,106551563,1,0,1.9056377,0.0012737,"[0.5794044733047485,-0.005136995110660791,0.02754797786474228,-0.8145583271980286]","[-0.0020169897470623255,-0.0003728372394107282,0.0012737413635477424]","[-0.2236659973859787,-0.5219119787216187,9.758445739746094]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.430806+00:00,106551.713319,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1082,54150,1,0,1,1,0,1,0,1624167766,1,64463,106551614,2,0,1.9056604,0.0004954,"[0.5793947577476501,-0.005159998778253794,0.02752499096095562,-0.8145657777786255]","[0.0004130845481995493,-0.0016465436201542616,0.0004953593597747386]","[-0.26397499442100525,-0.4571419954299927,9.785813331604004]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.481335+00:00,106551.763333,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1083,54200,1,0,1,1,0,1,0,1624167766,2,35282,106551664,3,0,1.9056606,0.0013217,"[0.5793936252593994,-0.005229996517300606,0.027493977919220924,-0.8145672678947449]","[-0.0014228273648768663,-0.0028721315320581198,0.0013216680381447077]","[-0.2210720032453537,-0.4760740101337433,9.767394065856934]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.530507+00:00,106551.813311,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1084,54250,1,0,1,1,0,1,0,1624167766,3,8178,106551714,4,0,1.9056548,0.0006955,"[0.5793954730033875,-0.005262995138764381,0.02747797779738903,-0.8145663142204285]","[-0.002027287147939205,-0.0022520681377500296,0.0006954614073038101]","[-0.24993599951267242,-0.5364059805870056,9.746362686157227]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.580911+00:00,106551.863324,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1085,54300,1,0,1,1,0,1,0,1624167766,4,31067,106551764,5,0,1.9056597,0.0000803,"[0.5793918967247009,-0.005344998557120562,0.02740398980677128,-0.8145707249641418]","[-0.0008044745773077011,-0.0016438033198937774,8.033750782487914e-05]","[-0.2187040001153946,-0.48093199729919434,9.765095710754395]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.631311+00:00,106551.913333,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1086,54350,1,0,1,1,0,1,0,1624167766,5,62923,106551813,6,0,1.9056844,0.0011779,"[0.5793819427490234,-0.005345996934920549,0.02741498127579689,-0.8145774602890015]","[-0.0032052970491349697,0.0046257334761321545,0.001177887781523168]","[-0.240106999874115,-0.4737269878387451,9.757547378540039]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.681415+00:00,106551.963361,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1087,54400,1,0,1,1,0,1,0,1624167766,6,20820,106551864,7,0,1.9056760,0.0025299,"[0.5793864727020264,-0.005283000413328409,0.027467994019389153,-0.8145728707313538]","[0.0016319701680913568,-0.0010048558469861746,0.002529872115701437]","[-0.2356089949607849,-0.536545991897583,9.741731643676758]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:09:36.731261+00:00,106552.013273,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1088,54450,1,0,1,1,0,1,0,1624167766,7,10515,106551914,8,0,1.9056453,0.0024819,"[0.5793984532356262,-0.005309997592121363,0.02742498740553856,-0.8145656585693359]","[-0.0007931648287922144,0.0008823861135169864,0.0024819280952215195]","[-0.2139980047941208,-0.48805999755859375,9.77245044708252]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
