host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-15T07:27:13.834084+00:00,251609.117336,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T07:27:13.884434+00:00,251609.167066,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12498,624950,1,0,1,1,0,1,0,1276250396,0,13368,251609117,3189,0,-5.3555121,0.0830022,"[0.8938280344009399,-0.03010297752916813,0.020450985059142113,-0.4469306766986847]","[-0.004240085370838642,-0.011392445303499699,0.08300220221281052]","[-0.1077290028333664,-0.6922829747200012,9.771879196166992]",0.0040226,39.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:13.934053+00:00,251609.217055,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12499,625000,1,0,1,1,0,1,0,1276250396,1,19583,251609167,3190,0,-5.3602052,0.0833964,"[0.8948705792427063,-0.030277984216809273,0.020274993032217026,-0.4448358118534088]","[-0.0022016805596649647,-0.00994478166103363,0.08339635282754898]","[-0.08662799745798111,-0.7777379751205444,9.749388694763184]",0.0040083,39.281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:13.984833+00:00,251609.267072,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12500,625050,1,0,1,1,0,1,0,1276250396,2,53253,251609217,3191,0,-5.3649759,0.0864536,"[0.8959256410598755,-0.030438987538218498,0.020146988332271576,-0.4427017867565155]","[-0.0022062184289097786,-0.009906226769089699,0.08645360916852951]","[-0.09339699894189835,-0.7277060151100159,9.71499252319336]",0.0040083,39.281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.034922+00:00,251609.317168,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12501,625100,1,0,1,1,0,1,0,1276250396,3,15999,251609268,3192,0,-5.3698583,0.0877060,"[0.8970014452934265,-0.030556967481970787,0.02001797966659069,-0.44051551818847656]","[-0.0009973160922527313,-0.011146352626383305,0.08770601451396942]","[-0.1075970008969307,-0.6789090037345886,9.754891395568848]",0.0038935,38.156,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.085230+00:00,251609.367080,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12502,625150,1,0,1,1,0,1,0,1276250396,4,58941,251609318,3193,0,-5.3748260,0.0907117,"[0.8980912566184998,-0.030661996454000473,0.01989099755883217,-0.4382879436016083]","[0.001456896192394197,-0.007380473893135786,0.09071169048547745]","[-0.07944700121879578,-0.7680400013923645,9.756525993347168]",0.0038935,38.156,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.135360+00:00,251609.417135,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12503,625200,1,0,1,1,0,1,0,1276250396,5,47324,251609368,3194,0,-5.3798380,0.0907265,"[0.8991870284080505,-0.030705977231264114,0.01979798451066017,-0.4360366761684418]","[0.0038932361640036106,-0.007396216969937086,0.09072647988796234]","[-0.08166199922561646,-0.7589210271835327,9.722783088684082]",0.0037699,36.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.184231+00:00,251609.467073,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12504,625250,1,0,1,1,0,1,0,1276250396,6,24729,251609418,3195,0,-5.3848381,0.0898633,"[0.9002764821052551,-0.030689992010593414,0.019711993634700775,-0.43378788232803345]","[0.003910619765520096,-0.0047031911090016365,0.08986328542232513]","[-0.10285600274801254,-0.682902991771698,9.757404327392578]",0.0037699,36.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.234603+00:00,251609.517059,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12505,625300,1,0,1,1,0,1,0,1276250396,7,23441,251609467,3196,0,-5.3897896,0.0888627,"[0.9013503789901733,-0.030657991766929626,0.019609995186328888,-0.43155890703201294]","[0.006347239017486572,-0.004939718171954155,0.08886265754699707]","[-0.08391500264406204,-0.6930480003356934,9.781760215759277]",0.0035475,34.766,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.284697+00:00,251609.567075,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12506,625350,1,0,1,1,0,1,0,1276250396,8,47304,251609517,3197,0,-5.3946524,0.0857575,"[0.902401328086853,-0.030575990676879883,0.019520994275808334,-0.42936691641807556]","[0.003926606848835945,-0.003091013291850686,0.08575745671987534]","[-0.055573999881744385,-0.770700991153717,9.747245788574219]",0.0035475,34.766,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:27:14.334208+00:00,251609.617066,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12507,625400,1,0,1,1,0,1,0,1276250396,9,43798,251609567,3198,0,-5.3994417,0.0839415,"[0.9034305214881897,-0.03051396831870079,0.019412977620959282,-0.42720651626586914]","[0.0033127744682133198,-0.004357895348221064,0.0839415118098259]","[-0.07904300093650818,-0.6935099959373474,9.753035545349121]",0.0032597,31.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
