host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:08:03.461590+00:00,106458.744830,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:08:03.511558+00:00,106458.794604,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,3048,152450,0,0,1,1,0,1,0,4268398520,64,35847,106440923,65,0,1.9043933,0.0025151,"[0.5798777937889099,-0.007000993937253952,0.026099978014826775,-0.8142552375793457]","[-0.0008043524576351047,-0.0009891304653137922,0.002515089465305209]","[-0.17116299271583557,-0.5296630263328552,9.739972114562988]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.562850+00:00,106458.844704,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3049,152500,0,0,1,1,0,1,0,1459326192,0,1587,106458744,66,0,1.9043943,0.0004757,"[0.5798773169517517,-0.007008994463831186,0.02610497921705246,-0.8142553567886353]","[0.000826605421025306,-0.00040147811523638666,0.00047570696915499866]","[-0.1845410019159317,-0.4785250127315521,9.775845527648926]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.612701+00:00,106458.894694,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3050,152550,0,0,1,1,0,1,0,1459326192,1,1358,106458795,67,0,1.9044257,0.0012885,"[0.5798643231391907,-0.00701699685305357,0.02609999105334282,-0.8142646551132202]","[0.000419332820456475,-0.0003885801415890455,0.0012885242467746139]","[-0.17565299570560455,-0.46195998787879944,9.760514259338379]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.662679+00:00,106458.944677,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3051,152600,0,0,1,1,0,1,0,1459326192,2,39940,106458846,68,0,1.9044001,0.0025151,"[0.5798749327659607,-0.00700299721211195,0.026091983541846275,-0.8142575025558472]","[-0.0008043524576351047,-0.0009891304653137922,0.002515089465305209]","[-0.16874399781227112,-0.5199790000915527,9.744654655456543]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.712789+00:00,106458.994676,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3052,152650,0,0,1,1,0,1,0,1459326192,3,26893,106458895,69,0,1.9043825,0.0025040,"[0.5798819661140442,-0.0070099919103085995,0.026069972664117813,-0.8142531514167786]","[-0.0008006173884496093,-0.00036527996417135,0.0025040414184331894]","[-0.19498899579048157,-0.500137984752655,9.775246620178223]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.762717+00:00,106459.044612,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3053,152700,0,0,1,1,0,1,0,1459326192,4,6935,106458945,70,0,1.9043518,0.0018889,"[0.5798941850662231,-0.007021997589617968,0.026058990508317947,-0.8142446279525757]","[-0.0014088123571127653,-0.00036906730383634567,0.0018889001803472638]","[-0.17087799310684204,-0.46446099877357483,9.755806922912598]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.812132+00:00,106459.094678,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3054,152750,0,0,1,1,0,1,0,1459326192,5,57339,106458995,71,0,1.9043591,0.0000177,"[0.5798913240432739,-0.0070169963873922825,0.02606198936700821,-0.814246654510498]","[-0.00017297959129791707,0.002095285104587674,1.7680187738733366e-05]","[-0.16391800343990326,-0.5177789926528931,9.732683181762695]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.863161+00:00,106459.144742,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3055,152800,0,0,1,1,0,1,0,1459326192,6,15531,106459045,72,0,1.9043441,-0.0007644,"[0.5798977017402649,-0.007002997677773237,0.02607499621808529,-0.8142418265342712]","[-0.0007933045853860676,9.459685315960087e-06,-0.00076440186239779]","[-0.18623000383377075,-0.5026940107345581,9.768189430236816]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.912690+00:00,106459.194612,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3056,152850,0,0,1,1,0,1,0,1459326192,7,12149,106459095,73,0,1.9043620,0.0025335,"[0.5798900723457336,-0.007020996883511543,0.0260549895465374,-0.814247727394104]","[0.000410065142204985,-0.0016208350425586104,0.00253353756852448]","[-0.17813099920749664,-0.4664669930934906,9.779742240905762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:03.963697+00:00,106459.244678,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3057,152900,0,0,1,1,0,1,0,1459326192,8,26083,106459146,74,0,1.9043487,0.0012664,"[0.579895555973053,-0.0070139942690730095,0.02604297734797001,-0.814244270324707]","[0.00042680278420448303,0.0008590859360992908,0.001266410923562944]","[-0.17580099403858185,-0.4982239902019501,9.749052047729492]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:08:04.012796+00:00,106459.294681,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3058,152950,0,0,1,1,0,1,0,1459326192,9,24299,106459195,75,0,1.9043446,0.0006512,"[0.5798974633216858,-0.007003995589911938,0.026053987443447113,-0.8142426609992981]","[-0.0020123471040278673,0.00024328145082108676,0.0006512347608804703]","[-0.17836499214172363,-0.5220469832420349,9.763765335083008]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
