host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T11:51:50.045619+00:00,94685.328860,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T11:51:50.096051+00:00,94685.378641,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5205,260300,1,0,1,1,0,1,0,573880920,0,5201,94685328,1131,0,2.7740874,0.0030601,"[-0.1829100400209427,-0.0012490000808611512,-0.04096301272511482,0.982275128364563]","[-0.013599814847111702,-0.0015226427931338549,0.003060051007196307]","[-0.19148500263690948,-0.7604179978370667,9.747928619384766]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.145997+00:00,94685.428625,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5206,260350,1,0,1,1,0,1,0,573880920,1,63819,94685379,1132,0,2.7739158,0.0037269,"[-0.1829931139945984,-0.0011590007925406098,-0.04120402783155441,0.9822496771812439]","[-0.008126409724354744,-0.0027980247978121042,0.003726854221895337]","[-0.17705899477005005,-0.7289929986000061,9.7620267868042]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.196002+00:00,94685.478627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5207,260400,1,0,1,1,0,1,0,573880920,2,18647,94685429,1133,0,2.7737594,0.0029436,"[-0.18306800723075867,-0.0010830003302544355,-0.041290003806352615,0.9822322130203247]","[-0.0016257917741313577,-0.0024343677796423435,0.0029436026234179735]","[-0.1653289943933487,-0.7790529727935791,9.743707656860352]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.245932+00:00,94685.528631,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5208,260450,1,0,1,1,0,1,0,573880920,3,16954,94685479,1134,0,2.7736290,0.0017527,"[-0.183130145072937,-0.0010420008329674602,-0.04123503342270851,0.9822229743003845]","[0.002434088382869959,-0.002891905838623643,0.0017526946030557156]","[-0.17493799328804016,-0.7918379902839661,9.74378490447998]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.295583+00:00,94685.578627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5209,260500,1,0,1,1,0,1,0,573880920,4,52852,94685529,1135,0,2.7734571,0.0063056,"[-0.18321210145950317,-0.0010120007209479809,-0.041047025471925735,0.9822155833244324]","[0.01013509277254343,-0.004132852423936129,0.006305578164756298]","[-0.18445299565792084,-0.767300009727478,9.772101402282715]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.346032+00:00,94685.628682,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5210,260550,1,0,1,1,0,1,0,573880920,5,22612,94685579,1136,0,2.7732706,0.0050385,"[-0.18330202996730804,-0.001035000430420041,-0.04072500765323639,0.9822121858596802]","[0.017475789412856102,0.0007952243904583156,0.005038538482040167]","[-0.1700659990310669,-0.772616982460022,9.743558883666992]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.396922+00:00,94685.678752,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5211,260600,1,0,1,1,0,1,0,573880920,6,59848,94685629,1137,0,2.7730680,0.0038378,"[-0.1834002286195755,-0.0010910012060776353,-0.04028204455971718,0.9822120666503906]","[0.021132133901119232,0.0007561988313682377,0.003837787313386798]","[-0.1654530018568039,-0.808866024017334,9.734549522399902]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.446454+00:00,94685.728643,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5212,260650,1,0,1,1,0,1,0,573880920,7,50227,94685680,1138,0,2.7728574,0.0050939,"[-0.1835031509399414,-0.0011970007326453924,-0.03971702978014946,0.9822157621383667]","[0.02661209926009178,0.0007362322648987174,0.005093935411423445]","[-0.174809992313385,-0.7579420208930969,9.757681846618652]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.496289+00:00,94685.778702,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5213,260700,1,0,1,1,0,1,0,573880920,8,59560,94685729,1139,0,2.7726543,0.0051124,"[-0.18360218405723572,-0.001321001211181283,-0.039046041667461395,0.9822239875793457]","[0.029657525941729546,0.000716562382876873,0.005112401209771633]","[-0.16992099583148956,-0.7437149882316589,9.74553394317627]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.545658+00:00,94685.828688,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5214,260750,1,0,1,1,0,1,0,573880920,9,64374,94685779,1140,0,2.7724965,0.0047122,"[-0.18367911875247955,-0.0014700009487569332,-0.03830302506685257,0.9822386503219604]","[0.032096970826387405,0.0011115827364847064,0.00471216207370162]","[-0.15410199761390686,-0.769677996635437,9.730904579162598]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.596000+00:00,94685.878685,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5215,260800,1,0,1,1,0,1,0,573880920,10,6182,94685829,1141,0,2.7723401,0.0032781,"[-0.1837560534477234,-0.001649000565521419,-0.03754300996661186,0.9822533130645752]","[0.033322229981422424,0.0019175059860572219,0.003278077580034733]","[-0.16752299666404724,-0.7314789891242981,9.759774208068848]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.646811+00:00,94685.928700,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5216,260850,1,0,1,1,0,1,0,573880920,11,56522,94685879,1142,0,2.7722282,0.0026666,"[-0.18381114304065704,-0.0018490017391741276,-0.036719031631946564,0.9822738170623779]","[0.03332313522696495,0.00190979172475636,0.002666636137291789]","[-0.17439399659633636,-0.6810070276260376,9.754155158996582]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.695853+00:00,94685.978645,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5217,260900,1,0,1,1,0,1,0,573880920,12,15133,94685929,1143,0,2.7721562,0.0002024,"[-0.18384601175785065,-0.002039000391960144,-0.035902004688978195,0.9822970628738403]","[0.033943306654691696,0.0031226908322423697,0.00020238838624209166]","[-0.15299999713897705,-0.7078580260276794,9.735605239868164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.745973+00:00,94686.028640,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5218,260950,1,0,1,1,0,1,0,573880920,13,23145,94685979,1144,0,2.7721786,0.0002024,"[-0.18383502960205078,-0.002239000517874956,-0.03511500731110573,0.9823271632194519]","[0.03211231529712677,0.002510656137019396,0.00020237092394381762]","[-0.17202599346637726,-0.6809449791908264,9.758978843688965]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.795606+00:00,94686.078627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5219,261000,1,0,1,1,0,1,0,573880920,14,22366,94686029,1145,0,2.7722592,0.0002061,"[-0.18379411101341248,-0.0024090013466775417,-0.034318018704652786,0.9823625683784485]","[0.030890408903360367,0.0018946771742776036,0.00020605357713066041]","[-0.1693599969148636,-0.6280369758605957,9.758230209350586]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.846050+00:00,94686.128682,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5220,261050,1,0,1,1,0,1,0,573880920,15,37810,94686079,1146,0,2.7723427,-0.0002360,"[-0.183752179145813,-0.0025690023321658373,-0.033624034374952316,0.9823940396308899]","[0.025206202641129494,0.0019262502901256084,-0.00023603832232765853]","[-0.1503240019083023,-0.642691969871521,9.749870300292969]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.896839+00:00,94686.178721,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5221,261100,1,0,1,1,0,1,0,573880920,16,4061,94686129,1147,0,2.7724664,-0.0034996,"[-0.1836901754140854,-0.0026890025474131107,-0.03304203599691391,0.9824250340461731]","[0.0211429875344038,0.0006636614562012255,-0.0034996296744793653]","[-0.1574680060148239,-0.6427080035209656,9.746588706970215]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.946846+00:00,94686.228707,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5222,261150,1,0,1,1,0,1,0,573880920,17,23820,94686180,1148,0,2.7725646,-0.0010576,"[-0.1836400330066681,-0.002762000309303403,-0.03256400674581528,0.9824501872062683]","[0.015037302859127522,-0.0011376579059287906,-0.0010575648630037904]","[-0.1787009984254837,-0.5821080207824707,9.769442558288574]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:51:50.996815+00:00,94686.278708,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5223,261200,1,0,1,1,0,1,0,573880920,18,5841,94686230,1149,0,2.7725739,0.0013550,"[-0.18363401293754578,-0.002806000178679824,-0.03223299980163574,0.9824621081352234]","[0.011382898315787315,-0.00045937063987366855,0.001355003914795816]","[-0.1691640019416809,-0.5845940113067627,9.767189979553223]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
