host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:31:04.883137+00:00,97040.166393,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:31:04.933346+00:00,97040.216228,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1400,70051,1,0,1,1,0,1,0,43991102,0,8807,97040166,275,0,3.7423115,0.0379387,"[0.29552608728408813,-0.014753002673387527,-0.03180200606584549,0.9546912312507629]","[-0.00938777718693018,-0.0011106228921562433,0.0379386767745018]","[-0.06457500159740448,-0.6770309805870056,9.733769416809082]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:04.983804+00:00,97040.266217,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1401,70101,1,0,1,1,0,1,0,43991102,1,3628,97040216,276,0,3.7408767,0.0354486,"[0.29483625292778015,-0.014840014278888702,-0.03202002868056297,0.9548958539962769]","[-0.013031205162405968,0.0001298001443501562,0.035448599606752396]","[-0.06213099882006645,-0.6772990226745605,9.717009544372559]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.034149+00:00,97040.316228,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1402,70151,1,0,1,1,0,1,0,43991102,2,44371,97040267,277,0,3.7394516,0.0372608,"[0.2941502332687378,-0.014932012185454369,-0.032322030514478683,0.9550957679748535]","[-0.01668843813240528,0.00017652260430622846,0.037260789424180984]","[-0.06462600082159042,-0.691573977470398,9.726785659790039]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.084359+00:00,97040.366259,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1403,70201,1,0,1,1,0,1,0,43991102,3,48333,97040317,278,0,3.7380540,0.0366456,"[0.2934761643409729,-0.015046010725200176,-0.03269602358341217,0.9552886486053467]","[-0.020958611741662025,-0.0010513165034353733,0.036645613610744476]","[-0.06699900329113007,-0.6891570091247559,9.726723670959473]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.134303+00:00,97040.416232,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1404,70251,1,0,1,1,0,1,0,43991102,4,25743,97040367,279,0,3.7366612,0.0378698,"[0.29280322790145874,-0.015172012150287628,-0.033143024891614914,0.9554777145385742]","[-0.020757393911480904,-0.0010371968382969499,0.03786975145339966]","[-0.08062099665403366,-0.7009389996528625,9.738734245300293]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.184305+00:00,97040.466230,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1405,70301,1,0,1,1,0,1,0,43991102,5,59638,97040417,280,0,3.7352698,0.0342182,"[0.292131245136261,-0.015286012552678585,-0.03362302854657173,0.9556647539138794]","[-0.021571537479758263,-0.002325913170352578,0.03421822935342789]","[-0.07665000110864639,-0.7132409811019897,9.722168922424316]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.234363+00:00,97040.516272,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1406,70351,1,0,1,1,0,1,0,43991102,6,23338,97040467,281,0,3.7338972,0.0354706,"[0.2914693057537079,-0.015366015024483204,-0.0341220386326313,0.9558479189872742]","[-0.024024631828069687,-0.004790108650922775,0.035470589995384216]","[-0.0934310033917427,-0.7127969861030579,9.745957374572754]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.283479+00:00,97040.566233,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1407,70401,1,0,1,1,0,1,0,43991102,7,6264,97040517,282,0,3.7325029,0.0366935,"[0.2907980680465698,-0.015413004904985428,-0.034633006900548935,0.9560332298278809]","[-0.024026446044445038,-0.004774697590619326,0.03669348731637001]","[-0.09584499895572662,-0.7052760124206543,9.765009880065918]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.333644+00:00,97040.616256,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1408,70451,1,0,1,1,0,1,0,43991102,8,59842,97040566,283,0,3.7311130,0.0355075,"[0.2901301383972168,-0.015429007820785046,-0.03511001542210579,0.9562184810638428]","[-0.01976475492119789,-0.0054414826445281506,0.035507503896951675]","[-0.1007390022277832,-0.7121040225028992,9.789041519165039]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.383394+00:00,97040.666205,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1409,70501,1,0,1,1,0,1,0,43991102,9,15181,97040617,284,0,3.7297442,0.0354928,"[0.28947314620018005,-0.015430008061230183,-0.03551701828837395,0.9564025402069092]","[-0.016708126291632652,-0.00358963618054986,0.03549278900027275]","[-0.10074300318956375,-0.7145460247993469,9.786680221557617]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.433596+00:00,97040.716212,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1410,70551,1,0,1,1,0,1,0,43991102,10,28518,97040666,285,0,3.7283657,0.0351491,"[0.288813054561615,-0.015395003370940685,-0.03587600588798523,0.9565892219543457]","[-0.013473994098603725,-0.006111113354563713,0.03514908254146576]","[-0.09684400260448456,-0.7289959788322449,9.786935806274414]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:31:05.483963+00:00,97040.766223,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1411,70601,1,0,1,1,0,1,0,43991102,11,49747,97040716,286,0,3.7269731,0.0355887,"[0.28814730048179626,-0.015333016403019428,-0.036193039268255234,0.9567790031433105]","[-0.011857837438583374,-0.007364138029515743,0.03558868169784546]","[-0.10322999954223633,-0.7386990189552307,9.77980899810791]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
